"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"The Dawning Archaic","","M","9237","1.88","3970","1.88","20924","85.4%","52.2%","3348","47.7%","6752","57.0%","10100","53.9%","10400","49.9%","4.0pp"
"Rancorous Archaic","","C","349435","7.38","46343","10.60","82163","28.3%","51.3%","13593","48.8%","25251","56.2%","38844","53.6%","42456","49.0%","4.6pp"
"Sundering Archaic","","U","106359","4.45","28801","5.45","138791","75.2%","55.6%","22818","53.7%","43511","61.5%","66329","58.8%","69392","51.9%","6.9pp"
"Together as One","","R","19162","2.01","13336","1.95","77372","87.5%","58.1%","13064","61.5%","23481","67.9%","36545","65.6%","37704","49.5%","16.0pp"
"Transcendent Archaic","","U","124476","5.31","24215","7.07","90540","59.5%","53.7%","14875","52.1%","27949","59.6%","42824","57.0%","46189","50.1%","6.8pp"
"Ajani's Response","W","C","252399","4.57","53816","5.98","290212","83.2%","56.6%","49213","55.3%","80190","59.0%","129403","57.6%","158198","55.7%","1.9pp"
"Antiquities on the Loose","W","R","18914","1.92","11857","1.91","72115","90.8%","59.4%","12873","65.3%","19307","63.5%","32180","64.2%","39393","55.2%","9.0pp"
"Ascendant Dustspeaker","W","C","318068","6.23","47830","8.76","173779","56.3%","55.8%","28441","53.5%","47530","56.4%","75971","55.3%","97762","56.2%","-0.9pp"
"Daydream","W","U","134641","6.40","15670","9.52","22119","22.2%","51.2%","3685","47.8%","5559","49.7%","9244","48.9%","12819","52.7%","-3.8pp"
"Dig Site Inventory","W","C","294311","5.64","46866","7.75","204634","67.7%","55.9%","34378","54.8%","49767","55.8%","84145","55.4%","120074","56.2%","-0.8pp"
"Eager Glyphmage","W","C","316897","6.25","51257","8.60","194719","58.6%","56.7%","32995","55.7%","50798","56.2%","83793","56.0%","110375","57.1%","-1.1pp"
"Elite Interceptor","W","C","224305","4.17","64905","4.87","380998","89.2%","58.3%","69809","60.8%","98980","58.2%","168789","59.3%","210885","57.5%","1.8pp"
"Emeritus of Truce","W","M","9001","1.84","4891","1.83","27600","87.4%","56.6%","4872","59.3%","7383","58.0%","12255","58.5%","15235","55.1%","3.4pp"
"Ennis, Debate Moderator","W","U","118352","5.43","15810","7.69","48781","48.8%","52.8%","8644","48.2%","12297","51.2%","20941","50.0%","27727","54.9%","-5.0pp"
"Erode","W","R","26287","2.54","8495","2.80","46054","85.2%","55.4%","7935","53.0%","12496","58.2%","20431","56.2%","25219","54.6%","1.6pp"
"Graduation Day","W","U","115734","5.56","14170","8.01","36979","41.3%","52.7%","6500","52.2%","8815","50.1%","15315","51.0%","21572","53.9%","-2.9pp"
"Group Project","W","U","100690","4.40","24190","5.40","129113","82.0%","57.1%","23197","57.7%","32502","56.1%","55699","56.8%","73305","57.3%","-0.6pp"
"Harsh Annotation","W","U","127021","5.99","12098","9.44","19701","25.6%","51.2%","3282","47.7%","4986","51.5%","8268","50.0%","11313","52.1%","-2.1pp"
"Honorbound Page","W","C","325357","6.53","41926","9.44","110497","40.9%","54.6%","18707","51.5%","27939","54.3%","46646","53.2%","63620","55.6%","-2.4pp"
"Informed Inkwright","W","R","17511","1.81","10705","1.81","64835","91.7%","58.1%","11811","63.3%","17178","60.3%","28989","61.5%","35518","55.3%","6.2pp"
"Inkshape Demonstrator","W","U","100999","4.45","20565","5.68","104589","78.5%","56.5%","17728","56.8%","27419","56.4%","45147","56.6%","59200","56.4%","0.2pp"
"Interjection","W","C","340664","7.23","44947","10.30","84203","29.0%","55.8%","13936","54.4%","21186","56.5%","35122","55.6%","48832","55.9%","-0.3pp"
"Joined Researchers","W","R","45752","4.09","9277","5.27","44112","74.0%","55.8%","8041","55.7%","11027","54.2%","19068","54.8%","25000","56.4%","-1.5pp"
"Owlin Historian","W","C","314558","6.16","47835","8.61","189455","61.5%","55.9%","32913","55.2%","50231","55.4%","83144","55.4%","106400","56.4%","-1.0pp"
"Practiced Offense","W","R","16919","1.73","11777","1.70","73220","92.2%","59.4%","12482","62.7%","19526","66.0%","32008","64.7%","40600","55.0%","9.7pp"
"Primary Research","W","U","103013","4.59","20461","5.87","89185","68.2%","55.4%","15017","53.2%","24218","56.0%","39235","54.9%","49739","55.8%","-0.8pp"
"Quill-Blade Laureate","W","U","82840","3.62","21148","4.38","122424","89.1%","57.0%","22127","57.1%","31109","56.7%","53236","56.9%","68863","57.0%","-0.1pp"
"Rapier Wit","W","C","336092","7.04","43190","10.15","85221","30.6%","54.7%","14510","52.1%","21593","55.8%","36103","54.3%","48716","55.0%","-0.7pp"
"Rehearsed Debater","W","C","326098","6.55","47022","9.23","150502","49.8%","55.7%","26245","55.6%","36986","54.0%","63231","54.7%","87102","56.4%","-1.8pp"
"Restoration Seminar","W","M","9764","2.06","5053","2.02","25675","80.0%","55.1%","4335","54.1%","7229","59.4%","11564","57.4%","13808","52.8%","4.6pp"
"Shattered Acolyte","W","C","305533","5.82","49512","8.04","225240","70.2%","56.4%","41074","56.8%","55638","55.3%","96712","55.9%","128064","56.9%","-0.9pp"
