"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Dáin Ironfoot","R","R","9386","1.98","5292","2.00","31617","91.8%","58.0%","5549","62.6%","7484","60.4%","13033","61.3%","18488","55.6%","5.8pp"
"Desert Were-Worm","R","R","19862","3.98","2899","5.51","7460","41.2%","50.2%","1266","45.3%","1668","47.8%","2934","46.7%","4544","52.4%","-5.7pp"
"Desolation of Smaug","R","R","19490","3.86","3528","4.99","10995","48.8%","53.0%","1898","51.6%","2563","53.1%","4461","52.5%","6538","53.3%","-0.8pp"
"Dori, Bearer of Friends","R","C","185416","4.84","34504","6.67","179477","80.6%","56.9%","31240","57.4%","42045","56.7%","73285","57.0%","105603","56.7%","0.3pp"
"Dwarven Mauler","R","U","70217","4.35","14575","5.68","72777","77.6%","56.9%","13105","59.3%","16690","54.4%","29795","56.6%","42785","57.1%","-0.6pp"
"Gandalf, Goblins' Bane","R","M","4756","2.04","2189","2.05","11700","84.4%","55.7%","2070","57.5%","2794","57.4%","4864","57.5%","6840","54.6%","2.9pp"
"Gandalf, Spark Starter","R","U","63831","4.04","17130","4.90","87249","78.5%","57.4%","14517","56.3%","20738","60.6%","35255","58.8%","52011","56.4%","2.4pp"
"Getaway Barrel","R","R","31878","6.10","3944","9.43","476","1.9%","","78","","112","","190","","286","",""
"Glóin the Mighty","R","U","60269","3.75","13447","4.82","71664","82.7%","56.8%","12200","57.3%","16913","57.6%","29113","57.5%","42340","56.3%","1.2pp"
"Goblin-town Flunkies","R","C","215144","6.03","28900","8.82","93006","50.2%","54.5%","16534","53.2%","21101","53.3%","37635","53.3%","55398","55.3%","-2.0pp"
"Gundabad Opportunist","R","C","215124","5.85","36720","8.24","154947","65.4%","56.4%","26434","54.9%","35816","56.1%","62250","55.6%","92808","57.0%","-1.4pp"
"Iron Hills Stalwart","R","C","231595","7.02","25513","10.56","37089","22.9%","53.1%","6083","49.0%","8911","52.4%","14994","51.0%","22073","54.6%","-3.5pp"
"Last Light of Durin's Day","R","R","30473","5.86","3713","9.13","765","3.3%","40.9%","121","","195","","316","","449","",""
"The Misty Mountains Cold","R","R","12774","2.60","4142","2.90","22289","84.0%","55.4%","3861","60.4%","5370","54.5%","9231","57.0%","13061","54.3%","2.7pp"
"Misty Mountains Raider","R","U","48969","3.15","16195","3.67","92248","88.0%","57.2%","15579","56.7%","21960","58.8%","37539","58.0%","54875","56.6%","1.3pp"
"Óin the Brave","R","C","212610","5.95","32434","8.45","123749","59.5%","55.6%","22262","54.8%","28619","54.9%","50881","54.8%","72520","56.1%","-1.3pp"
"Pinecone Strike","R","C","118324","3.14","40341","3.75","238998","91.1%","57.5%","41923","58.6%","56093","59.3%","98016","59.0%","141006","56.5%","2.5pp"
