"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Agent 13, Sharon Carter","W","U","34208","2.97","14056","3.33","83654","92.6%","57.3%","14885","58.8%","22476","58.9%","37361","58.9%","46504","56.1%","2.8pp"
"Agent Maria Hill","W","U","42608","3.59","13959","4.17","75933","83.5%","58.3%","13459","62.4%","19321","57.5%","32780","59.5%","43051","57.3%","2.2pp"
"Agent of Atlas","W","C","167958","5.86","29704","8.14","121831","64.1%","56.7%","21781","57.7%","29692","54.6%","51473","55.9%","70207","57.2%","-1.2pp"
"Agent Phil Coulson","W","R","7162","1.57","5304","1.56","32828","94.7%","58.5%","5826","67.6%","8952","61.3%","14778","63.8%","18127","54.2%","9.6pp"
"Agents of S.H.I.E.L.D.","W","C","169230","5.95","27148","8.47","99684","57.7%","55.8%","17336","55.4%","25895","55.7%","43231","55.6%","56447","56.0%","-0.5pp"
"Avengers Assemble!","W","M","3273","1.49","2519","1.46","15524","93.7%","58.7%","2613","63.5%","4224","64.7%","6837","64.2%","8689","54.4%","9.9pp"
"Borough Backup","W","C","144991","4.75","35032","6.25","191143","84.6%","57.6%","34625","56.5%","50573","59.5%","85198","58.3%","105958","57.0%","1.2pp"
"Brave Brawler","W","C","139976","4.57","32658","6.02","187951","89.3%","57.6%","33449","58.5%","49397","57.4%","82846","57.9%","105155","57.4%","0.5pp"
"Captain America, Super-Soldier","W","M","3339","1.47","2399","1.47","14360","93.2%","57.1%","2522","59.6%","4010","59.9%","6532","59.8%","7940","55.0%","4.8pp"
"Captain America, Wings of Freedom","W","R","7084","1.53","5152","1.54","31430","94.5%","58.4%","5601","63.0%","8587","60.7%","14188","61.6%","17378","55.8%","5.8pp"
"Captain Marvel, Earth's Protector","W","M","2851","1.28","2499","1.27","16269","95.9%","61.1%","2712","65.2%","4739","70.3%","7451","68.4%","8865","54.9%","13.5pp"
"Captain Mar-Vell, Space-Born","W","U","53893","4.56","8267","6.51","33584","64.4%","54.4%","5561","51.9%","9228","55.4%","14789","54.1%","18974","54.5%","-0.5pp"
"Colleen Wing, Street Samurai","W","U","54220","4.56","9405","6.33","38497","64.5%","55.1%","6842","56.6%","9446","54.0%","16288","55.1%","22189","55.3%","-0.2pp"
"Crowd of True Believers","W","C","183976","7.10","27640","9.97","60106","34.1%","56.3%","10592","57.3%","14599","54.9%","25191","55.9%","34932","56.6%","-0.7pp"
"Helicarrier Strike","W","C","138577","4.46","29508","6.05","161457","85.1%","56.6%","27852","55.6%","43029","58.1%","70881","57.1%","90588","56.2%","0.9pp"
"Hero in Training","W","C","99314","3.43","39286","3.90","243444","94.0%","59.0%","43017","59.9%","66845","61.6%","109862","60.9%","133058","57.5%","3.5pp"
"Invisible Woman, Sue Storm","W","U","61007","5.57","6834","8.46","12170","29.2%","49.4%","1959","42.7%","3095","48.2%","5054","46.1%","7140","51.7%","-5.6pp"
"Jennifer Walters","W","M","3301","1.47","2515","1.45","15722","94.1%","59.6%","2845","64.9%","4374","64.2%","7219","64.5%","8575","55.5%","9.0pp"
"Kree Commandos","W","C","181471","7.00","21077","10.55","26987","20.3%","52.5%","4685","50.4%","6732","52.3%","11417","51.5%","15622","53.3%","-1.7pp"
"Luke Cage, Power Man","W","U","62121","5.55","7469","8.37","17839","38.2%","52.8%","2994","50.3%","4508","52.5%","7502","51.6%","10385","53.6%","-2.0pp"
"The Mind Stone","W","M","4210","1.88","2153","1.89","11105","83.1%","54.6%","1969","57.3%","2964","55.1%","4933","55.9%","6174","53.6%","2.4pp"
"Mockingbird, Ace Agent","W","U","58815","5.17","7261","7.69","17853","39.6%","51.9%","3030","49.1%","4506","50.7%","7536","50.1%","10357","53.2%","-3.2pp"
"Monica Rambeau","W","M","3121","1.44","2473","1.43","15275","95.0%","58.0%","2698","61.4%","4247","64.1%","6945","63.1%","8311","53.8%","9.3pp"
"Murdock's Crusade","W","C","118699","4.00","32126","4.93","185694","88.8%","58.0%","31449","57.6%","50279","61.5%","81728","60.0%","104030","56.4%","3.6pp"
"Nick Fury, Agent of S.H.I.E.L.D.","W","R","22032","4.20","4935","5.39","19173","61.4%","56.4%","3402","57.1%","4853","56.8%","8255","57.0%","10888","56.0%","0.9pp"
"Night Nurse, Healer of Heroes","W","U","35056","2.88","13405","3.36","79957","92.9%","57.1%","13998","56.7%","21200","58.9%","35198","58.0%","44670","56.4%","1.6pp"
"Okoye, Dora Milaje Leader","W","U","39471","3.23","12845","3.81","73058","88.6%","57.0%","12414","57.4%","19612","59.1%","32026","58.5%","40916","55.8%","2.6pp"
"Origin of the Avengers","W","R","8890","1.90","4749","1.94","26922","90.8%","55.8%","4859","58.6%","7028","57.4%","11887","57.9%","15036","54.2%","3.7pp"
"Panther Pounce","W","C","184021","6.97","24586","10.21","44562","28.5%","54.2%","7339","50.9%","11432","56.1%","18771","54.0%","25800","54.2%","-0.2pp"
"Patriot, Shield Wielder","W","U","44341","3.61","12946","4.43","75332","91.2%","56.9%","13473","58.2%","19557","57.0%","33030","57.5%","42357","56.4%","1.0pp"
"Political Triumph","W","U","40282","3.49","12799","3.96","70647","85.5%","57.7%","12480","64.1%","18132","56.5%","30612","59.6%","40017","56.3%","3.3pp"
"Quake, Agent of S.H.I.E.L.D.","W","U","55618","4.65","9952","6.39","42222","67.0%","55.5%","7283","54.9%","10878","55.4%","18161","55.2%","24094","55.8%","-0.6pp"
"Raft Security Officer","W","C","145016","4.95","34867","6.37","192124","85.5%","57.6%","34288","57.2%","51103","57.8%","85391","57.5%","107164","57.6%","-0.0pp"
"Red Guardian, Super-Soldier","W","U","36015","3.01","12334","3.50","72837","91.7%","57.3%","12744","57.7%","19608","59.6%","32352","58.9%","40509","56.0%","2.9pp"
"The Sentry, Golden Guardian","W","R","10496","2.30","3554","2.40","17969","81.4%","53.6%","3140","52.1%","4949","54.0%","8089","53.2%","9990","53.5%","-0.3pp"
"S.H.I.E.L.D. Spy Kit","W","C","154543","5.52","32547","7.06","151613","72.5%","57.2%","26224","58.1%","39599","58.2%","65823","58.1%","85772","56.5%","1.7pp"
"Super Villain Lockup","W","U","31881","2.66","10239","3.17","59004","91.1%","55.4%","10064","54.4%","15761","57.8%","25825","56.5%","33183","54.6%","1.8pp"
"Super-Soldier Serum","W","R","14418","3.05","2834","3.69","12218","70.7%","52.5%","2067","53.1%","3163","54.4%","5230","53.9%","6992","51.5%","2.4pp"
"Take Up the Shield","W","C","135478","4.42","30782","5.90","171035","86.3%","57.2%","28662","55.8%","45690","60.6%","74352","58.8%","96724","56.1%","2.7pp"
"Wakandan Drone Flock","W","C","170630","6.00","30705","8.21","120142","60.8%","57.1%","20473","55.0%","33235","58.7%","53708","57.3%","66974","56.8%","0.5pp"
"Web Up","W","C","76460","2.63","32437","3.04","200024","95.1%","57.6%","34218","56.8%","54781","61.6%","88999","59.7%","111030","55.8%","3.9pp"
"White Widow, Free Agent","W","U","44057","3.56","10632","4.52","57444","85.2%","55.8%","9769","52.9%","15191","57.5%","24960","55.7%","32428","55.8%","-0.1pp"
"Aerial Doombot","U","C","155924","5.30","28885","7.33","137559","74.9%","56.2%","24405","57.1%","37731","57.8%","62136","57.5%","75679","55.1%","2.4pp"
"A.I.M. Scientists","U","C","167445","5.67","31877","7.90","133382","65.6%","56.3%","24359","55.8%","37497","57.8%","61856","57.0%","71726","55.7%","1.4pp"
"Atlantean Cavalry","U","C","180561","7.05","23383","10.30","40752","27.9%","52.2%","7194","52.3%","11786","52.9%","18980","52.6%","21857","51.8%","0.8pp"
"Atlantis Attacks","U","C","159204","5.50","32150","7.48","139942","68.4%","56.2%","23179","53.2%","39841","58.9%","63020","56.8%","77020","55.7%","1.1pp"
"Attuma, Atlantean Warlord","U","U","63003","5.57","10796","7.65","30975","45.9%","54.0%","5207","54.2%","9076","55.2%","14283","54.8%","16869","53.2%","1.6pp"
"Bold Biochemist","U","C","165617","5.74","34700","7.68","167500","75.4%","57.1%","29784","55.4%","46603","58.8%","76387","57.5%","91286","56.7%","0.8pp"
"Bruce Banner","U","M","4103","1.89","2554","1.81","14671","91.2%","57.2%","2608","62.8%","4071","59.5%","6679","60.8%","8034","54.3%","6.5pp"
"Depower","U","C","177679","6.47","28559","9.18","79980","44.4%","55.2%","13736","53.4%","22381","57.7%","36117","56.1%","43876","54.4%","1.7pp"
"Echo, Perceptive Prodigy","U","U","63960","5.57","11174","7.62","39579","56.2%","54.5%","6943","51.0%","10841","54.3%","17784","53.1%","21839","55.6%","-2.5pp"
"Falcon, Winged Wonder","U","U","41743","3.47","14589","4.04","82836","87.9%","58.0%","14092","57.3%","23822","61.7%","37914","60.0%","45127","56.3%","3.8pp"
"Falcon's Wing Harness","U","U","53598","4.40","11312","5.80","53050","74.1%","55.9%","9043","54.7%","14615","59.2%","23658","57.5%","29369","54.6%","2.9pp"
"Frozen in Ice","U","C","110136","3.63","30164","4.64","175563","91.5%","56.3%","29835","54.0%","49831","59.7%","79666","57.5%","95917","55.3%","2.2pp"
"Futurist Forge","U","C","158166","5.44","29765","7.47","134566","70.9%","56.5%","24290","56.3%","37237","59.2%","61527","58.0%","72980","55.2%","2.8pp"
"Giant-Sized Flying Ant","U","C","174593","6.34","30418","8.73","102993","53.3%","56.8%","17374","54.0%","29562","59.9%","46936","57.7%","56287","56.0%","1.7pp"
"Hydraulic Helper","U","C","181116","7.16","25963","10.13","57686","35.4%","53.9%","10464","54.3%","15090","54.8%","25554","54.6%","32100","53.4%","1.2pp"
"I Am Iron Man","U","C","182387","7.05","27771","9.98","62417","35.6%","54.6%","10372","53.3%","17194","57.2%","27566","55.7%","34869","53.7%","2.0pp"
"Iron Lad, Diverging Destiny","U","U","50637","4.34","9392","5.72","41609","70.7%","54.2%","7314","54.2%","11350","55.6%","18664","55.0%","23020","53.4%","1.6pp"
"Ironheart, Clever Champion","U","R","18185","3.80","3474","4.75","13150","61.9%","51.7%","2230","50.4%","3727","54.2%","5957","52.8%","7266","50.7%","2.0pp"
"Justice, Vance Astrovik","U","U","29537","2.58","15802","2.76","98238","94.1%","59.3%","17370","61.6%","28110","64.4%","45480","63.3%","52813","55.7%","7.6pp"
"Kang the Conqueror","U","M","3479","1.57","2470","1.55","14625","92.7%","57.1%","2490","56.7%","4365","63.8%","6855","61.2%","7891","53.4%","7.8pp"
"Kid Loki","U","U","58362","4.95","9239","6.93","32514","56.8%","52.9%","5695","54.3%","9307","53.4%","15002","53.7%","17519","52.2%","1.5pp"
"Leader, Super-Genius","U","R","7579","1.67","5800","1.64","36447","95.0%","59.6%","6310","67.8%","10812","67.9%","17122","67.9%","19641","52.6%","15.2pp"
"Loki, God of Mischief","U","R","9954","2.14","5062","2.18","28928","89.6%","56.3%","5217","58.6%","7962","58.7%","13179","58.7%","15857","54.3%","4.3pp"
"Mister Fantastic, Reed Richards","U","U","65527","5.88","9570","8.32","21268","35.5%","52.9%","3673","50.9%","5872","54.0%","9545","52.8%","11809","53.1%","-0.3pp"
"Ms. Marvel, Kamala Khan","U","R","16602","3.46","3829","4.09","13589","56.3%","54.0%","2410","56.1%","3793","54.2%","6203","54.9%","7432","53.2%","1.7pp"
"Multiversal Incursion","U","M","7470","3.18","1959","3.61","7662","64.9%","50.6%","1265","47.3%","2104","53.8%","3369","51.4%","4298","50.0%","1.4pp"
"Namor the Sub-Mariner","U","M","5835","2.63","2068","2.74","8967","69.6%","53.9%","1529","54.6%","2559","57.2%","4088","56.2%","4943","51.8%","4.4pp"
"Pym Particles","U","U","68313","6.07","8866","9.00","18736","34.1%","51.3%","3128","48.1%","4934","54.7%","8062","52.1%","10679","50.6%","1.6pp"
"Rewrite History","U","U","71897","6.71","8986","9.91","9287","16.7%","50.3%","1575","45.6%","2598","50.3%","4173","48.5%","5107","51.8%","-3.2pp"
"Secret Invasion","U","R","10587","2.27","5265","2.37","30034","89.6%","56.6%","5118","54.1%","8558","62.4%","13676","59.3%","16363","54.3%","5.0pp"
"S.H.I.E.L.D. Deployment Drone","U","C","115178","3.83","38299","4.66","227887","91.7%","57.9%","40279","58.9%","64462","60.5%","104741","59.9%","123270","56.3%","3.6pp"
"S.H.I.E.L.D. Flying Car","U","R","11182","2.36","5675","2.48","32618","90.4%","56.4%","5549","55.9%","9208","61.3%","14757","59.2%","17855","54.0%","5.2pp"
"Shuri, Wakandan Inventor","U","U","59871","5.22","9913","7.16","36238","57.9%","54.5%","6540","57.0%","9668","54.4%","16208","55.4%","20023","53.7%","1.7pp"
"Stature, Size Shifter","U","U","49727","4.16","14439","4.95","77793","83.4%","57.7%","13948","59.2%","21660","59.2%","35608","59.2%","42263","56.5%","2.8pp"
"Super Intelligence","U","U","57181","5.01","6958","7.46","20269","48.0%","51.2%","3499","52.0%","5528","52.6%","9027","52.4%","11248","50.3%","2.1pp"
"Super Suit","U","C","181508","7.06","23374","10.36","41962","28.6%","54.0%","7091","53.5%","11387","56.2%","18478","55.2%","23473","53.1%","2.1pp"
"Thirst for Knowledge","U","U","69280","6.25","8699","9.21","16049","29.7%","51.3%","2725","47.6%","4303","53.6%","7028","51.3%","9024","51.3%","-0.0pp"
"Tony Stark","U","M","4733","2.14","2358","2.09","12474","84.3%","55.8%","2218","59.8%","3576","61.4%","5794","60.8%","6733","51.7%","9.1pp"
"Trickster's Stratagem","U","C","128067","4.29","39856","5.22","231794","89.4%","58.2%","38894","57.6%","66436","62.4%","105330","60.6%","126514","56.2%","4.4pp"
"We Say Thee Nay!","U","C","134638","4.48","36116","5.67","201557","86.8%","57.5%","35496","59.1%","56137","59.6%","91633","59.4%","109933","55.8%","3.6pp"
"Wiccan, Rising Magician","U","U","54722","4.55","10447","6.14","46271","70.0%","55.5%","7611","52.5%","13619","57.3%","21230","55.6%","25333","55.3%","0.3pp"
"The Wondrous Wasp","U","R","8989","1.92","5638","1.94","34757","93.9%","58.9%","6266","62.5%","9765","63.7%","16031","63.2%","18778","55.3%","8.0pp"
"Agents of HYDRA","B","C","171442","6.41","20976","9.32","67888","52.5%","52.6%","12217","51.3%","17710","53.6%","29927","52.7%","37971","52.5%","0.2pp"
"Arnim Zola, Bio-Fanatic","B","U","56753","4.94","7946","6.89","29636","62.4%","50.5%","5213","47.3%","8007","52.2%","13220","50.3%","16504","50.6%","-0.4pp"
"Baron Helmut Zemo","B","R","20796","4.30","2988","6.07","7779","42.9%","50.5%","1399","50.3%","2163","52.3%","3562","51.5%","4272","49.7%","1.8pp"
"Baron Strucker, HYDRA Overlord","B","U","42483","3.63","8633","4.59","46139","86.3%","53.8%","8178","57.4%","12680","55.7%","20858","56.4%","25415","51.7%","4.6pp"
"Black Widow, Super Spy","B","M","3702","1.68","2074","1.70","11296","85.9%","55.1%","2053","60.7%","3144","56.6%","5197","58.2%","6165","52.6%","5.6pp"
"Construct a Cosmic Cube","B","R","16446","3.63","3378","4.26","11583","56.8%","49.0%","1982","47.2%","3439","50.2%","5421","49.1%","6093","48.9%","0.1pp"
"Crossbones, Malicious Mercenary","B","U","46869","4.07","7306","5.42","34056","77.0%","51.8%","5915","51.1%","9358","53.9%","15273","52.8%","19013","51.0%","1.8pp"
"Cruel Alliance","B","C","106610","3.59","28573","4.44","163613","90.2%","56.1%","28280","55.7%","45527","61.3%","73807","59.2%","89829","53.5%","5.6pp"
"Dark Deed","B","U","28550","2.44","10829","2.81","62919","91.2%","56.1%","11070","58.0%","17544","60.7%","28614","59.7%","34307","53.1%","6.5pp"
"Decoy Ploy","B","C","184712","7.51","22435","10.86","33621","24.2%","52.3%","5490","46.8%","9114","54.1%","14604","51.3%","19036","53.1%","-1.7pp"
"Doctor Doom","B","M","3137","1.37","2408","1.33","14403","92.4%","58.2%","2479","64.2%","4134","66.1%","6613","65.4%","7809","52.1%","13.3pp"
"Doom Reigns Supreme","B","R","12110","2.66","3178","2.92","15202","80.0%","51.6%","2754","54.6%","3893","51.9%","6647","53.0%","8375","50.7%","2.3pp"
"Elektra, Daughter of the Hand","B","R","8970","1.93","4772","1.92","26990","87.8%","56.9%","4703","62.8%","7559","62.6%","12262","62.7%","14756","52.1%","10.6pp"
"Grim Reaper, Lethal Legionnaire","B","U","60904","5.45","6964","8.09","19665","46.2%","51.3%","3338","48.3%","5348","54.2%","8686","51.9%","11081","50.7%","1.2pp"
"Hour of Defeat","B","C","103866","3.44","24424","4.42","135240","88.7%","54.6%","23111","53.5%","37456","58.7%","60567","56.7%","74709","52.9%","3.8pp"
"HYDRA Infiltration","B","C","181686","7.32","23915","10.41","44177","29.4%","54.9%","7454","54.4%","12195","58.0%","19649","56.6%","24534","53.6%","3.0pp"
"HYDRA Troopers","B","C","171716","6.43","21879","9.23","66248","49.0%","52.3%","11288","50.7%","17841","54.8%","29129","53.2%","37163","51.6%","1.6pp"
"Kingpin's Enforcers","B","C","178784","6.86","21578","10.04","53747","40.1%","53.0%","9200","52.1%","14647","55.3%","23847","54.0%","30031","52.1%","1.9pp"
"Klaw, Sonic Subjugator","B","U","48348","3.97","11264","5.02","59464","83.9%","55.1%","10330","55.1%","16320","57.7%","26650","56.7%","32837","53.9%","2.8pp"
"Madame Masque","B","U","41935","3.58","11465","4.31","61480","85.3%","55.4%","10254","56.1%","17827","59.6%","28081","58.3%","33570","53.0%","5.3pp"
"The Masters of Evil","B","U","50140","4.37","8328","5.85","37764","74.4%","52.1%","6309","48.8%","10634","56.5%","16943","53.6%","20961","50.8%","2.8pp"
"M.O.D.O.K.","B","M","3599","1.59","2299","1.55","13336","90.2%","57.4%","2296","61.6%","3898","64.8%","6194","63.6%","7258","52.1%","11.4pp"
"Moonstone, Harsh Mistress","B","U","62973","5.59","8656","7.84","23629","45.0%","51.3%","4045","48.2%","6862","53.6%","10907","51.6%","12860","51.0%","0.6pp"
"Ninja of the Hand","B","C","171701","6.32","21379","9.28","69149","52.1%","54.0%","12188","51.9%","18967","56.9%","31155","54.9%","38125","53.2%","1.7pp"
"Project Deathlok Soldier","B","C","185698","7.64","21239","11.15","30308","22.9%","52.5%","5342","51.5%","7978","52.9%","13320","52.3%","17003","52.5%","-0.2pp"
"Red Room Recruit","B","C","156993","5.47","25162","7.55","123628","79.0%","54.1%","22354","54.1%","33561","55.7%","55915","55.1%","67782","53.2%","1.8pp"
"Robot Domination","B","U","61476","5.58","7946","7.91","20974","43.7%","49.9%","3403","46.0%","5662","49.8%","9065","48.4%","11839","51.2%","-2.8pp"
"Ronin, Shadow Stalker","B","U","70063","6.49","9448","9.22","16944","28.9%","54.8%","2911","55.3%","4440","55.6%","7351","55.5%","9623","54.3%","1.2pp"
"Roxxon Brutes","B","C","171369","6.11","23899","8.84","93547","63.0%","53.5%","16843","51.8%","25780","55.3%","42623","53.9%","51184","53.2%","0.8pp"
"Stolen Stark Tech","B","C","178307","6.85","21928","9.98","55194","40.7%","54.0%","9218","53.4%","14800","56.7%","24018","55.5%","31178","52.9%","2.6pp"
"Super-Skrull","B","R","10429","2.26","4686","2.28","25551","87.5%","54.8%","4390","56.2%","7525","60.5%","11915","58.9%","13882","51.2%","7.7pp"
"Swordsman, Sharp Scoundrel","B","U","63133","5.64","9228","7.90","28423","49.5%","54.2%","5058","56.5%","7345","55.1%","12403","55.7%","16047","53.1%","2.5pp"
"Thunderbolts Conspiracy","B","R","17002","3.71","2876","4.62","10054","58.9%","50.1%","1660","47.7%","2680","50.6%","4340","49.4%","5717","50.5%","-1.1pp"
"Too Evil to Stay Dead","B","U","68672","6.29","8273","9.28","16627","32.7%","51.5%","2777","48.2%","4586","53.0%","7363","51.2%","9271","51.7%","-0.6pp"
"Unliving Legionnaire","B","C","183028","7.24","21104","10.65","37884","29.0%","52.9%","6429","49.8%","10487","56.1%","16916","53.7%","21103","52.2%","1.5pp"
"Visions of Villainy","B","C","169049","6.23","22132","8.99","77592","57.1%","52.7%","13550","51.4%","21090","54.7%","34640","53.4%","42955","52.1%","1.3pp"
"Whiplash, Vengeful Engineer","B","U","64472","5.72","8769","8.17","26278","48.0%","54.2%","4694","59.5%","6662","54.9%","11356","56.8%","14941","52.2%","4.6pp"
"Widow's Bite","B","C","142709","4.81","24160","6.58","117296","78.1%","54.3%","20310","54.4%","32146","57.2%","52456","56.1%","64860","52.8%","3.4pp"
"Yellowjacket, Heartless Marauder","B","U","51840","4.39","8847","5.92","44100","81.3%","53.3%","7789","55.5%","11977","55.1%","19766","55.2%","24389","51.8%","3.5pp"
"Avengers Disassembled","R","R","16466","3.47","3244","4.23","11543","57.8%","52.3%","1989","53.8%","2882","55.3%","4871","54.7%","6673","50.6%","4.1pp"
"Blazing Crescendo","R","C","184981","7.61","19125","11.27","28244","24.0%","51.6%","4670","49.6%","6730","54.4%","11400","52.4%","16849","51.0%","1.4pp"
"Crimson Operative","R","C","170860","6.32","22981","8.91","78582","54.9%","53.5%","13487","52.3%","20278","55.6%","33765","54.3%","44885","53.0%","1.2pp"
"Death to Our Enemies","R","U","68060","6.42","7297","9.63","10710","24.0%","48.5%","1822","45.4%","2799","47.5%","4621","46.7%","6082","50.0%","-3.3pp"
"Evil's Thrall","R","U","74046","7.09","7546","10.80","5560","12.0%","49.4%","897","48.7%","1381","53.4%","2278","51.5%","3283","47.9%","3.6pp"
"Fin Fang Foom","R","R","13508","2.97","3388","3.34","15143","73.0%","52.8%","2555","52.5%","3996","54.6%","6551","53.8%","8713","52.0%","1.8pp"
"Hawkeye, Master Marksman","R","R","9550","2.07","4059","2.08","21408","84.5%","55.0%","3797","59.5%","5265","58.4%","9062","58.8%","12422","52.1%","6.7pp"
"Hawkeye, Young Avenger","R","U","59021","5.19","8123","7.16","26446","53.0%","52.0%","4477","50.9%","6551","52.1%","11028","51.6%","15521","52.2%","-0.6pp"
"Hawkeye's Bow","R","C","181275","7.39","18874","10.90","26421","22.7%","51.3%","4593","50.8%","6341","54.7%","10934","53.1%","15486","50.1%","2.9pp"
"Hex Magic","R","U","77732","7.77","8622","11.42","3520","6.6%","48.6%","567","44.8%","864","46.6%","1431","45.9%","2090","50.5%","-4.6pp"
"Hire a Crew","R","C","191271","8.50","19353","12.40","6845","5.7%","48.4%","1174","44.5%","1609","48.2%","2783","46.6%","4065","49.5%","-2.9pp"
