"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"The Dawning Archaic","","M","7217","1.83","3216","1.81","17034","85.9%","52.5%","2733","48.0%","5526","57.4%","8259","54.3%","8450","50.1%","4.1pp"
"Rancorous Archaic","","C","282652","7.37","37758","10.57","68421","28.9%","51.6%","11230","48.7%","21019","56.6%","32249","53.8%","35410","49.2%","4.6pp"
"Sundering Archaic","","U","87203","4.52","23462","5.54","111711","74.5%","55.7%","18312","54.2%","34913","61.7%","53225","59.1%","55974","51.9%","7.2pp"
"Together as One","","R","15960","2.06","10898","2.00","62837","87.0%","58.2%","10560","61.7%","19099","67.9%","29659","65.7%","30649","49.7%","16.0pp"
"Transcendent Archaic","","U","100744","5.34","19716","7.08","72921","59.0%","53.9%","11979","52.1%","22386","59.9%","34365","57.2%","37308","50.3%","6.9pp"
"Ajani's Response","W","C","208124","4.67","43406","6.12","231250","82.2%","56.8%","39260","55.6%","63849","59.3%","103109","57.9%","126092","55.9%","2.0pp"
"Antiquities on the Loose","W","R","15470","1.95","9640","1.94","58366","90.6%","59.6%","10409","65.6%","15543","63.9%","25952","64.6%","31961","55.4%","9.2pp"
"Ascendant Dustspeaker","W","C","258101","6.29","38547","8.84","138096","55.5%","56.1%","22573","53.9%","37589","56.7%","60162","55.7%","77897","56.3%","-0.7pp"
"Daydream","W","U","107926","6.33","12751","9.38","18996","23.4%","51.3%","3158","47.8%","4763","49.9%","7921","49.1%","11031","52.9%","-3.9pp"
"Dig Site Inventory","W","C","239857","5.69","38100","7.82","164269","66.9%","56.1%","27631","55.0%","39868","55.9%","67499","55.6%","96446","56.4%","-0.8pp"
"Eager Glyphmage","W","C","256329","6.25","41469","8.59","158214","58.9%","56.8%","26869","56.0%","41301","56.3%","68170","56.2%","89592","57.2%","-1.0pp"
"Elite Interceptor","W","C","185470","4.25","52379","4.98","306153","88.8%","58.5%","56125","61.1%","79362","58.3%","135487","59.4%","169617","57.6%","1.8pp"
"Emeritus of Truce","W","M","7156","1.82","3974","1.81","22507","87.7%","57.0%","3975","60.1%","5965","58.5%","9940","59.1%","12478","55.3%","3.8pp"
"Ennis, Debate Moderator","W","U","94276","5.35","12810","7.50","40548","50.0%","53.0%","7209","48.7%","10140","51.5%","17349","50.4%","23103","54.9%","-4.5pp"
"Erode","W","R","21058","2.52","6842","2.76","36928","84.7%","55.7%","6359","53.2%","10000","58.4%","16359","56.4%","20249","54.9%","1.4pp"
"Graduation Day","W","U","92759","5.49","11618","7.81","31398","42.8%","52.7%","5500","52.1%","7495","50.2%","12995","51.0%","18328","53.9%","-2.9pp"
"Group Project","W","U","80945","4.38","19721","5.36","105461","82.1%","57.2%","19009","57.6%","26559","56.4%","45568","56.9%","59806","57.4%","-0.5pp"
"Harsh Annotation","W","U","101997","5.95","9777","9.37","16313","26.1%","51.1%","2750","48.0%","4125","51.7%","6875","50.2%","9333","51.7%","-1.5pp"
"Honorbound Page","W","C","263097","6.52","33839","9.43","89947","41.3%","54.6%","15297","51.5%","22620","54.2%","37917","53.1%","51827","55.6%","-2.5pp"
"Informed Inkwright","W","R","14208","1.82","8622","1.81","52245","91.8%","58.4%","9501","63.6%","13854","60.8%","23355","62.0%","28631","55.4%","6.6pp"
"Inkshape Demonstrator","W","U","82208","4.48","16643","5.70","83995","78.0%","56.7%","14309","57.2%","21954","56.5%","36263","56.8%","47532","56.7%","0.1pp"
"Interjection","W","C","275733","7.25","36090","10.34","66103","28.4%","55.9%","10827","54.7%","16654","56.5%","27481","55.8%","38432","55.9%","-0.2pp"
"Joined Researchers","W","R","36609","4.07","7497","5.20","35479","73.9%","56.0%","6466","55.9%","8885","54.4%","15351","55.0%","20094","56.7%","-1.7pp"
"Owlin Historian","W","C","254985","6.21","38426","8.67","150224","60.7%","56.1%","26143","55.2%","39734","55.7%","65877","55.5%","84440","56.5%","-1.0pp"
"Practiced Offense","W","R","13939","1.77","9522","1.74","58835","91.6%","59.5%","10030","62.8%","15657","66.1%","25687","64.8%","32701","55.2%","9.6pp"
"Primary Research","W","U","83820","4.62","16701","5.89","72242","67.8%","55.5%","12142","53.1%","19619","56.0%","31761","54.9%","40317","55.9%","-1.0pp"
"Quill-Blade Laureate","W","U","67286","3.64","17045","4.41","98185","88.7%","57.1%","17768","57.2%","24944","56.7%","42712","56.9%","55205","57.2%","-0.3pp"
"Rapier Wit","W","C","271990","7.05","34932","10.15","68527","30.5%","54.7%","11627","52.2%","17344","55.7%","28971","54.3%","39231","55.0%","-0.7pp"
"Rehearsed Debater","W","C","264808","6.62","37742","9.35","116284","48.0%","55.8%","20162","56.1%","28505","54.0%","48667","54.9%","67478","56.4%","-1.6pp"
"Restoration Seminar","W","M","7868","2.07","4055","2.02","20544","79.7%","55.2%","3434","54.3%","5786","59.7%","9220","57.7%","11089","53.0%","4.7pp"
"Shattered Acolyte","W","C","248859","5.88","39844","8.14","177926","68.9%","56.6%","32441","56.8%","43888","55.4%","76329","56.0%","101233","57.0%","-1.1pp"
"Soaring Stoneglider","W","U","84333","4.59","14548","6.07","68891","74.4%","54.5%","11730","51.7%","18367","54.9%","30097","53.7%","38809","55.0%","-1.4pp"
"Spiritcall Enthusiast","W","U","96585","5.51","13677","7.75","39980","45.8%","53.8%","6920","52.2%","9843","52.2%","16763","52.2%","23177","55.0%","-2.8pp"
"Stand Up for Yourself","W","U","73120","3.91","17943","4.81","100138","86.2%","56.7%","16925","54.7%","27138","58.7%","44063","57.1%","55327","56.1%","1.0pp"
"Stirring Hopesinger","W","R","12599","1.60","8692","1.58","53828","93.1%","58.9%","9499","63.4%","14720","63.0%","24219","63.2%","29401","55.2%","8.0pp"
"Stone Docent","W","C","238734","5.57","45906","7.32","240159","80.1%","57.3%","43060","57.9%","59695","55.7%","102755","56.6%","137259","57.8%","-1.1pp"
"Summoned Dromedary","W","U","88401","4.80","15584","6.47","68780","69.3%","54.9%","11513","52.9%","17941","54.8%","29454","54.1%","39514","55.4%","-1.3pp"
"Banishing Betrayal","U","C","259108","6.26","38330","8.92","140289","58.3%","53.0%","24921","50.8%","41067","58.0%","65988","55.2%","71236","50.7%","4.6pp"
"Brush Off","U","U","95076","5.25","20152","6.56","91776","71.9%","55.1%","15501","53.3%","27957","60.5%","43458","58.0%","45651","51.5%","6.5pp"
