"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"The Dawning Archaic","","M","6357","1.82","2881","1.79","15206","85.7%","52.5%","2443","47.9%","4922","57.0%","7365","54.0%","7549","50.4%","3.6pp"
"Rancorous Archaic","","C","250639","7.38","33616","10.56","60922","28.9%","51.8%","9994","49.1%","18692","56.8%","28686","54.1%","31533","49.4%","4.7pp"
"Sundering Archaic","","U","78037","4.57","20796","5.61","97804","73.8%","55.8%","16085","54.5%","30426","61.6%","46511","59.2%","49079","52.0%","7.1pp"
"Together as One","","R","14405","2.10","9696","2.03","55371","86.7%","58.2%","9250","61.5%","16773","68.0%","26023","65.7%","27117","49.8%","15.8pp"
"Transcendent Archaic","","U","89715","5.37","17477","7.11","63785","58.3%","54.0%","10475","52.2%","19631","59.9%","30106","57.3%","32569","50.5%","6.8pp"
"Ajani's Response","W","C","186257","4.73","38171","6.20","201720","81.6%","56.9%","34237","55.6%","55576","59.4%","89813","57.9%","110164","56.0%","2.0pp"
"Antiquities on the Loose","W","R","13673","1.95","8479","1.94","51313","90.4%","59.7%","9165","65.7%","13674","64.0%","22839","64.7%","28087","55.5%","9.2pp"
"Ascendant Dustspeaker","W","C","229468","6.32","34078","8.87","120983","55.0%","56.1%","19832","53.8%","32891","56.9%","52723","55.7%","68241","56.4%","-0.6pp"
"Daydream","W","U","94981","6.29","11280","9.29","17392","24.2%","51.5%","2905","48.4%","4381","50.2%","7286","49.5%","10064","53.0%","-3.5pp"
"Dig Site Inventory","W","C","213025","5.71","33752","7.84","144862","66.7%","56.2%","24418","55.3%","35125","56.0%","59543","55.7%","85035","56.4%","-0.7pp"
"Eager Glyphmage","W","C","226660","6.25","36680","8.58","139499","58.8%","56.9%","23717","56.2%","36349","56.3%","60066","56.3%","79041","57.3%","-1.0pp"
"Elite Interceptor","W","C","166139","4.30","46293","5.04","269674","88.6%","58.6%","49420","61.2%","69869","58.4%","119289","59.6%","149455","57.7%","1.8pp"
"Emeritus of Truce","W","M","6306","1.81","3522","1.80","19891","87.3%","57.2%","3513","60.4%","5262","58.8%","8775","59.5%","11036","55.4%","4.0pp"
"Ennis, Debate Moderator","W","U","82733","5.29","11388","7.37","36795","51.1%","53.1%","6571","48.9%","9196","51.8%","15767","50.6%","20940","54.9%","-4.3pp"
"Erode","W","R","18706","2.51","6027","2.76","32352","84.4%","55.8%","5575","53.4%","8797","58.5%","14372","56.5%","17694","55.0%","1.5pp"
"Graduation Day","W","U","81701","5.45","10298","7.70","28507","43.7%","52.9%","4976","52.3%","6814","50.6%","11790","51.3%","16647","54.0%","-2.7pp"
"Group Project","W","U","71534","4.36","17565","5.33","93765","82.1%","57.2%","16967","57.7%","23619","56.4%","40586","56.9%","53105","57.5%","-0.5pp"
"Harsh Annotation","W","U","89847","5.94","8642","9.35","14509","26.3%","51.0%","2456","47.8%","3669","51.8%","6125","50.2%","8295","51.6%","-1.4pp"
"Honorbound Page","W","C","232830","6.51","29934","9.40","80519","41.8%","54.7%","13693","51.4%","20213","54.3%","33906","53.2%","46428","55.7%","-2.6pp"
"Informed Inkwright","W","R","12639","1.82","7670","1.82","46465","91.8%","58.4%","8428","63.6%","12327","61.0%","20755","62.0%","25468","55.4%","6.7pp"
"Inkshape Demonstrator","W","U","72881","4.49","14758","5.69","74493","77.8%","56.8%","12713","57.2%","19355","56.5%","32068","56.8%","42241","56.8%","0.1pp"
"Interjection","W","C","244268","7.26","31801","10.35","57839","28.2%","56.0%","9479","54.6%","14499","56.8%","23978","55.9%","33697","55.9%","-0.0pp"
"Joined Researchers","W","R","32298","4.05","6643","5.16","31686","74.4%","56.1%","5766","56.2%","7950","54.5%","13716","55.2%","17936","56.7%","-1.5pp"
"Owlin Historian","W","C","226313","6.22","33977","8.69","132249","60.4%","56.2%","22958","55.2%","35082","55.8%","58040","55.6%","74280","56.6%","-1.0pp"
"Practiced Offense","W","R","12470","1.79","8412","1.75","51803","91.4%","59.7%","8828","63.1%","13762","66.1%","22590","64.9%","28847","55.4%","9.6pp"
"Primary Research","W","U","74158","4.61","14880","5.88","64077","67.6%","55.5%","10785","53.1%","17421","56.1%","28206","54.9%","35715","55.9%","-1.0pp"
"Quill-Blade Laureate","W","U","59634","3.64","15076","4.41","86627","88.4%","57.2%","15678","57.2%","21942","56.7%","37620","56.9%","48765","57.3%","-0.3pp"
"Rapier Wit","W","C","240890","7.05","30984","10.15","60991","30.6%","54.9%","10373","52.2%","15404","56.0%","25777","54.5%","34928","55.1%","-0.6pp"
"Rehearsed Debater","W","C","235099","6.64","33269","9.38","101470","47.6%","55.8%","17545","55.9%","24831","54.0%","42376","54.8%","58973","56.4%","-1.7pp"
"Restoration Seminar","W","M","7011","2.08","3627","2.03","18321","79.3%","55.4%","3057","54.4%","5154","59.6%","8211","57.7%","9909","53.2%","4.5pp"
"Shattered Acolyte","W","C","220649","5.89","35113","8.15","156094","68.7%","56.6%","28458","56.8%","38518","55.4%","66976","56.0%","88803","57.0%","-1.0pp"
"Soaring Stoneglider","W","U","74307","4.56","12921","6.01","61535","74.8%","54.5%","10528","51.9%","16417","55.1%","26945","53.8%","34601","55.0%","-1.2pp"
"Spiritcall Enthusiast","W","U","84635","5.46","12154","7.65","36096","46.6%","53.9%","6239","52.4%","8930","52.2%","15169","52.3%","20892","55.1%","-2.8pp"
"Stand Up for Yourself","W","U","65202","3.92","15828","4.84","88008","85.9%","56.7%","14844","54.9%","23747","58.8%","38591","57.3%","48775","56.1%","1.2pp"
"Stirring Hopesinger","W","R","11227","1.61","7727","1.58","47870","93.1%","58.9%","8464","63.6%","13071","63.0%","21535","63.2%","26146","55.2%","8.0pp"
"Stone Docent","W","C","212112","5.60","40603","7.34","211810","80.0%","57.4%","37894","58.0%","52588","55.8%","90482","56.7%","121198","57.9%","-1.2pp"
"Summoned Dromedary","W","U","78037","4.80","13815","6.43","60812","69.3%","55.0%","10200","53.2%","15838","55.0%","26038","54.3%","34944","55.5%","-1.2pp"
"Banishing Betrayal","U","C","229865","6.28","33827","8.94","122502","57.9%","53.1%","21744","50.9%","35761","58.2%","57505","55.4%","62287","50.7%","4.7pp"
"Brush Off","U","U","85560","5.35","17625","6.74","77969","70.0%","55.2%","13199","53.4%","23745","60.6%","36944","58.1%","38835","51.7%","6.3pp"
"Campus Composer","U","U","76720","4.66","13088","6.32","58117","71.8%","52.9%","9660","51.2%","17046","55.8%","26706","54.1%","30365","51.7%","2.5pp"
"Chase Inspiration","U","C","253637","7.99","31660","11.40","38088","19.3%","53.1%","6337","51.0%","10999","56.6%","17336","54.5%","20044","51.5%","3.0pp"
"Deluge Virtuoso","U","C","232744","6.53","28858","9.55","75791","42.3%","51.3%","13223","49.7%","21813","53.7%","35036","52.2%","39330","50.4%","1.9pp"
"Divergent Equation","U","U","80420","5.10","18994","6.10","88415","73.5%","55.3%","14698","51.4%","27720","61.7%","42418","58.1%","42790","51.4%","6.8pp"
"Echocasting Symposium","U","M","6045","1.77","3675","1.74","20031","86.4%","54.4%","3396","54.2%","6003","60.7%","9399","58.4%","9720","49.4%","9.0pp"
"Emeritus of Ideation","U","M","4816","1.40","3651","1.38","21336","89.2%","57.4%","3648","62.1%","6561","65.8%","10209","64.5%","10461","50.0%","14.5pp"
"Encouraging Aviator","U","U","84926","5.38","11184","7.56","34732","51.1%","50.1%","5975","47.6%","9713","52.3%","15688","50.6%","18579","49.6%","1.0pp"
"Essence Scatter","U","C","198902","5.16","40839","6.78","210771","82.0%","54.6%","36934","55.1%","61864","58.4%","98798","57.2%","106856","51.8%","5.4pp"
"Exhibition Tidecaller","U","R","17470","2.48","8277","2.47","46378","86.9%","56.3%","7967","57.2%","14409","62.9%","22376","60.9%","22586","51.0%","9.8pp"
"Flow State","U","U","62840","3.73","16561","4.58","88194","84.9%","54.4%","15664","53.2%","26472","59.3%","42136","57.0%","43627","51.5%","5.5pp"
"Fractal Anomaly","U","U","105038","7.32","12192","10.76","8200","10.8%","47.3%","1348","42.8%","2457","52.1%","3805","48.8%","4280","45.8%","3.0pp"
"Fractalize","U","U","102298","6.98","12375","10.16","16074","20.7%","50.5%","2691","47.4%","4506","54.2%","7197","51.7%","8580","49.0%","2.6pp"
"Harmonized Trio","U","R","25811","3.47","5843","4.11","22991","63.9%","51.7%","4063","53.6%","6565","53.6%","10628","53.6%","12006","49.9%","3.7pp"
"Homesickness","U","U","81868","4.99","15236","6.62","67774","71.0%","53.5%","11394","51.3%","20490","58.7%","31884","56.0%","33986","50.6%","5.5pp"
"Hydro-Channeler","U","C","218071","5.82","34958","8.12","157933","72.7%","53.4%","28464","54.6%","44912","55.2%","73376","55.0%","82781","52.1%","2.9pp"
"Jadzi, Steward of Fate","U","R","13778","1.94","7955","1.95","45831","90.4%","55.6%","8105","57.8%","13581","60.7%","21686","59.6%","23013","51.3%","8.3pp"
"Landscape Painter","U","C","229537","6.20","30908","8.97","107590","55.8%","52.3%","19177","50.7%","30920","55.2%","50097","53.5%","55952","51.2%","2.2pp"
"Mana Sculpt","U","R","27940","3.57","7403","4.22","35624","76.3%","54.4%","6053","53.7%","10905","60.1%","16958","57.8%","17670","50.5%","7.3pp"
"Mathemagics","U","M","8641","2.45","4201","2.43","22868","85.0%","56.8%","3953","53.5%","7392","65.8%","11345","61.5%","10368","49.9%","11.6pp"
"Matterbending Mage","U","U","62783","3.72","17993","4.52","100470","87.3%","55.7%","17711","55.2%","29557","60.4%","47268","58.4%","50770","52.9%","5.5pp"
"Muse Seeker","U","U","77812","4.77","13826","6.32","59726","69.9%","51.8%","10799","51.0%","16978","54.1%","27777","52.9%","31107","50.9%","2.0pp"
"Muse's Encouragement","U","C","245700","7.21","32515","10.30","72068","35.8%","51.2%","12067","48.5%","21599","55.1%","33666","52.8%","36907","49.5%","3.2pp"
"Orysa, Tide Choreographer","U","U","85135","5.22","12388","7.31","41045","53.7%","51.9%","6925","50.3%","11991","55.1%","18916","53.3%","21401","50.3%","3.0pp"
"Pensive Professor","U","R","14813","2.09","7398","2.11","41591","89.0%","54.7%","7271","57.4%","12224","59.6%","19495","58.7%","21192","50.7%","8.0pp"
"Procrastinate","U","C","238356","6.92","29728","10.09","68150","37.0%","51.3%","11623","48.2%","19681","55.0%","31304","52.5%","35251","50.0%","2.5pp"
"Quick Study","U","C","227780","6.22","33934","8.81","123843","58.2%","53.7%","21845","53.9%","36998","57.7%","58843","56.3%","62626","51.1%","5.2pp"
"Run Behind","U","C","224327","5.96","40184","8.10","182838","72.0%","55.0%","31264","54.1%","55029","59.5%","86293","57.5%","92708","52.5%","5.0pp"
"Skycoach Conductor","U","R","17815","2.44","6986","2.60","37320","84.3%","54.3%","6395","55.0%","11018","58.3%","17413","57.1%","19111","51.6%","5.5pp"
"Spellbook Seeker","U","C","238579","6.83","27237","10.12","51019","30.4%","50.2%","8709","47.7%","14992","52.9%","23701","51.0%","26637","49.3%","1.7pp"
"Tester of the Tangential","U","U","76638","4.72","12502","6.39","53965","69.9%","52.6%","9655","54.0%","14754","54.5%","24409","54.3%","28789","51.1%","3.2pp"
"Textbook Tabulator","U","C","242567","7.20","29116","10.57","50435","27.8%","50.9%","8835","50.3%","14396","53.7%","23231","52.4%","26523","49.5%","2.9pp"
"Wisdom of Ages","U","R","32694","4.13","8770","4.70","39846","71.5%","55.3%","6501","50.2%","13058","61.6%","19559","57.8%","18630","51.0%","6.8pp"
"Adventurous Eater","B","C","216070","5.67","27290","8.17","117079","67.4%","54.7%","20419","53.1%","28692","54.9%","49111","54.2%","67315","55.0%","-0.8pp"
"Arcane Omens","B","U","87736","5.90","20274","6.80","74503","57.6%","56.0%","12370","57.1%","22693","62.1%","35063","60.3%","37694","51.4%","8.9pp"
"Arnyn, Deathbloom Botanist","B","U","77228","4.88","9450","6.97","31798","54.3%","51.9%","5493","48.7%","7741","52.2%","13234","50.7%","18304","52.6%","-1.9pp"
"Burrog Banemaker","B","C","219026","5.88","26939","8.53","102736","59.9%","54.1%","18523","55.4%","24371","53.8%","42894","54.5%","59175","53.8%","0.6pp"
"Cheerful Osteomancer","B","C","228766","6.25","27069","9.20","80570","47.2%","52.7%","13428","48.5%","19847","53.4%","33275","51.4%","46425","53.4%","-2.0pp"
