"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"The Dawning Archaic","","M","8610","1.87","3755","1.86","19776","85.5%","52.1%","3148","47.4%","6408","56.9%","9556","53.8%","9820","49.8%","4.0pp"
"Rancorous Archaic","","C","329267","7.38","43763","10.59","77965","28.4%","51.3%","12871","48.8%","23987","56.2%","36858","53.6%","40280","49.0%","4.7pp"
"Sundering Archaic","","U","100403","4.46","27110","5.48","129992","74.9%","55.5%","21367","53.7%","40752","61.5%","62119","58.8%","64979","51.9%","6.9pp"
"Together as One","","R","18157","2.02","12556","1.95","72703","87.4%","58.1%","12221","61.4%","22093","67.8%","34314","65.5%","35464","49.5%","16.0pp"
"Transcendent Archaic","","U","117199","5.31","22822","7.06","85124","59.5%","53.7%","13983","51.9%","26283","59.6%","40266","56.9%","43426","50.2%","6.8pp"
"Ajani's Response","W","C","239033","4.60","50662","6.01","272525","83.0%","56.6%","46219","55.2%","75222","59.0%","121441","57.6%","148630","55.7%","1.8pp"
"Antiquities on the Loose","W","R","17889","1.93","11210","1.92","68157","90.7%","59.5%","12155","65.4%","18188","63.8%","30343","64.5%","37303","55.3%","9.1pp"
"Ascendant Dustspeaker","W","C","300176","6.25","45080","8.78","163074","56.1%","55.9%","26663","53.4%","44562","56.5%","71225","55.3%","91809","56.2%","-0.9pp"
"Daydream","W","U","126645","6.38","14801","9.49","21174","22.5%","51.2%","3517","47.8%","5314","49.7%","8831","48.9%","12292","52.8%","-3.8pp"
"Dig Site Inventory","W","C","278051","5.66","44319","7.77","192745","67.5%","55.9%","32398","54.9%","46755","55.7%","79153","55.4%","113212","56.2%","-0.8pp"
"Eager Glyphmage","W","C","298765","6.25","48358","8.60","184217","58.7%","56.7%","31250","55.8%","48069","56.3%","79319","56.1%","104366","57.2%","-1.1pp"
"Elite Interceptor","W","C","212699","4.20","61202","4.90","358983","89.2%","58.3%","65802","60.8%","93191","58.2%","158993","59.3%","198748","57.5%","1.8pp"
