"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"The Dawning Archaic","","M","8041","1.85","3545","1.83","18672","85.6%","52.0%","2996","47.4%","6045","56.9%","9041","53.7%","9267","49.7%","4.0pp"
"Rancorous Archaic","","C","310067","7.37","41333","10.58","74275","28.7%","51.4%","12231","48.7%","22873","56.4%","35104","53.7%","38365","49.1%","4.6pp"
"Sundering Archaic","","U","95002","4.49","25636","5.50","122395","74.7%","55.5%","20126","53.8%","38302","61.5%","58428","58.9%","61206","51.7%","7.1pp"
"Together as One","","R","17242","2.04","11882","1.97","68517","87.1%","58.0%","11514","61.5%","20808","67.8%","32322","65.5%","33415","49.5%","16.1pp"
"Transcendent Archaic","","U","110429","5.32","21565","7.07","80318","59.3%","53.7%","13170","51.9%","24738","59.7%","37908","57.0%","41060","50.3%","6.7pp"
"Ajani's Response","W","C","226459","4.63","47736","6.05","256094","82.7%","56.6%","43423","55.3%","70649","59.0%","114072","57.6%","139741","55.8%","1.8pp"
"Antiquities on the Loose","W","R","16941","1.94","10592","1.93","64291","90.6%","59.6%","11482","65.5%","17151","63.8%","28633","64.5%","35168","55.4%","9.1pp"
"Ascendant Dustspeaker","W","C","282865","6.27","42461","8.81","153114","56.0%","55.9%","25059","53.6%","41742","56.5%","66801","55.4%","86270","56.3%","-0.8pp"
"Daydream","W","U","118966","6.36","13968","9.46","20227","22.8%","51.2%","3374","47.7%","5080","49.7%","8454","48.9%","11724","52.8%","-3.8pp"
"Dig Site Inventory","W","C","262456","5.67","41783","7.80","181230","67.3%","55.9%","30503","54.9%","44005","55.9%","74508","55.5%","106357","56.2%","-0.8pp"
"Eager Glyphmage","W","C","281375","6.25","45555","8.59","173913","58.8%","56.7%","29507","55.8%","45402","56.3%","74909","56.1%","98500","57.1%","-1.1pp"
"Elite Interceptor","W","C","201644","4.22","57636","4.93","337438","89.0%","58.4%","61789","60.9%","87592","58.2%","149381","59.3%","186906","57.6%","1.8pp"
"Emeritus of Truce","W","M","7927","1.83","4367","1.82","24706","87.6%","56.8%","4379","59.7%","6575","58.2%","10954","58.8%","13652","55.2%","3.6pp"
"Ennis, Debate Moderator","W","U","104332","5.39","14033","7.59","43907","49.5%","52.9%","7806","48.5%","10997","51.4%","18803","50.2%","24997","54.9%","-4.7pp"
"Erode","W","R","23233","2.52","7552","2.77","40903","85.1%","55.6%","7023","53.1%","11067","58.4%","18090","56.3%","22460","54.8%","1.5pp"
"Graduation Day","W","U","102264","5.52","12726","7.91","33806","42.1%","52.6%","5951","52.0%","8045","50.0%","13996","50.8%","19729","53.8%","-3.0pp"
"Group Project","W","U","89116","4.38","21613","5.38","115445","82.1%","57.1%","20793","57.7%","29092","56.2%","49885","56.8%","65466","57.3%","-0.5pp"
"Harsh Annotation","W","U","112243","5.96","10695","9.41","17504","25.7%","51.1%","2947","47.7%","4423","51.5%","7370","50.0%","10021","51.8%","-1.8pp"
"Honorbound Page","W","C","289029","6.52","37219","9.43","98308","41.0%","54.5%","16725","51.4%","24742","54.1%","41467","53.0%","56628","55.6%","-2.6pp"
"Informed Inkwright","W","R","15612","1.82","9493","1.82","57444","91.7%","58.2%","10477","63.4%","15204","60.5%","25681","61.7%","31482","55.4%","6.3pp"
"Inkshape Demonstrator","W","U","90037","4.47","18292","5.69","92540","78.1%","56.6%","15714","57.0%","24234","56.4%","39948","56.6%","52373","56.5%","0.1pp"
"Interjection","W","C","302742","7.25","39753","10.32","73531","28.7%","55.8%","12101","54.6%","18530","56.5%","30631","55.7%","42683","55.9%","-0.1pp"
"Joined Researchers","W","R","40380","4.07","8224","5.22","39060","74.1%","55.8%","7114","55.6%","9752","54.3%","16866","54.8%","22155","56.5%","-1.7pp"
