"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"The Dawning Archaic","","M","9073","1.88","3908","1.87","20678","85.6%","52.2%","3312","47.6%","6670","57.1%","9982","54.0%","10280","49.9%","4.1pp"
"Rancorous Archaic","","C","344507","7.38","45710","10.60","81036","28.3%","51.3%","13391","48.8%","24917","56.2%","38308","53.6%","41869","49.0%","4.6pp"
"Sundering Archaic","","U","104957","4.45","28383","5.46","136490","75.1%","55.6%","22452","53.7%","42788","61.5%","65240","58.8%","68228","51.9%","6.9pp"
"Together as One","","R","18909","2.01","13140","1.95","76068","87.5%","58.1%","12824","61.5%","23095","67.9%","35919","65.6%","37079","49.5%","16.1pp"
"Transcendent Archaic","","U","122786","5.31","23890","7.07","89185","59.5%","53.7%","14660","52.0%","27508","59.5%","42168","56.9%","45512","50.2%","6.7pp"
"Ajani's Response","W","C","249071","4.58","53028","5.99","285787","83.1%","56.6%","48509","55.2%","78948","59.0%","127457","57.5%","155759","55.7%","1.8pp"
"Antiquities on the Loose","W","R","18667","1.92","11696","1.91","71095","90.7%","59.4%","12688","65.3%","19016","63.6%","31704","64.3%","38852","55.3%","9.0pp"
"Ascendant Dustspeaker","W","C","313870","6.23","47166","8.77","171102","56.3%","55.8%","27990","53.5%","46806","56.4%","74796","55.3%","96262","56.2%","-0.8pp"
"Daydream","W","U","132713","6.40","15450","9.51","21843","22.3%","51.1%","3638","47.7%","5488","49.7%","9126","48.9%","12664","52.7%","-3.8pp"
"Dig Site Inventory","W","C","290316","5.65","46244","7.76","201575","67.6%","55.9%","33878","54.8%","48997","55.8%","82875","55.4%","118300","56.1%","-0.7pp"
"Eager Glyphmage","W","C","312676","6.25","50573","8.60","192053","58.6%","56.7%","32548","55.7%","50108","56.2%","82656","56.0%","108851","57.1%","-1.0pp"
"Elite Interceptor","W","C","221401","4.18","63982","4.88","375552","89.2%","58.3%","68824","60.8%","97523","58.3%","166347","59.3%","207901","57.5%","1.8pp"
"Emeritus of Truce","W","M","8869","1.84","4832","1.83","27294","87.4%","56.7%","4823","59.3%","7306","58.1%","12129","58.5%","15056","55.1%","3.4pp"
