"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Agent 13, Sharon Carter","W","U","35673","2.95","14681","3.31","87451","92.6%","57.2%","15531","58.8%","23493","58.8%","39024","58.8%","48641","56.0%","2.8pp"
"Agent Maria Hill","W","U","44669","3.58","14538","4.17","79225","83.6%","58.2%","14016","62.4%","20167","57.5%","34183","59.5%","44937","57.3%","2.2pp"
"Agent of Atlas","W","C","176132","5.84","31146","8.13","128019","64.3%","56.6%","22908","57.6%","31140","54.7%","54048","55.9%","73811","57.1%","-1.2pp"
"Agent Phil Coulson","W","R","7472","1.57","5532","1.56","34316","94.7%","58.3%","6074","67.3%","9333","61.2%","15407","63.6%","18988","54.1%","9.5pp"
"Agents of S.H.I.E.L.D.","W","C","177187","5.93","28411","8.44","105052","58.1%","55.8%","18285","55.4%","27222","55.8%","45507","55.6%","59531","56.0%","-0.4pp"
"Avengers Assemble!","W","M","3417","1.49","2637","1.46","16257","93.6%","58.7%","2745","63.1%","4404","64.8%","7149","64.1%","9110","54.4%","9.7pp"
"Borough Backup","W","C","151280","4.72","36690","6.21","200537","84.8%","57.5%","36322","56.3%","53073","59.4%","89395","58.1%","111158","57.0%","1.2pp"
"Brave Brawler","W","C","146198","4.54","34260","5.97","197586","89.5%","57.5%","35209","58.5%","51886","57.5%","87095","57.9%","110526","57.3%","0.6pp"
"Captain America, Super-Soldier","W","M","3511","1.47","2523","1.47","15066","93.1%","57.0%","2643","59.3%","4222","59.4%","6865","59.4%","8320","55.0%","4.4pp"
"Captain America, Wings of Freedom","W","R","7397","1.53","5384","1.53","32857","94.5%","58.2%","5856","62.4%","8977","60.5%","14833","61.3%","18158","55.7%","5.5pp"
"Captain Marvel, Earth's Protector","W","M","2995","1.28","2623","1.27","17113","96.0%","61.0%","2851","64.9%","5001","70.3%","7852","68.3%","9310","54.9%","13.5pp"
"Captain Mar-Vell, Space-Born","W","U","56807","4.58","8660","6.55","34830","63.9%","54.4%","5780","51.9%","9545","55.3%","15325","54.0%","19687","54.5%","-0.5pp"
"Colleen Wing, Street Samurai","W","U","57044","4.56","9851","6.35","40409","64.5%","55.0%","7182","56.3%","9902","53.8%","17084","54.9%","23305","55.2%","-0.3pp"
"Crowd of True Believers","W","C","193228","7.08","29018","9.95","63744","34.4%","56.3%","11257","57.3%","15519","54.9%","26776","55.9%","36986","56.6%","-0.7pp"
"Helicarrier Strike","W","C","145305","4.45","30835","6.04","168905","85.2%","56.6%","29115","55.6%","45039","58.1%","74154","57.1%","94764","56.2%","0.9pp"
"Hero in Training","W","C","103359","3.40","41131","3.87","254862","94.1%","59.0%","45044","59.8%","69943","61.6%","114987","60.9%","139334","57.4%","3.4pp"
"Invisible Woman, Sue Storm","W","U","64178","5.59","7148","8.51","12522","28.6%","49.4%","2001","42.9%","3183","48.0%","5184","46.0%","7362","51.6%","-5.6pp"
"Jennifer Walters","W","M","3461","1.46","2647","1.44","16544","94.1%","59.5%","3001","64.5%","4599","64.1%","7600","64.3%","9020","55.4%","8.9pp"
"Kree Commandos","W","C","190677","7.01","22037","10.56","28026","20.1%","52.5%","4884","50.3%","6985","52.1%","11869","51.3%","16210","53.3%","-2.0pp"
"Luke Cage, Power Man","W","U","65278","5.56","7795","8.41","18459","37.8%","52.8%","3080","50.2%","4673","52.5%","7753","51.6%","10756","53.5%","-1.9pp"
"The Mind Stone","W","M","4417","1.89","2261","1.90","11658","83.2%","54.6%","2054","57.2%","3130","55.1%","5184","55.9%","6476","53.5%","2.4pp"
