"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"The Dawning Archaic","","M","6635","1.82","2984","1.79","15755","85.7%","52.5%","2532","48.0%","5105","57.2%","7637","54.1%","7813","50.2%","3.9pp"
"Rancorous Archaic","","C","261685","7.37","34981","10.57","63399","28.9%","51.7%","10404","48.9%","19450","56.7%","29854","54.0%","32817","49.4%","4.6pp"
"Sundering Archaic","","U","81330","4.55","21714","5.59","102647","74.1%","55.7%","16842","54.4%","31995","61.6%","48837","59.1%","51479","51.9%","7.2pp"
"Together as One","","R","14939","2.09","10105","2.02","58036","86.9%","58.2%","9726","61.6%","17582","68.0%","27308","65.7%","28396","49.8%","15.9pp"
"Transcendent Archaic","","U","93564","5.35","18250","7.10","66853","58.5%","53.9%","11002","52.1%","20526","59.9%","31528","57.2%","34160","50.4%","6.8pp"
"Ajani's Response","W","C","193837","4.71","39960","6.17","211759","81.8%","56.9%","35985","55.5%","58387","59.3%","94372","57.9%","115558","56.0%","1.9pp"
"Antiquities on the Loose","W","R","14271","1.95","8855","1.94","53552","90.4%","59.6%","9574","65.7%","14254","64.0%","23828","64.7%","29321","55.4%","9.3pp"
"Ascendant Dustspeaker","W","C","239449","6.30","35601","8.86","126864","55.3%","56.1%","20767","53.7%","34559","56.8%","55326","55.7%","71510","56.3%","-0.6pp"
"Daydream","W","U","99423","6.29","11777","9.32","18044","24.1%","51.6%","3020","48.0%","4530","50.3%","7550","49.4%","10452","53.1%","-3.7pp"
"Dig Site Inventory","W","C","222352","5.70","35266","7.84","151667","66.8%","56.2%","25561","55.2%","36783","56.0%","62344","55.7%","89025","56.4%","-0.7pp"
"Eager Glyphmage","W","C","236950","6.25","38346","8.58","145784","58.8%","56.8%","24784","56.0%","38025","56.4%","62809","56.2%","82560","57.2%","-1.0pp"
"Elite Interceptor","W","C","172788","4.28","48383","5.02","282196","88.7%","58.6%","51712","61.2%","73098","58.4%","124810","59.5%","156406","57.7%","1.8pp"
"Emeritus of Truce","W","M","6594","1.81","3668","1.81","20733","87.2%","57.3%","3671","60.4%","5472","58.8%","9143","59.5%","11505","55.5%","3.9pp"
"Ennis, Debate Moderator","W","U","86560","5.31","11870","7.42","38069","50.7%","53.0%","6781","48.7%","9509","51.8%","16290","50.5%","21687","54.9%","-4.4pp"
"Erode","W","R","19508","2.51","6312","2.77","33791","84.4%","55.7%","5827","53.2%","9165","58.4%","14992","56.4%","18506","54.9%","1.5pp"
"Graduation Day","W","U","85364","5.46","10712","7.73","29465","43.5%","52.8%","5153","52.4%","7044","50.4%","12197","51.2%","17196","53.9%","-2.7pp"
"Group Project","W","U","74722","4.37","18305","5.34","97704","82.1%","57.2%","17674","57.7%","24592","56.3%","42266","56.9%","55361","57.5%","-0.6pp"
"Harsh Annotation","W","U","94020","5.94","9033","9.36","15099","26.2%","51.0%","2550","47.9%","3834","51.8%","6384","50.2%","8622","51.5%","-1.3pp"
"Honorbound Page","W","C","243262","6.51","31272","9.41","83660","41.6%","54.7%","14244","51.6%","21057","54.2%","35301","53.2%","48164","55.8%","-2.6pp"
"Informed Inkwright","W","R","13177","1.82","7989","1.82","48446","91.8%","58.4%","8784","63.7%","12857","61.0%","21641","62.1%","26558","55.4%","6.7pp"
"Inkshape Demonstrator","W","U","75965","4.49","15408","5.70","77594","77.8%","56.7%","13199","57.1%","20215","56.5%","33414","56.8%","43991","56.7%","0.1pp"
"Interjection","W","C","255134","7.26","33308","10.35","60750","28.3%","56.0%","9946","54.7%","15272","56.7%","25218","55.9%","35358","55.9%","-0.0pp"
"Joined Researchers","W","R","33750","4.06","6944","5.17","33067","74.3%","56.1%","6023","55.9%","8289","54.5%","14312","55.1%","18724","56.8%","-1.7pp"
"Owlin Historian","W","C","236097","6.21","35469","8.68","138347","60.6%","56.1%","24037","55.3%","36702","55.7%","60739","55.6%","77682","56.6%","-1.0pp"
"Practiced Offense","W","R","12973","1.78","8795","1.74","54231","91.5%","59.6%","9233","62.9%","14428","66.2%","23661","64.9%","30177","55.2%","9.7pp"
