"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Long-Bodied Grey Dog","","C","56046","6.92","6324","10.32","8086","21.5%","51.6%","1393","52.3%","1970","51.8%","3363","52.0%","4721","51.3%","0.8pp"
"Old Thrush","","C","55314","6.94","6038","10.35","7878","22.2%","52.5%","1440","52.9%","1925","52.5%","3365","52.7%","4503","52.5%","0.2pp"
"Troop of Ponies","","U","18472","4.61","2739","6.46","9190","57.3%","53.1%","1714","55.0%","2275","53.1%","3989","53.9%","5183","52.4%","1.5pp"
"Belladonna Took","W","R","3414","2.93","932","3.09","3641","68.0%","52.0%","660","53.2%","1102","51.4%","1762","52.0%","1863","52.0%","0.1pp"
"Bilbo's Gambit","W","R","5586","4.72","761","6.80","1321","31.3%","49.1%","228","","340","","568","48.8%","753","49.4%","-0.6pp"
"Bofur, Reliable Guardian","W","U","15217","4.18","2904","5.35","13344","77.5%","55.3%","2339","53.5%","3414","57.0%","5753","55.6%","7528","54.9%","0.6pp"
"Celebrate the Mountain-king","W","U","10402","2.77","4143","3.08","22696","89.6%","58.6%","3904","59.5%","6393","64.3%","10297","62.5%","12382","55.4%","7.1pp"
"Dáin, Lord of the Iron Hills","W","U","14315","4.03","2913","5.01","12947","76.0%","54.3%","2300","53.8%","3380","54.8%","5680","54.4%","7218","54.2%","0.2pp"
"Dwarven Provisioner","W","C","51727","6.33","7748","8.77","26724","57.8%","55.1%","4717","54.6%","7051","55.3%","11768","55.0%","14878","55.0%","0.0pp"
"Dwarven Shortsword","W","C","48743","5.98","7143","8.41","24592","58.2%","54.7%","4162","52.8%","6157","53.8%","10319","53.4%","14140","55.5%","-2.1pp"
"Eagle of the Great Shelf","W","U","19155","5.54","2755","7.62","8103","50.6%","52.1%","1335","49.0%","2377","54.7%","3712","52.6%","4437","51.7%","1.0pp"
"The Eagles Are Coming!","W","R","2271","2.03","1278","2.01","6707","87.3%","56.5%","1169","55.0%","1909","61.7%","3078","59.2%","3633","54.2%","4.9pp"
"Esgaroth Garrison","W","C","55611","7.58","6791","10.91","7861","19.7%","53.0%","1286","51.1%","2376","56.4%","3662","54.5%","4219","51.9%","2.6pp"
"Fíli the Pathfinder","W","R","2225","1.96","1224","1.90","6676","87.3%","59.0%","1178","67.1%","1757","66.1%","2935","66.5%","3688","52.9%","13.6pp"
"Gleaming Splendor","W","M","2049","3.57","266","5.04","332","21.1%","","68","","75","","143","","189","",""
"Iron Hills Blacksmith","W","U","12577","3.39","3378","4.02","17794","86.9%","57.0%","3305","58.1%","4601","58.8%","7906","58.5%","9849","55.9%","2.6pp"
"Kíli the Resourceful","W","R","2745","2.41","1230","2.34","6253","83.3%","58.1%","1161","67.0%","1526","60.6%","2687","63.3%","3513","53.9%","9.4pp"
"Lake-town Lookout","W","C","54594","7.16","6548","10.28","10995","28.2%","52.1%","1997","51.3%","3169","52.6%","5166","52.1%","5826","52.1%","0.0pp"
"Lake-town Toymaker","W","U","20344","6.01","3178","7.97","8129","43.6%","53.9%","1371","51.2%","2578","57.1%","3949","55.0%","4187","52.9%","2.1pp"
"Magnificent End","W","C","42126","4.76","7460","6.40","34271","77.4%","55.2%","5857","54.1%","9555","57.0%","15412","55.9%","18866","54.7%","1.2pp"
"Moment of Glory","W","C","55427","7.42","6239","10.90","7288","19.8%","50.6%","1283","47.5%","2038","52.8%","3321","50.8%","3973","50.5%","0.3pp"
"The Mountain-king's Return","W","U","12620","3.47","3777","3.96","19304","85.3%","57.9%","3388","60.3%","5441","61.6%","8829","61.1%","10470","55.2%","5.9pp"
"Ori, Keeper of Songs","W","C","52423","6.73","6745","9.67","18022","44.8%","54.7%","3080","55.6%","4459","53.8%","7539","54.5%","10410","54.6%","-0.1pp"
"The Queen of Dale","W","M","1160","2.03","520","2.03","2454","81.3%","55.8%","437","","669","57.5%","1106","59.0%","1351","53.0%","6.0pp"
"Roads Go Ever, Ever On","W","R","3615","3.06","1037","3.32","4550","74.2%","55.9%","794","57.2%","1248","56.7%","2042","56.9%","2508","55.1%","1.8pp"
"Settle the Wreckage","W","R","2607","2.27","1057","2.31","5331","84.2%","56.4%","898","55.1%","1546","61.6%","2444","59.2%","2887","54.1%","5.1pp"
"Stone by Sunlight","W","U","12044","3.25","3718","3.76","19736","88.6%","57.3%","3332","56.4%","5479","62.6%","8811","60.3%","10925","54.9%","5.3pp"
"Thorin's Last Stand","W","C","56117","7.58","6178","11.12","5151","14.2%","49.2%","831","45.5%","1354","50.5%","2185","48.6%","2968","49.7%","-1.1pp"
"An Unexpected Party","W","R","2071","1.79","1327","1.76","7395","90.3%","58.9%","1311","63.8%","2085","67.0%","3396","65.8%","3996","53.0%","12.8pp"
"Velvetwing Butterflies","W","C","52836","6.66","6201","9.61","13366","37.0%","52.9%","2238","47.7%","3572","55.8%","5810","52.7%","7573","53.1%","-0.4pp"
"Vow to Erebor","W","C","55813","7.65","6119","11.18","6888","19.1%","52.3%","1105","51.3%","1571","52.1%","2676","51.8%","4212","52.7%","-0.9pp"
"Bilbo, Luckwearer","U","U","13205","3.65","3836","4.11","19808","85.3%","55.7%","3415","58.5%","6111","60.4%","9526","59.7%","10191","52.0%","7.7pp"
"Bilbo, Thief in the Night","U","M","1278","2.31","525","2.39","2410","77.9%","54.2%","409","","780","58.3%","1189","57.2%","1206","51.2%","6.0pp"
"Bilbo Baggins, Burglar","U","C","42934","5.13","9499","6.29","43110","75.7%","55.0%","7653","55.8%","12901","58.6%","20554","57.6%","22203","52.7%","4.9pp"
"Confusticate and Bebother","U","C","52475","6.72","7197","9.39","18765","44.0%","52.0%","3289","51.3%","5528","55.0%","8817","53.6%","9945","50.5%","3.1pp"
"Elrond, Moon-Reader","U","M","1296","2.42","455","2.47","1635","64.0%","50.3%","304","","471","","775","52.9%","856","48.0%","4.9pp"
"Elven Raft-Steerer","U","U","20091","6.01","2418","8.78","4886","34.8%","48.1%","890","45.3%","1226","49.9%","2116","48.0%","2741","48.0%","-0.0pp"
"Elvenking's Harper","U","C","56433","7.81","7159","11.04","10121","24.0%","50.8%","1770","50.3%","2799","53.7%","4569","52.4%","5510","49.3%","3.1pp"
"Enchanted River's Grasp","U","C","43286","5.03","7447","6.64","33750","77.6%","53.2%","5731","50.5%","10178","57.6%","15909","55.1%","17687","51.6%","3.5pp"
"Fateful Discovery","U","M","3075","5.05","380","7.71","14","0.7%","","2","","3","","5","","10","",""
"Gandalf, Wandering Wizard","U","C","55837","7.72","6780","11.03","7117","17.9%","50.3%","1144","49.6%","2235","55.1%","3379","53.2%","3774","48.0%","5.3pp"
"Great Gilded Boat","U","R","2824","2.57","1359","2.62","7285","87.1%","57.0%","1293","63.3%","2258","61.2%","3551","61.9%","3750","52.4%","9.6pp"
"Lakeshore Apothecary","U","C","48259","6.12","8899","7.84","39128","73.9%","55.4%","7038","57.5%","12600","58.1%","19638","57.9%","19510","52.9%","5.0pp"
"Lake-town Mariners","U","U","20950","6.08","2928","8.60","6285","36.9%","50.6%","1058","47.2%","1871","54.7%","2929","52.0%","3340","49.3%","2.7pp"
"Long Lake Nuisance","U","C","51313","6.57","8763","8.52","31693","60.7%","55.5%","5433","55.2%","10260","59.9%","15693","58.2%","16021","52.8%","5.5pp"
"The Lord of the Eagles","U","R","3829","3.49","892","4.07","2925","57.0%","51.6%","515","51.1%","876","53.8%","1391","52.8%","1532","50.3%","2.5pp"
"Master's Councillors","U","U","18506","5.30","3696","6.60","16002","71.8%","55.2%","2825","55.5%","5218","59.4%","8043","58.1%","7980","52.4%","5.6pp"
"Mirkwood Meditator","U","C","57404","8.46","6344","12.23","2084","5.6%","47.8%","374","","541","48.4%","915","49.2%","1166","46.8%","2.4pp"
"Most Decrepit Old Bird","U","R","5080","4.07","1034","5.09","3321","54.4%","52.8%","546","53.3%","1010","57.0%","1556","55.7%","1761","50.3%","5.5pp"
"Old Fat Spider Can't See Me","U","U","18219","5.21","3047","6.91","9520","53.7%","51.7%","1598","49.0%","2841","55.2%","4439","53.0%","5048","50.6%","2.4pp"
"Plunder the Trollshaws","U","C","48625","5.93","8390","7.87","34774","69.1%","55.3%","6165","55.4%","10684","59.5%","16849","58.0%","17923","52.7%","5.3pp"
"Ravenhill Flock","U","U","18003","5.22","2402","7.26","7306","51.8%","50.4%","1176","47.9%","2262","54.5%","3438","52.2%","3876","48.8%","3.4pp"
"Riddles in the Dark","U","R","4845","4.09","921","4.97","2898","55.1%","51.1%","519","49.7%","830","52.0%","1349","51.1%","1549","51.1%","0.1pp"
"Roll-Roll-Roll-Roll","U","R","5735","4.70","929","6.24","1692","32.5%","45.2%","283","","473","","756","41.3%","928","48.2%","-6.9pp"
"Sound the Trumpets","U","U","21001","6.16","3028","8.47","6589","37.0%","51.3%","1132","50.6%","2042","55.6%","3174","53.8%","3414","48.9%","5.0pp"
"Thranduil's Decree","U","U","21130","6.18","2994","8.71","5971","33.8%","50.8%","974","48.7%","1844","54.2%","2818","52.3%","3153","49.4%","2.8pp"
"Uncover the Moon-Letters","U","R","6929","5.78","931","8.73","333","6.1%","","52","","106","","158","","176","",""
"Uneasy Partings","U","C","51462","6.52","8961","8.62","31602","59.3%","53.9%","5293","50.5%","9710","58.1%","15003","55.4%","16598","52.6%","2.9pp"
"Wizard's Staff","U","R","5913","4.93","770","7.16","627","14.1%","43.9%","100","","165","","265","","360","",""
"Along the Crooked Way","B","R","3590","3.08","1051","3.44","4296","70.5%","55.1%","752","50.4%","984","55.2%","1736","53.1%","2556","56.5%","-3.4pp"
"Azog, Moria's Ruin","B","R","2749","2.34","1156","2.46","5915","85.9%","54.8%","1049","51.6%","1375","55.1%","2424","53.6%","3486","55.7%","-2.1pp"
"Bilbo's Deadly Slice","B","C","26635","3.01","8277","3.64","47121","93.4%","57.3%","8047","55.7%","10564","59.7%","18611","58.0%","28523","56.8%","1.2pp"
"Crude Bent Blade","B","C","35811","3.99","9894","4.82","53995","87.3%","59.2%","9342","60.5%","12124","61.2%","21466","60.9%","32458","58.1%","2.9pp"
"Desolation Prowler","B","U","11204","3.10","4531","3.45","26270","91.6%","59.9%","4802","65.4%","5778","60.0%","10580","62.4%","15725","58.3%","4.2pp"
"Down, Down to Goblin-town","B","U","12961","3.48","4509","3.92","23915","85.5%","58.6%","4167","60.7%","5389","58.5%","9556","59.5%","14338","58.0%","1.5pp"
"Dreaded Bat-Cloud","B","U","14988","3.96","3195","5.10","15503","80.2%","56.8%","2527","56.0%","3575","57.6%","6102","56.9%","9427","56.6%","0.3pp"
"Front Porch Sentries","B","C","51912","6.06","8066","8.66","24638","50.4%","56.2%","4451","55.4%","5539","56.2%","9990","55.8%","14646","56.5%","-0.6pp"
"Gathering of Darkness","B","U","14906","3.97","3761","4.82","18269","80.2%","56.6%","2997","53.7%","4169","56.2%","7166","55.1%","11106","57.6%","-2.4pp"
"Gnashing of Teeth","B","U","10362","2.79","3607","3.19","20138","91.4%","56.4%","3524","55.5%","4393","57.0%","7917","56.3%","12227","56.4%","-0.1pp"
"Gollum, Riddle Master","B","M","932","1.56","649","1.54","3665","92.2%","59.8%","624","70.0%","847","60.3%","1471","64.4%","2166","56.9%","7.6pp"
"Gollum, Silent Slinker","B","C","46766","5.42","8667","7.17","37827","71.0%","58.7%","6414","58.9%","8500","59.9%","14914","59.5%","22720","58.3%","1.2pp"
"Gollum the Abandoned","B","U","17307","4.57","3625","5.87","15903","71.4%","57.2%","2811","57.7%","3605","56.7%","6416","57.1%","9446","57.4%","-0.3pp"
"Great Fierce Bee","B","C","54330","6.78","6392","10.16","9585","24.9%","53.8%","1644","52.2%","2205","54.5%","3849","53.5%","5754","54.0%","-0.5pp"
"Great Ugly-Looking Goblin","B","U","13411","3.60","3653","4.37","19773","88.0%","56.9%","3502","56.3%","4396","57.0%","7898","56.7%","11861","57.1%","-0.4pp"
"Head of the Hunt","B","R","1918","1.68","1301","1.66","7509","93.1%","58.1%","1229","59.8%","1783","61.4%","3012","60.8%","4499","56.3%","4.4pp"
"Inside Information","B","M","1502","2.63","488","2.75","2315","76.0%","54.2%","421","","572","52.1%","993","51.2%","1322","56.4%","-5.3pp"
"The Master of Lake-town","B","R","3483","2.88","1078","3.16","4845","75.2%","55.7%","840","54.3%","1096","55.0%","1936","54.7%","2910","56.4%","-1.7pp"
"Nighthowl Pursuer","B","U","15720","4.26","3751","5.21","18067","77.5%","58.6%","3197","63.0%","3909","56.4%","7106","59.4%","10959","58.2%","1.2pp"
"Rage into the Valley","B","C","45389","5.07","9663","6.71","46567","78.4%","57.5%","7992","56.4%","10516","56.4%","18508","56.4%","28061","58.2%","-1.8pp"
"Ravening Warg","B","C","44485","5.03","7604","7.01","35598","76.4%","57.9%","6310","58.3%","7699","57.5%","14009","57.9%","21573","58.0%","-0.1pp"
"Reverent Howl","B","C","52751","6.27","6928","9.31","16279","38.9%","54.8%","2729","52.5%","3535","54.6%","6264","53.7%","10017","55.6%","-1.9pp"
"Rhovanion Rampager","B","R","2069","1.81","1272","1.83","7289","92.9%","57.8%","1290","63.0%","1663","58.9%","2953","60.7%","4365","55.8%","4.9pp"
"The Sackville-Bagginses","B","R","2914","2.51","1265","2.65","6712","86.4%","57.7%","1158","57.8%","1558","61.6%","2716","60.0%","3960","56.3%","3.6pp"
"Stir Up Trouble","B","C","40188","4.39","8948","5.77","46423","85.5%","56.8%","7905","54.7%","10477","59.1%","18382","57.2%","28060","56.6%","0.6pp"
"Stony-Voiced Goblins","B","C","46609","5.18","9389","6.99","43833","76.7%","57.3%","7896","57.2%","9931","56.6%","17827","56.9%","25980","57.5%","-0.7pp"
"Supper for Spiders","B","R","6659","5.35","828","8.03","512","10.5%","47.5%","80","","110","","190","","323","",""
"Balin, Loremaster","R","R","3903","3.28","849","3.96","3434","67.6%","54.5%","599","47.6%","781","54.5%","1380","51.5%","2040","56.3%","-4.8pp"
"Bombur, Gentle Dreamer","R","U","18376","5.04","3106","6.83","11688","63.2%","55.1%","1994","55.4%","2720","54.3%","4714","54.8%","6909","55.3%","-0.6pp"
"Bothersome Noisemaker","R","U","12058","3.23","4443","3.55","25319","90.5%","60.0%","4604","64.4%","5776","60.7%","10380","62.4%","14951","58.3%","4.0pp"
"Burn, Burn, Tree and Fern","R","U","10960","2.93","4082","3.26","22669","90.1%","58.0%","3762","58.5%","5255","61.1%","9017","60.0%","13645","56.6%","3.4pp"
"Dáin Ironfoot","R","R","2318","2.03","1272","2.05","7247","92.4%","59.3%","1250","64.3%","1643","62.3%","2893","63.2%","4330","56.6%","6.5pp"
"Desert Were-Worm","R","R","3930","3.46","794","4.17","2594","55.1%","51.3%","443","","563","45.8%","1006","46.8%","1595","54.2%","-7.4pp"
"Desolation of Smaug","R","R","4342","3.80","910","4.47","2604","48.2%","53.0%","453","","625","54.6%","1078","53.0%","1526","52.9%","0.0pp"
"Dori, Bearer of Friends","R","C","45900","5.16","8018","7.12","36384","75.5%","57.0%","6493","57.8%","8415","57.3%","14908","57.6%","21389","56.6%","0.9pp"
"Dwarven Mauler","R","U","17267","4.64","3404","5.96","15323","73.4%","57.6%","2779","59.6%","3506","55.2%","6285","57.1%","9006","58.0%","-0.9pp"
"Gandalf, Goblins' Bane","R","M","1012","1.91","524","1.86","2616","84.8%","55.8%","442","","623","57.5%","1065","56.3%","1554","55.4%","0.9pp"
"Gandalf, Spark Starter","R","U","16243","4.39","3887","5.44","17187","72.1%","58.0%","2875","56.7%","4093","61.6%","6968","59.6%","10232","56.9%","2.7pp"
"Getaway Barrel","R","R","7373","5.82","897","9.18","171","3.3%","","30","","43","","73","","98","",""
"Glóin the Mighty","R","U","14830","3.98","2843","5.26","13196","77.0%","56.1%","2269","56.9%","3123","57.3%","5392","57.1%","7755","55.2%","1.9pp"
"Goblin-town Flunkies","R","C","50313","5.96","8272","8.25","31371","62.3%","56.0%","5388","54.7%","7035","54.0%","12423","54.3%","18956","57.1%","-2.8pp"
"Gundabad Opportunist","R","C","52435","6.27","9147","8.66","34227","61.8%","57.3%","5954","56.3%","7949","57.1%","13903","56.7%","20349","57.8%","-1.0pp"
