"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Agent 13, Sharon Carter","W","U","42183","2.90","17569","3.24","105247","92.8%","57.1%","18584","58.6%","28389","58.5%","46973","58.5%","58530","55.9%","2.6pp"
"Agent Maria Hill","W","U","53795","3.56","17384","4.16","95051","83.9%","58.0%","16803","62.3%","24175","57.2%","40978","59.3%","53947","57.1%","2.1pp"
"Agent of Atlas","W","C","211606","5.80","37339","8.08","155536","64.8%","56.4%","27766","57.4%","37977","54.6%","65743","55.7%","89583","57.0%","-1.2pp"
"Agent Phil Coulson","W","R","8895","1.56","6610","1.56","41200","94.9%","58.2%","7307","67.0%","11211","61.1%","18518","63.4%","22787","54.1%","9.4pp"
"Agents of S.H.I.E.L.D.","W","C","211582","5.84","33872","8.35","129095","59.7%","55.7%","22497","55.2%","33488","55.6%","55985","55.5%","73095","55.8%","-0.4pp"
"Avengers Assemble!","W","M","4120","1.49","3181","1.46","19681","93.8%","58.5%","3332","62.9%","5300","64.9%","8632","64.2%","11052","54.1%","10.1pp"
"Borough Backup","W","C","178551","4.61","43995","6.07","243477","85.6%","57.2%","44015","56.1%","64647","59.1%","108662","57.9%","134835","56.6%","1.2pp"
"Brave Brawler","W","C","172865","4.44","41219","5.83","239770","90.1%","57.3%","42748","58.2%","63268","57.3%","106016","57.7%","133786","57.1%","0.6pp"
"Captain America, Super-Soldier","W","M","4275","1.48","3057","1.49","18299","93.5%","56.7%","3238","59.2%","5128","59.1%","8366","59.1%","10081","54.5%","4.6pp"
"Captain America, Wings of Freedom","W","R","8796","1.52","6430","1.53","39350","94.5%","58.1%","7033","62.4%","10856","60.5%","17889","61.3%","21631","55.5%","5.8pp"
"Captain Marvel, Earth's Protector","W","M","3549","1.26","3116","1.25","20352","95.9%","61.0%","3440","65.0%","5937","70.0%","9377","68.2%","11044","54.8%","13.3pp"
"Captain Mar-Vell, Space-Born","W","U","69374","4.65","10289","6.73","40451","62.3%","54.1%","6719","51.8%","11065","55.1%","17784","53.9%","22872","54.2%","-0.4pp"
"Colleen Wing, Street Samurai","W","U","69462","4.58","11774","6.41","48448","64.5%","55.0%","8606","56.4%","11978","53.9%","20584","55.0%","27843","55.0%","-0.1pp"
"Crowd of True Believers","W","C","232564","7.05","34655","9.94","76762","34.6%","56.1%","13520","57.3%","18674","54.6%","32194","55.7%","44589","56.3%","-0.6pp"
"Helicarrier Strike","W","C","173582","4.39","36630","5.99","201640","85.5%","56.4%","34688","55.1%","53893","57.9%","88581","56.8%","113075","56.0%","0.8pp"
"Hero in Training","W","C","120919","3.31","49176","3.76","304945","94.2%","58.7%","54015","59.5%","83790","61.2%","137805","60.5%","166476","57.1%","3.4pp"
"Invisible Woman, Sue Storm","W","U","78262","5.68","8513","8.72","14146","27.0%","49.2%","2255","43.0%","3561","48.1%","5816","46.1%","8354","51.3%","-5.2pp"
"Jennifer Walters","W","M","4171","1.46","3213","1.43","20139","94.4%","59.1%","3622","64.2%","5611","63.9%","9233","64.0%","11009","55.0%","9.0pp"
"Kree Commandos","W","C","230166","7.04","26273","10.63","32451","19.5%","52.5%","5593","50.3%","8101","52.0%","13694","51.3%","18815","53.5%","-2.2pp"
"Luke Cage, Power Man","W","U","79653","5.63","9207","8.56","20735","35.9%","52.4%","3522","49.7%","5259","52.3%","8781","51.3%","12015","53.1%","-1.8pp"
"The Mind Stone","W","M","5384","1.89","2741","1.92","14079","83.0%","54.7%","2498","57.1%","3778","55.5%","6276","56.1%","7805","53.5%","2.6pp"
"Mockingbird, Ace Agent","W","U","75393","5.25","9087","7.89","21949","38.8%","51.9%","3700","48.9%","5539","51.2%","9239","50.3%","12759","52.9%","-2.6pp"
"Monica Rambeau","W","M","3904","1.41","3146","1.39","19460","95.0%","57.8%","3483","61.1%","5372","64.0%","8855","62.9%","10581","53.5%","9.3pp"
"Murdock's Crusade","W","C","144579","3.86","40221","4.74","235082","89.6%","57.7%","39856","57.2%","63811","61.3%","103667","59.7%","131499","56.2%","3.5pp"
"Nick Fury, Agent of S.H.I.E.L.D.","W","R","28068","4.23","6277","5.48","24524","61.5%","56.0%","4327","57.0%","6217","56.2%","10544","56.6%","13947","55.6%","1.0pp"
"Night Nurse, Healer of Heroes","W","U","44065","2.85","16755","3.35","99809","92.9%","56.7%","17501","56.0%","26553","58.6%","44054","57.6%","55654","56.0%","1.6pp"
"Okoye, Dora Milaje Leader","W","U","49878","3.23","15998","3.85","91111","88.5%","56.8%","15651","57.2%","24404","59.0%","40055","58.3%","50910","55.7%","2.7pp"
"Origin of the Avengers","W","R","11376","1.92","5961","1.97","33960","90.4%","55.8%","6090","57.8%","8921","57.5%","15011","57.7%","18949","54.3%","3.4pp"
"Panther Pounce","W","C","232563","6.96","30846","10.22","55589","28.2%","54.1%","9149","50.4%","14176","56.3%","23325","54.0%","32274","54.2%","-0.2pp"
"Patriot, Shield Wielder","W","U","55915","3.58","15922","4.43","92919","91.0%","56.6%","16610","57.3%","24119","56.9%","40729","57.1%","52251","56.3%","0.8pp"
"Political Triumph","W","U","49144","3.38","16102","3.82","90091","86.5%","57.4%","15910","63.7%","23124","56.1%","39034","59.2%","51024","56.0%","3.2pp"
"Quake, Agent of S.H.I.E.L.D.","W","U","71220","4.68","12317","6.51","51854","66.0%","55.3%","9015","54.7%","13401","55.3%","22416","55.1%","29478","55.5%","-0.5pp"
"Raft Security Officer","W","C","178609","4.78","43450","6.16","242223","86.5%","57.2%","43107","56.8%","64575","57.5%","107682","57.2%","135126","57.2%","-0.0pp"
"Red Guardian, Super-Soldier","W","U","44338","2.93","15406","3.42","91445","92.1%","57.0%","15993","57.1%","24628","59.3%","40621","58.4%","50853","55.8%","2.7pp"
"The Sentry, Golden Guardian","W","R","13516","2.34","4271","2.45","21442","81.0%","53.3%","3744","51.5%","5887","53.6%","9631","52.8%","11949","53.2%","-0.4pp"
"S.H.I.E.L.D. Spy Kit","W","C","188712","5.29","40872","6.75","197768","75.2%","56.9%","34303","57.9%","51774","57.8%","86077","57.8%","111673","56.2%","1.7pp"
"Super Villain Lockup","W","U","39833","2.64","12671","3.15","73383","91.5%","55.2%","12511","54.3%","19666","57.4%","32177","56.2%","41211","54.4%","1.8pp"
"Super-Soldier Serum","W","R","18702","3.10","3524","3.81","15097","69.8%","52.3%","2580","52.2%","3876","54.5%","6456","53.6%","8645","51.4%","2.2pp"
"Take Up the Shield","W","C","168399","4.33","38303","5.78","214444","86.7%","56.9%","35834","55.3%","57325","60.3%","93159","58.4%","121335","55.7%","2.7pp"
"Wakandan Drone Flock","W","C","214017","5.89","38262","8.10","152825","61.9%","56.8%","26018","54.8%","42337","58.6%","68355","57.1%","85161","56.6%","0.6pp"
"Web Up","W","C","93483","2.57","40432","2.95","249032","95.1%","57.2%","42525","56.6%","68436","61.0%","110961","59.3%","138082","55.4%","3.9pp"
"White Widow, Free Agent","W","U","55887","3.57","13002","4.58","69987","84.9%","55.3%","11904","52.6%","18532","57.0%","30436","55.3%","39484","55.3%","-0.0pp"
"Aerial Doombot","U","C","195636","5.21","36809","7.21","179847","76.5%","56.2%","31995","57.0%","49355","57.6%","81350","57.4%","98839","55.2%","2.2pp"
"A.I.M. Scientists","U","C","210294","5.59","40203","7.80","171999","66.8%","56.2%","31408","55.6%","48175","57.5%","79583","56.8%","92686","55.7%","1.0pp"
"Atlantean Cavalry","U","C","228012","7.03","29355","10.30","51460","28.0%","52.3%","9047","52.1%","14888","53.1%","23935","52.7%","27637","51.9%","0.8pp"
"Atlantis Attacks","U","C","202579","5.52","39708","7.57","170553","67.5%","56.0%","28146","53.0%","48468","59.0%","76614","56.8%","94052","55.4%","1.4pp"
"Attuma, Atlantean Warlord","U","U","80432","5.60","13452","7.76","38156","45.3%","53.8%","6440","54.5%","11094","55.1%","17534","54.9%","20836","52.9%","2.0pp"
"Bold Biochemist","U","C","207672","5.63","43676","7.56","214936","76.5%","57.0%","38253","55.2%","60001","58.7%","98254","57.4%","116920","56.6%","0.7pp"
"Bruce Banner","U","M","5175","1.88","3262","1.81","19030","91.6%","57.2%","3427","62.4%","5281","59.6%","8708","60.7%","10392","54.4%","6.2pp"
"Depower","U","C","226106","6.53","35512","9.30","95651","42.5%","55.0%","16413","53.3%","26783","57.7%","43196","56.1%","52473","54.2%","1.9pp"
"Echo, Perceptive Prodigy","U","U","80379","5.51","14004","7.59","51001","57.6%","54.3%","8855","51.2%","13969","54.0%","22824","52.9%","28232","55.4%","-2.5pp"
"Falcon, Winged Wonder","U","U","52630","3.44","18346","4.02","104718","88.0%","57.8%","17835","57.1%","30325","61.3%","48160","59.7%","56835","56.1%","3.6pp"
"Falcon's Wing Harness","U","U","67637","4.38","14098","5.80","66518","74.2%","55.8%","11217","54.5%","18291","59.2%","29508","57.4%","36983","54.5%","2.9pp"
"Frozen in Ice","U","C","136795","3.56","37534","4.57","219506","91.6%","56.1%","37347","53.9%","62382","59.4%","99729","57.4%","119802","55.1%","2.3pp"
"Futurist Forge","U","C","199219","5.39","37578","7.40","172038","71.6%","56.4%","30900","56.0%","47539","59.1%","78439","57.9%","93516","55.2%","2.7pp"
"Giant-Sized Flying Ant","U","C","220044","6.27","38946","8.64","137058","55.1%","56.6%","23166","54.0%","39306","59.8%","62472","57.7%","74887","55.8%","1.9pp"
"Hydraulic Helper","U","C","229564","7.17","32654","10.15","72171","35.0%","54.0%","12971","54.4%","18924","54.7%","31895","54.6%","40236","53.6%","1.0pp"
"I Am Iron Man","U","C","230875","7.05","34563","10.02","77284","35.3%","54.5%","12930","52.7%","21289","57.2%","34219","55.5%","43087","53.7%","1.8pp"
"Iron Lad, Diverging Destiny","U","U","64859","4.38","11718","5.82","51868","70.4%","54.2%","9076","54.1%","14189","55.4%","23265","54.9%","28697","53.5%","1.4pp"
"Ironheart, Clever Champion","U","R","23583","3.89","4326","4.97","16310","61.1%","51.9%","2739","50.2%","4641","54.0%","7380","52.6%","9014","51.3%","1.2pp"
"Justice, Vance Astrovik","U","U","36753","2.54","19760","2.73","123237","94.2%","59.0%","21650","61.4%","35394","63.9%","57044","63.0%","66229","55.6%","7.3pp"
"Kang the Conqueror","U","M","4378","1.56","3125","1.54","18648","92.9%","57.4%","3220","56.7%","5533","63.9%","8753","61.3%","10049","53.8%","7.5pp"
"Kid Loki","U","U","74636","5.02","11581","7.08","40478","56.1%","53.0%","7126","54.3%","11562","53.3%","18688","53.7%","21797","52.3%","1.3pp"
"Leader, Super-Genius","U","R","9505","1.65","7349","1.62","46316","94.9%","59.6%","8070","67.3%","13638","67.9%","21708","67.6%","25007","52.8%","14.8pp"
"Loki, God of Mischief","U","R","12325","2.12","6386","2.15","36929","90.0%","56.3%","6638","58.9%","10270","58.7%","16908","58.8%","20176","54.3%","4.4pp"
"Mister Fantastic, Reed Richards","U","U","83959","5.95","12026","8.49","26118","34.5%","53.0%","4528","51.0%","7204","53.8%","11732","52.7%","14477","53.2%","-0.5pp"
"Ms. Marvel, Kamala Khan","U","R","21715","3.57","4813","4.30","17160","56.0%","54.2%","3009","56.2%","4785","54.6%","7794","55.2%","9425","53.2%","2.0pp"
"Multiversal Incursion","U","M","9732","3.28","2522","3.76","9691","64.1%","50.6%","1608","47.2%","2677","53.8%","4285","51.3%","5412","50.1%","1.3pp"
"Namor the Sub-Mariner","U","M","7674","2.69","2590","2.83","11281","69.7%","53.9%","1937","55.1%","3213","57.0%","5150","56.3%","6211","51.9%","4.4pp"
"Pym Particles","U","U","87048","6.12","11102","9.10","23263","33.6%","51.3%","3957","48.3%","6143","54.5%","10100","52.1%","13169","50.7%","1.4pp"
"Rewrite History","U","U","91512","6.81","11218","10.07","10682","15.3%","50.1%","1829","45.6%","2966","50.0%","4795","48.3%","5879","51.6%","-3.3pp"
"Secret Invasion","U","R","13268","2.25","6591","2.35","38160","89.8%","56.8%","6413","54.7%","10836","62.3%","17249","59.4%","20918","54.6%","4.9pp"
"S.H.I.E.L.D. Deployment Drone","U","C","143961","3.78","47981","4.60","286235","91.8%","57.7%","50472","58.7%","81113","60.2%","131585","59.6%","154818","56.1%","3.5pp"
"S.H.I.E.L.D. Flying Car","U","R","14188","2.37","7169","2.49","41206","90.5%","56.2%","6997","56.3%","11595","60.5%","18592","58.9%","22607","54.0%","4.9pp"
"Shuri, Wakandan Inventor","U","U","76518","5.25","12615","7.24","46233","57.9%","54.2%","8278","56.6%","12316","54.0%","20594","55.1%","25633","53.5%","1.6pp"
"Stature, Size Shifter","U","U","62193","4.09","18153","4.88","98793","84.1%","57.5%","17698","59.3%","27567","59.0%","45265","59.1%","53625","56.2%","2.9pp"
"Super Intelligence","U","U","72736","5.01","8703","7.52","25505","48.1%","51.2%","4382","52.4%","6989","52.7%","11371","52.6%","14140","50.1%","2.4pp"
"Super Suit","U","C","229025","7.00","29785","10.26","57259","30.4%","54.2%","9730","54.1%","15525","56.7%","25255","55.7%","31987","53.0%","2.7pp"
"Thirst for Knowledge","U","U","88544","6.36","10807","9.44","18507","27.4%","51.3%","3166","48.1%","4946","54.0%","8112","51.7%","10398","51.0%","0.7pp"
