"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"The Dawning Archaic","","M","8524","1.87","3731","1.85","19640","85.6%","52.0%","3134","47.3%","6357","56.9%","9491","53.7%","9751","49.7%","4.0pp"
"Rancorous Archaic","","C","326694","7.38","43451","10.59","77433","28.4%","51.3%","12786","48.7%","23828","56.2%","36614","53.6%","39995","49.0%","4.6pp"
"Sundering Archaic","","U","99689","4.46","26927","5.48","129035","74.9%","55.5%","21200","53.7%","40462","61.5%","61662","58.8%","64501","51.9%","6.9pp"
"Together as One","","R","18028","2.02","12461","1.96","72082","87.4%","58.0%","12132","61.4%","21915","67.8%","34047","65.5%","35131","49.5%","16.0pp"
"Transcendent Archaic","","U","116309","5.31","22673","7.06","84556","59.4%","53.7%","13888","51.9%","26113","59.6%","40001","56.9%","43134","50.2%","6.8pp"
"Ajani's Response","W","C","237375","4.60","50284","6.02","270461","83.0%","56.6%","45884","55.3%","74656","59.0%","120540","57.6%","147485","55.8%","1.9pp"
"Antiquities on the Loose","W","R","17763","1.93","11130","1.92","67670","90.7%","59.5%","12083","65.6%","18046","63.8%","30129","64.5%","37035","55.3%","9.2pp"
"Ascendant Dustspeaker","W","C","297906","6.25","44747","8.79","161780","56.1%","55.9%","26453","53.5%","44211","56.5%","70664","55.3%","91075","56.2%","-0.9pp"
"Daydream","W","U","125645","6.38","14697","9.49","21006","22.5%","51.2%","3488","47.9%","5272","49.8%","8760","49.0%","12196","52.8%","-3.8pp"
"Dig Site Inventory","W","C","276018","5.66","43979","7.78","191276","67.5%","55.9%","32127","54.9%","46390","55.8%","78517","55.4%","112379","56.2%","-0.8pp"
"Eager Glyphmage","W","C","296583","6.25","48015","8.60","182886","58.7%","56.7%","31035","55.8%","47709","56.3%","78744","56.1%","103612","57.2%","-1.1pp"
"Elite Interceptor","W","C","211250","4.20","60748","4.90","356215","89.1%","58.4%","65293","60.9%","92456","58.3%","157749","59.3%","197231","57.5%","1.8pp"
"Emeritus of Truce","W","M","8404","1.83","4591","1.83","25954","87.5%","56.8%","4600","59.5%","6902","58.3%","11502","58.7%","14348","55.2%","3.6pp"
"Ennis, Debate Moderator","W","U","110290","5.41","14811","7.64","45950","49.1%","52.9%","8171","48.3%","11538","51.5%","19709","50.2%","26132","54.9%","-4.7pp"
"Erode","W","R","24515","2.53","7959","2.78","43076","85.2%","55.5%","7420","53.0%","11634","58.3%","19054","56.3%","23639","54.7%","1.5pp"
"Graduation Day","W","U","107971","5.54","13331","7.95","35177","41.8%","52.6%","6177","52.0%","8390","50.0%","14567","50.8%","20524","53.8%","-3.0pp"
"Group Project","W","U","93984","4.39","22704","5.38","121407","82.1%","57.1%","21844","57.7%","30566","56.2%","52410","56.8%","68894","57.3%","-0.5pp"
"Harsh Annotation","W","U","118544","5.98","11297","9.42","18348","25.5%","51.1%","3087","47.8%","4638","51.5%","7725","50.0%","10506","51.9%","-1.9pp"
"Honorbound Page","W","C","304431","6.53","39185","9.44","103495","41.0%","54.6%","17562","51.5%","26136","54.2%","43698","53.1%","59573","55.6%","-2.5pp"
"Informed Inkwright","W","R","16437","1.81","10026","1.81","60715","91.7%","58.2%","11050","63.2%","16075","60.4%","27125","61.5%","33287","55.4%","6.1pp"
"Inkshape Demonstrator","W","U","94603","4.46","19260","5.69","97584","78.2%","56.6%","16530","57.0%","25577","56.4%","42107","56.6%","55248","56.5%","0.2pp"
"Interjection","W","C","319100","7.24","42047","10.31","78368","28.9%","55.9%","12929","54.6%","19742","56.6%","32671","55.8%","45468","55.9%","-0.1pp"
"Joined Researchers","W","R","42622","4.08","8659","5.24","41131","74.1%","55.8%","7480","55.7%","10303","54.3%","17783","54.9%","23303","56.5%","-1.6pp"
"Owlin Historian","W","C","294544","6.18","44714","8.63","176119","61.2%","56.0%","30540","55.2%","46755","55.5%","77295","55.4%","98919","56.5%","-1.1pp"
"Practiced Offense","W","R","15924","1.74","11025","1.71","68436","92.0%","59.4%","11692","62.8%","18243","65.9%","29935","64.7%","37946","55.0%","9.7pp"
"Primary Research","W","U","96581","4.60","19235","5.88","83726","68.1%","55.4%","14083","53.2%","22701","55.9%","36784","54.9%","46748","55.9%","-1.0pp"
"Quill-Blade Laureate","W","U","77751","3.63","19771","4.40","114290","89.0%","57.0%","20675","57.2%","29001","56.7%","49676","56.9%","64317","57.1%","-0.2pp"
"Rapier Wit","W","C","314456","7.05","40478","10.16","79440","30.5%","54.7%","13514","52.1%","20115","55.7%","33629","54.3%","45433","55.0%","-0.8pp"
