"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Agent 13, Sharon Carter","W","U","32733","2.99","13432","3.35","79871","92.5%","57.4%","14231","58.7%","21454","59.0%","35685","58.8%","44391","56.2%","2.7pp"
"Agent Maria Hill","W","U","40441","3.60","13291","4.17","72172","83.5%","58.3%","12760","62.3%","18379","57.6%","31139","59.5%","40937","57.4%","2.1pp"
"Agent of Atlas","W","C","159695","5.87","28284","8.16","115810","64.0%","56.7%","20748","57.7%","28197","54.7%","48945","56.0%","66722","57.2%","-1.2pp"
"Agent Phil Coulson","W","R","6826","1.58","5054","1.57","31226","94.6%","58.4%","5535","67.6%","8498","61.1%","14033","63.7%","17262","54.3%","9.3pp"
"Agents of S.H.I.E.L.D.","W","C","160977","5.98","25859","8.50","94128","57.3%","55.8%","16313","55.3%","24434","55.6%","40747","55.5%","53371","56.0%","-0.5pp"
"Avengers Assemble!","W","M","3114","1.49","2389","1.46","14721","93.7%","58.8%","2476","63.6%","4003","64.9%","6479","64.4%","8244","54.4%","9.9pp"
"Borough Backup","W","C","138412","4.78","33362","6.30","181529","84.4%","57.6%","32928","56.5%","48051","59.5%","80979","58.3%","100562","57.1%","1.2pp"
"Brave Brawler","W","C","133564","4.60","31086","6.06","178696","89.2%","57.6%","31802","58.6%","47002","57.5%","78804","58.0%","99937","57.4%","0.6pp"
"Captain America, Super-Soldier","W","M","3158","1.46","2279","1.46","13626","93.0%","57.3%","2386","59.9%","3787","60.4%","6173","60.2%","7558","54.9%","5.3pp"
"Captain America, Wings of Freedom","W","R","6687","1.53","4876","1.53","29837","94.6%","58.5%","5317","63.0%","8145","61.0%","13462","61.8%","16498","55.8%","6.0pp"
"Captain Marvel, Earth's Protector","W","M","2719","1.28","2377","1.27","15409","95.9%","61.1%","2584","65.4%","4466","70.2%","7050","68.5%","8402","54.9%","13.6pp"
"Captain Mar-Vell, Space-Born","W","U","50918","4.54","7910","6.46","32319","64.9%","54.4%","5366","52.0%","8898","55.4%","14264","54.1%","18227","54.5%","-0.4pp"
"Colleen Wing, Street Samurai","W","U","51321","4.56","8934","6.32","36808","64.7%","55.3%","6538","56.7%","9017","54.2%","15555","55.2%","21233","55.5%","-0.2pp"
"Crowd of True Believers","W","C","174717","7.11","26252","9.99","56628","33.7%","56.4%","9991","57.4%","13765","54.9%","23756","55.9%","32888","56.7%","-0.8pp"
"Helicarrier Strike","W","C","131770","4.48","28133","6.06","153899","85.1%","56.6%","26474","55.6%","41067","58.1%","67541","57.1%","86370","56.2%","0.9pp"
"Hero in Training","W","C","95235","3.46","37480","3.94","232107","94.0%","59.1%","40931","59.9%","63857","61.7%","104788","61.0%","126814","57.5%","3.5pp"
"Invisible Woman, Sue Storm","W","U","57554","5.54","6487","8.41","11791","29.8%","49.6%","1901","42.6%","3001","48.5%","4902","46.2%","6914","51.9%","-5.8pp"
"Jennifer Walters","W","M","3145","1.47","2389","1.45","14933","94.0%","59.7%","2705","64.9%","4180","64.4%","6885","64.6%","8122","55.7%","8.9pp"
"Kree Commandos","W","C","172060","6.99","20026","10.53","25970","20.5%","52.6%","4504","50.4%","6484","52.3%","10988","51.6%","15033","53.4%","-1.8pp"
"Luke Cage, Power Man","W","U","58732","5.52","7113","8.33","17111","38.5%","52.8%","2868","50.3%","4336","52.7%","7204","51.7%","9955","53.5%","-1.8pp"
"The Mind Stone","W","M","3986","1.88","2040","1.89","10468","83.3%","54.5%","1842","57.7%","2802","54.6%","4644","55.8%","5825","53.5%","2.3pp"
"Mockingbird, Ace Agent","W","U","55641","5.14","6919","7.64","17216","40.1%","52.0%","2921","49.3%","4346","50.7%","7267","50.1%","9991","53.3%","-3.1pp"
"Monica Rambeau","W","M","2968","1.45","2346","1.43","14494","95.0%","58.0%","2559","61.2%","4035","64.6%","6594","63.3%","7880","53.5%","9.8pp"
"Murdock's Crusade","W","C","113526","4.03","30524","4.98","176145","88.7%","58.0%","29817","57.5%","47772","61.5%","77589","60.0%","98619","56.4%","3.6pp"
"Nick Fury, Agent of S.H.I.E.L.D.","W","R","20850","4.19","4681","5.38","18168","61.4%","56.6%","3239","57.6%","4590","56.9%","7829","57.2%","10314","56.2%","1.0pp"
