"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Long-Bodied Grey Dog","","C","262233","7.14","31436","10.52","41708","20.9%","52.9%","7352","53.1%","10301","53.1%","17653","53.1%","24052","52.8%","0.3pp"
"Old Thrush","","C","257800","7.02","29661","10.40","46563","24.9%","52.6%","8644","52.4%","11857","54.3%","20501","53.5%","26066","51.8%","1.6pp"
"Troop of Ponies","","U","93313","5.14","12618","7.57","38291","48.4%","53.3%","7111","54.3%","9515","53.3%","16626","53.7%","21616","53.0%","0.8pp"
"Belladonna Took","W","R","18568","3.42","3861","4.17","14312","60.2%","51.9%","2627","50.7%","4115","52.9%","6742","52.0%","7522","51.8%","0.2pp"
"Bilbo's Gambit","W","R","29619","5.19","3589","7.93","3630","16.2%","48.5%","628","47.3%","972","47.9%","1600","47.7%","2030","49.1%","-1.4pp"
"Bofur, Reliable Guardian","W","U","73107","4.25","14049","5.60","69181","77.3%","55.4%","12052","53.8%","18405","58.2%","30457","56.4%","38410","54.4%","2.0pp"
"Celebrate the Mountain-king","W","U","44483","2.64","20168","2.90","120437","91.5%","57.9%","20328","59.5%","35187","63.4%","55515","62.0%","64852","54.5%","7.5pp"
"Dáin, Lord of the Iron Hills","W","U","71127","4.28","12852","5.69","58436","72.3%","54.2%","10350","53.7%","15168","54.3%","25518","54.0%","32681","54.3%","-0.2pp"
"Dwarven Provisioner","W","C","239312","6.30","37583","8.76","142456","59.5%","55.3%","25427","53.7%","38940","56.2%","64367","55.2%","77732","55.3%","-0.1pp"
"Dwarven Shortsword","W","C","229869","6.07","30963","8.77","104643","53.6%","54.3%","17728","52.1%","26184","53.8%","43912","53.1%","60075","55.1%","-1.9pp"
"Eagle of the Great Shelf","W","U","93078","5.85","11650","8.44","28719","39.7%","51.2%","4614","47.7%","8435","54.0%","13049","51.8%","15823","50.7%","1.1pp"
"The Eagles Are Coming!","W","R","10955","2.11","5940","2.12","33752","88.3%","56.7%","5734","57.0%","9980","61.1%","15714","59.6%","18058","54.1%","5.5pp"
"Esgaroth Garrison","W","C","257733","7.59","34703","10.68","57599","26.2%","54.8%","9515","53.5%","18164","58.3%","27679","56.6%","30074","53.1%","3.5pp"
"Fíli the Pathfinder","W","R","10204","1.98","6085","1.94","35850","89.2%","59.2%","6383","65.3%","9714","66.5%","16097","66.0%","19484","53.3%","12.8pp"
"Gleaming Splendor","W","M","11035","4.02","1407","6.03","1530","17.5%","42.6%","261","","401","","662","39.0%","867","45.4%","-6.5pp"
"Iron Hills Blacksmith","W","U","57539","3.35","16150","4.03","89798","86.5%","56.4%","16394","58.4%","23846","57.3%","40240","57.7%","49321","55.3%","2.4pp"
"Kíli the Resourceful","W","R","12330","2.37","5729","2.37","30629","82.4%","57.6%","5554","67.0%","7682","60.1%","13236","63.0%","17153","53.3%","9.7pp"
"Lake-town Lookout","W","C","254447","7.46","29068","10.89","37259","20.4%","51.2%","6625","51.1%","11028","52.2%","17653","51.8%","19601","50.7%","1.0pp"
"Lake-town Toymaker","W","U","97852","6.26","14403","8.68","32912","36.6%","52.6%","5572","50.2%","10657","55.4%","16229","53.6%","16737","51.7%","1.9pp"
"Magnificent End","W","C","187496","4.54","37219","6.06","194727","82.5%","55.4%","33194","53.8%","56537","57.6%","89731","56.2%","105061","54.6%","1.6pp"
"Moment of Glory","W","C","259714","7.71","29561","11.30","27591","14.9%","51.4%","4655","48.3%","8054","52.8%","12709","51.1%","14898","51.6%","-0.5pp"
"The Mountain-king's Return","W","U","53952","3.20","19887","3.57","114451","88.7%","57.9%","20261","60.8%","33350","61.6%","53611","61.3%","60831","55.0%","6.3pp"
"Ori, Keeper of Songs","W","C","243359","6.70","32797","9.59","95359","46.0%","54.9%","16528","54.3%","23825","54.7%","40353","54.5%","54635","55.2%","-0.7pp"
"The Queen of Dale","W","M","5541","2.12","2505","2.17","13355","84.2%","55.6%","2393","58.9%","3832","58.3%","6225","58.5%","7121","53.0%","5.5pp"
"Roads Go Ever, Ever On","W","R","19294","3.43","4736","4.12","21384","71.5%","55.6%","3816","56.6%","5967","56.1%","9783","56.3%","11596","55.0%","1.3pp"
"Settle the Wreckage","W","R","12829","2.41","5045","2.53","27448","85.5%","55.8%","4665","54.8%","8065","60.7%","12730","58.5%","14723","53.4%","5.1pp"
"Stone by Sunlight","W","U","52799","3.06","18909","3.48","109549","90.1%","57.2%","18675","57.2%","31671","62.1%","50346","60.3%","59233","54.6%","5.7pp"
"Thorin's Last Stand","W","C","261697","7.91","27878","11.63","16085","9.2%","49.8%","2557","45.1%","4342","50.9%","6899","48.7%","9195","50.6%","-1.9pp"
"An Unexpected Party","W","R","9193","1.73","6294","1.71","38284","91.8%","58.9%","6583","61.7%","10918","67.4%","17501","65.3%","20759","53.5%","11.8pp"
"Velvetwing Butterflies","W","C","248859","6.93","29186","10.17","54380","29.6%","52.7%","9283","49.3%","14699","55.4%","23982","53.0%","30461","52.4%","0.7pp"
"Vow to Erebor","W","C","259671","7.81","28421","11.46","28343","15.8%","52.2%","4582","49.7%","6741","51.9%","11323","51.0%","17026","53.0%","-2.0pp"
"Bilbo, Luckwearer","U","U","57655","3.45","19359","3.85","108647","87.4%","56.6%","19473","59.2%","34530","61.1%","54003","60.4%","54144","52.8%","7.6pp"
"Bilbo, Thief in the Night","U","M","6577","2.55","2621","2.72","12845","78.1%","55.0%","2274","57.1%","4019","59.0%","6293","58.3%","6475","51.9%","6.5pp"
"Bilbo Baggins, Burglar","U","C","200822","5.12","44707","6.43","217293","76.9%","55.2%","39000","55.6%","67082","58.6%","106082","57.5%","109790","53.0%","4.5pp"
"Confusticate and Bebother","U","C","245495","6.93","34106","9.79","81327","38.2%","52.1%","13900","50.3%","25041","56.0%","38941","54.0%","42402","50.4%","3.6pp"
"Elrond, Moon-Reader","U","M","7839","3.07","1856","3.59","6512","58.3%","49.4%","1186","47.8%","1874","51.8%","3060","50.2%","3437","48.6%","1.7pp"
"Elven Raft-Steerer","U","U","99246","6.51","10959","9.76","15991","23.6%","49.0%","2797","48.2%","4183","50.7%","6980","49.7%","8950","48.4%","1.3pp"
"Elvenking's Harper","U","C","260857","7.93","34260","11.16","47550","22.1%","52.0%","8333","51.3%","13725","55.1%","22058","53.6%","25382","50.5%","3.1pp"
"Enchanted River's Grasp","U","C","198961","5.02","36078","6.73","173829","77.4%","53.8%","29547","51.3%","54958","57.8%","84505","55.6%","88838","52.0%","3.5pp"
"Fateful Discovery","U","M","15869","5.47","2080","8.31","104","0.8%","","24","","30","","54","","51","",""
"Gandalf, Wandering Wizard","U","C","261995","8.08","31627","11.56","21449","10.9%","49.5%","3527","47.3%","6745","53.1%","10272","51.1%","11307","48.2%","3.0pp"
"Great Gilded Boat","U","R","13012","2.45","6856","2.50","39307","88.2%","57.1%","6868","64.0%","12522","60.8%","19390","62.0%","19972","52.4%","9.6pp"
"Lakeshore Apothecary","U","C","202217","5.36","47848","6.50","248450","82.3%","55.6%","44337","57.4%","82554","57.6%","126891","57.5%","121801","53.6%","3.9pp"
"Lake-town Mariners","U","U","103143","6.64","13186","9.66","19100","23.4%","50.5%","3166","46.9%","5714","53.4%","8880","51.1%","10191","49.9%","1.1pp"
"Long Lake Nuisance","U","C","225328","6.05","47570","7.60","216021","71.6%","55.6%","37002","54.9%","71295","59.6%","108297","58.0%","107964","53.2%","4.9pp"
"The Lord of the Eagles","U","R","21822","4.06","3847","5.19","11360","47.8%","51.1%","1973","48.5%","3530","55.3%","5503","52.9%","5873","49.4%","3.5pp"
"Master's Councillors","U","U","75380","4.59","20846","5.29","110118","82.7%","56.3%","19567","57.2%","36840","59.9%","56407","59.0%","53962","53.6%","5.4pp"
"Mirkwood Meditator","U","C","265836","8.68","29817","12.46","6928","3.7%","47.3%","1214","48.2%","1830","48.8%","3044","48.6%","3873","46.2%","2.4pp"
"Most Decrepit Old Bird","U","R","27048","4.54","4819","6.22","14151","46.6%","53.4%","2451","53.4%","4496","56.5%","6947","55.4%","7218","51.4%","4.0pp"
"Old Fat Spider Can't See Me","U","U","88837","5.50","13509","7.67","38985","46.8%","51.2%","6519","49.7%","12100","54.0%","18619","52.5%","20297","50.0%","2.5pp"
"Plunder the Trollshaws","U","C","215326","5.59","45999","7.05","221333","75.5%","56.2%","38924","56.4%","70709","60.8%","109633","59.2%","111702","53.4%","5.8pp"
"Ravenhill Flock","U","U","84718","5.33","11068","7.69","32246","47.4%","50.1%","5396","47.9%","10395","54.0%","15791","51.9%","16539","48.3%","3.6pp"
"Riddles in the Dark","U","R","26922","4.80","4120","6.61","8670","33.8%","49.7%","1473","48.0%","2596","52.8%","4069","51.0%","4597","48.5%","2.5pp"
"Roll-Roll-Roll-Roll","U","R","29834","5.27","4235","7.61","4947","19.0%","46.3%","815","37.4%","1472","48.4%","2287","44.5%","2642","47.7%","-3.3pp"
"Sound the Trumpets","U","U","101687","6.47","15065","9.06","32449","34.5%","53.4%","5453","52.0%","10397","57.1%","15850","55.3%","16601","51.5%","3.8pp"
"Thranduil's Decree","U","U","104858","6.89","13282","10.00","15128","18.3%","49.4%","2543","46.6%","4623","52.9%","7166","50.7%","7963","48.2%","2.5pp"
"Uncover the Moon-Letters","U","R","34444","6.12","4501","9.31","1083","3.8%","47.6%","181","","333","","514","50.0%","569","45.5%","4.5pp"
"Uneasy Partings","U","C","241475","6.66","43017","8.88","151873","56.0%","54.5%","25502","51.2%","48205","58.3%","73707","55.9%","78229","53.1%","2.7pp"
"Wizard's Staff","U","R","30381","5.38","3748","8.19","1771","7.6%","40.6%","286","","488","","774","39.0%","994","42.0%","-2.9pp"
