"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"The Dawning Archaic","","M","6498","1.82","2930","1.79","15460","85.7%","52.5%","2486","47.9%","5001","57.1%","7487","54.0%","7673","50.3%","3.7pp"
"Rancorous Archaic","","C","256490","7.37","34319","10.56","62110","28.8%","51.7%","10194","49.0%","19048","56.7%","29242","54.0%","32150","49.4%","4.6pp"
"Sundering Archaic","","U","79779","4.57","21287","5.60","100341","73.9%","55.7%","16474","54.5%","31259","61.6%","47733","59.2%","50348","52.0%","7.2pp"
"Together as One","","R","14695","2.09","9910","2.03","56764","86.8%","58.3%","9489","61.7%","17188","68.0%","26677","65.8%","27807","49.8%","16.0pp"
"Transcendent Archaic","","U","91786","5.36","17891","7.10","65441","58.4%","54.0%","10766","52.1%","20124","60.0%","30890","57.2%","33410","50.4%","6.8pp"
"Ajani's Response","W","C","190191","4.72","39061","6.18","206865","81.7%","56.9%","35161","55.6%","56976","59.4%","92137","57.9%","112945","56.0%","2.0pp"
"Antiquities on the Loose","W","R","13992","1.95","8691","1.94","52570","90.5%","59.7%","9382","65.8%","14001","64.0%","23383","64.7%","28788","55.4%","9.3pp"
"Ascendant Dustspeaker","W","C","234726","6.31","34868","8.86","124198","55.2%","56.1%","20323","53.8%","33799","56.8%","54122","55.7%","70053","56.3%","-0.6pp"
"Daydream","W","U","97287","6.29","11551","9.30","17752","24.2%","51.6%","2969","48.1%","4464","50.4%","7433","49.5%","10277","53.1%","-3.7pp"
"Dig Site Inventory","W","C","217954","5.71","34542","7.84","148501","66.7%","56.2%","25020","55.3%","36030","56.0%","61050","55.7%","87154","56.4%","-0.7pp"
"Eager Glyphmage","W","C","231956","6.25","37534","8.58","142962","58.8%","56.8%","24287","56.1%","37268","56.4%","61555","56.3%","81004","57.2%","-1.0pp"
"Elite Interceptor","W","C","169584","4.29","47369","5.03","276498","88.7%","58.6%","50679","61.2%","71599","58.4%","122278","59.6%","153263","57.7%","1.8pp"
"Emeritus of Truce","W","M","6446","1.81","3586","1.80","20291","87.2%","57.3%","3590","60.5%","5362","58.8%","8952","59.5%","11257","55.5%","3.9pp"
"Ennis, Debate Moderator","W","U","84786","5.30","11646","7.40","37570","51.0%","53.1%","6699","48.7%","9392","51.8%","16091","50.5%","21388","54.9%","-4.4pp"
"Erode","W","R","19111","2.51","6176","2.76","33113","84.4%","55.7%","5715","53.1%","8986","58.4%","14701","56.4%","18123","55.0%","1.4pp"
