"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"The Dawning Archaic","","M","8809","1.87","3825","1.86","20176","85.6%","52.1%","3234","47.3%","6508","57.1%","9742","53.8%","10028","49.8%","4.1pp"
"Rancorous Archaic","","C","335945","7.38","44593","10.59","79265","28.4%","51.3%","13101","48.8%","24378","56.2%","37479","53.6%","40942","49.0%","4.7pp"
"Sundering Archaic","","U","102355","4.46","27668","5.47","132777","75.0%","55.5%","21839","53.8%","41622","61.5%","63461","58.8%","66362","51.9%","6.9pp"
"Together as One","","R","18465","2.01","12794","1.95","74156","87.5%","58.1%","12482","61.4%","22511","67.9%","34993","65.6%","36186","49.5%","16.1pp"
"Transcendent Archaic","","U","119649","5.31","23294","7.07","86924","59.5%","53.7%","14279","51.9%","26828","59.6%","41107","56.9%","44347","50.2%","6.8pp"
"Ajani's Response","W","C","243396","4.59","51686","6.00","278154","83.1%","56.6%","47220","55.2%","76740","59.0%","123960","57.6%","151679","55.7%","1.8pp"
"Antiquities on the Loose","W","R","18260","1.92","11435","1.91","69507","90.7%","59.4%","12386","65.3%","18558","63.7%","30944","64.4%","38037","55.3%","9.1pp"
"Ascendant Dustspeaker","W","C","306242","6.24","46000","8.78","166743","56.2%","55.8%","27283","53.5%","45566","56.5%","72849","55.3%","93854","56.2%","-0.8pp"
"Daydream","W","U","129350","6.39","15109","9.50","21496","22.4%","51.2%","3573","47.9%","5400","49.8%","8973","49.0%","12471","52.7%","-3.7pp"
"Dig Site Inventory","W","C","283311","5.65","45144","7.76","196503","67.5%","55.9%","33018","54.8%","47695","55.8%","80713","55.4%","115399","56.2%","-0.8pp"
"Eager Glyphmage","W","C","304979","6.25","49366","8.60","187653","58.6%","56.7%","31830","55.7%","48937","56.2%","80767","56.0%","106348","57.1%","-1.1pp"
"Elite Interceptor","W","C","216460","4.19","62436","4.89","366364","89.2%","58.3%","67117","60.8%","95131","58.2%","162248","59.3%","202841","57.5%","1.8pp"
"Emeritus of Truce","W","M","8658","1.84","4726","1.83","26710","87.6%","56.6%","4726","59.3%","7122","58.1%","11848","58.5%","14754","55.1%","3.5pp"
"Ennis, Debate Moderator","W","U","113592","5.42","15219","7.66","47150","49.0%","52.9%","8368","48.3%","11853","51.4%","20221","50.1%","26817","55.0%","-4.8pp"
"Erode","W","R","25259","2.53","8176","2.79","44245","85.2%","55.4%","7615","52.9%","12001","58.2%","19616","56.1%","24239","54.7%","1.5pp"
"Graduation Day","W","U","111175","5.55","13688","7.98","35891","41.5%","52.6%","6306","52.1%","8554","49.9%","14860","50.8%","20943","53.9%","-3.1pp"
"Group Project","W","U","96730","4.39","23298","5.39","124415","82.1%","57.1%","22381","57.7%","31297","56.1%","53678","56.7%","70633","57.3%","-0.6pp"
"Harsh Annotation","W","U","122019","5.98","11644","9.43","18922","25.5%","51.2%","3158","47.9%","4780","51.6%","7938","50.1%","10866","52.0%","-1.9pp"
"Honorbound Page","W","C","312850","6.53","40313","9.44","106286","40.9%","54.6%","17995","51.4%","26847","54.2%","44842","53.1%","61221","55.6%","-2.5pp"
"Informed Inkwright","W","R","16896","1.81","10313","1.81","62450","91.7%","58.2%","11366","63.3%","16543","60.3%","27909","61.6%","34227","55.4%","6.2pp"
"Inkshape Demonstrator","W","U","97211","4.45","19813","5.68","100448","78.3%","56.5%","17038","56.9%","26306","56.4%","43344","56.6%","56867","56.4%","0.2pp"
"Interjection","W","C","327873","7.23","43220","10.30","80797","29.0%","55.9%","13371","54.6%","20332","56.5%","33703","55.7%","46860","55.9%","-0.2pp"
"Joined Researchers","W","R","43895","4.09","8913","5.25","42241","73.9%","55.8%","7684","55.8%","10568","54.3%","18252","54.9%","23944","56.4%","-1.4pp"
"Owlin Historian","W","C","302606","6.17","45982","8.62","181481","61.3%","56.0%","31502","55.2%","48099","55.4%","79601","55.4%","101972","56.4%","-1.1pp"
"Practiced Offense","W","R","16356","1.74","11341","1.70","70481","92.1%","59.4%","12023","62.8%","18781","65.9%","30804","64.7%","39092","55.0%","9.7pp"
"Primary Research","W","U","99170","4.60","19723","5.87","85932","68.2%","55.4%","14467","53.3%","23312","55.9%","37779","54.9%","47954","55.7%","-0.8pp"
"Quill-Blade Laureate","W","U","79819","3.63","20325","4.39","117637","89.1%","57.1%","21278","57.2%","29858","56.7%","51136","56.9%","66194","57.1%","-0.2pp"
"Rapier Wit","W","C","323231","7.04","41571","10.15","81856","30.6%","54.7%","13926","52.1%","20722","55.8%","34648","54.3%","46823","55.0%","-0.7pp"
"Rehearsed Debater","W","C","313982","6.56","45101","9.25","143293","49.5%","55.7%","24911","55.6%","35218","54.0%","60129","54.7%","83000","56.4%","-1.8pp"
"Restoration Seminar","W","M","9375","2.07","4852","2.03","24570","79.9%","55.0%","4134","54.3%","6937","59.4%","11071","57.5%","13207","52.7%","4.8pp"
