"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"The Dawning Archaic","","M","5656","1.81","2612","1.78","13794","85.9%","52.7%","2230","48.2%","4453","57.0%","6683","54.1%","6849","50.7%","3.3pp"
"Rancorous Archaic","","C","225245","7.38","30200","10.56","54996","29.1%","51.8%","8990","49.1%","16873","56.8%","25863","54.1%","28496","49.4%","4.7pp"
"Sundering Archaic","","U","70778","4.62","18636","5.68","86748","73.2%","55.7%","14240","54.4%","26951","61.4%","41191","59.0%","43603","52.0%","7.0pp"
"Together as One","","R","13223","2.13","8804","2.06","49980","86.4%","58.3%","8348","61.8%","15078","68.0%","23426","65.8%","24542","50.0%","15.8pp"
"Transcendent Archaic","","U","80849","5.40","15644","7.15","56464","57.7%","54.1%","9287","52.6%","17286","60.0%","26573","57.4%","28893","50.5%","6.9pp"
"Ajani's Response","W","C","168652","4.78","33980","6.27","178027","81.0%","57.0%","30122","55.9%","48984","59.5%","79106","58.1%","97377","56.0%","2.1pp"
"Antiquities on the Loose","W","R","12356","1.96","7597","1.95","45928","90.4%","59.8%","8231","65.4%","12228","64.2%","20459","64.7%","25117","55.6%","9.1pp"
"Ascendant Dustspeaker","W","C","206237","6.33","30539","8.89","107617","54.7%","56.2%","17615","53.9%","29156","56.9%","46771","55.8%","60818","56.5%","-0.8pp"
"Daydream","W","U","85026","6.26","10139","9.22","16058","24.9%","51.6%","2670","48.4%","4039","50.0%","6709","49.3%","9310","53.2%","-3.8pp"
"Dig Site Inventory","W","C","191978","5.73","30320","7.86","129471","66.3%","56.2%","21903","55.3%","31316","56.1%","53219","55.8%","76004","56.5%","-0.7pp"
"Eager Glyphmage","W","C","203585","6.24","32872","8.56","125075","58.8%","57.0%","21314","56.2%","32565","56.5%","53879","56.4%","70855","57.4%","-1.0pp"
"Elite Interceptor","W","C","150928","4.34","41429","5.11","240415","88.3%","58.7%","44162","61.3%","62196","58.6%","106358","59.7%","133238","57.8%","1.9pp"
"Emeritus of Truce","W","M","5651","1.80","3160","1.80","17898","87.5%","57.2%","3169","60.1%","4718","59.3%","7887","59.6%","9945","55.3%","4.3pp"
"Ennis, Debate Moderator","W","U","73686","5.23","10243","7.26","33566","51.9%","53.2%","6033","48.8%","8346","52.0%","14379","50.6%","19113","55.1%","-4.4pp"
"Erode","W","R","16835","2.52","5371","2.75","28686","84.2%","55.8%","4963","53.5%","7799","58.7%","12762","56.6%","15668","55.0%","1.6pp"
"Graduation Day","W","U","72828","5.40","9195","7.60","25945","44.6%","53.0%","4539","52.6%","6190","50.3%","10729","51.3%","15152","54.1%","-2.9pp"
"Group Project","W","U","64317","4.37","15826","5.33","84621","82.1%","57.4%","15330","57.8%","21254","56.6%","36584","57.1%","47974","57.5%","-0.4pp"
"Harsh Annotation","W","U","80517","5.92","7729","9.31","13234","26.9%","51.1%","2250","47.7%","3347","51.7%","5597","50.1%","7558","51.8%","-1.7pp"
"Honorbound Page","W","C","209216","6.49","26817","9.39","72465","42.0%","54.9%","12297","51.6%","18188","54.5%","30485","53.3%","41809","55.9%","-2.5pp"
"Informed Inkwright","W","R","11365","1.82","6893","1.81","41516","91.5%","58.4%","7529","63.7%","10969","61.0%","18498","62.1%","22801","55.3%","6.8pp"
"Inkshape Demonstrator","W","U","65624","4.51","13255","5.70","66757","77.7%","56.8%","11403","57.4%","17315","56.5%","28718","56.8%","37885","56.8%","0.1pp"
"Interjection","W","C","219605","7.27","28458","10.37","51288","28.0%","56.1%","8396","54.8%","12831","56.9%","21227","56.1%","29924","56.0%","0.0pp"
"Joined Researchers","W","R","28847","4.05","5960","5.14","28359","74.4%","56.3%","5190","56.3%","7107","54.7%","12297","55.4%","16034","56.9%","-1.5pp"
"Owlin Historian","W","C","203740","6.23","30486","8.70","117945","60.1%","56.2%","20452","55.3%","31234","55.8%","51686","55.6%","66333","56.7%","-1.1pp"
"Practiced Offense","W","R","11295","1.80","7559","1.77","46472","91.2%","59.8%","7866","63.1%","12342","66.3%","20208","65.1%","25933","55.6%","9.5pp"
"Primary Research","W","U","66528","4.62","13414","5.89","57503","67.5%","55.6%","9652","53.5%","15581","56.1%","25233","55.1%","32126","55.9%","-0.8pp"
"Quill-Blade Laureate","W","U","53781","3.65","13608","4.42","77885","88.3%","57.2%","14132","57.0%","19665","56.8%","33797","56.9%","43877","57.3%","-0.5pp"
"Rapier Wit","W","C","216317","7.05","27732","10.16","54371","30.5%","54.9%","9212","51.7%","13668","56.1%","22880","54.3%","31231","55.1%","-0.8pp"
"Rehearsed Debater","W","C","211602","6.66","29749","9.41","89419","46.9%","55.8%","15503","56.2%","21803","53.9%","37306","54.8%","52006","56.4%","-1.6pp"
"Restoration Seminar","W","M","6314","2.09","3261","2.04","16391","79.1%","55.5%","2749","55.1%","4632","59.3%","7381","57.7%","8839","53.2%","4.5pp"
"Shattered Acolyte","W","C","198657","5.91","31389","8.19","138626","68.2%","56.7%","25227","56.9%","34126","55.6%","59353","56.1%","78995","57.1%","-1.0pp"
"Soaring Stoneglider","W","U","66618","4.54","11650","5.95","55802","75.1%","54.7%","9560","52.0%","14860","55.1%","24420","53.9%","31380","55.2%","-1.4pp"
"Spiritcall Enthusiast","W","U","75533","5.42","10948","7.55","33092","47.5%","53.9%","5695","52.3%","8147","52.2%","13842","52.2%","19213","55.1%","-2.9pp"
"Stand Up for Yourself","W","U","58804","3.95","14117","4.88","78310","85.6%","57.0%","13261","55.2%","20990","59.0%","34251","57.5%","43490","56.5%","1.0pp"
"Stirring Hopesinger","W","R","10065","1.61","6892","1.59","42712","93.0%","59.1%","7567","63.8%","11678","63.1%","19245","63.4%","23282","55.4%","8.1pp"
"Stone Docent","W","C","191246","5.62","36451","7.37","189429","79.7%","57.5%","33920","58.1%","46951","56.0%","80871","56.9%","108437","58.0%","-1.1pp"
"Summoned Dromedary","W","U","70051","4.80","12480","6.43","54992","69.4%","55.1%","9218","53.5%","14335","55.1%","23553","54.5%","31588","55.4%","-1.0pp"
"Banishing Betrayal","U","C","206886","6.29","30421","8.96","109221","57.4%","53.1%","19375","50.9%","31842","58.3%","51217","55.5%","55589","50.7%","4.7pp"
"Brush Off","U","U","78034","5.43","15715","6.88","67956","68.5%","55.3%","11473","53.7%","20604","60.7%","32077","58.2%","33961","51.9%","6.3pp"
"Campus Composer","U","U","68411","4.61","11857","6.22","53137","72.4%","53.0%","8859","51.0%","15550","56.0%","24409","54.2%","27777","51.8%","2.3pp"
"Chase Inspiration","U","C","228012","8.00","28314","11.43","32922","18.7%","53.1%","5453","50.7%","9510","56.6%","14963","54.4%","17352","51.5%","2.9pp"
"Deluge Virtuoso","U","C","208415","6.49","26012","9.50","69595","43.2%","51.3%","12178","49.5%","20001","53.9%","32179","52.2%","36119","50.4%","1.8pp"
"Divergent Equation","U","U","73318","5.18","16997","6.22","77983","72.5%","55.4%","12982","51.7%","24489","61.8%","37471","58.3%","37680","51.5%","6.8pp"
"Echocasting Symposium","U","M","5454","1.76","3340","1.75","18175","86.4%","54.4%","3076","54.1%","5435","60.8%","8511","58.4%","8834","49.3%","9.1pp"
"Emeritus of Ideation","U","M","4314","1.39","3273","1.38","19030","89.1%","57.5%","3231","62.4%","5855","66.0%","9086","64.7%","9344","50.0%","14.7pp"
"Encouraging Aviator","U","U","75620","5.32","10185","7.42","32372","52.6%","50.1%","5545","47.9%","9068","52.4%","14613","50.7%","17322","49.6%","1.1pp"
"Essence Scatter","U","C","179336","5.18","36780","6.80","189256","81.8%","54.6%","33266","55.0%","55408","58.5%","88674","57.2%","95998","51.9%","5.3pp"
"Exhibition Tidecaller","U","R","15941","2.51","7451","2.49","41544","86.7%","56.5%","7139","57.8%","12835","63.0%","19974","61.1%","20278","51.2%","9.9pp"
"Flow State","U","U","56613","3.74","14915","4.60","79083","84.6%","54.5%","14106","53.2%","23729","59.4%","37835","57.1%","39063","51.6%","5.5pp"
"Fractal Anomaly","U","U","94103","7.27","10953","10.69","7735","11.3%","47.3%","1271","43.2%","2337","51.7%","3608","48.7%","4017","45.8%","2.9pp"
"Fractalize","U","U","91711","6.95","11161","10.09","15115","21.6%","50.6%","2533","47.5%","4216","54.3%","6749","51.8%","8086","49.2%","2.5pp"
