"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Tackle Artist","R","C","83414","6.63","11329","9.53","33006","47.1%","53.4%","5524","51.9%","9356","55.1%","14880","53.9%","17718","52.9%","1.0pp"
"Thunderdrum Soloist","R","U","26713","4.55","5157","5.88","24267","75.8%","55.0%","4335","55.8%","6785","56.7%","11120","56.3%","12752","53.6%","2.7pp"
"Tome Blast","R","C","67036","4.78","15904","6.00","85871","85.9%","57.2%","15144","56.9%","23956","59.6%","39100","58.6%","45565","55.9%","2.6pp"
"Unsubtle Mockery","R","C","58309","4.14","15381","5.16","88079","91.2%","56.9%","15203","56.9%","25079","59.8%","40282","58.7%","46015","55.1%","3.7pp"
"Zealous Lorecaster","R","C","88314","7.16","13291","10.05","33415","40.4%","54.8%","5464","49.9%","9894","58.1%","15358","55.2%","17555","54.0%","1.2pp"
"Aberrant Manawurm","G","U","32386","5.71","3966","8.36","10975","45.6%","51.0%","1882","49.4%","2965","52.6%","4847","51.4%","6008","50.7%","0.6pp"
"Additive Evolution","G","U","21552","3.71","5143","4.46","26326","82.3%","55.6%","4353","57.5%","7042","60.1%","11395","59.1%","14567","52.6%","6.4pp"
"Ambitious Augmenter","G","R","5399","2.11","2601","2.14","13997","86.5%","56.5%","2527","64.0%","3561","60.8%","6088","62.2%","7690","52.0%","10.2pp"
"Burrog Barrage","G","C","74129","5.42","12042","7.29","54470","73.7%","54.6%","9215","53.9%","14192","58.2%","23407","56.5%","30544","52.9%","3.6pp"
"Chelonian Tackle","G","U","33753","5.85","4354","8.39","12049","45.5%","51.4%","2017","47.4%","3042","52.6%","5059","50.5%","6897","52.1%","-1.6pp"
"Comforting Counsel","G","R","10530","4.05","1427","5.36","3994","46.3%","49.2%","672","44.8%","944","45.4%","1616","45.2%","2371","52.0%","-6.8pp"
"Efflorescence","G","C","90331","7.78","8800","11.63","5630","10.5%","48.8%","961","42.4%","1363","50.6%","2324","47.2%","3294","49.7%","-2.5pp"
"Emeritus of Abundance","G","M","1930","1.59","1197","1.56","6499","88.0%","55.7%","1126","56.3%","1747","61.3%","2873","59.3%","3441","52.4%","6.9pp"
"Emil, Vastlands Roamer","G","U","24510","4.14","4548","5.36","21801","79.1%","53.4%","3767","52.7%","6062","55.3%","9829","54.3%","11602","52.3%","2.0pp"
"Environmental Scientist","G","U","17529","2.92","6607","3.24","37060","88.6%","57.2%","6887","63.4%","9583","61.7%","16470","62.4%","19997","52.9%","9.5pp"
"Follow the Lumarets","G","C","86437","7.04","10128","10.15","21687","35.1%","53.2%","3823","50.4%","5358","53.4%","9181","52.1%","12419","54.0%","-1.9pp"
"Germination Practicum","G","M","1989","1.56","1274","1.54","7072","87.7%","56.2%","1203","59.3%","1916","61.3%","3119","60.5%","3803","52.4%","8.1pp"
"Glorious Decay","G","C","90711","7.92","8916","11.85","4061","7.4%","48.9%","720","46.5%","1039","52.3%","1759","49.9%","2290","47.9%","2.0pp"
"Hungry Graffalon","G","C","88716","7.41","9109","11.06","11671","21.1%","50.2%","2012","48.3%","3110","51.8%","5122","50.4%","6392","50.0%","0.4pp"
"Infirmary Healer","G","U","28472","4.60","4898","6.15","23539","78.6%","54.6%","4190","53.1%","6066","57.3%","10256","55.6%","13043","53.8%","1.8pp"
"Lumaret's Favor","G","U","37181","6.84","4197","10.04","6159","24.3%","51.8%","1038","48.9%","1473","54.0%","2511","51.9%","3638","51.7%","0.2pp"
"Mindful Biomancer","G","C","81485","6.21","10280","8.90","37128","59.0%","53.2%","6678","52.3%","9129","54.2%","15807","53.4%","20961","53.0%","0.4pp"
"Noxious Newt","G","C","63081","4.40","11168","5.85","59965","87.4%","54.7%","11045","56.0%","15369","56.2%","26414","56.1%","32870","53.6%","2.6pp"
"Oracle's Restoration","G","C","88502","7.40","8883","11.07","11963","22.2%","50.1%","2022","48.7%","2896","49.2%","4918","49.0%","7024","50.8%","-1.8pp"
"Pestbrood Sloth","G","U","22256","3.68","5464","4.55","29504","87.1%","56.6%","5121","59.7%","7895","60.4%","13016","60.2%","16075","53.6%","6.6pp"
"Planar Engineering","G","R","11707","4.28","1824","5.76","5137","46.1%","52.8%","861","54.0%","1401","55.9%","2262","55.2%","2832","50.8%","4.4pp"
"Shopkeeper's Bane","G","C","81660","6.39","9112","9.44","28523","51.3%","53.0%","5058","53.5%","6906","53.8%","11964","53.7%","16254","52.5%","1.1pp"
"Slumbering Trudge","G","R","5536","2.15","2557","2.14","13881","87.1%","56.2%","2476","62.2%","3800","58.4%","6276","59.9%","7289","53.1%","6.9pp"
"Snarl Song","G","U","29751","5.21","7842","5.98","34585","70.1%","57.7%","5729","57.9%","10452","64.7%","16181","62.3%","17513","52.9%","9.4pp"
"Studious First-Year","G","C","56201","3.93","12357","4.95","65241","86.4%","54.7%","12100","60.1%","16809","55.6%","28909","57.5%","35623","52.5%","5.0pp"
"Tenured Concocter","G","C","86391","6.87","9854","10.02","26274","44.3%","52.4%","4313","49.5%","6741","54.2%","11054","52.3%","14913","52.3%","0.0pp"
"Thornfist Striker","G","U","28150","4.77","4523","6.40","20136","72.6%","54.6%","3490","56.0%","5012","56.2%","8502","56.1%","11429","53.2%","2.8pp"
"Topiary Lecturer","G","U","24893","4.17","4415","5.40","20102","75.5%","53.0%","3685","54.7%","5256","55.0%","8941","54.9%","10911","51.4%","3.5pp"
"Vastlands Scavenger","G","R","5009","1.95","2392","1.97","12649","85.9%","54.8%","2195","56.8%","3321","58.8%","5516","58.0%","6914","52.2%","5.8pp"
"Wild Hypothesis","G","C","85110","6.76","9438","10.04","22749","39.7%","52.1%","3957","49.3%","6293","54.7%","10250","52.6%","11914","51.1%","1.5pp"
"Wildgrowth Archaic","G","R","4731","1.86","2566","1.86","14122","89.0%","54.6%","2561","58.4%","3809","56.8%","6370","57.4%","7483","52.1%","5.3pp"
"Zimone's Experiment","G","U","32603","5.71","4481","8.07","12172","45.0%","52.3%","2043","52.1%","3465","55.7%","5508","54.4%","6542","50.6%","3.7pp"
