"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Agent 13, Sharon Carter","W","U","39820","2.91","16535","3.26","98736","92.8%","57.1%","17496","58.7%","26582","58.6%","44078","58.6%","54891","55.9%","2.7pp"
"Agent Maria Hill","W","U","50509","3.57","16374","4.16","89268","83.8%","58.1%","15794","62.4%","22708","57.3%","38502","59.4%","50645","57.1%","2.3pp"
"Agent of Atlas","W","C","198805","5.81","35098","8.10","145487","64.7%","56.5%","25945","57.4%","35456","54.6%","61401","55.8%","83895","57.0%","-1.2pp"
"Agent Phil Coulson","W","R","8364","1.56","6211","1.56","38550","94.9%","58.2%","6856","67.1%","10487","61.1%","17343","63.5%","21306","54.0%","9.5pp"
"Agents of S.H.I.E.L.D.","W","C","199188","5.87","31913","8.39","120098","59.1%","55.7%","20939","55.2%","31143","55.7%","52082","55.5%","67997","55.8%","-0.3pp"
"Avengers Assemble!","W","M","3863","1.50","2981","1.47","18347","93.5%","58.5%","3113","62.6%","4939","64.8%","8052","64.0%","10298","54.2%","9.7pp"
"Borough Backup","W","C","168613","4.64","41268","6.11","227303","85.3%","57.2%","41140","56.1%","60334","59.1%","101474","57.9%","125848","56.7%","1.2pp"
"Brave Brawler","W","C","163155","4.47","38706","5.88","224406","89.9%","57.4%","39970","58.3%","59158","57.5%","99128","57.8%","125306","57.1%","0.7pp"
"Captain America, Super-Soldier","W","M","4014","1.47","2877","1.47","17211","93.5%","56.8%","3040","59.1%","4832","59.5%","7872","59.3%","9477","54.6%","4.7pp"
"Captain America, Wings of Freedom","W","R","8298","1.53","6059","1.53","37050","94.5%","58.2%","6614","62.5%","10216","60.6%","16830","61.4%","20376","55.5%","5.9pp"
"Captain Marvel, Earth's Protector","W","M","3347","1.26","2932","1.25","19155","95.9%","61.0%","3222","65.1%","5591","70.1%","8813","68.3%","10406","54.8%","13.5pp"
"Captain Mar-Vell, Space-Born","W","U","64740","4.62","9677","6.67","38397","63.0%","54.2%","6364","51.8%","10546","55.2%","16910","53.9%","21685","54.3%","-0.4pp"
"Colleen Wing, Street Samurai","W","U","65058","4.57","11104","6.40","45552","64.4%","55.0%","8109","56.5%","11257","53.9%","19366","55.0%","26163","55.1%","-0.1pp"
"Crowd of True Believers","W","C","218381","7.06","32685","9.93","72477","34.6%","56.2%","12777","57.4%","17628","54.9%","30405","55.9%","42093","56.4%","-0.5pp"
"Helicarrier Strike","W","C","163288","4.41","34493","6.01","189578","85.4%","56.5%","32650","55.3%","50659","58.0%","83309","57.0%","106284","56.0%","0.9pp"
"Hero in Training","W","C","114644","3.34","46295","3.79","286879","94.1%","58.8%","50838","59.6%","78812","61.2%","129650","60.6%","156618","57.2%","3.4pp"
"Invisible Woman, Sue Storm","W","U","73145","5.64","7993","8.65","13510","27.6%","49.1%","2148","42.6%","3411","47.9%","5559","45.9%","7974","51.3%","-5.4pp"
"Jennifer Walters","W","M","3901","1.46","3001","1.44","18755","94.3%","59.2%","3375","64.5%","5220","64.1%","8595","64.2%","10248","55.0%","9.2pp"
"Kree Commandos","W","C","215899","7.03","24797","10.60","30924","19.7%","52.5%","5357","50.5%","7710","51.8%","13067","51.3%","17914","53.4%","-2.2pp"
"Luke Cage, Power Man","W","U","74369","5.60","8696","8.50","19956","36.6%","52.4%","3378","49.9%","5036","52.3%","8414","51.4%","11595","53.1%","-1.8pp"
"The Mind Stone","W","M","5044","1.89","2577","1.92","13201","82.8%","54.6%","2330","57.4%","3527","55.1%","5857","56.0%","7346","53.4%","2.6pp"
"Mockingbird, Ace Agent","W","U","70542","5.22","8532","7.83","20736","39.0%","51.9%","3497","48.9%","5237","51.2%","8734","50.3%","12047","53.0%","-2.7pp"
"Monica Rambeau","W","M","3689","1.42","2959","1.40","18260","95.0%","57.8%","3263","61.2%","5039","63.9%","8302","62.8%","9936","53.5%","9.3pp"
"Murdock's Crusade","W","C","137014","3.90","37820","4.80","220223","89.3%","57.8%","37318","57.3%","59796","61.4%","97114","59.8%","123189","56.2%","3.6pp"
"Nick Fury, Agent of S.H.I.E.L.D.","W","R","26209","4.22","5875","5.44","22949","61.6%","56.0%","4065","56.7%","5805","56.4%","9870","56.6%","13047","55.6%","1.0pp"
"Night Nurse, Healer of Heroes","W","U","41320","2.86","15735","3.35","93880","92.9%","56.8%","16464","56.1%","24950","58.7%","41414","57.7%","52363","56.1%","1.6pp"
"Okoye, Dora Milaje Leader","W","U","46787","3.24","15086","3.85","85818","88.6%","56.8%","14737","57.1%","23019","59.0%","37756","58.3%","47925","55.7%","2.6pp"
"Origin of the Avengers","W","R","10623","1.91","5599","1.97","31888","90.5%","55.8%","5710","58.1%","8351","57.6%","14061","57.8%","17827","54.3%","3.5pp"
"Panther Pounce","W","C","218548","6.96","29026","10.22","52253","28.2%","54.2%","8613","50.6%","13333","56.3%","21946","54.1%","30316","54.2%","-0.1pp"
"Patriot, Shield Wielder","W","U","52381","3.59","15052","4.43","87752","91.1%","56.6%","15647","57.4%","22801","56.9%","38448","57.1%","49358","56.3%","0.9pp"
"Political Triumph","W","U","46647","3.41","15107","3.86","84210","86.2%","57.5%","14875","63.8%","21631","56.2%","36506","59.3%","47678","56.1%","3.2pp"
"Quake, Agent of S.H.I.E.L.D.","W","U","66607","4.67","11624","6.48","48989","66.3%","55.3%","8502","54.5%","12643","55.4%","21145","55.0%","27881","55.5%","-0.5pp"
"Raft Security Officer","W","C","168861","4.82","40860","6.22","227122","86.2%","57.3%","40411","56.9%","60600","57.5%","101011","57.3%","126653","57.3%","0.0pp"
"Red Guardian, Super-Soldier","W","U","41941","2.95","14526","3.44","86056","92.0%","57.1%","15060","57.1%","23166","59.4%","38226","58.5%","47858","55.9%","2.6pp"
"The Sentry, Golden Guardian","W","R","12642","2.32","4072","2.44","20354","81.0%","53.3%","3553","51.5%","5587","53.7%","9140","52.9%","11342","53.3%","-0.4pp"
"S.H.I.E.L.D. Spy Kit","W","C","178847","5.35","38545","6.83","184693","74.5%","57.0%","31976","57.9%","48346","58.0%","80322","58.0%","104354","56.2%","1.7pp"
"Super Villain Lockup","W","U","37481","2.64","11949","3.15","69013","91.4%","55.2%","11738","54.3%","18480","57.4%","30218","56.2%","38800","54.5%","1.7pp"
