"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Long-Bodied Grey Dog","","C","236475","7.15","28061","10.54","36156","20.4%","52.7%","6380","52.8%","8856","52.8%","15236","52.8%","20917","52.6%","0.2pp"
"Old Thrush","","C","232567","7.04","26506","10.43","39474","23.8%","52.3%","7279","52.1%","10010","53.8%","17289","53.1%","22187","51.7%","1.4pp"
"Troop of Ponies","","U","83687","5.10","11352","7.49","34693","49.0%","53.2%","6464","54.3%","8583","53.2%","15047","53.7%","19597","52.9%","0.8pp"
"Belladonna Took","W","R","16478","3.39","3522","4.10","13106","61.0%","51.9%","2406","50.8%","3789","52.6%","6195","51.9%","6867","51.9%","0.1pp"
"Bilbo's Gambit","W","R","26404","5.15","3226","7.84","3468","17.4%","48.3%","602","47.3%","935","47.9%","1537","47.7%","1931","48.8%","-1.1pp"
"Bofur, Reliable Guardian","W","U","65643","4.25","12563","5.59","61431","77.2%","55.2%","10702","53.9%","16269","57.9%","26971","56.3%","34185","54.3%","2.0pp"
"Celebrate the Mountain-king","W","U","40273","2.65","18055","2.91","107046","91.2%","57.9%","18061","59.3%","31332","63.4%","49393","61.9%","57592","54.5%","7.4pp"
"Dáin, Lord of the Iron Hills","W","U","63656","4.25","11624","5.63","52868","72.7%","54.1%","9342","53.6%","13691","54.2%","23033","53.9%","29627","54.1%","-0.2pp"
"Dwarven Provisioner","W","C","215703","6.31","33725","8.78","126549","59.2%","55.2%","22580","53.6%","34397","56.0%","56977","55.1%","69255","55.3%","-0.2pp"
"Dwarven Shortsword","W","C","207117","6.06","28112","8.75","95219","53.9%","54.2%","16134","52.1%","23831","53.8%","39965","53.1%","54667","55.0%","-1.9pp"
"Eagle of the Great Shelf","W","U","83562","5.82","10555","8.35","26657","40.9%","51.2%","4295","47.8%","7818","54.0%","12113","51.8%","14684","50.7%","1.0pp"
"The Eagles Are Coming!","W","R","9827","2.10","5334","2.11","30161","88.2%","56.6%","5117","56.9%","8906","61.0%","14023","59.5%","16155","54.0%","5.6pp"
"Esgaroth Garrison","W","C","232590","7.62","30938","10.75","48424","24.9%","54.5%","7997","53.2%","15228","57.9%","23225","56.3%","25318","52.9%","3.5pp"
"Fíli the Pathfinder","W","R","9150","1.98","5427","1.94","31993","89.3%","59.2%","5692","65.7%","8636","66.5%","14328","66.2%","17429","53.2%","13.0pp"
"Gleaming Splendor","W","M","9789","3.97","1252","5.92","1398","18.0%","41.8%","243","","367","","610","38.0%","787","44.9%","-6.8pp"
"Iron Hills Blacksmith","W","U","51894","3.35","14565","4.02","80398","86.5%","56.3%","14698","58.3%","21277","57.0%","35975","57.5%","44202","55.3%","2.3pp"
"Kíli the Resourceful","W","R","11140","2.37","5152","2.37","27585","82.6%","57.5%","5024","67.1%","6908","59.8%","11932","62.8%","15453","53.2%","9.6pp"
"Lake-town Lookout","W","C","229154","7.43","26419","10.84","34839","21.0%","51.2%","6221","51.3%","10296","51.9%","16517","51.7%","18316","50.7%","0.9pp"
"Lake-town Toymaker","W","U","87970","6.22","13099","8.59","30588","37.6%","52.6%","5181","50.1%","9896","55.3%","15077","53.5%","15559","51.8%","1.7pp"
"Magnificent End","W","C","169772","4.56","33365","6.10","172864","82.1%","55.3%","29495","53.8%","50058","57.5%","79553","56.1%","93370","54.6%","1.5pp"
"Moment of Glory","W","C","233819","7.69","26623","11.28","25057","15.1%","51.2%","4240","48.3%","7264","52.5%","11504","50.9%","13568","51.3%","-0.4pp"
"The Mountain-king's Return","W","U","49229","3.23","17874","3.61","101870","88.3%","57.8%","18071","60.7%","29555","61.4%","47626","61.1%","54238","54.9%","6.2pp"
"Ori, Keeper of Songs","W","C","219410","6.70","29507","9.59","85925","46.3%","55.0%","14898","54.4%","21448","54.8%","36346","54.6%","49245","55.1%","-0.5pp"
"The Queen of Dale","W","M","4972","2.10","2272","2.15","11998","84.2%","55.4%","2140","58.6%","3434","58.0%","5574","58.3%","6416","53.0%","5.3pp"
"Roads Go Ever, Ever On","W","R","17201","3.40","4299","4.04","19455","72.3%","55.5%","3468","56.6%","5397","56.0%","8865","56.2%","10585","55.0%","1.3pp"
"Settle the Wreckage","W","R","11430","2.38","4536","2.49","24594","85.5%","55.7%","4174","54.5%","7194","60.8%","11368","58.5%","13231","53.4%","5.1pp"
"Stone by Sunlight","W","U","48058","3.08","17024","3.51","97782","89.9%","57.1%","16715","57.0%","28105","62.0%","44820","60.1%","52987","54.6%","5.5pp"
"Thorin's Last Stand","W","C","236083","7.88","25208","11.59","14905","9.5%","49.5%","2364","44.8%","3988","50.6%","6352","48.5%","8560","50.4%","-1.9pp"
"An Unexpected Party","W","R","8317","1.74","5650","1.71","34256","91.7%","58.7%","5891","61.8%","9769","67.0%","15660","65.0%","18574","53.4%","11.6pp"
"Velvetwing Butterflies","W","C","224172","6.91","26242","10.14","49165","29.9%","52.6%","8413","48.9%","13247","55.5%","21660","52.9%","27563","52.4%","0.5pp"
"Vow to Erebor","W","C","234269","7.80","25717","11.44","25871","16.0%","52.2%","4201","49.7%","6129","51.9%","10330","51.0%","15546","53.0%","-2.0pp"
