"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Long-Bodied Grey Dog","","C","261291","7.14","31315","10.52","41485","20.9%","52.9%","7313","53.1%","10239","53.1%","17552","53.1%","23930","52.8%","0.3pp"
"Old Thrush","","C","256788","7.02","29531","10.40","46244","24.9%","52.6%","8596","52.4%","11764","54.2%","20360","53.4%","25888","51.9%","1.6pp"
"Troop of Ponies","","U","92956","5.14","12560","7.57","38096","48.4%","53.3%","7068","54.3%","9462","53.3%","16530","53.8%","21517","52.9%","0.8pp"
"Belladonna Took","W","R","18476","3.42","3844","4.17","14274","60.3%","51.9%","2619","50.7%","4108","52.8%","6727","52.0%","7499","51.9%","0.1pp"
"Bilbo's Gambit","W","R","29502","5.19","3574","7.92","3625","16.3%","48.5%","626","47.3%","972","47.9%","1598","47.7%","2027","49.1%","-1.4pp"
"Bofur, Reliable Guardian","W","U","72840","4.25","13993","5.60","68791","77.3%","55.3%","11984","53.7%","18303","58.2%","30287","56.4%","38191","54.4%","2.1pp"
"Celebrate the Mountain-king","W","U","44335","2.64","20085","2.90","119821","91.4%","57.9%","20223","59.5%","35009","63.4%","55232","62.0%","64520","54.5%","7.5pp"
"Dáin, Lord of the Iron Hills","W","U","70822","4.27","12796","5.69","58182","72.4%","54.2%","10305","53.7%","15106","54.3%","25411","54.0%","32535","54.3%","-0.2pp"
"Dwarven Provisioner","W","C","238411","6.30","37426","8.77","141757","59.5%","55.3%","25311","53.7%","38746","56.2%","64057","55.2%","77343","55.3%","-0.1pp"
"Dwarven Shortsword","W","C","228967","6.07","30844","8.77","104241","53.6%","54.3%","17663","52.2%","26070","53.8%","43733","53.1%","59856","55.0%","-1.9pp"
"Eagle of the Great Shelf","W","U","92749","5.85","11609","8.44","28648","39.8%","51.2%","4605","47.8%","8419","54.0%","13024","51.8%","15777","50.7%","1.1pp"
"The Eagles Are Coming!","W","R","10906","2.11","5918","2.12","33589","88.3%","56.7%","5707","57.0%","9934","61.2%","15641","59.6%","17968","54.1%","5.6pp"
"Esgaroth Garrison","W","C","256777","7.59","34558","10.69","57217","26.2%","54.8%","9458","53.5%","18056","58.3%","27514","56.7%","29855","53.1%","3.6pp"
"Fíli the Pathfinder","W","R","10164","1.98","6063","1.94","35678","89.2%","59.1%","6352","65.2%","9669","66.5%","16021","66.0%","19389","53.2%","12.8pp"
"Gleaming Splendor","W","M","10975","4.02","1399","6.03","1526","17.6%","42.7%","261","","401","","662","39.0%","863","45.5%","-6.6pp"
"Iron Hills Blacksmith","W","U","57319","3.35","16087","4.03","89364","86.5%","56.4%","16320","58.4%","23724","57.3%","40044","57.7%","49082","55.3%","2.4pp"
"Kíli the Resourceful","W","R","12293","2.37","5713","2.38","30538","82.5%","57.6%","5541","67.0%","7654","60.0%","13195","63.0%","17107","53.3%","9.6pp"
"Lake-town Lookout","W","C","253496","7.46","28966","10.89","37191","20.4%","51.2%","6613","51.1%","11005","52.1%","17618","51.7%","19568","50.7%","1.0pp"
"Lake-town Toymaker","W","U","97464","6.26","14351","8.67","32821","36.7%","52.6%","5558","50.2%","10629","55.4%","16187","53.6%","16688","51.7%","1.9pp"
