"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Agent 13, Sharon Carter","W","U","31997","3.00","13101","3.36","77867","92.4%","57.4%","13850","58.8%","20947","59.0%","34797","58.9%","43272","56.2%","2.7pp"
"Agent Maria Hill","W","U","39358","3.60","12962","4.17","70302","83.5%","58.4%","12440","62.4%","17934","57.7%","30374","59.6%","39836","57.5%","2.1pp"
"Agent of Atlas","W","C","155534","5.88","27559","8.17","112642","63.8%","56.7%","20162","57.8%","27433","54.7%","47595","56.1%","64912","57.2%","-1.2pp"
"Agent Phil Coulson","W","R","6652","1.58","4912","1.57","30420","94.7%","58.5%","5385","67.7%","8298","61.1%","13683","63.7%","16807","54.4%","9.3pp"
"Agents of S.H.I.E.L.D.","W","C","156821","5.99","25180","8.51","91314","57.1%","55.8%","15856","55.3%","23705","55.6%","39561","55.5%","51740","56.1%","-0.6pp"
"Avengers Assemble!","W","M","3029","1.49","2321","1.46","14354","93.7%","58.9%","2413","63.9%","3893","64.9%","6306","64.5%","8050","54.5%","10.1pp"
"Borough Backup","W","C","135129","4.80","32514","6.33","176841","84.3%","57.7%","32102","56.6%","46739","59.5%","78841","58.3%","98012","57.2%","1.2pp"
"Brave Brawler","W","C","130366","4.62","30208","6.09","173520","89.1%","57.7%","30851","58.7%","45684","57.6%","76535","58.0%","97032","57.5%","0.6pp"
"Captain America, Super-Soldier","W","M","3073","1.46","2215","1.46","13222","93.0%","57.4%","2297","59.9%","3686","60.6%","5983","60.3%","7340","55.0%","5.3pp"
"Captain America, Wings of Freedom","W","R","6515","1.53","4753","1.53","29113","94.7%","58.6%","5183","63.3%","7946","61.1%","13129","62.0%","16103","55.9%","6.0pp"
"Captain Marvel, Earth's Protector","W","M","2650","1.28","2312","1.27","15021","95.8%","61.1%","2524","65.5%","4350","70.2%","6874","68.5%","8190","55.0%","13.5pp"
"Captain Mar-Vell, Space-Born","W","U","49360","4.53","7719","6.43","31586","65.0%","54.4%","5260","52.0%","8719","55.5%","13979","54.2%","17778","54.6%","-0.4pp"
"Colleen Wing, Street Samurai","W","U","49938","4.56","8705","6.32","35893","64.7%","55.4%","6390","56.6%","8804","54.2%","15194","55.2%","20680","55.5%","-0.3pp"
"Crowd of True Believers","W","C","170057","7.12","25542","10.00","54899","33.6%","56.4%","9670","57.5%","13358","54.9%","23028","56.0%","31886","56.7%","-0.7pp"
"Helicarrier Strike","W","C","128423","4.49","27424","6.07","150016","85.0%","56.7%","25827","55.6%","39998","58.1%","65825","57.2%","84203","56.3%","0.8pp"
"Hero in Training","W","C","93206","3.48","36590","3.96","226532","94.0%","59.2%","39916","60.0%","62328","61.8%","102244","61.1%","123810","57.6%","3.5pp"
"Invisible Woman, Sue Storm","W","U","55901","5.53","6318","8.37","11549","30.0%","49.6%","1858","42.6%","2936","48.4%","4794","46.1%","6781","51.9%","-5.8pp"
"Jennifer Walters","W","M","3064","1.47","2321","1.45","14490","93.9%","59.7%","2614","65.1%","4057","64.2%","6671","64.5%","7893","55.7%","8.8pp"
"Kree Commandos","W","C","167410","6.99","19516","10.51","25368","20.6%","52.6%","4395","50.4%","6344","52.4%","10739","51.6%","14679","53.4%","-1.8pp"
"Luke Cage, Power Man","W","U","57062","5.51","6939","8.31","16747","38.8%","52.7%","2807","50.1%","4249","52.7%","7056","51.7%","9737","53.4%","-1.7pp"
"The Mind Stone","W","M","3886","1.88","1989","1.89","10240","83.4%","54.6%","1798","57.8%","2746","54.7%","4544","55.9%","5697","53.6%","2.4pp"
"Mockingbird, Ace Agent","W","U","53984","5.13","6737","7.62","16745","40.1%","52.1%","2855","49.2%","4224","50.9%","7079","50.2%","9704","53.3%","-3.1pp"
"Monica Rambeau","W","M","2885","1.45","2279","1.43","14082","94.9%","58.0%","2487","61.5%","3912","64.6%","6399","63.4%","7663","53.5%","9.9pp"
