"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Agent 13, Sharon Carter","W","U","37494","2.93","15482","3.28","92423","92.7%","57.2%","16407","58.7%","24849","58.6%","41256","58.7%","51391","56.1%","2.6pp"
"Agent Maria Hill","W","U","47307","3.58","15384","4.16","83864","83.7%","58.2%","14804","62.3%","21320","57.5%","36124","59.5%","47633","57.3%","2.2pp"
"Agent of Atlas","W","C","186339","5.82","32901","8.11","135864","64.4%","56.5%","24269","57.6%","33067","54.6%","57336","55.8%","78352","57.1%","-1.2pp"
"Agent Phil Coulson","W","R","7885","1.56","5836","1.56","36284","94.9%","58.3%","6420","67.4%","9906","61.2%","16326","63.7%","20042","54.1%","9.6pp"
"Agents of S.H.I.E.L.D.","W","C","187190","5.90","29987","8.42","112066","58.6%","55.8%","19506","55.3%","29074","55.7%","48580","55.5%","63470","56.0%","-0.4pp"
"Avengers Assemble!","W","M","3616","1.49","2794","1.46","17211","93.6%","58.6%","2917","62.9%","4657","64.8%","7574","64.0%","9640","54.2%","9.8pp"
"Borough Backup","W","C","159001","4.68","38636","6.17","212166","85.0%","57.4%","38433","56.3%","56173","59.3%","94606","58.1%","117578","56.9%","1.2pp"
"Brave Brawler","W","C","153803","4.51","36281","5.93","209933","89.7%","57.4%","37385","58.5%","55225","57.4%","92610","57.8%","117354","57.1%","0.7pp"
"Captain America, Super-Soldier","W","M","3741","1.47","2682","1.47","16018","93.2%","56.8%","2818","58.9%","4500","59.5%","7318","59.3%","8829","54.7%","4.6pp"
"Captain America, Wings of Freedom","W","R","7809","1.53","5695","1.53","34764","94.4%","58.2%","6215","62.3%","9518","60.5%","15733","61.2%","19173","55.7%","5.6pp"
"Captain Marvel, Earth's Protector","W","M","3162","1.27","2772","1.26","18108","96.1%","61.0%","3040","64.9%","5296","70.2%","8336","68.3%","9831","54.8%","13.4pp"
"Captain Mar-Vell, Space-Born","W","U","60466","4.60","9127","6.60","36500","63.4%","54.3%","6066","51.9%","9983","55.4%","16049","54.1%","20629","54.4%","-0.3pp"
"Colleen Wing, Street Samurai","W","U","60619","4.56","10399","6.37","42745","64.5%","55.0%","7609","56.4%","10524","54.0%","18133","55.0%","24588","55.1%","-0.1pp"
"Crowd of True Believers","W","C","204702","7.07","30711","9.94","67724","34.5%","56.3%","11971","57.4%","16484","54.8%","28455","55.9%","39287","56.5%","-0.6pp"
"Helicarrier Strike","W","C","153418","4.43","32506","6.02","178391","85.3%","56.5%","30750","55.5%","47642","58.0%","78392","57.0%","100013","56.1%","0.9pp"
"Hero in Training","W","C","108421","3.37","43438","3.83","269163","94.1%","58.9%","47634","59.7%","73918","61.4%","121552","60.7%","147027","57.4%","3.4pp"
"Invisible Woman, Sue Storm","W","U","68191","5.62","7547","8.58","12942","28.0%","49.2%","2060","42.7%","3286","48.0%","5346","46.0%","7621","51.4%","-5.4pp"
"Jennifer Walters","W","M","3659","1.46","2808","1.44","17528","94.2%","59.4%","3176","64.5%","4872","64.1%","8048","64.3%","9557","55.2%","9.1pp"
"Kree Commandos","W","C","201949","7.02","23328","10.58","29518","20.0%","52.6%","5121","50.5%","7348","52.2%","12469","51.5%","17104","53.4%","-1.9pp"
"Luke Cage, Power Man","W","U","69341","5.58","8208","8.46","19123","37.2%","52.7%","3211","50.2%","4824","52.5%","8035","51.6%","11139","53.4%","-1.8pp"
"The Mind Stone","W","M","4703","1.89","2413","1.91","12399","83.0%","54.7%","2183","57.3%","3313","55.2%","5496","56.0%","6905","53.6%","2.5pp"
"Mockingbird, Ace Agent","W","U","65797","5.20","8041","7.78","19606","39.2%","52.0%","3318","49.2%","4928","51.0%","8246","50.3%","11404","53.2%","-2.9pp"
"Monica Rambeau","W","M","3468","1.43","2766","1.41","17114","95.0%","58.0%","3066","61.3%","4695","64.3%","7761","63.1%","9331","53.8%","9.3pp"
"Murdock's Crusade","W","C","129624","3.93","35476","4.85","206178","89.1%","57.9%","34910","57.5%","55918","61.4%","90828","59.9%","115422","56.3%","3.6pp"
"Nick Fury, Agent of S.H.I.E.L.D.","W","R","24575","4.21","5501","5.41","21505","61.6%","56.2%","3815","57.1%","5439","56.4%","9254","56.7%","12221","55.8%","0.8pp"
"Night Nurse, Healer of Heroes","W","U","38856","2.86","14850","3.35","88606","93.0%","56.9%","15525","56.4%","23519","58.9%","39044","57.9%","49460","56.2%","1.7pp"
"Okoye, Dora Milaje Leader","W","U","43888","3.24","14203","3.84","80941","88.7%","56.9%","13812","57.3%","21736","59.1%","35548","58.4%","45261","55.8%","2.6pp"
"Origin of the Avengers","W","R","9950","1.91","5276","1.96","29929","90.6%","55.8%","5371","58.3%","7839","57.4%","13210","57.8%","16720","54.2%","3.6pp"
"Panther Pounce","W","C","204769","6.97","27250","10.21","49184","28.3%","54.2%","8097","50.7%","12573","56.4%","20670","54.2%","28523","54.3%","-0.1pp"
"Patriot, Shield Wielder","W","U","49131","3.59","14217","4.42","82877","91.2%","56.7%","14798","57.7%","21507","56.9%","36305","57.2%","46623","56.3%","0.9pp"
"Political Triumph","W","U","44090","3.44","14172","3.90","78789","86.0%","57.7%","13910","64.1%","20190","56.3%","34100","59.5%","44666","56.3%","3.2pp"
"Quake, Agent of S.H.I.E.L.D.","W","U","62148","4.66","10944","6.44","46439","66.8%","55.4%","8027","54.8%","11988","55.5%","20015","55.2%","26462","55.6%","-0.4pp"
"Raft Security Officer","W","C","159400","4.87","38468","6.28","213123","86.0%","57.4%","37957","57.0%","56811","57.6%","94768","57.4%","118848","57.4%","-0.0pp"
"Red Guardian, Super-Soldier","W","U","39565","2.97","13639","3.46","80717","91.9%","57.1%","14157","57.2%","21688","59.4%","35845","58.5%","44897","55.9%","2.6pp"
"The Sentry, Golden Guardian","W","R","11761","2.31","3842","2.42","19355","81.3%","53.4%","3384","51.7%","5306","53.7%","8690","52.9%","10783","53.3%","-0.4pp"
"S.H.I.E.L.D. Spy Kit","W","C","168978","5.41","36142","6.91","171390","73.8%","57.0%","29637","57.9%","44816","58.0%","74453","58.0%","96918","56.3%","1.7pp"
"Super Villain Lockup","W","U","35216","2.64","11253","3.15","64901","91.3%","55.3%","11054","54.3%","17365","57.6%","28419","56.3%","36487","54.5%","1.8pp"
"Super-Soldier Serum","W","R","16228","3.07","3129","3.72","13447","70.2%","52.5%","2287","52.7%","3471","54.6%","5758","53.9%","7693","51.4%","2.4pp"
"Take Up the Shield","W","C","149325","4.38","33937","5.84","189395","86.5%","57.1%","31765","55.7%","50571","60.5%","82336","58.6%","107103","55.9%","2.8pp"
"Wakandan Drone Flock","W","C","188860","5.95","33871","8.16","133868","61.3%","57.0%","22740","54.9%","37065","58.7%","59805","57.2%","74665","56.8%","0.4pp"
"Web Up","W","C","83693","2.60","35789","3.00","220436","95.1%","57.4%","37620","56.7%","60497","61.3%","98117","59.6%","122327","55.7%","3.9pp"
"White Widow, Free Agent","W","U","48957","3.56","11625","4.56","62816","85.2%","55.6%","10695","52.9%","16642","57.4%","27337","55.6%","35416","55.5%","0.1pp"
"Aerial Doombot","U","C","172810","5.26","32350","7.27","155801","75.7%","56.2%","27747","57.0%","42699","57.7%","70446","57.4%","85642","55.2%","2.2pp"
"A.I.M. Scientists","U","C","185569","5.64","35432","7.85","149802","66.2%","56.3%","27373","55.7%","42048","57.7%","69421","56.9%","80617","55.8%","1.1pp"
"Atlantean Cavalry","U","C","200528","7.04","25974","10.30","45664","28.1%","52.4%","8052","52.3%","13191","53.1%","21243","52.8%","24520","52.1%","0.7pp"
"Atlantis Attacks","U","C","177573","5.51","35411","7.52","153111","68.0%","56.1%","25319","53.1%","43510","59.0%","68829","56.8%","84386","55.6%","1.2pp"
"Attuma, Atlantean Warlord","U","U","70402","5.58","11937","7.71","34211","45.8%","53.9%","5758","54.3%","10000","55.2%","15758","54.9%","18645","53.1%","1.8pp"
"Bold Biochemist","U","C","183308","5.69","38484","7.62","187681","76.0%","57.0%","33417","55.3%","52363","58.8%","85780","57.5%","102097","56.7%","0.8pp"
"Bruce Banner","U","M","4570","1.88","2864","1.81","16561","91.3%","57.2%","2974","62.5%","4573","59.6%","7547","60.7%","9067","54.3%","6.4pp"
"Depower","U","C","198226","6.49","31507","9.23","86861","43.5%","55.2%","14927","53.4%","24313","57.8%","39240","56.1%","47637","54.4%","1.7pp"
"Echo, Perceptive Prodigy","U","U","70982","5.54","12429","7.62","44529","56.8%","54.3%","7761","51.1%","12202","54.2%","19963","53.0%","24619","55.4%","-2.4pp"
"Falcon, Winged Wonder","U","U","46184","3.45","16155","4.03","91761","88.0%","57.8%","15607","57.2%","26493","61.4%","42100","59.8%","49888","56.2%","3.7pp"
"Falcon's Wing Harness","U","U","59526","4.38","12516","5.79","58850","74.1%","55.8%","9973","54.5%","16176","59.2%","26149","57.4%","32676","54.5%","2.9pp"
"Frozen in Ice","U","C","121368","3.60","33256","4.61","194288","91.6%","56.3%","33048","54.0%","55194","59.6%","88242","57.5%","106067","55.3%","2.2pp"
"Futurist Forge","U","C","175828","5.42","33121","7.44","150331","71.1%","56.5%","27061","56.1%","41604","59.2%","68665","58.0%","81595","55.2%","2.7pp"
"Giant-Sized Flying Ant","U","C","193730","6.31","33977","8.69","117032","54.1%","56.7%","19720","54.1%","33591","59.7%","53311","57.6%","63984","55.9%","1.7pp"
"Hydraulic Helper","U","C","201582","7.16","28798","10.13","63804","35.2%","54.0%","11520","54.4%","16728","54.9%","28248","54.7%","35521","53.5%","1.2pp"
"I Am Iron Man","U","C","202818","7.05","30638","10.00","68780","35.5%","54.6%","11454","53.0%","18921","57.1%","30375","55.6%","38424","53.8%","1.8pp"
"Iron Lad, Diverging Destiny","U","U","56632","4.36","10373","5.76","46054","70.8%","54.2%","8056","54.3%","12566","55.4%","20622","55.0%","25513","53.5%","1.4pp"
"Ironheart, Clever Champion","U","R","20453","3.83","3845","4.83","14513","61.5%","51.9%","2443","50.1%","4102","54.3%","6545","52.7%","8047","51.1%","1.6pp"
"Justice, Vance Astrovik","U","U","32577","2.56","17476","2.75","108568","94.1%","59.2%","19120","61.5%","31079","64.2%","50199","63.2%","58418","55.7%","7.5pp"
"Kang the Conqueror","U","M","3843","1.56","2748","1.54","16408","92.8%","57.3%","2806","56.8%","4874","64.2%","7680","61.5%","8861","53.6%","7.9pp"
"Kid Loki","U","U","65217","4.98","10245","7.00","36007","56.7%","53.0%","6305","54.4%","10310","53.4%","16615","53.7%","19398","52.3%","1.4pp"
"Leader, Super-Genius","U","R","8396","1.66","6465","1.63","40604","94.9%","59.6%","7044","67.6%","12028","67.9%","19072","67.8%","21885","52.8%","15.0pp"
"Loki, God of Mischief","U","R","10969","2.12","5627","2.16","32278","89.7%","56.3%","5834","58.7%","8953","58.6%","14787","58.6%","17619","54.3%","4.3pp"
