"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Agent 13, Sharon Carter","W","U","22872","3.06","9301","3.42","55740","92.2%","57.8%","9825","59.3%","15082","59.3%","24907","59.3%","30985","56.6%","2.7pp"
"Agent Maria Hill","W","U","27668","3.63","9283","4.18","50344","83.3%","59.0%","8881","63.0%","12880","58.0%","21761","60.1%","28519","58.2%","1.9pp"
"Agent of Atlas","W","C","108652","5.98","19303","8.26","78388","62.8%","57.3%","13931","58.4%","19133","55.0%","33064","56.4%","45238","58.0%","-1.5pp"
"Agent Phil Coulson","W","R","4667","1.60","3418","1.59","21329","94.7%","59.0%","3768","67.9%","5812","61.8%","9580","64.2%","11779","54.9%","9.2pp"
"Agents of S.H.I.E.L.D.","W","C","109938","6.13","17728","8.68","61761","54.5%","56.5%","10674","55.7%","16134","56.5%","26808","56.2%","34921","56.6%","-0.4pp"
"Avengers Assemble!","W","M","2122","1.50","1622","1.48","10177","93.8%","59.5%","1697","65.2%","2765","64.8%","4462","64.9%","5717","55.3%","9.7pp"
"Borough Backup","W","C","96880","4.96","23065","6.53","124500","83.2%","58.3%","22580","57.2%","32863","60.0%","55443","58.9%","69067","57.9%","1.0pp"
"Brave Brawler","W","C","93336","4.76","21047","6.31","120744","88.3%","58.5%","21562","59.5%","31553","58.5%","53115","58.9%","67641","58.2%","0.7pp"
"Captain America, Super-Soldier","W","M","2167","1.47","1531","1.46","9312","92.8%","58.4%","1640","60.9%","2586","62.1%","4226","61.7%","5161","55.6%","6.1pp"
"Captain America, Wings of Freedom","W","R","4610","1.56","3375","1.56","20746","94.6%","59.3%","3725","63.6%","5672","62.0%","9397","62.7%","11421","56.7%","6.0pp"
"Captain Marvel, Earth's Protector","W","M","1877","1.30","1620","1.28","10513","95.9%","61.4%","1753","65.9%","3031","70.9%","4784","69.1%","5754","55.1%","14.0pp"
"Captain Mar-Vell, Space-Born","W","U","33523","4.43","5443","6.22","23104","67.1%","54.9%","3881","52.6%","6327","55.6%","10208","54.5%","13014","55.2%","-0.7pp"
"Colleen Wing, Street Samurai","W","U","34220","4.57","6110","6.31","25257","64.4%","55.7%","4493","57.2%","6189","54.8%","10682","55.8%","14558","55.6%","0.2pp"
"Crowd of True Believers","W","C","118497","7.23","17686","10.14","35551","31.2%","57.3%","6314","58.4%","8623","55.7%","14937","56.9%","20624","57.6%","-0.8pp"
"Helicarrier Strike","W","C","90583","4.57","19537","6.15","106745","84.4%","57.3%","18439","56.0%","28336","58.9%","46775","57.8%","59979","56.9%","0.9pp"
"Hero in Training","W","C","68034","3.60","25997","4.15","162068","93.9%","60.0%","28551","60.7%","44561","62.5%","73112","61.8%","88620","58.5%","3.3pp"
"Invisible Woman, Sue Storm","W","U","37912","5.38","4365","8.04","8816","32.7%","49.9%","1420","43.5%","2238","48.2%","3658","46.3%","5182","52.4%","-6.0pp"
"Jennifer Walters","W","M","2132","1.49","1596","1.47","10054","93.7%","60.2%","1844","66.0%","2756","64.6%","4600","65.2%","5517","56.2%","9.0pp"
"Kree Commandos","W","C","115965","6.96","13711","10.47","18155","20.9%","52.7%","3129","50.8%","4508","52.2%","7637","51.6%","10560","53.5%","-1.9pp"
"Luke Cage, Power Man","W","U","38890","5.42","4830","8.13","12314","40.4%","52.9%","2052","49.6%","3102","52.9%","5154","51.6%","7194","53.7%","-2.1pp"
"The Mind Stone","W","M","2721","1.89","1428","1.89","7440","83.5%","55.4%","1314","57.5%","1994","55.5%","3308","56.3%","4133","54.7%","1.6pp"
"Mockingbird, Ace Agent","W","U","36790","5.04","4653","7.43","12089","41.4%","52.2%","2065","49.3%","3036","51.2%","5101","50.4%","7023","53.3%","-2.9pp"
"Monica Rambeau","W","M","2011","1.47","1574","1.45","9762","94.8%","58.2%","1726","61.6%","2754","64.5%","4480","63.4%","5280","53.8%","9.6pp"
"Murdock's Crusade","W","C","80140","4.17","20903","5.21","120242","87.8%","58.8%","20412","58.5%","32708","62.1%","53120","60.7%","67164","57.3%","3.4pp"
"Nick Fury, Agent of S.H.I.E.L.D.","W","R","14006","4.17","3208","5.36","12252","60.1%","57.2%","2190","58.8%","3134","57.2%","5324","57.8%","6907","56.8%","1.0pp"
"Night Nurse, Healer of Heroes","W","U","22895","2.94","8797","3.42","53009","92.8%","57.8%","9298","57.4%","14012","59.5%","23310","58.7%","29637","57.2%","1.5pp"
"Okoye, Dora Milaje Leader","W","U","25633","3.26","8448","3.83","48757","88.9%","57.6%","8293","57.6%","13040","60.0%","21333","59.0%","27364","56.6%","2.5pp"
"Origin of the Avengers","W","R","5708","1.90","3075","1.94","17566","90.6%","56.5%","3188","59.2%","4569","57.8%","7757","58.4%","9811","55.0%","3.4pp"
"Panther Pounce","W","C","117940","7.01","16031","10.23","29223","28.4%","54.8%","4824","51.6%","7574","56.5%","12398","54.6%","16834","54.9%","-0.3pp"
"Patriot, Shield Wielder","W","U","28909","3.67","8535","4.47","50141","91.0%","57.6%","8957","58.9%","13098","58.0%","22055","58.3%","28114","57.1%","1.2pp"
"Political Triumph","W","U","27418","3.67","8316","4.20","45528","84.2%","58.7%","7965","65.0%","11763","57.5%","19728","60.5%","25785","57.2%","3.3pp"
"Quake, Agent of S.H.I.E.L.D.","W","U","35212","4.63","6595","6.29","28403","67.5%","56.2%","4842","55.7%","7398","55.7%","12240","55.7%","16186","56.5%","-0.7pp"
"Raft Security Officer","W","C","97628","5.23","22988","6.75","124777","83.7%","58.4%","22341","57.5%","33129","58.9%","55470","58.3%","69568","58.5%","-0.2pp"
"Red Guardian, Super-Soldier","W","U","23823","3.09","7940","3.63","47196","91.3%","58.2%","8288","59.0%","12633","60.4%","20921","59.8%","26292","56.9%","3.0pp"
"The Sentry, Golden Guardian","W","R","6388","2.19","2418","2.29","12833","83.5%","54.3%","2248","52.1%","3526","54.1%","5774","53.3%","7140","54.6%","-1.2pp"
"S.H.I.E.L.D. Spy Kit","W","C","105076","5.88","20970","7.62","91223","67.7%","58.1%","15678","59.0%","23915","58.9%","39593","58.9%","51623","57.5%","1.4pp"
"Super Villain Lockup","W","U","20548","2.70","6692","3.20","38912","91.2%","56.1%","6630","54.7%","10370","58.9%","17000","57.2%","21914","55.2%","2.0pp"
"Super-Soldier Serum","W","R","8929","2.99","1841","3.57","8065","70.8%","52.7%","1366","54.1%","2114","54.0%","3480","54.1%","4589","51.7%","2.4pp"
"Take Up the Shield","W","C","89193","4.56","20012","6.09","111108","85.8%","58.0%","18606","56.9%","29678","61.1%","48284","59.5%","62848","56.9%","2.6pp"
"Wakandan Drone Flock","W","C","111186","6.18","20159","8.38","76585","58.8%","57.9%","13039","55.9%","21107","59.4%","34146","58.1%","42777","57.7%","0.4pp"
"Web Up","W","C","51367","2.72","21345","3.16","132804","95.0%","58.3%","22775","57.7%","36359","62.4%","59134","60.6%","73672","56.5%","4.1pp"
"White Widow, Free Agent","W","U","28165","3.55","7093","4.47","39170","85.9%","56.6%","6623","53.7%","10302","58.0%","16925","56.3%","22205","56.8%","-0.5pp"
"Aerial Doombot","U","C","101872","5.47","18419","7.56","83975","71.7%","56.5%","14986","57.5%","22908","58.3%","37894","57.9%","46244","55.3%","2.6pp"
"A.I.M. Scientists","U","C","108549","5.79","20686","8.03","84732","63.9%","56.7%","15530","56.1%","23808","58.0%","39338","57.2%","45522","56.1%","1.1pp"
"Atlantean Cavalry","U","C","115746","7.08","15013","10.32","26327","27.9%","52.2%","4594","52.4%","7598","53.3%","12192","53.0%","14180","51.5%","1.5pp"
"Atlantis Attacks","U","C","101643","5.51","21375","7.40","94778","69.1%","56.6%","15832","53.6%","27003","59.3%","42835","57.2%","52012","56.2%","1.0pp"
"Attuma, Atlantean Warlord","U","U","40183","5.57","7082","7.62","20507","46.0%","54.5%","3432","54.2%","6030","55.5%","9462","55.0%","11168","54.0%","1.0pp"
"Bold Biochemist","U","C","107427","5.90","22597","7.85","106901","73.5%","57.6%","19025","56.0%","29757","59.5%","48782","58.1%","58232","57.2%","0.9pp"
"Bruce Banner","U","M","2619","1.90","1596","1.81","9144","90.7%","57.5%","1661","62.4%","2528","60.0%","4189","61.0%","4981","54.7%","6.3pp"
"Depower","U","C","113596","6.44","18813","9.09","55004","45.9%","55.6%","9403","53.9%","15517","58.3%","24920","56.6%","30094","54.7%","1.9pp"
"Echo, Perceptive Prodigy","U","U","41515","5.66","7244","7.73","25174","54.6%","55.0%","4396","51.0%","6974","55.4%","11370","53.7%","13837","56.1%","-2.5pp"
"Falcon, Winged Wonder","U","U","27201","3.53","9494","4.10","53804","87.2%","58.5%","9181","57.9%","15307","62.3%","24488","60.6%","29423","56.8%","3.9pp"
"Falcon's Wing Harness","U","U","34324","4.44","7362","5.84","34522","73.2%","56.3%","5811","54.2%","9618","60.0%","15429","57.8%","19077","55.1%","2.7pp"
"Frozen in Ice","U","C","72388","3.71","19813","4.75","116095","91.1%","56.7%","19775","54.4%","32992","60.1%","52767","58.0%","63345","55.7%","2.2pp"
"Futurist Forge","U","C","102237","5.55","19235","7.57","86059","69.8%","56.9%","15582","56.8%","23743","59.5%","39325","58.4%","46702","55.6%","2.8pp"
"Giant-Sized Flying Ant","U","C","113525","6.53","19149","9.01","58826","48.3%","57.3%","9953","54.8%","16897","60.3%","26850","58.2%","32109","56.5%","1.8pp"
"Hydraulic Helper","U","C","115894","7.17","16716","10.12","37493","35.5%","54.5%","6844","54.9%","9829","55.3%","16673","55.1%","20803","54.0%","1.1pp"
"I Am Iron Man","U","C","117042","7.07","18219","9.97","41348","35.7%","54.9%","6969","53.7%","11485","57.3%","18454","55.9%","22902","54.0%","1.9pp"
"Iron Lad, Diverging Destiny","U","U","31870","4.27","6083","5.60","26860","70.3%","54.3%","4738","53.6%","7255","56.0%","11993","55.0%","14909","53.7%","1.3pp"
"Ironheart, Clever Champion","U","R","11204","3.67","2242","4.49","8570","62.4%","51.7%","1466","48.7%","2449","54.5%","3915","52.3%","4702","51.1%","1.2pp"
"Justice, Vance Astrovik","U","U","19669","2.65","10400","2.85","64707","93.8%","59.8%","11362","62.1%","18432","64.9%","29794","63.8%","34948","56.3%","7.6pp"
"Kang the Conqueror","U","M","2205","1.59","1569","1.55","9331","92.7%","57.6%","1597","58.9%","2753","63.6%","4350","61.9%","5060","53.7%","8.2pp"
"Kid Loki","U","U","36928","4.89","5934","6.83","20939","56.3%","53.4%","3689","55.3%","5986","54.2%","9675","54.6%","11274","52.4%","2.2pp"
"Leader, Super-Genius","U","R","4988","1.71","3754","1.68","23409","94.7%","59.9%","4053","68.2%","6978","68.2%","11031","68.2%","12592","52.8%","15.4pp"
"Loki, God of Mischief","U","R","6559","2.18","3215","2.24","18153","88.6%","56.4%","3248","59.0%","5005","58.7%","8253","58.8%","9956","54.4%","4.4pp"
"Mister Fantastic, Reed Richards","U","U","41770","5.82","6276","8.14","14519","36.6%","53.2%","2436","50.6%","4006","54.8%","6442","53.2%","8135","53.2%","-0.0pp"
"Ms. Marvel, Kamala Khan","U","R","10238","3.33","2476","3.84","9051","57.0%","54.4%","1589","56.2%","2529","54.7%","4118","55.3%","4961","53.6%","1.7pp"
"Multiversal Incursion","U","M","4698","3.13","1308","3.53","5167","65.0%","51.2%","842","46.2%","1443","53.4%","2285","50.8%","2886","51.5%","-0.8pp"
"Namor the Sub-Mariner","U","M","3611","2.57","1316","2.68","5796","69.9%","53.8%","986","53.5%","1653","57.4%","2639","56.0%","3197","52.0%","4.0pp"
