"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Long-Bodied Grey Dog","","C","263243","7.14","31576","10.52","41959","21.0%","52.9%","7400","53.0%","10367","53.2%","17767","53.1%","24189","52.8%","0.3pp"
"Old Thrush","","C","258738","7.02","29769","10.40","46832","25.0%","52.6%","8691","52.4%","11944","54.3%","20635","53.5%","26202","51.8%","1.6pp"
"Troop of Ponies","","U","93690","5.14","12665","7.57","38427","48.4%","53.3%","7140","54.3%","9544","53.4%","16684","53.8%","21694","52.9%","0.8pp"
"Belladonna Took","W","R","18652","3.42","3872","4.17","14372","60.3%","51.9%","2639","50.8%","4131","52.9%","6770","52.1%","7554","51.8%","0.3pp"
"Bilbo's Gambit","W","R","29742","5.19","3605","7.93","3638","16.2%","48.4%","628","47.3%","976","47.8%","1604","47.6%","2034","49.1%","-1.4pp"
"Bofur, Reliable Guardian","W","U","73409","4.25","14115","5.60","69557","77.3%","55.4%","12124","53.8%","18515","58.2%","30639","56.4%","38600","54.4%","2.0pp"
"Celebrate the Mountain-king","W","U","44624","2.64","20251","2.90","120984","91.5%","57.9%","20432","59.4%","35356","63.4%","55788","61.9%","65125","54.5%","7.5pp"
"Dáin, Lord of the Iron Hills","W","U","71401","4.28","12893","5.70","58629","72.3%","54.2%","10384","53.6%","15211","54.3%","25595","54.0%","32793","54.3%","-0.3pp"
"Dwarven Provisioner","W","C","240249","6.30","37745","8.76","143222","59.5%","55.3%","25569","53.7%","39152","56.2%","64721","55.2%","78141","55.3%","-0.1pp"
"Dwarven Shortsword","W","C","230755","6.07","31089","8.77","105116","53.6%","54.3%","17802","52.2%","26318","53.8%","44120","53.1%","60335","55.1%","-1.9pp"
"Eagle of the Great Shelf","W","U","93459","5.85","11684","8.44","28802","39.7%","51.2%","4628","47.7%","8456","54.0%","13084","51.8%","15872","50.7%","1.1pp"
"The Eagles Are Coming!","W","R","10995","2.11","5966","2.12","33938","88.3%","56.7%","5761","57.1%","10032","61.1%","15793","59.6%","18165","54.1%","5.5pp"
"Esgaroth Garrison","W","C","258706","7.59","34871","10.68","57978","26.3%","54.8%","9567","53.5%","18294","58.3%","27861","56.6%","30272","53.1%","3.5pp"
"Fíli the Pathfinder","W","R","10250","1.98","6110","1.94","36002","89.1%","59.2%","6409","65.3%","9759","66.5%","16168","66.1%","19565","53.3%","12.8pp"
"Gleaming Splendor","W","M","11087","4.02","1416","6.03","1543","17.5%","42.7%","265","","405","","670","39.1%","872","45.5%","-6.4pp"
"Iron Hills Blacksmith","W","U","57768","3.35","16219","4.03","90192","86.5%","56.4%","16459","58.4%","23957","57.3%","40416","57.7%","49535","55.3%","2.4pp"
"Kíli the Resourceful","W","R","12389","2.37","5761","2.37","30795","82.4%","57.6%","5588","67.1%","7730","60.1%","13318","63.0%","17234","53.3%","9.8pp"
"Lake-town Lookout","W","C","255481","7.47","29196","10.89","37455","20.4%","51.2%","6657","51.1%","11090","52.2%","17747","51.8%","19703","50.8%","1.0pp"
"Lake-town Toymaker","W","U","98254","6.26","14459","8.68","33057","36.6%","52.6%","5598","50.2%","10699","55.4%","16297","53.6%","16814","51.7%","1.9pp"
"Magnificent End","W","C","188210","4.54","37384","6.06","195617","82.5%","55.3%","33339","53.8%","56799","57.6%","90138","56.2%","105544","54.6%","1.6pp"
"Moment of Glory","W","C","260760","7.71","29683","11.30","27691","14.9%","51.4%","4672","48.3%","8082","52.8%","12754","51.2%","14953","51.6%","-0.5pp"
"The Mountain-king's Return","W","U","54142","3.20","19979","3.57","115006","88.7%","57.9%","20344","60.8%","33518","61.6%","53862","61.3%","61135","55.0%","6.3pp"
"Ori, Keeper of Songs","W","C","244293","6.69","32924","9.59","95856","46.1%","55.0%","16597","54.3%","23960","54.7%","40557","54.5%","54924","55.2%","-0.7pp"
"The Queen of Dale","W","M","5562","2.12","2508","2.17","13372","84.2%","55.6%","2394","58.9%","3841","58.3%","6235","58.6%","7128","53.0%","5.5pp"
"Roads Go Ever, Ever On","W","R","19363","3.43","4749","4.12","21413","71.4%","55.6%","3822","56.6%","5968","56.1%","9790","56.3%","11618","55.0%","1.3pp"
"Settle the Wreckage","W","R","12873","2.41","5061","2.53","27529","85.5%","55.8%","4678","54.8%","8087","60.7%","12765","58.5%","14769","53.4%","5.1pp"
"Stone by Sunlight","W","U","52982","3.05","18985","3.48","110110","90.1%","57.2%","18782","57.2%","31834","62.1%","50616","60.3%","59524","54.6%","5.6pp"
"Thorin's Last Stand","W","C","262727","7.91","27980","11.63","16133","9.2%","49.8%","2563","45.1%","4361","50.9%","6924","48.7%","9218","50.6%","-1.9pp"
"An Unexpected Party","W","R","9221","1.73","6315","1.71","38449","91.8%","58.9%","6609","61.6%","10957","67.4%","17566","65.2%","20859","53.5%","11.8pp"
"Velvetwing Butterflies","W","C","249831","6.93","29320","10.17","54609","29.5%","52.7%","9318","49.2%","14770","55.4%","24088","53.0%","30584","52.4%","0.6pp"
"Vow to Erebor","W","C","260702","7.81","28527","11.46","28468","15.8%","52.3%","4599","49.7%","6774","51.9%","11373","51.0%","17101","53.1%","-2.1pp"
"Bilbo, Luckwearer","U","U","57868","3.45","19443","3.85","109104","87.4%","56.6%","19553","59.2%","34660","61.1%","54213","60.4%","54391","52.8%","7.6pp"
"Bilbo, Thief in the Night","U","M","6603","2.55","2627","2.72","12893","78.2%","55.0%","2286","57.2%","4033","59.0%","6319","58.3%","6496","51.9%","6.5pp"
"Bilbo Baggins, Burglar","U","C","201598","5.12","44865","6.43","218091","76.8%","55.2%","39141","55.6%","67314","58.6%","106455","57.5%","110208","53.0%","4.5pp"
"Confusticate and Bebother","U","C","246467","6.93","34224","9.79","81576","38.2%","52.1%","13949","50.3%","25116","56.0%","39065","54.0%","42527","50.4%","3.6pp"
"Elrond, Moon-Reader","U","M","7870","3.07","1861","3.59","6521","58.2%","49.4%","1187","47.9%","1876","51.8%","3063","50.3%","3443","48.6%","1.7pp"
"Elven Raft-Steerer","U","U","99614","6.51","11003","9.76","16056","23.6%","49.1%","2804","48.3%","4200","50.7%","7004","49.7%","8991","48.5%","1.2pp"
"Elvenking's Harper","U","C","261913","7.93","34414","11.15","47770","22.1%","52.0%","8360","51.3%","13802","55.0%","22162","53.6%","25498","50.5%","3.1pp"
"Enchanted River's Grasp","U","C","199738","5.02","36222","6.73","174570","77.4%","53.8%","29668","51.3%","55191","57.8%","84859","55.5%","89225","52.0%","3.5pp"
"Fateful Discovery","U","M","15931","5.48","2090","8.31","109","0.8%","","24","","30","","54","","56","",""
"Gandalf, Wandering Wizard","U","C","263080","8.08","31742","11.57","21488","10.8%","49.5%","3535","47.3%","6755","53.1%","10290","51.1%","11329","48.1%","3.0pp"
"Great Gilded Boat","U","R","13071","2.45","6892","2.49","39512","88.2%","57.1%","6900","64.0%","12581","60.8%","19481","62.0%","20086","52.4%","9.6pp"
"Lakeshore Apothecary","U","C","202916","5.36","48032","6.50","249510","82.3%","55.6%","44546","57.4%","82875","57.6%","127421","57.5%","122330","53.6%","3.9pp"
