"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Dina's Guidance","BG","R","11350","4.96","1242","7.60","1093","14.7%","46.8%","174","","282","","456","","638","48.1%",""
"Petrified Hamlet","","R","15234","6.31","1748","9.67","243","2.3%","","35","","79","","114","","131","",""
"Angel's Grace","W","R","2968","5.59","290","","123","6.9%","","18","","34","","52","","70","",""
"Armageddon","W","M","918","3.54","168","","569","52.3%","54.7%","94","","124","","218","","347","",""
"Return to the Ranks","W","R","2554","4.97","301","","446","24.7%","","83","","116","","199","","243","",""
"Brain Freeze","U","R","2577","4.97","427","","997","38.5%","54.0%","160","","306","","466","","491","",""
"Flusterstorm","U","M","1270","4.72","159","","196","20.8%","","40","","52","","92","","102","",""
"Force of Will","U","M","624","2.54","168","","656","68.3%","52.1%","105","","205","","310","","326","",""
"Pongify","U","R","2764","5.12","259","","395","25.0%","","70","","132","","202","","177","",""
"Ad Nauseam","B","M","1306","4.90","139","","63","7.2%","","10","","15","","25","","38","",""
"Culling the Weak","B","R","2740","5.46","274","","91","5.7%","","14","","24","","38","","53","",""
"Living End","B","M","1288","4.76","137","","17","2.0%","","1","","6","","7","","10","",""
"Smallpox","B","R","2968","5.74","301","","128","7.0%","","23","","32","","55","","73","",""
"Vampiric Tutor","B","M","779","3.18","149","","401","46.1%","","76","","87","","163","","238","",""
"Empty the Warrens","R","R","2524","5.05","342","","782","38.2%","50.5%","131","","218","","349","","403","",""
"Jeska's Will","R","M","1257","4.79","158","","135","14.3%","","23","","34","","57","","77","",""
"Pyretic Ritual","R","R","2951","5.74","304","","178","9.6%","","34","","42","","76","","97","",""
"Awaken the Woods","G","M","690","2.75","184","","793","70.9%","53.1%","140","","223","","363","","410","",""
"Berserk","G","M","1151","4.36","166","","306","32.4%","","40","","87","","127","","176","",""
"Crop Rotation","G","R","3287","6.20","352","","102","4.7%","","17","","20","","37","","65","",""
"Glimpse of Nature","G","R","2959","5.77","312","","138","7.3%","","29","","37","","66","","69","",""
"Shamanic Revelation","G","R","2240","4.23","317","","886","46.6%","52.0%","166","","199","","365","","518","52.3%",""
"Triumph of the Hordes","G","M","961","3.95","142","","311","36.6%","","50","","87","","137","","171","",""
"Veil of Summer","G","R","3076","5.88","347","","172","8.3%","","20","","34","","54","","118","",""
"Bring to Light","UG","R","2746","5.04","355","","588","27.1%","54.8%","102","","180","","282","","301","",""
"Culling Ritual","BG","R","2359","4.62","297","","536","30.1%","52.2%","88","","148","","236","","296","",""
"Deflecting Palm","WR","R","2706","5.09","336","","352","17.2%","","65","","82","","147","","206","",""
"Fracture","WB","R","2768","5.59","311","","306","16.5%","","63","","79","","142","","162","",""
"Archaeomancer","U","C","1238","5.22","238","","821","58.1%","50.5%","133","","237","","370","","427","",""
"Archmage Emeritus","U","R","550","2.66","197","","1031","82.7%","54.2%","172","","300","","472","","536","55.4%",""
"Grim Haruspex","B","R","589","2.40","185","","968","85.7%","54.3%","172","","211","","383","","573","52.5%",""
"Dualcaster Mage","R","R","692","3.08","196","","1019","83.7%","56.4%","176","","291","","467","","537","58.5%",""
"Magus of the Library","G","R","1021","4.19","166","","481","47.0%","","68","","124","","192","","283","",""
"Sylvan Library","G","M","606","2.96","146","","563","63.4%","56.1%","100","","132","","232","","324","",""
"Adrix and Nev, Twincasters","UG","M","712","3.46","141","","368","44.4%","","54","","101","","155","","203","",""
"Codie, Vociferous Codex","","R","1274","5.02","195","","321","27.7%","","58","","110","","168","","145","",""
