"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Long-Bodied Grey Dog","","C","257971","7.14","30876","10.52","40692","20.8%","52.9%","7181","52.9%","10021","53.1%","17202","53.0%","23486","52.8%","0.2pp"
"Old Thrush","","C","253632","7.02","29125","10.40","45348","24.8%","52.5%","8435","52.4%","11518","54.1%","19953","53.4%","25400","51.9%","1.5pp"
"Troop of Ponies","","U","91746","5.13","12389","7.55","37653","48.5%","53.3%","6988","54.4%","9338","53.4%","16326","53.8%","21278","53.0%","0.9pp"
"Belladonna Took","W","R","18188","3.41","3792","4.15","14033","60.2%","51.9%","2577","50.8%","4037","52.9%","6614","52.1%","7371","51.7%","0.3pp"
"Bilbo's Gambit","W","R","29074","5.18","3528","7.91","3614","16.4%","48.5%","625","47.4%","971","47.9%","1596","47.7%","2018","49.2%","-1.5pp"
"Bofur, Reliable Guardian","W","U","71882","4.24","13786","5.60","67754","77.3%","55.3%","11803","53.8%","18021","58.2%","29824","56.4%","37622","54.4%","2.1pp"
"Celebrate the Mountain-king","W","U","43823","2.64","19833","2.90","118119","91.4%","57.9%","19930","59.5%","34517","63.4%","54447","62.0%","63604","54.5%","7.5pp"
"Dáin, Lord of the Iron Hills","W","U","69824","4.27","12633","5.69","57425","72.4%","54.2%","10159","53.7%","14893","54.2%","25052","54.0%","32142","54.2%","-0.3pp"
"Dwarven Provisioner","W","C","235442","6.30","36947","8.77","139738","59.4%","55.3%","24959","53.6%","38144","56.2%","63103","55.2%","76281","55.3%","-0.1pp"
"Dwarven Shortsword","W","C","226109","6.07","30473","8.77","103051","53.7%","54.3%","17471","52.2%","25772","53.8%","43243","53.2%","59164","55.0%","-1.9pp"
"Eagle of the Great Shelf","W","U","91501","5.84","11450","8.43","28317","39.9%","51.2%","4553","47.7%","8315","54.0%","12868","51.8%","15600","50.7%","1.1pp"
"The Eagles Are Coming!","W","R","10757","2.11","5829","2.11","33135","88.3%","56.7%","5616","57.0%","9816","61.2%","15432","59.7%","17723","54.1%","5.5pp"
"Esgaroth Garrison","W","C","253567","7.59","34069","10.70","56057","26.0%","54.8%","9256","53.5%","17669","58.4%","26925","56.7%","29277","53.1%","3.6pp"
"Fíli the Pathfinder","W","R","10043","1.98","5986","1.95","35230","89.2%","59.1%","6280","65.3%","9542","66.5%","15822","66.0%","19144","53.2%","12.8pp"
"Gleaming Splendor","W","M","10823","4.01","1380","6.02","1525","17.8%","42.6%","260","","401","","661","38.9%","863","45.5%","-6.7pp"
"Iron Hills Blacksmith","W","U","56598","3.35","15893","4.02","88309","86.5%","56.4%","16128","58.4%","23422","57.3%","39550","57.7%","48518","55.3%","2.5pp"
"Kíli the Resourceful","W","R","12119","2.37","5629","2.37","30103","82.5%","57.6%","5474","67.0%","7552","60.0%","13026","62.9%","16847","53.4%","9.5pp"
"Lake-town Lookout","W","C","250276","7.46","28614","10.88","36871","20.5%","51.2%","6568","51.1%","10915","52.1%","17483","51.7%","19383","50.8%","0.9pp"
"Lake-town Toymaker","W","U","96176","6.25","14176","8.66","32507","36.8%","52.6%","5509","50.2%","10534","55.5%","16043","53.7%","16517","51.7%","2.0pp"
"Magnificent End","W","C","184482","4.54","36544","6.07","190831","82.4%","55.4%","32549","53.7%","55436","57.7%","87985","56.2%","102910","54.6%","1.6pp"
"Moment of Glory","W","C","255417","7.70","29069","11.30","27129","14.9%","51.4%","4569","48.5%","7902","52.7%","12471","51.2%","14674","51.6%","-0.4pp"
"The Mountain-king's Return","W","U","53178","3.21","19560","3.58","112543","88.6%","57.9%","19941","60.8%","32795","61.6%","52736","61.3%","59799","55.0%","6.3pp"
"Ori, Keeper of Songs","W","C","239389","6.69","32228","9.59","93854","46.1%","55.0%","16278","54.3%","23450","54.7%","39728","54.5%","53757","55.2%","-0.7pp"
"The Queen of Dale","W","M","5444","2.12","2462","2.16","13074","84.3%","55.5%","2340","58.7%","3747","58.3%","6087","58.4%","6978","53.0%","5.4pp"
"Roads Go Ever, Ever On","W","R","18958","3.43","4656","4.10","21038","71.6%","55.6%","3744","56.6%","5860","56.0%","9604","56.3%","11429","55.0%","1.3pp"
"Settle the Wreckage","W","R","12582","2.40","4951","2.52","26929","85.6%","55.8%","4571","54.8%","7920","60.7%","12491","58.5%","14443","53.5%","5.1pp"
"Stone by Sunlight","W","U","52010","3.06","18555","3.49","107348","90.1%","57.2%","18338","57.2%","30999","62.1%","49337","60.3%","58039","54.6%","5.6pp"
"Thorin's Last Stand","W","C","257337","7.90","27416","11.62","15932","9.3%","49.8%","2537","44.9%","4294","51.0%","6831","48.7%","9110","50.5%","-1.8pp"
"An Unexpected Party","W","R","9031","1.74","6179","1.71","37590","91.8%","58.9%","6469","61.6%","10739","67.4%","17208","65.2%","20359","53.5%","11.7pp"
"Velvetwing Butterflies","W","C","244799","6.92","28676","10.16","53551","29.6%","52.7%","9126","49.2%","14477","55.4%","23603","53.0%","30011","52.4%","0.6pp"
"Vow to Erebor","W","C","255370","7.81","27935","11.45","27798","15.8%","52.2%","4506","49.5%","6597","51.9%","11103","51.0%","16700","53.0%","-2.0pp"
"Bilbo, Luckwearer","U","U","56806","3.45","19020","3.86","106500","87.3%","56.6%","19089","59.2%","33815","61.1%","52904","60.4%","53106","52.8%","7.6pp"
"Bilbo, Thief in the Night","U","M","6452","2.55","2572","2.72","12591","78.0%","55.1%","2231","57.0%","3948","59.1%","6179","58.4%","6337","51.9%","6.4pp"
"Bilbo Baggins, Burglar","U","C","197455","5.13","43993","6.43","213535","76.8%","55.1%","38346","55.6%","65894","58.6%","104240","57.5%","107900","53.0%","4.5pp"
"Confusticate and Bebother","U","C","241531","6.93","33533","9.79","80037","38.3%","52.1%","13658","50.3%","24635","56.0%","38293","54.0%","41760","50.5%","3.5pp"
"Elrond, Moon-Reader","U","M","7676","3.07","1821","3.58","6368","58.2%","49.5%","1153","47.8%","1836","52.2%","2989","50.5%","3364","48.5%","1.9pp"
"Elven Raft-Steerer","U","U","97578","6.50","10770","9.75","15766","23.7%","49.0%","2757","48.2%","4119","50.7%","6876","49.7%","8830","48.4%","1.3pp"
"Elvenking's Harper","U","C","256579","7.93","33633","11.16","46449","22.0%","52.1%","8136","51.3%","13418","55.2%","21554","53.7%","24785","50.5%","3.2pp"
"Enchanted River's Grasp","U","C","195771","5.02","35464","6.73","170732","77.4%","53.7%","29007","51.3%","53934","57.8%","82941","55.5%","87309","52.0%","3.6pp"
"Fateful Discovery","U","M","15585","5.47","2044","8.30","96","0.8%","","21","","28","","49","","48","",""
"Gandalf, Wandering Wizard","U","C","257676","8.07","31102","11.56","21199","10.9%","49.5%","3482","47.4%","6669","53.1%","10151","51.2%","11177","48.2%","3.0pp"
"Great Gilded Boat","U","R","12793","2.45","6742","2.50","38572","88.0%","57.1%","6755","64.0%","12294","60.8%","19049","61.9%","19576","52.4%","9.5pp"
"Lakeshore Apothecary","U","C","199270","5.37","47032","6.52","243826","82.2%","55.6%","43485","57.4%","81014","57.6%","124499","57.5%","119566","53.6%","3.9pp"
"Lake-town Mariners","U","U","101308","6.63","12976","9.65","18911","23.6%","50.5%","3134","46.9%","5654","53.4%","8788","51.0%","10094","50.0%","1.1pp"
