"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Agent 13, Sharon Carter","W","U","20541","3.10","8292","3.45","49456","91.9%","57.9%","8708","59.4%","13384","59.6%","22092","59.5%","27501","56.7%","2.8pp"
"Agent Maria Hill","W","U","24599","3.64","8215","4.20","44383","83.0%","59.0%","7850","63.2%","11337","58.2%","19187","60.2%","25140","58.1%","2.1pp"
"Agent of Atlas","W","C","96630","6.02","17131","8.31","69293","62.6%","57.5%","12350","58.4%","16857","55.2%","29207","56.5%","40012","58.2%","-1.7pp"
"Agent Phil Coulson","W","R","4155","1.61","3021","1.60","18790","94.6%","59.2%","3349","68.1%","5102","62.0%","8451","64.4%","10366","55.0%","9.5pp"
"Agents of S.H.I.E.L.D.","W","C","98274","6.18","15847","8.73","54206","53.5%","56.6%","9373","55.6%","14161","56.5%","23534","56.2%","30641","56.9%","-0.7pp"
"Avengers Assemble!","W","M","1897","1.50","1432","1.48","8964","94.0%","59.6%","1492","65.0%","2419","64.7%","3911","64.8%","5055","55.6%","9.2pp"
"Borough Backup","W","C","86810","5.02","20433","6.61","109545","82.6%","58.5%","19813","57.2%","28901","60.2%","48714","59.0%","60837","58.0%","1.0pp"
"Brave Brawler","W","C","83750","4.82","18555","6.43","105691","87.8%","58.6%","18886","59.6%","27494","58.6%","46380","59.0%","59318","58.4%","0.6pp"
"Captain America, Super-Soldier","W","M","1920","1.48","1345","1.47","8071","92.1%","58.4%","1446","60.5%","2191","62.5%","3637","61.7%","4499","55.6%","6.1pp"
"Captain America, Wings of Freedom","W","R","4096","1.57","2981","1.57","18308","94.4%","59.4%","3292","63.6%","4980","62.2%","8272","62.8%","10093","56.7%","6.1pp"
"Captain Marvel, Earth's Protector","W","M","1651","1.29","1425","1.28","9303","95.6%","61.5%","1543","66.0%","2683","71.5%","4226","69.5%","5107","54.9%","14.6pp"
"Captain Mar-Vell, Space-Born","W","U","29566","4.42","4839","6.18","20727","67.6%","55.1%","3480","52.8%","5684","55.6%","9164","54.6%","11667","55.4%","-0.8pp"
"Colleen Wing, Street Samurai","W","U","30414","4.58","5459","6.34","22586","64.3%","55.8%","4004","57.1%","5519","54.9%","9523","55.8%","13049","55.8%","0.0pp"
