"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Agent 13, Sharon Carter","W","U","44993","2.87","18783","3.22","113186","92.8%","57.1%","19984","58.5%","30636","58.5%","50620","58.5%","62851","55.9%","2.6pp"
"Agent Maria Hill","W","U","57886","3.56","18667","4.16","102340","83.9%","58.0%","18124","62.1%","26062","57.1%","44186","59.1%","58014","57.1%","2.1pp"
"Agent of Atlas","W","C","227592","5.78","40207","8.06","168702","65.1%","56.4%","30102","57.2%","41199","54.6%","71301","55.7%","97168","56.9%","-1.2pp"
"Agent Phil Coulson","W","R","9529","1.56","7076","1.56","44218","94.9%","58.1%","7868","67.0%","12025","60.9%","19893","63.3%","24451","54.1%","9.2pp"
"Agents of S.H.I.E.L.D.","W","C","226961","5.80","36383","8.31","140497","60.3%","55.6%","24489","55.2%","36457","55.7%","60946","55.5%","79535","55.7%","-0.3pp"
"Avengers Assemble!","W","M","4408","1.49","3417","1.46","21145","93.6%","58.4%","3559","63.1%","5683","64.5%","9242","64.0%","11906","54.0%","9.9pp"
"Borough Backup","W","C","190838","4.57","47278","6.01","263884","86.0%","57.2%","47656","56.2%","70063","59.1%","117719","57.9%","146186","56.6%","1.3pp"
"Brave Brawler","W","C","184428","4.40","44252","5.78","258684","90.2%","57.3%","46126","58.1%","68180","57.3%","114306","57.6%","144411","57.0%","0.6pp"
"Captain America, Super-Soldier","W","M","4601","1.48","3292","1.49","19715","93.5%","56.7%","3475","59.1%","5513","59.1%","8988","59.1%","10892","54.6%","4.5pp"
"Captain America, Wings of Freedom","W","R","9475","1.52","6928","1.52","42455","94.6%","58.0%","7574","62.5%","11734","60.6%","19308","61.3%","23328","55.2%","6.1pp"
"Captain Marvel, Earth's Protector","W","M","3811","1.26","3351","1.25","22046","96.0%","60.9%","3760","65.0%","6426","70.0%","10186","68.1%","11936","54.8%","13.4pp"
"Captain Mar-Vell, Space-Born","W","U","75311","4.69","11022","6.79","43082","61.8%","54.1%","7156","51.8%","11770","55.3%","18926","54.0%","24369","54.1%","-0.2pp"
"Colleen Wing, Street Samurai","W","U","74814","4.59","12610","6.42","52146","64.5%","54.9%","9273","56.5%","12867","53.9%","22140","55.0%","29990","55.0%","0.0pp"
"Crowd of True Believers","W","C","250075","7.04","37190","9.94","82738","34.6%","56.1%","14574","57.4%","20145","54.7%","34719","55.8%","48044","56.3%","-0.4pp"
"Helicarrier Strike","W","C","186142","4.38","39188","5.97","216501","85.5%","56.4%","37265","55.2%","57789","57.8%","95054","56.8%","121465","56.0%","0.7pp"
"Hero in Training","W","C","128576","3.27","52729","3.71","328044","94.1%","58.6%","58099","59.5%","90189","61.1%","148288","60.5%","179027","57.0%","3.4pp"
"Invisible Woman, Sue Storm","W","U","84734","5.72","9152","8.81","14806","26.1%","49.2%","2364","43.2%","3705","48.2%","6069","46.2%","8759","51.1%","-4.9pp"
"Jennifer Walters","W","M","4496","1.46","3473","1.43","21846","94.6%","59.0%","3939","64.0%","6090","64.0%","10029","64.0%","11919","54.8%","9.2pp"
"Kree Commandos","W","C","247973","7.05","28148","10.64","34475","19.3%","52.5%","5942","50.5%","8598","52.0%","14540","51.4%","19996","53.3%","-1.9pp"
"Luke Cage, Power Man","W","U","86057","5.65","9812","8.61","21775","35.2%","52.4%","3692","49.5%","5523","52.5%","9215","51.3%","12624","53.2%","-1.9pp"
"The Mind Stone","W","M","5810","1.90","2924","1.93","15163","83.3%","54.8%","2699","56.9%","4053","55.6%","6752","56.1%","8411","53.7%","2.5pp"
"Mockingbird, Ace Agent","W","U","81533","5.28","9777","7.95","23295","38.1%","51.9%","3946","49.0%","5863","51.2%","9809","50.3%","13536","52.9%","-2.6pp"
"Monica Rambeau","W","M","4221","1.41","3410","1.39","21160","94.9%","57.7%","3777","61.1%","5854","63.8%","9631","62.7%","11497","53.5%","9.2pp"
"Murdock's Crusade","W","C","154008","3.82","43252","4.68","254178","89.8%","57.7%","43090","57.1%","68992","61.3%","112082","59.7%","142185","56.1%","3.5pp"
"Nick Fury, Agent of S.H.I.E.L.D.","W","R","30497","4.25","6804","5.49","26871","61.8%","56.0%","4745","57.2%","6789","56.2%","11534","56.6%","15300","55.6%","1.0pp"
"Night Nurse, Healer of Heroes","W","U","47201","2.84","17860","3.34","106930","93.0%","56.7%","18722","56.0%","28476","58.6%","47198","57.6%","59602","55.9%","1.7pp"
"Okoye, Dora Milaje Leader","W","U","53808","3.23","17234","3.86","98547","88.4%","56.9%","16955","57.4%","26367","59.2%","43322","58.5%","55063","55.6%","2.8pp"
"Origin of the Avengers","W","R","12260","1.92","6381","1.98","36519","90.4%","55.7%","6547","57.8%","9577","57.4%","16124","57.5%","20395","54.3%","3.3pp"
"Panther Pounce","W","C","250246","6.96","33118","10.21","59563","28.1%","54.1%","9825","50.5%","15176","56.3%","25001","54.0%","34574","54.1%","-0.1pp"
"Patriot, Shield Wielder","W","U","60382","3.58","17064","4.44","99859","91.1%","56.5%","17843","57.2%","25938","56.9%","43781","57.0%","56141","56.2%","0.8pp"
"Political Triumph","W","U","52217","3.34","17355","3.77","97790","86.8%","57.4%","17287","63.5%","25096","56.1%","42383","59.2%","55371","56.0%","3.1pp"
"Quake, Agent of S.H.I.E.L.D.","W","U","77061","4.70","13125","6.56","55126","65.6%","55.3%","9596","54.8%","14279","55.3%","23875","55.1%","31291","55.5%","-0.4pp"
"Raft Security Officer","W","C","190752","4.73","46547","6.11","261358","86.8%","57.2%","46448","56.8%","69660","57.4%","116108","57.2%","145866","57.2%","-0.0pp"
"Red Guardian, Super-Soldier","W","U","47247","2.92","16482","3.40","98212","92.1%","56.9%","17142","57.2%","26488","59.3%","43630","58.4%","54614","55.7%","2.7pp"
"The Sentry, Golden Guardian","W","R","14633","2.35","4513","2.49","22718","80.8%","53.3%","3963","51.5%","6233","54.1%","10196","53.1%","12666","53.1%","-0.0pp"
"S.H.I.E.L.D. Spy Kit","W","C","201340","5.23","43831","6.68","215147","76.0%","56.9%","37350","57.9%","56241","57.8%","93591","57.8%","121534","56.2%","1.7pp"
"Super Villain Lockup","W","U","42918","2.63","13539","3.15","78617","91.5%","55.2%","13428","54.3%","21054","57.5%","34482","56.2%","44141","54.3%","1.9pp"
"Super-Soldier Serum","W","R","20234","3.12","3762","3.85","15986","69.1%","52.3%","2714","52.5%","4110","54.5%","6824","53.7%","9166","51.2%","2.5pp"
"Take Up the Shield","W","C","180370","4.30","41051","5.75","230799","86.8%","56.9%","38557","55.5%","61799","60.3%","100356","58.5%","130494","55.6%","2.8pp"
"Wakandan Drone Flock","W","C","230058","5.86","41121","8.08","165782","62.3%","56.8%","28201","54.8%","45980","58.5%","74181","57.1%","92343","56.5%","0.6pp"
"Web Up","W","C","99600","2.55","43278","2.92","267659","95.1%","57.2%","45642","56.6%","73588","61.1%","119230","59.3%","148441","55.4%","3.9pp"
"White Widow, Free Agent","W","U","60221","3.58","13800","4.61","74357","84.7%","55.3%","12682","52.7%","19741","56.9%","32423","55.3%","41869","55.3%","-0.0pp"
"Aerial Doombot","U","C","210126","5.19","39714","7.17","196008","77.0%","56.1%","34854","56.9%","53846","57.6%","88700","57.3%","107683","55.1%","2.2pp"
"A.I.M. Scientists","U","C","225676","5.57","43327","7.78","186993","67.1%","56.2%","34161","55.7%","52355","57.6%","86516","56.8%","100772","55.7%","1.2pp"
"Atlantean Cavalry","U","C","245179","7.03","31503","10.31","55504","28.0%","52.3%","9815","51.9%","16013","53.1%","25828","52.6%","29795","52.0%","0.7pp"
"Atlantis Attacks","U","C","218514","5.54","42410","7.61","181859","67.1%","56.0%","30070","52.9%","51683","59.0%","81753","56.7%","100223","55.4%","1.3pp"
"Attuma, Atlantean Warlord","U","U","86861","5.61","14368","7.78","40779","45.2%","53.8%","6875","54.6%","11835","54.8%","18710","54.8%","22294","52.9%","1.9pp"
"Bold Biochemist","U","C","222742","5.59","46986","7.52","233491","76.9%","57.0%","41565","55.3%","65200","58.7%","106765","57.4%","126988","56.7%","0.7pp"
"Bruce Banner","U","M","5585","1.88","3525","1.81","20637","91.5%","57.2%","3705","62.7%","5728","59.4%","9433","60.7%","11280","54.4%","6.3pp"
"Depower","U","C","243665","6.55","38067","9.34","101000","41.7%","55.0%","17327","53.5%","28237","57.7%","45564","56.1%","55457","54.2%","1.9pp"
