"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"The Dawning Archaic","","M","8885","1.88","3844","1.87","20284","85.5%","52.2%","3252","47.4%","6548","57.1%","9800","53.9%","10079","49.8%","4.0pp"
"Rancorous Archaic","","C","337863","7.38","44834","10.59","79673","28.4%","51.3%","13173","48.8%","24501","56.2%","37674","53.6%","41157","49.0%","4.7pp"
"Sundering Archaic","","U","102950","4.46","27846","5.47","133654","75.0%","55.5%","21972","53.7%","41903","61.5%","63875","58.8%","66806","51.9%","6.9pp"
"Together as One","","R","18557","2.01","12868","1.95","74525","87.5%","58.1%","12551","61.5%","22617","67.9%","35168","65.6%","36360","49.5%","16.1pp"
"Transcendent Archaic","","U","120343","5.31","23412","7.07","87367","59.4%","53.7%","14349","51.9%","26961","59.6%","41310","56.9%","44584","50.2%","6.8pp"
"Ajani's Response","W","C","244625","4.59","51960","6.00","279777","83.1%","56.6%","47492","55.2%","77180","59.0%","124672","57.6%","152582","55.7%","1.8pp"
"Antiquities on the Loose","W","R","18334","1.92","11486","1.91","69808","90.7%","59.4%","12430","65.4%","18651","63.6%","31081","64.3%","38199","55.3%","9.1pp"
"Ascendant Dustspeaker","W","C","307890","6.24","46274","8.78","167724","56.2%","55.8%","27457","53.5%","45821","56.4%","73278","55.3%","94402","56.2%","-0.8pp"
"Daydream","W","U","130128","6.39","15185","9.50","21599","22.4%","51.2%","3591","47.9%","5431","49.8%","9022","49.0%","12524","52.8%","-3.8pp"
"Dig Site Inventory","W","C","284870","5.65","45381","7.76","197575","67.6%","55.9%","33197","54.8%","47976","55.8%","81173","55.4%","116009","56.2%","-0.8pp"
"Eager Glyphmage","W","C","306700","6.25","49637","8.60","188628","58.6%","56.7%","31987","55.7%","49208","56.2%","81195","56.0%","106894","57.1%","-1.1pp"
"Elite Interceptor","W","C","217557","4.19","62783","4.89","368294","89.2%","58.3%","67446","60.8%","95624","58.2%","163070","59.3%","203943","57.5%","1.8pp"
"Emeritus of Truce","W","M","8707","1.84","4757","1.83","26923","87.6%","56.7%","4766","59.3%","7172","58.2%","11938","58.6%","14875","55.1%","3.5pp"
"Ennis, Debate Moderator","W","U","114248","5.42","15295","7.66","47377","49.0%","52.9%","8408","48.3%","11904","51.4%","20312","50.1%","26953","55.0%","-4.9pp"
"Erode","W","R","25404","2.53","8217","2.79","44466","85.2%","55.4%","7655","53.0%","12066","58.2%","19721","56.1%","24354","54.6%","1.5pp"
"Graduation Day","W","U","111827","5.55","13755","7.98","36025","41.5%","52.6%","6325","52.1%","8581","49.9%","14906","50.9%","21030","53.9%","-3.1pp"
"Group Project","W","U","97284","4.39","23410","5.39","125002","82.0%","57.1%","22469","57.7%","31446","56.1%","53915","56.8%","70983","57.3%","-0.5pp"
"Harsh Annotation","W","U","122715","5.98","11708","9.43","19020","25.5%","51.2%","3176","48.0%","4802","51.6%","7978","50.2%","10924","52.0%","-1.8pp"
"Honorbound Page","W","C","314603","6.53","40544","9.44","106836","40.9%","54.6%","18096","51.4%","26981","54.2%","45077","53.1%","61534","55.6%","-2.4pp"
"Informed Inkwright","W","R","16984","1.81","10358","1.81","62813","91.7%","58.2%","11427","63.4%","16634","60.3%","28061","61.6%","34439","55.4%","6.2pp"
"Inkshape Demonstrator","W","U","97794","4.45","19949","5.68","101171","78.3%","56.5%","17140","57.0%","26509","56.4%","43649","56.6%","57287","56.4%","0.2pp"
"Interjection","W","C","329722","7.23","43452","10.30","81284","29.0%","55.9%","13447","54.6%","20462","56.5%","33909","55.7%","47140","55.9%","-0.2pp"
"Joined Researchers","W","R","44178","4.09","8968","5.25","42535","74.0%","55.8%","7742","55.8%","10638","54.3%","18380","54.9%","24109","56.4%","-1.4pp"
"Owlin Historian","W","C","304354","6.17","46255","8.62","182564","61.3%","55.9%","31692","55.2%","48383","55.4%","80075","55.3%","102577","56.4%","-1.1pp"
"Practiced Offense","W","R","16436","1.74","11404","1.70","70863","92.1%","59.4%","12079","62.7%","18893","65.9%","30972","64.7%","39302","55.0%","9.7pp"
"Primary Research","W","U","99704","4.60","19811","5.87","86279","68.2%","55.4%","14530","53.3%","23411","55.9%","37941","54.9%","48136","55.8%","-0.8pp"
"Quill-Blade Laureate","W","U","80241","3.63","20447","4.39","118327","89.1%","57.0%","21403","57.2%","30029","56.7%","51432","56.9%","66586","57.1%","-0.2pp"
