"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Agent 13, Sharon Carter","W","U","41331","2.90","17193","3.25","102825","92.8%","57.1%","18160","58.7%","27696","58.5%","45856","58.6%","57220","55.9%","2.6pp"
"Agent Maria Hill","W","U","52639","3.57","17024","4.16","92888","83.9%","58.1%","16437","62.3%","23630","57.3%","40067","59.3%","52699","57.1%","2.2pp"
"Agent of Atlas","W","C","206910","5.80","36527","8.09","151701","64.7%","56.4%","27087","57.4%","36975","54.5%","64062","55.7%","87437","57.0%","-1.2pp"
"Agent Phil Coulson","W","R","8694","1.56","6467","1.55","40285","94.9%","58.2%","7153","67.0%","10964","61.0%","18117","63.4%","22273","54.1%","9.3pp"
"Agents of S.H.I.E.L.D.","W","C","207023","5.85","33163","8.36","125742","59.5%","55.6%","21902","55.2%","32644","55.6%","54546","55.5%","71181","55.8%","-0.3pp"
"Avengers Assemble!","W","M","4039","1.50","3118","1.47","19254","93.7%","58.5%","3277","62.9%","5174","64.9%","8451","64.2%","10806","54.0%","10.2pp"
"Borough Backup","W","C","175003","4.62","43052","6.08","237800","85.5%","57.2%","42995","56.2%","63181","59.1%","106176","57.9%","131644","56.6%","1.3pp"
"Brave Brawler","W","C","169333","4.45","40320","5.85","234258","90.0%","57.3%","41736","58.2%","61779","57.3%","103515","57.7%","130776","57.1%","0.6pp"
"Captain America, Super-Soldier","W","M","4185","1.47","2995","1.48","17938","93.5%","56.6%","3179","58.9%","5032","59.2%","8211","59.1%","9874","54.4%","4.6pp"
"Captain America, Wings of Freedom","W","R","8609","1.53","6290","1.53","38434","94.6%","58.1%","6856","62.6%","10611","60.5%","17467","61.3%","21131","55.5%","5.8pp"
"Captain Marvel, Earth's Protector","W","M","3469","1.26","3042","1.25","19897","96.0%","60.9%","3343","65.1%","5793","70.0%","9136","68.2%","10827","54.7%","13.5pp"
"Captain Mar-Vell, Space-Born","W","U","67670","4.64","10044","6.71","39626","62.6%","54.2%","6581","51.8%","10858","55.1%","17439","53.9%","22385","54.3%","-0.4pp"
"Colleen Wing, Street Samurai","W","U","67864","4.58","11525","6.40","47287","64.4%","54.9%","8407","56.3%","11684","53.9%","20091","54.9%","27173","55.0%","-0.1pp"
"Crowd of True Believers","W","C","227355","7.05","33936","9.94","75110","34.6%","56.1%","13223","57.4%","18276","54.7%","31499","55.8%","43632","56.3%","-0.5pp"
"Helicarrier Strike","W","C","169911","4.40","35825","5.99","196937","85.4%","56.4%","33896","55.2%","52640","57.9%","86536","56.9%","110417","56.0%","0.9pp"
"Hero in Training","W","C","118580","3.32","48141","3.77","298338","94.2%","58.7%","52888","59.5%","81936","61.2%","134824","60.5%","162869","57.2%","3.4pp"
"Invisible Woman, Sue Storm","W","U","76422","5.67","8315","8.70","13828","27.1%","49.1%","2203","42.6%","3483","47.9%","5686","45.9%","8166","51.2%","-5.3pp"
"Jennifer Walters","W","M","4074","1.46","3136","1.43","19683","94.4%","59.2%","3546","64.5%","5474","64.0%","9020","64.2%","10760","55.0%","9.1pp"
"Kree Commandos","W","C","224982","7.04","25736","10.62","31865","19.5%","52.6%","5513","50.3%","7950","51.9%","13463","51.3%","18459","53.5%","-2.3pp"
"Luke Cage, Power Man","W","U","77678","5.62","9016","8.53","20446","36.2%","52.4%","3470","49.9%","5177","52.3%","8647","51.3%","11857","53.1%","-1.8pp"
"The Mind Stone","W","M","5240","1.89","2671","1.92","13739","83.0%","54.7%","2437","57.3%","3691","55.3%","6128","56.1%","7613","53.6%","2.5pp"
"Mockingbird, Ace Agent","W","U","73645","5.24","8880","7.87","21533","38.9%","51.9%","3624","48.9%","5436","51.2%","9060","50.2%","12520","53.0%","-2.7pp"
"Monica Rambeau","W","M","3814","1.41","3066","1.40","18953","95.0%","57.7%","3386","61.0%","5215","64.0%","8601","62.8%","10331","53.5%","9.3pp"
"Murdock's Crusade","W","C","141762","3.87","39351","4.76","229556","89.5%","57.7%","38881","57.2%","62345","61.3%","101226","59.7%","128414","56.2%","3.5pp"
"Nick Fury, Agent of S.H.I.E.L.D.","W","R","27408","4.23","6143","5.47","23988","61.5%","55.9%","4239","56.8%","6071","56.2%","10310","56.5%","13646","55.6%","0.9pp"
"Night Nurse, Healer of Heroes","W","U","43042","2.85","16368","3.35","97468","93.0%","56.7%","17064","55.9%","25932","58.6%","42996","57.6%","54366","56.0%","1.6pp"
"Okoye, Dora Milaje Leader","W","U","48797","3.23","15675","3.85","89090","88.5%","56.8%","15300","57.2%","23866","59.1%","39166","58.3%","49782","55.7%","2.7pp"
"Origin of the Avengers","W","R","11098","1.92","5829","1.97","33199","90.5%","55.8%","5939","57.9%","8722","57.5%","14661","57.7%","18538","54.3%","3.4pp"
"Panther Pounce","W","C","227299","6.96","30143","10.21","54370","28.3%","54.1%","8966","50.5%","13866","56.2%","22832","54.0%","31548","54.2%","-0.2pp"
"Patriot, Shield Wielder","W","U","54630","3.59","15608","4.43","91029","91.1%","56.6%","16275","57.4%","23637","56.9%","39912","57.1%","51174","56.2%","0.9pp"
"Political Triumph","W","U","48289","3.39","15741","3.83","87928","86.4%","57.4%","15538","63.8%","22540","56.1%","38078","59.3%","49821","56.0%","3.2pp"
"Quake, Agent of S.H.I.E.L.D.","W","U","69498","4.68","12045","6.49","50825","66.2%","55.3%","8831","54.7%","13138","55.3%","21969","55.1%","28895","55.5%","-0.4pp"
"Raft Security Officer","W","C","175033","4.80","42501","6.18","236758","86.4%","57.2%","42119","56.8%","63134","57.5%","105253","57.2%","132082","57.2%","-0.0pp"
"Red Guardian, Super-Soldier","W","U","43466","2.94","15060","3.43","89360","92.1%","57.0%","15644","57.1%","24047","59.4%","39691","58.5%","49697","55.8%","2.7pp"
"The Sentry, Golden Guardian","W","R","13168","2.33","4190","2.44","21050","81.1%","53.3%","3670","51.5%","5793","53.7%","9463","52.8%","11724","53.2%","-0.4pp"
"S.H.I.E.L.D. Spy Kit","W","C","185155","5.31","40050","6.78","193080","75.0%","56.9%","33482","57.9%","50558","57.8%","84040","57.8%","109024","56.2%","1.7pp"
"Super Villain Lockup","W","U","38974","2.64","12407","3.15","71803","91.5%","55.2%","12234","54.4%","19218","57.5%","31452","56.3%","40356","54.4%","1.9pp"
"Super-Soldier Serum","W","R","18235","3.10","3459","3.78","14826","69.9%","52.4%","2529","52.6%","3799","54.4%","6328","53.7%","8502","51.4%","2.2pp"
"Take Up the Shield","W","C","164845","4.33","37487","5.79","209538","86.6%","56.9%","35051","55.4%","55971","60.3%","91022","58.4%","118564","55.7%","2.7pp"
"Wakandan Drone Flock","W","C","209262","5.90","37443","8.11","149143","61.8%","56.9%","25398","54.8%","41320","58.6%","66718","57.1%","83098","56.6%","0.6pp"
"Web Up","W","C","91691","2.57","39614","2.96","243883","95.1%","57.2%","41639","56.7%","67008","61.1%","108647","59.4%","135247","55.5%","3.9pp"
"White Widow, Free Agent","W","U","54652","3.57","12742","4.57","68655","84.9%","55.3%","11681","52.7%","18198","57.0%","29879","55.3%","38710","55.3%","0.1pp"
"Aerial Doombot","U","C","191351","5.22","35985","7.22","175155","76.4%","56.2%","31206","57.0%","47968","57.7%","79174","57.4%","96310","55.2%","2.3pp"
"A.I.M. Scientists","U","C","205549","5.60","39260","7.81","167689","66.7%","56.2%","30593","55.7%","47026","57.6%","77619","56.8%","90336","55.7%","1.1pp"
"Atlantean Cavalry","U","C","222980","7.03","28751","10.30","50404","28.0%","52.3%","8850","52.2%","14572","53.1%","23422","52.8%","27092","51.9%","0.8pp"
"Atlantis Attacks","U","C","197886","5.52","38875","7.57","167224","67.6%","56.0%","27628","53.0%","47535","59.0%","75163","56.8%","92173","55.4%","1.4pp"
"Attuma, Atlantean Warlord","U","U","78524","5.60","13160","7.76","37362","45.4%","53.8%","6316","54.5%","10868","55.1%","17184","54.9%","20386","52.8%","2.0pp"
"Bold Biochemist","U","C","203136","5.64","42711","7.57","209791","76.4%","57.0%","37354","55.3%","58580","58.7%","95934","57.4%","114087","56.6%","0.7pp"
"Bruce Banner","U","M","5070","1.88","3194","1.81","18533","91.5%","57.2%","3330","62.4%","5158","59.6%","8488","60.7%","10114","54.3%","6.4pp"
"Depower","U","C","220863","6.53","34758","9.29","93992","42.6%","55.1%","16149","53.3%","26325","57.7%","42474","56.1%","51537","54.2%","1.8pp"
