"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Agent 13, Sharon Carter","W","U","44308","2.88","18498","3.22","111358","92.8%","57.1%","19671","58.5%","30121","58.5%","49792","58.5%","61844","56.0%","2.6pp"
"Agent Maria Hill","W","U","56901","3.56","18351","4.16","100533","84.0%","58.0%","17811","62.2%","25616","57.1%","43427","59.2%","56973","57.1%","2.1pp"
"Agent of Atlas","W","C","223653","5.78","39512","8.06","165372","65.1%","56.4%","29487","57.3%","40394","54.6%","69881","55.7%","95264","56.9%","-1.1pp"
"Agent Phil Coulson","W","R","9372","1.56","6962","1.56","43419","94.9%","58.2%","7712","67.1%","11815","60.9%","19527","63.4%","24013","54.1%","9.3pp"
"Agents of S.H.I.E.L.D.","W","C","223247","5.81","35765","8.32","137612","60.2%","55.7%","23993","55.3%","35660","55.6%","59653","55.5%","77942","55.8%","-0.3pp"
"Avengers Assemble!","W","M","4341","1.49","3364","1.46","20777","93.6%","58.4%","3501","63.2%","5576","64.6%","9077","64.0%","11703","54.0%","10.0pp"
"Borough Backup","W","C","187819","4.57","46463","6.02","258788","85.9%","57.2%","46722","56.2%","68745","59.1%","115467","57.9%","143341","56.6%","1.3pp"
"Brave Brawler","W","C","181546","4.41","43515","5.79","253791","90.2%","57.3%","45241","58.1%","66895","57.3%","112136","57.6%","141685","57.0%","0.6pp"
"Captain America, Super-Soldier","W","M","4523","1.48","3236","1.49","19368","93.5%","56.7%","3426","59.2%","5433","59.1%","8859","59.1%","10674","54.6%","4.5pp"
"Captain America, Wings of Freedom","W","R","9310","1.52","6805","1.52","41758","94.6%","58.1%","7451","62.6%","11517","60.6%","18968","61.4%","22969","55.3%","6.0pp"
"Captain Marvel, Earth's Protector","W","M","3741","1.26","3286","1.25","21538","96.0%","60.9%","3675","64.9%","6286","69.9%","9961","68.1%","11651","54.7%","13.4pp"
"Captain Mar-Vell, Space-Born","W","U","73873","4.68","10851","6.77","42400","61.8%","54.1%","7041","51.8%","11595","55.3%","18636","54.0%","23975","54.2%","-0.2pp"
"Colleen Wing, Street Samurai","W","U","73500","4.58","12416","6.42","51278","64.6%","55.0%","9101","56.5%","12657","54.0%","21758","55.0%","29502","55.0%","0.1pp"
"Crowd of True Believers","W","C","245824","7.04","36590","9.94","81236","34.6%","56.1%","14298","57.3%","19804","54.6%","34102","55.8%","47158","56.3%","-0.5pp"
"Helicarrier Strike","W","C","183102","4.38","38567","5.97","212773","85.5%","56.4%","36599","55.1%","56815","57.8%","93414","56.8%","119377","56.0%","0.7pp"
"Hero in Training","W","C","126681","3.28","51861","3.72","322319","94.2%","58.6%","57091","59.5%","88582","61.1%","145673","60.5%","175929","57.1%","3.4pp"
"Invisible Woman, Sue Storm","W","U","83089","5.71","8995","8.79","14654","26.4%","49.3%","2338","43.3%","3679","48.3%","6017","46.4%","8658","51.2%","-4.9pp"
"Jennifer Walters","W","M","4415","1.46","3409","1.44","21423","94.6%","59.1%","3847","64.0%","5983","64.0%","9830","64.0%","11697","54.9%","9.1pp"
"Kree Commandos","W","C","243722","7.05","27723","10.64","34046","19.3%","52.5%","5858","50.5%","8485","52.0%","14343","51.4%","19763","53.3%","-1.9pp"
"Luke Cage, Power Man","W","U","84491","5.65","9690","8.59","21533","35.4%","52.4%","3654","49.6%","5464","52.5%","9118","51.3%","12477","53.2%","-1.9pp"
"The Mind Stone","W","M","5712","1.89","2884","1.93","14920","83.2%","54.8%","2639","57.0%","4001","55.6%","6640","56.1%","8280","53.7%","2.4pp"
"Mockingbird, Ace Agent","W","U","80072","5.27","9634","7.95","22948","38.2%","51.9%","3871","48.9%","5770","51.2%","9641","50.3%","13354","53.0%","-2.7pp"
"Monica Rambeau","W","M","4155","1.41","3354","1.39","20776","94.9%","57.8%","3713","61.1%","5747","63.9%","9460","62.8%","11285","53.5%","9.3pp"
"Murdock's Crusade","W","C","151679","3.83","42507","4.70","249388","89.7%","57.7%","42243","57.1%","67713","61.3%","109956","59.7%","139518","56.2%","3.5pp"
"Nick Fury, Agent of S.H.I.E.L.D.","W","R","29898","4.25","6685","5.48","26352","61.8%","56.0%","4650","57.2%","6661","56.1%","11311","56.6%","15004","55.6%","1.0pp"
"Night Nurse, Healer of Heroes","W","U","46383","2.84","17587","3.35","105045","92.9%","56.7%","18381","56.1%","27977","58.7%","46358","57.6%","58565","55.9%","1.7pp"
"Okoye, Dora Milaje Leader","W","U","52862","3.23","16942","3.85","96785","88.5%","56.8%","16670","57.3%","25871","59.2%","42541","58.5%","54085","55.6%","2.8pp"
"Origin of the Avengers","W","R","12033","1.92","6270","1.98","35837","90.4%","55.7%","6415","57.7%","9393","57.4%","15808","57.5%","20029","54.3%","3.2pp"
"Panther Pounce","W","C","246011","6.96","32554","10.21","58590","28.1%","54.1%","9660","50.6%","14927","56.3%","24587","54.0%","34014","54.1%","-0.1pp"
"Patriot, Shield Wielder","W","U","59292","3.58","16772","4.44","97983","91.1%","56.6%","17503","57.2%","25457","56.9%","42960","57.0%","55087","56.2%","0.8pp"
"Political Triumph","W","U","51515","3.35","17070","3.77","95872","86.7%","57.4%","16941","63.5%","24592","56.2%","41533","59.2%","54304","56.0%","3.2pp"
"Quake, Agent of S.H.I.E.L.D.","W","U","75663","4.70","12941","6.55","54341","65.7%","55.2%","9464","54.7%","14079","55.2%","23543","55.0%","30838","55.4%","-0.4pp"
"Raft Security Officer","W","C","187800","4.75","45772","6.12","256505","86.7%","57.2%","45610","56.8%","68372","57.5%","113982","57.2%","143130","57.2%","0.0pp"
"Red Guardian, Super-Soldier","W","U","46549","2.92","16224","3.40","96505","92.1%","56.9%","16859","57.1%","26026","59.3%","42885","58.4%","53651","55.7%","2.7pp"
"The Sentry, Golden Guardian","W","R","14348","2.35","4455","2.49","22413","80.8%","53.3%","3906","51.4%","6147","54.0%","10053","53.0%","12502","53.1%","-0.1pp"
"S.H.I.E.L.D. Spy Kit","W","C","198189","5.24","43077","6.70","210544","75.8%","56.9%","36527","57.9%","55058","57.8%","91585","57.8%","118938","56.2%","1.7pp"
"Super Villain Lockup","W","U","42176","2.63","13319","3.15","77247","91.5%","55.2%","13182","54.3%","20706","57.5%","33888","56.3%","43365","54.4%","1.9pp"
"Super-Soldier Serum","W","R","19866","3.12","3707","3.84","15774","69.2%","52.3%","2691","52.5%","4054","54.6%","6745","53.7%","9033","51.3%","2.5pp"
"Take Up the Shield","W","C","177375","4.31","40387","5.76","226695","86.8%","56.8%","37887","55.4%","60695","60.3%","98582","58.4%","128164","55.6%","2.8pp"
"Wakandan Drone Flock","W","C","226168","5.87","40443","8.08","162464","62.2%","56.8%","27634","54.8%","45022","58.5%","72656","57.1%","90535","56.5%","0.6pp"
"Web Up","W","C","98083","2.55","42533","2.93","262755","95.1%","57.2%","44792","56.6%","72229","61.1%","117021","59.4%","145746","55.4%","3.9pp"
"White Widow, Free Agent","W","U","59164","3.58","13610","4.61","73227","84.7%","55.3%","12511","52.7%","19428","56.9%","31939","55.2%","41223","55.3%","-0.0pp"
"Aerial Doombot","U","C","206586","5.19","39022","7.18","191883","76.9%","56.1%","34136","56.9%","52723","57.6%","86859","57.3%","105391","55.1%","2.2pp"
"A.I.M. Scientists","U","C","221748","5.58","42525","7.78","182994","67.0%","56.2%","33435","55.6%","51273","57.6%","84708","56.8%","98574","55.7%","1.1pp"
"Atlantean Cavalry","U","C","241064","7.03","31000","10.31","54475","28.0%","52.3%","9633","51.9%","15727","53.2%","25360","52.7%","29233","52.0%","0.7pp"
"Atlantis Attacks","U","C","214596","5.53","41755","7.60","179200","67.3%","56.0%","29614","52.9%","50946","59.0%","80560","56.7%","98756","55.4%","1.4pp"
"Attuma, Atlantean Warlord","U","U","85344","5.61","14166","7.78","40214","45.3%","53.8%","6785","54.5%","11672","54.8%","18457","54.7%","21978","53.0%","1.7pp"
"Bold Biochemist","U","C","219075","5.60","46257","7.53","229091","76.8%","57.0%","40768","55.3%","63931","58.7%","104699","57.4%","124645","56.7%","0.7pp"
"Bruce Banner","U","M","5489","1.89","3456","1.81","20203","91.6%","57.2%","3641","62.6%","5609","59.4%","9250","60.7%","11026","54.5%","6.2pp"
"Depower","U","C","239363","6.55","37427","9.33","99654","41.9%","55.0%","17093","53.4%","27865","57.7%","44958","56.1%","54716","54.2%","1.9pp"
"Echo, Perceptive Prodigy","U","U","84886","5.49","14772","7.58","54011","57.8%","54.3%","9377","51.1%","14845","53.9%","24222","52.8%","29845","55.5%","-2.7pp"
"Falcon, Winged Wonder","U","U","55645","3.44","19415","4.02","111228","88.1%","57.8%","18931","57.2%","32203","61.3%","51134","59.8%","60406","56.1%","3.7pp"
"Falcon's Wing Harness","U","U","71483","4.39","14902","5.80","70428","74.2%","55.7%","11908","54.3%","19362","59.1%","31270","57.3%","39131","54.5%","2.8pp"
"Frozen in Ice","U","C","144146","3.55","39551","4.55","231779","91.6%","56.1%","39393","54.0%","65880","59.4%","105273","57.3%","126532","55.1%","2.2pp"
"Futurist Forge","U","C","210261","5.37","39828","7.37","183821","72.0%","56.4%","32999","55.9%","50753","59.1%","83752","57.9%","99984","55.2%","2.7pp"
"Giant-Sized Flying Ant","U","C","232473","6.26","41256","8.63","146480","55.5%","56.6%","24751","54.0%","42007","59.8%","66758","57.6%","80044","55.7%","1.9pp"
"Hydraulic Helper","U","C","242751","7.17","34496","10.16","76210","34.9%","54.0%","13709","54.3%","19922","54.8%","33631","54.6%","42538","53.6%","1.0pp"
"I Am Iron Man","U","C","244119","7.05","36489","10.02","81314","35.1%","54.4%","13599","52.5%","22360","57.2%","35959","55.4%","45378","53.7%","1.8pp"
"Iron Lad, Diverging Destiny","U","U","68873","4.40","12425","5.85","54746","70.1%","54.1%","9606","54.2%","14967","55.4%","24573","54.9%","30270","53.4%","1.5pp"
"Ironheart, Clever Champion","U","R","25128","3.91","4544","5.01","17191","60.9%","51.9%","2879","50.0%","4917","54.0%","7796","52.5%","9482","51.3%","1.2pp"
"Justice, Vance Astrovik","U","U","38797","2.53","20860","2.72","130645","94.3%","59.0%","22991","61.4%","37469","63.9%","60460","62.9%","70215","55.6%","7.3pp"
"Kang the Conqueror","U","M","4615","1.56","3295","1.54","19812","93.1%","57.4%","3429","56.5%","5877","63.8%","9306","61.1%","10672","54.1%","7.0pp"
"Kid Loki","U","U","79285","5.04","12257","7.12","42792","55.8%","53.0%","7515","54.3%","12241","53.5%","19756","53.8%","23042","52.3%","1.5pp"
"Leader, Super-Genius","U","R","10047","1.64","7779","1.62","49320","95.0%","59.6%","8603","67.1%","14510","67.7%","23113","67.5%","26626","52.9%","14.6pp"
"Loki, God of Mischief","U","R","13036","2.11","6792","2.15","39419","90.2%","56.3%","7110","58.9%","10926","58.6%","18036","58.7%","21555","54.3%","4.5pp"
"Mister Fantastic, Reed Richards","U","U","88961","5.98","12699","8.53","27329","34.2%","52.9%","4738","50.9%","7505","53.6%","12243","52.5%","15186","53.3%","-0.7pp"
"Ms. Marvel, Kamala Khan","U","R","23182","3.59","5100","4.35","18103","55.8%","54.2%","3167","56.2%","5039","54.6%","8206","55.2%","9961","53.2%","2.0pp"
"Multiversal Incursion","U","M","10338","3.29","2662","3.79","10272","64.2%","50.9%","1703","47.2%","2853","53.9%","4556","51.4%","5722","50.4%","1.0pp"
"Namor the Sub-Mariner","U","M","8149","2.70","2756","2.83","12034","69.8%","54.0%","2081","55.5%","3463","57.0%","5544","56.4%","6578","51.7%","4.7pp"
"Pym Particles","U","U","92166","6.13","11666","9.12","24359","33.4%","51.4%","4109","48.4%","6437","54.6%","10546","52.2%","13820","50.8%","1.4pp"
"Rewrite History","U","U","97061","6.84","11830","10.12","11007","14.9%","50.2%","1877","45.7%","3065","50.1%","4942","48.4%","6057","51.7%","-3.2pp"
"Secret Invasion","U","R","14048","2.25","6994","2.35","40756","90.0%","56.8%","6836","54.7%","11591","62.5%","18427","59.6%","22337","54.5%","5.0pp"
"S.H.I.E.L.D. Deployment Drone","U","C","152015","3.76","50632","4.59","302807","91.8%","57.7%","53349","58.7%","85902","60.1%","139251","59.5%","163744","56.1%","3.4pp"
"S.H.I.E.L.D. Flying Car","U","R","15005","2.37","7561","2.49","43628","90.5%","56.2%","7408","56.1%","12270","60.5%","19678","58.9%","23943","54.0%","4.9pp"
"Shuri, Wakandan Inventor","U","U","81092","5.26","13330","7.27","49038","58.0%","54.1%","8769","56.5%","13082","54.0%","21851","55.0%","27178","53.5%","1.5pp"
"Stature, Size Shifter","U","U","65672","4.08","19218","4.87","104856","84.2%","57.5%","18759","59.2%","29209","58.9%","47968","59.0%","56998","56.2%","2.8pp"
"Super Intelligence","U","U","77023","5.02","9175","7.54","26798","47.8%","51.1%","4621","52.1%","7320","52.7%","11941","52.4%","14863","50.0%","2.4pp"
"Super Suit","U","C","242065","6.99","31675","10.24","62093","30.9%","54.2%","10522","54.1%","16871","56.8%","27393","55.8%","34684","53.0%","2.7pp"
"Thirst for Knowledge","U","U","93964","6.39","11338","9.49","18936","26.7%","51.2%","3242","48.0%","5043","53.8%","8285","51.5%","10654","51.0%","0.6pp"
"Tony Stark","U","M","6288","2.14","3119","2.08","16729","84.6%","55.6%","2962","58.8%","4787","60.6%","7749","60.0%","9061","52.0%","8.0pp"
"Trickster's Stratagem","U","C","167163","4.17","52408","5.10","308327","89.9%","58.0%","51827","57.3%","88326","62.1%","140153","60.3%","168246","56.0%","4.3pp"
"We Say Thee Nay!","U","C","178258","4.40","47622","5.60","267694","86.9%","57.3%","47255","59.1%","74513","59.4%","121768","59.3%","145937","55.7%","3.6pp"
"Wiccan, Rising Magician","U","U","73958","4.58","13626","6.27","60090","69.4%","55.1%","9858","51.8%","17718","57.1%","27576","55.2%","32890","54.9%","0.3pp"
"The Wondrous Wasp","U","R","12084","1.90","7627","1.93","47338","93.9%","58.7%","8428","62.2%","13347","63.9%","21775","63.3%","25642","55.0%","8.3pp"
"Agents of HYDRA","B","C","231002","6.50","27963","9.47","87295","50.2%","52.6%","15701","51.5%","22793","53.8%","38494","52.8%","48818","52.4%","0.4pp"
"Arnim Zola, Bio-Fanatic","B","U","77777","5.12","10530","7.22","37692","59.2%","50.5%","6622","47.1%","10235","52.1%","16857","50.2%","20933","50.7%","-0.6pp"
"Baron Helmut Zemo","B","R","28689","4.44","4110","6.31","10288","41.1%","50.3%","1823","51.3%","2855","52.3%","4678","51.9%","5678","49.1%","2.8pp"
"Baron Strucker, HYDRA Overlord","B","U","57507","3.67","11716","4.65","62990","86.4%","53.8%","11180","57.4%","17355","55.7%","28535","56.4%","34642","51.7%","4.7pp"
"Black Widow, Super Spy","B","M","5116","1.70","2876","1.73","15727","86.4%","54.9%","2856","60.3%","4328","56.0%","7184","57.7%","8632","52.7%","5.0pp"
"Construct a Cosmic Cube","B","R","23153","3.80","4514","4.60","14814","54.3%","48.7%","2579","47.5%","4351","49.7%","6930","48.8%","7800","48.6%","0.2pp"
