"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Long-Bodied Grey Dog","","C","248256","7.14","29599","10.54","38508","20.6%","52.8%","6796","52.9%","9482","53.1%","16278","53.0%","22226","52.6%","0.4pp"
"Old Thrush","","C","244025","7.03","27916","10.42","42528","24.3%","52.4%","7875","52.1%","10801","54.0%","18676","53.2%","23856","51.8%","1.4pp"
"Troop of Ponies","","U","88033","5.12","11910","7.52","36288","48.7%","53.3%","6736","54.4%","8980","53.3%","15716","53.7%","20524","53.0%","0.8pp"
"Belladonna Took","W","R","17362","3.39","3660","4.11","13565","60.5%","51.8%","2500","50.7%","3904","52.6%","6404","51.9%","7115","51.8%","0.1pp"
"Bilbo's Gambit","W","R","27842","5.16","3394","7.88","3574","16.9%","48.4%","620","47.4%","960","47.6%","1580","47.5%","1994","49.1%","-1.6pp"
"Bofur, Reliable Guardian","W","U","69024","4.25","13233","5.59","64990","77.3%","55.3%","11336","53.8%","17211","58.1%","28547","56.4%","36147","54.4%","1.9pp"
"Celebrate the Mountain-king","W","U","42259","2.65","19044","2.90","113376","91.3%","57.9%","19141","59.4%","33187","63.4%","52328","61.9%","60984","54.5%","7.4pp"
"Dáin, Lord of the Iron Hills","W","U","66968","4.26","12178","5.66","55414","72.6%","54.2%","9792","53.7%","14357","54.1%","24149","54.0%","31046","54.3%","-0.3pp"
"Dwarven Provisioner","W","C","226533","6.30","35516","8.77","133861","59.4%","55.3%","23889","53.8%","36431","56.1%","60320","55.2%","73198","55.3%","-0.2pp"
"Dwarven Shortsword","W","C","217436","6.06","29393","8.76","99453","53.7%","54.3%","16852","52.2%","24917","53.8%","41769","53.1%","57068","55.1%","-1.9pp"
"Eagle of the Great Shelf","W","U","87876","5.83","11030","8.39","27513","40.3%","51.2%","4420","47.7%","8078","53.9%","12498","51.7%","15165","50.8%","1.0pp"
"The Eagles Are Coming!","W","R","10334","2.11","5614","2.11","31816","88.2%","56.6%","5388","57.0%","9418","61.1%","14806","59.6%","17028","53.9%","5.7pp"
"Esgaroth Garrison","W","C","244049","7.60","32660","10.72","52851","25.6%","54.7%","8725","53.4%","16641","58.2%","25366","56.6%","27617","53.0%","3.6pp"
"Fíli the Pathfinder","W","R","9632","1.98","5725","1.94","33671","89.2%","59.2%","5996","65.4%","9093","66.6%","15089","66.1%","18341","53.2%","12.9pp"
"Gleaming Splendor","W","M","10332","3.99","1309","5.96","1450","17.8%","42.6%","248","","379","","627","38.6%","822","45.6%","-7.0pp"
"Iron Hills Blacksmith","W","U","54425","3.35","15305","4.02","84842","86.5%","56.3%","15505","58.2%","22450","57.1%","37955","57.5%","46655","55.3%","2.2pp"
"Kíli the Resourceful","W","R","11678","2.37","5412","2.37","28992","82.6%","57.6%","5277","67.2%","7273","59.9%","12550","63.0%","16231","53.3%","9.7pp"
"Lake-town Lookout","W","C","240665","7.44","27607","10.85","35911","20.7%","51.2%","6406","51.1%","10638","52.0%","17044","51.6%","18862","50.8%","0.9pp"
"Lake-town Toymaker","W","U","92440","6.24","13691","8.64","31689","37.2%","52.7%","5370","50.2%","10283","55.5%","15653","53.7%","16087","51.7%","1.9pp"
"Magnificent End","W","C","177789","4.55","35124","6.08","182966","82.3%","55.4%","31208","53.8%","53085","57.6%","84293","56.2%","98735","54.7%","1.5pp"
"Moment of Glory","W","C","245563","7.70","27967","11.28","26262","15.0%","51.3%","4421","48.5%","7630","52.6%","12051","51.1%","14226","51.5%","-0.5pp"
"The Mountain-king's Return","W","U","51399","3.22","18806","3.59","107793","88.5%","57.9%","19096","60.8%","31387","61.4%","50483","61.2%","57302","54.9%","6.3pp"
"Ori, Keeper of Songs","W","C","230227","6.69","31016","9.59","90397","46.2%","55.0%","15654","54.5%","22599","54.7%","38253","54.6%","51786","55.2%","-0.6pp"
"The Queen of Dale","W","M","5219","2.11","2382","2.15","12642","84.3%","55.4%","2263","58.7%","3623","58.3%","5886","58.4%","6747","52.8%","5.6pp"
"Roads Go Ever, Ever On","W","R","18117","3.41","4485","4.06","20359","72.2%","55.6%","3621","56.8%","5677","56.1%","9298","56.3%","11056","55.1%","1.3pp"
"Settle the Wreckage","W","R","12036","2.39","4749","2.51","25854","85.6%","55.8%","4388","54.6%","7604","60.8%","11992","58.5%","13867","53.5%","5.1pp"
"Stone by Sunlight","W","U","50225","3.07","17850","3.50","103027","90.0%","57.2%","17585","57.2%","29672","62.0%","47257","60.2%","55796","54.6%","5.6pp"
"Thorin's Last Stand","W","C","247625","7.89","26386","11.61","15456","9.3%","49.7%","2463","45.0%","4161","50.8%","6624","48.6%","8840","50.5%","-1.9pp"
