"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"The Dawning Archaic","","M","8681","1.87","3786","1.86","19933","85.5%","52.1%","3183","47.3%","6439","56.9%","9622","53.7%","9907","49.9%","3.8pp"
"Rancorous Archaic","","C","331655","7.38","44036","10.59","78449","28.4%","51.3%","12961","48.8%","24126","56.2%","37087","53.6%","40526","49.0%","4.7pp"
"Sundering Archaic","","U","101085","4.46","27291","5.47","130901","74.9%","55.5%","21519","53.7%","41034","61.5%","62553","58.8%","65428","51.9%","7.0pp"
"Together as One","","R","18252","2.02","12632","1.95","73174","87.5%","58.1%","12308","61.4%","22213","67.8%","34521","65.5%","35707","49.5%","16.0pp"
"Transcendent Archaic","","U","118074","5.31","23006","7.06","85760","59.4%","53.7%","14089","51.9%","26465","59.6%","40554","56.9%","43758","50.2%","6.8pp"
"Ajani's Response","W","C","240572","4.60","51038","6.01","274587","83.0%","56.6%","46593","55.2%","75763","59.0%","122356","57.6%","149758","55.7%","1.8pp"
"Antiquities on the Loose","W","R","18037","1.92","11308","1.92","68712","90.7%","59.5%","12238","65.4%","18350","63.8%","30588","64.4%","37608","55.3%","9.1pp"
"Ascendant Dustspeaker","W","C","302367","6.25","45426","8.78","164450","56.2%","55.9%","26909","53.5%","44933","56.4%","71842","55.3%","92569","56.2%","-0.9pp"
"Daydream","W","U","127629","6.38","14926","9.49","21322","22.5%","51.2%","3540","47.9%","5356","49.8%","8896","49.0%","12374","52.8%","-3.8pp"
"Dig Site Inventory","W","C","279924","5.65","44609","7.77","194101","67.5%","55.9%","32624","54.9%","47079","55.7%","79703","55.4%","114017","56.2%","-0.8pp"
"Eager Glyphmage","W","C","301013","6.25","48705","8.60","185382","58.7%","56.7%","31437","55.8%","48356","56.2%","79793","56.1%","105057","57.2%","-1.1pp"
"Elite Interceptor","W","C","214005","4.19","61660","4.89","361803","89.2%","58.3%","66292","60.8%","93897","58.2%","160189","59.3%","200363","57.5%","1.8pp"
"Emeritus of Truce","W","M","8548","1.84","4674","1.83","26390","87.5%","56.7%","4670","59.4%","7012","58.0%","11682","58.6%","14603","55.2%","3.4pp"
"Ennis, Debate Moderator","W","U","111980","5.42","15011","7.65","46544","49.0%","52.9%","8269","48.3%","11700","51.4%","19969","50.1%","26464","54.9%","-4.8pp"
"Erode","W","R","24903","2.53","8075","2.78","43725","85.2%","55.5%","7521","52.9%","11846","58.3%","19367","56.2%","23969","54.7%","1.5pp"
"Graduation Day","W","U","109702","5.54","13520","7.96","35557","41.6%","52.6%","6245","51.9%","8476","50.0%","14721","50.8%","20750","53.9%","-3.0pp"
"Group Project","W","U","95444","4.39","23021","5.39","122942","82.1%","57.1%","22122","57.7%","30943","56.1%","53065","56.8%","69774","57.3%","-0.5pp"
"Harsh Annotation","W","U","120406","5.98","11481","9.43","18616","25.5%","51.1%","3116","47.8%","4708","51.4%","7824","50.0%","10675","52.0%","-2.0pp"
"Honorbound Page","W","C","308845","6.53","39804","9.44","105087","41.0%","54.6%","17810","51.4%","26530","54.2%","44340","53.1%","60521","55.6%","-2.5pp"
"Informed Inkwright","W","R","16677","1.81","10175","1.81","61643","91.7%","58.2%","11218","63.3%","16334","60.4%","27552","61.6%","33784","55.4%","6.2pp"
"Inkshape Demonstrator","W","U","95911","4.46","19544","5.69","99069","78.3%","56.6%","16793","57.0%","25950","56.4%","42743","56.7%","56095","56.4%","0.2pp"
"Interjection","W","C","323768","7.24","42677","10.30","79675","29.0%","55.9%","13150","54.5%","20051","56.5%","33201","55.7%","46243","55.9%","-0.2pp"
"Joined Researchers","W","R","43298","4.08","8793","5.24","41698","73.9%","55.8%","7568","55.8%","10448","54.3%","18016","54.9%","23638","56.4%","-1.5pp"
"Owlin Historian","W","C","298900","6.18","45403","8.62","179164","61.3%","56.0%","31080","55.2%","47485","55.5%","78565","55.4%","100687","56.4%","-1.0pp"
"Practiced Offense","W","R","16156","1.74","11196","1.70","69472","92.0%","59.4%","11856","62.7%","18504","65.9%","30360","64.7%","38546","55.0%","9.7pp"
"Primary Research","W","U","97940","4.60","19488","5.88","84836","68.2%","55.4%","14282","53.3%","23000","55.9%","37282","54.9%","47360","55.8%","-0.9pp"
"Quill-Blade Laureate","W","U","78822","3.63","20050","4.39","116032","89.0%","57.1%","21008","57.1%","29451","56.7%","50459","56.9%","65269","57.1%","-0.2pp"
"Rapier Wit","W","C","319134","7.04","41062","10.15","80810","30.6%","54.8%","13744","52.2%","20456","55.7%","34200","54.3%","46228","55.0%","-0.7pp"
"Rehearsed Debater","W","C","310009","6.57","44472","9.26","140805","49.3%","55.7%","24472","55.7%","34615","54.0%","59087","54.7%","81550","56.4%","-1.7pp"
"Restoration Seminar","W","M","9259","2.07","4797","2.02","24305","79.9%","55.1%","4092","54.3%","6853","59.5%","10945","57.6%","13075","52.7%","4.8pp"
"Shattered Acolyte","W","C","290593","5.84","47000","8.07","212537","69.8%","56.4%","38766","56.8%","52452","55.2%","91218","55.9%","120881","56.9%","-1.0pp"
"Soaring Stoneglider","W","U","99336","4.61","16929","6.14","79509","73.9%","54.4%","13495","51.6%","21210","55.0%","34705","53.7%","44836","54.8%","-1.1pp"
"Spiritcall Enthusiast","W","U","114866","5.59","16069","7.89","45660","44.7%","53.7%","7935","52.1%","11261","51.9%","19196","52.0%","26429","54.9%","-2.9pp"
"Stand Up for Yourself","W","U","84979","3.87","20983","4.77","117612","86.4%","56.5%","19875","54.8%","32008","58.5%","51883","57.1%","64859","56.0%","1.1pp"
"Stirring Hopesinger","W","R","14762","1.60","10188","1.58","63296","93.3%","58.6%","11155","63.3%","17289","62.5%","28444","62.8%","34595","54.9%","7.9pp"
"Stone Docent","W","C","278305","5.53","53880","7.26","283641","80.6%","57.1%","50960","57.7%","70407","55.6%","121367","56.5%","162073","57.6%","-1.1pp"
"Summoned Dromedary","W","U","103729","4.80","18043","6.48","79579","69.3%","54.8%","13333","53.1%","20746","54.7%","34079","54.1%","45724","55.3%","-1.2pp"
"Banishing Betrayal","U","C","304296","6.24","45289","8.88","167244","58.9%","52.9%","29743","50.7%","49022","57.8%","78765","55.1%","84818","50.7%","4.5pp"
"Brush Off","U","U","109017","5.12","24005","6.34","112819","74.1%","54.9%","18994","53.2%","34320","60.6%","53314","57.9%","56222","51.3%","6.7pp"
"Campus Composer","U","U","103716","4.79","17003","6.57","73434","69.8%","52.6%","12275","50.9%","21627","55.7%","33902","53.9%","38209","51.2%","2.8pp"
"Chase Inspiration","U","C","334660","7.94","42910","11.27","58721","21.9%","52.9%","9726","50.9%","16793","56.2%","26519","54.3%","31079","51.2%","3.0pp"
"Deluge Virtuoso","U","C","310117","6.59","38187","9.68","95836","40.4%","51.1%","16718","49.3%","27515","53.5%","44233","52.0%","49866","50.2%","1.8pp"
"Divergent Equation","U","U","102670","4.90","25395","5.83","121788","75.7%","55.0%","20240","51.6%","38353","61.3%","58593","58.0%","58750","50.9%","7.0pp"
"Echocasting Symposium","U","M","7982","1.77","4822","1.73","26370","87.1%","54.0%","4482","53.7%","7791","60.5%","12273","58.0%","12871","49.1%","8.9pp"
"Emeritus of Ideation","U","M","6509","1.39","4925","1.38","28950","89.6%","57.3%","4950","61.2%","8956","66.0%","13906","64.3%","14163","49.9%","14.4pp"
"Encouraging Aviator","U","U","115464","5.56","14730","7.95","42525","47.4%","49.9%","7314","47.9%","11865","52.0%","19179","50.4%","22774","49.4%","1.1pp"
"Essence Scatter","U","C","262293","5.10","53917","6.73","280309","82.5%","54.3%","49172","54.7%","82299","58.2%","131471","56.9%","142086","51.5%","5.4pp"
"Exhibition Tidecaller","U","R","22329","2.40","10951","2.39","61860","87.6%","55.9%","10658","56.8%","19316","62.4%","29974","60.4%","30021","50.6%","9.8pp"
"Flow State","U","U","82553","3.70","21876","4.56","117431","85.4%","54.1%","20837","53.0%","35342","59.0%","56179","56.8%","58042","51.2%","5.7pp"
"Fractal Anomaly","U","U","140408","7.46","16234","10.97","9361","9.2%","47.1%","1557","42.1%","2790","52.0%","4347","48.4%","4884","45.7%","2.7pp"
"Fractalize","U","U","136935","7.10","16407","10.35","19234","18.7%","50.4%","3202","47.2%","5386","54.1%","8588","51.5%","10266","49.1%","2.4pp"
"Harmonized Trio","U","R","36035","3.63","7619","4.42","28648","61.2%","51.3%","5037","53.2%","8110","53.3%","13147","53.3%","15046","49.4%","3.8pp"
"Homesickness","U","U","108521","4.99","20024","6.65","88903","70.9%","53.3%","14887","51.2%","26960","58.3%","41847","55.8%","44594","50.5%","5.3pp"
"Hydro-Channeler","U","C","287722","5.75","46735","8.02","214337","73.8%","53.1%","38525","54.2%","61286","55.1%","99811","54.7%","112050","51.6%","3.1pp"
"Jadzi, Steward of Fate","U","R","18287","1.93","10608","1.95","61206","90.6%","55.4%","10882","57.4%","18232","60.6%","29114","59.4%","30587","51.1%","8.3pp"
"Landscape Painter","U","C","304234","6.22","41158","9.01","143125","55.8%","52.1%","25425","50.3%","41384","55.1%","66809","53.3%","74315","50.9%","2.4pp"
"Mana Sculpt","U","R","36704","3.53","10099","4.15","49521","77.6%","54.2%","8351","53.4%","15129","60.1%","23480","57.7%","24642","50.2%","7.5pp"
"Mathemagics","U","M","10974","2.38","5586","2.35","30990","86.3%","56.7%","5309","53.5%","10135","66.3%","15444","61.9%","13984","49.0%","12.9pp"
"Matterbending Mage","U","U","83813","3.72","23658","4.54","132068","87.4%","55.4%","23190","54.9%","39032","60.1%","62222","58.1%","66649","52.5%","5.6pp"
"Muse Seeker","U","U","105586","4.91","17910","6.58","74452","67.3%","51.5%","13497","50.8%","21107","53.8%","34604","52.6%","38820","50.5%","2.1pp"
"Muse's Encouragement","U","C","325524","7.23","43079","10.34","93924","35.2%","51.1%","15719","48.2%","28135","55.1%","43854","52.7%","48141","49.3%","3.3pp"
"Orysa, Tide Choreographer","U","U","114742","5.35","16055","7.60","50628","51.1%","51.7%","8504","50.0%","14788","55.3%","23292","53.4%","26442","50.0%","3.4pp"
"Pensive Professor","U","R","19670","2.08","9903","2.11","55820","89.2%","54.4%","9718","57.5%","16580","59.5%","26298","58.7%","28303","50.2%","8.5pp"
"Procrastinate","U","C","317153","6.94","39652","10.13","88556","36.0%","51.0%","15089","48.1%","25712","54.7%","40801","52.3%","45724","49.6%","2.6pp"
"Quick Study","U","C","301367","6.16","46003","8.71","174054","60.2%","53.6%","30738","53.6%","52068","57.5%","82806","56.1%","87830","51.0%","5.1pp"
"Run Behind","U","C","296496","5.91","53744","8.03","246965","72.8%","54.7%","42224","53.6%","74379","59.1%","116603","57.1%","125168","52.2%","4.9pp"
"Skycoach Conductor","U","R","24398","2.51","9103","2.70","48295","84.0%","54.0%","8296","54.9%","14286","57.9%","22582","56.8%","24714","51.1%","5.7pp"
"Spellbook Seeker","U","C","318342","6.94","36284","10.29","61728","27.5%","49.9%","10510","47.5%","18148","52.7%","28658","50.8%","32267","49.1%","1.7pp"
"Tester of the Tangential","U","U","103238","4.80","16379","6.58","69242","68.4%","52.2%","12341","53.7%","19017","54.0%","31358","53.9%","36931","50.8%","3.1pp"
"Textbook Tabulator","U","C","320070","7.13","39190","10.46","74140","30.4%","51.0%","13070","50.7%","21338","54.0%","34408","52.7%","38720","49.4%","3.3pp"
"Wisdom of Ages","U","R","41837","4.00","11798","4.52","55233","73.7%","55.0%","9063","50.0%","18047","61.6%","27110","57.7%","25855","50.6%","7.2pp"
"Adventurous Eater","B","C","286854","5.69","36009","8.20","153231","66.8%","54.6%","26657","53.0%","37656","54.7%","64313","54.0%","88037","55.0%","-1.0pp"
"Arcane Omens","B","U","109064","5.56","27148","6.26","106885","61.7%","55.5%","17781","56.5%","32420","61.4%","50201","59.7%","54002","50.9%","8.8pp"
"Arnyn, Deathbloom Botanist","B","U","105283","5.05","12391","7.34","39289","51.1%","51.8%","6810","48.8%","9584","51.9%","16394","50.6%","22578","52.5%","-1.9pp"
"Burrog Banemaker","B","C","290803","5.88","35894","8.54","137626","60.2%","54.1%","24720","55.3%","32625","53.8%","57345","54.5%","79397","53.8%","0.7pp"
"Cheerful Osteomancer","B","C","304591","6.31","35495","9.33","100772","45.0%","52.6%","16818","48.6%","24907","53.4%","41725","51.4%","57998","53.3%","-1.8pp"
"Cost of Brilliance","B","C","294417","6.05","45749","8.19","190965","64.5%","56.7%","32802","56.5%","47967","57.9%","80769","57.3%","108897","56.0%","1.3pp"
"Decorum Dissertation","B","M","9417","2.02","4073","2.05","20497","80.3%","54.4%","3442","54.2%","5278","57.4%","8720","56.1%","11572","52.9%","3.2pp"
"Dissection Practice","B","U","96820","4.36","17521","5.61","87625","77.7%","56.4%","15087","57.5%","21430","58.3%","36517","58.0%","50557","55.2%","2.8pp"
"Emeritus of Woe","B","M","7045","1.47","4647","1.46","26606","89.1%","56.2%","4454","57.7%","7355","59.9%","11809","59.1%","14426","53.4%","5.7pp"
"End of the Hunt","B","U","73991","3.34","20194","4.04","113472","86.8%","56.3%","19724","56.4%","29587","59.6%","49311","58.3%","62767","54.6%","3.7pp"
