"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Long-Bodied Grey Dog","","C","186019","7.14","21745","10.57","26941","19.8%","52.3%","4687","52.1%","6562","51.9%","11249","52.0%","15688","52.5%","-0.5pp"
"Old Thrush","","C","183162","7.05","20399","10.49","27784","22.0%","51.8%","5080","51.0%","7033","53.5%","12113","52.5%","15669","51.2%","1.2pp"
"Troop of Ponies","","U","64693","5.01","8894","7.30","27646","50.4%","52.9%","5148","53.7%","6778","53.2%","11926","53.4%","15679","52.5%","0.9pp"
"Belladonna Took","W","R","12544","3.30","2801","3.87","10550","62.1%","51.7%","1943","51.0%","3023","52.5%","4966","51.9%","5545","51.6%","0.3pp"
"Bilbo's Gambit","W","R","20265","5.05","2512","7.61","3028","19.8%","49.0%","516","48.6%","810","49.3%","1326","49.0%","1703","49.0%","0.0pp"
"Bofur, Reliable Guardian","W","U","51477","4.25","9819","5.59","47510","76.8%","55.2%","8268","53.7%","12445","57.5%","20713","56.0%","26588","54.5%","1.5pp"
"Celebrate the Mountain-king","W","U","32199","2.68","13970","2.94","82352","90.9%","58.0%","13936","59.0%","23947","63.5%","37883","61.8%","44419","54.7%","7.2pp"
"Dáin, Lord of the Iron Hills","W","U","49428","4.20","9258","5.47","42408","73.7%","54.1%","7516","53.8%","11030","54.4%","18546","54.2%","23694","54.0%","0.1pp"
"Dwarven Provisioner","W","C","169844","6.33","26173","8.82","96218","58.4%","55.1%","17172","53.5%","25895","55.9%","43067","54.9%","52895","55.1%","-0.2pp"
"Dwarven Shortsword","W","C","162807","6.05","22331","8.68","76184","54.5%","54.3%","12888","52.0%","19076","53.9%","31964","53.1%","43765","55.0%","-1.9pp"
"Eagle of the Great Shelf","W","U","64957","5.74","8423","8.15","22703","43.8%","51.5%","3663","47.9%","6695","53.9%","10358","51.8%","12466","51.2%","0.6pp"
"The Eagles Are Coming!","W","R","7719","2.10","4159","2.10","23137","87.9%","56.3%","3927","56.6%","6730","60.9%","10657","59.3%","12494","53.7%","5.6pp"
"Esgaroth Garrison","W","C","183257","7.65","23628","10.88","33245","22.5%","54.0%","5498","53.0%","10310","57.1%","15808","55.7%","17522","52.4%","3.3pp"
"Fíli the Pathfinder","W","R","7242","1.99","4235","1.94","24675","89.0%","59.3%","4364","65.9%","6603","66.7%","10967","66.4%","13526","53.2%","13.1pp"
"Gleaming Splendor","W","M","7483","3.90","962","5.72","1178","20.1%","40.5%","207","","312","","519","36.4%","658","43.8%","-7.4pp"
"Iron Hills Blacksmith","W","U","41030","3.35","11365","4.01","62657","86.6%","56.4%","11437","58.2%","16508","57.1%","27945","57.6%","34543","55.4%","2.2pp"
"Kíli the Resourceful","W","R","8840","2.39","4082","2.39","21799","82.8%","57.6%","3993","66.6%","5416","59.6%","9409","62.6%","12236","53.5%","9.1pp"
"Lake-town Lookout","W","C","180190","7.37","21011","10.72","29380","22.4%","51.3%","5282","51.3%","8675","51.9%","13957","51.7%","15418","51.0%","0.7pp"
"Lake-town Toymaker","W","U","68672","6.17","10390","8.45","25428","39.6%","52.9%","4274","50.5%","8206","55.7%","12480","53.9%","12991","52.0%","1.9pp"
