"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"The Dawning Archaic","","M","4867","1.79","2303","1.77","12207","86.0%","53.0%","1968","48.5%","3931","57.3%","5899","54.4%","6071","51.0%","3.4pp"
"Rancorous Archaic","","C","196913","7.38","26432","10.55","48478","29.4%","51.9%","7961","49.2%","14819","56.9%","22780","54.2%","25132","49.6%","4.6pp"
"Sundering Archaic","","U","62768","4.69","16311","5.77","74570","72.3%","55.7%","12202","54.5%","23078","61.4%","35280","59.0%","37608","52.1%","6.9pp"
"Together as One","","R","11849","2.18","7755","2.11","43765","85.9%","58.4%","7257","62.1%","13186","68.1%","20443","66.0%","21575","50.1%","15.9pp"
"Transcendent Archaic","","U","71002","5.43","13695","7.19","48965","57.1%","54.2%","8065","52.8%","14969","60.0%","23034","57.5%","25055","50.6%","6.9pp"
"Ajani's Response","W","C","148755","4.84","29336","6.39","151904","80.1%","57.1%","25704","56.1%","41590","59.6%","67294","58.3%","83347","56.1%","2.1pp"
"Antiquities on the Loose","W","R","10945","1.98","6657","1.97","40146","90.2%","60.1%","7203","65.8%","10609","64.5%","17812","65.0%","22032","55.9%","9.1pp"
"Ascendant Dustspeaker","W","C","180563","6.36","26551","8.93","92587","54.2%","56.3%","15260","54.1%","24935","57.0%","40195","55.9%","52353","56.6%","-0.8pp"
"Daydream","W","U","73814","6.21","8859","9.14","14494","25.8%","51.8%","2407","48.3%","3666","50.2%","6073","49.4%","8382","53.4%","-3.9pp"
"Dig Site Inventory","W","C","167962","5.75","26469","7.89","112334","66.1%","56.2%","19004","55.2%","27139","56.3%","46143","55.8%","65969","56.5%","-0.7pp"
"Eager Glyphmage","W","C","177580","6.24","28701","8.55","109090","59.0%","57.0%","18608","56.2%","28289","56.5%","46897","56.4%","61898","57.4%","-1.0pp"
"Elite Interceptor","W","C","133832","4.41","35989","5.21","208199","88.1%","58.8%","38101","61.4%","53796","58.8%","91897","59.9%","115583","57.9%","1.9pp"
"Emeritus of Truce","W","M","4901","1.78","2736","1.78","15527","87.6%","57.2%","2750","60.5%","4119","59.6%","6869","60.0%","8600","55.0%","5.0pp"
"Ennis, Debate Moderator","W","U","63549","5.15","8967","7.11","30274","53.5%","53.3%","5435","48.8%","7522","52.1%","12957","50.7%","17244","55.2%","-4.5pp"
"Erode","W","R","14660","2.51","4657","2.75","24755","83.9%","55.8%","4284","53.4%","6723","58.7%","11007","56.6%","13532","55.1%","1.6pp"
"Graduation Day","W","U","63165","5.36","8032","7.48","23284","45.9%","53.1%","4073","52.7%","5497","50.6%","9570","51.5%","13657","54.2%","-2.7pp"
"Group Project","W","U","56190","4.38","13914","5.31","74047","82.1%","57.5%","13454","57.9%","18476","56.8%","31930","57.3%","42061","57.7%","-0.4pp"
"Harsh Annotation","W","U","69987","5.89","6718","9.24","11775","27.5%","50.9%","2012","47.7%","2960","51.8%","4972","50.1%","6739","51.5%","-1.4pp"
"Honorbound Page","W","C","182681","6.48","23428","9.36","63625","42.3%","54.8%","10791","51.6%","15945","54.7%","26736","53.5%","36747","55.7%","-2.3pp"
"Informed Inkwright","W","R","9974","1.83","6027","1.81","36121","91.2%","58.6%","6539","64.0%","9557","61.1%","16096","62.3%","19837","55.4%","6.9pp"
"Inkshape Demonstrator","W","U","57064","4.51","11517","5.68","57803","77.5%","57.0%","9892","57.7%","14912","56.8%","24804","57.2%","32863","56.8%","0.3pp"
"Interjection","W","C","191765","7.28","24778","10.39","44065","27.7%","56.2%","7216","54.8%","11048","57.2%","18264","56.3%","25683","56.1%","0.2pp"
"Joined Researchers","W","R","25077","4.05","5169","5.10","24646","74.6%","56.4%","4513","56.6%","6172","55.0%","10685","55.7%","13935","56.8%","-1.2pp"
"Owlin Historian","W","C","178099","6.24","26556","8.71","102510","60.0%","56.3%","17782","55.4%","27082","56.1%","44864","55.8%","57706","56.7%","-0.9pp"
"Practiced Offense","W","R","10050","1.83","6627","1.80","40578","91.0%","59.9%","6896","63.2%","10780","66.5%","17676","65.2%","22605","55.6%","9.6pp"
"Primary Research","W","U","58015","4.61","11780","5.86","50320","67.4%","55.7%","8428","53.5%","13651","56.2%","22079","55.2%","28111","56.1%","-0.9pp"
"Quill-Blade Laureate","W","U","46936","3.65","11881","4.43","67631","88.1%","57.2%","12258","57.0%","17025","57.0%","29283","57.0%","38171","57.2%","-0.3pp"
"Rapier Wit","W","C","189181","7.05","24209","10.15","47266","30.5%","55.0%","7946","51.8%","11814","56.0%","19760","54.3%","27279","55.3%","-1.0pp"
"Rehearsed Debater","W","C","185327","6.68","25891","9.44","76699","46.4%","55.8%","13353","56.3%","18622","54.1%","31975","55.0%","44618","56.5%","-1.5pp"
"Restoration Seminar","W","M","5564","2.10","2846","2.05","14402","79.2%","55.5%","2410","55.0%","4055","59.2%","6465","57.6%","7780","53.4%","4.2pp"
"Shattered Acolyte","W","C","174141","5.93","27261","8.23","119017","67.6%","56.8%","21721","56.9%","29297","55.6%","51018","56.1%","67763","57.2%","-1.1pp"
"Soaring Stoneglider","W","U","58049","4.53","10294","5.89","49349","75.6%","54.9%","8454","52.0%","13107","55.7%","21561","54.3%","27783","55.3%","-1.1pp"
"Spiritcall Enthusiast","W","U","65418","5.36","9568","7.43","29567","48.7%","54.0%","5120","52.5%","7276","52.4%","12396","52.4%","17140","55.2%","-2.8pp"
"Stand Up for Yourself","W","U","51772","3.99","12261","4.93","67402","85.1%","57.1%","11439","55.0%","17932","59.3%","29371","57.6%","37560","56.6%","1.0pp"
"Stirring Hopesinger","W","R","8867","1.62","6040","1.59","37186","92.9%","59.1%","6638","64.2%","10120","63.1%","16758","63.5%","20263","55.2%","8.3pp"
"Stone Docent","W","C","167892","5.66","31775","7.43","164002","79.3%","57.6%","29365","58.4%","40592","56.1%","69957","57.0%","93933","58.0%","-1.0pp"
"Summoned Dromedary","W","U","61185","4.81","10982","6.43","48335","69.5%","55.2%","8102","53.6%","12509","55.3%","20611","54.6%","27839","55.6%","-1.0pp"
"Banishing Betrayal","U","C","180884","6.31","26563","8.96","94355","57.0%","53.1%","16768","51.1%","27398","58.0%","44166","55.4%","48069","50.8%","4.6pp"
"Brush Off","U","U","69258","5.53","13506","7.07","56291","66.1%","55.3%","9489","53.6%","16998","60.5%","26487","58.1%","28198","52.0%","6.1pp"
"Campus Composer","U","U","59101","4.55","10463","6.08","47657","73.4%","53.1%","7926","51.3%","13917","55.9%","21843","54.3%","24955","52.0%","2.2pp"
"Chase Inspiration","U","C","199628","8.01","24568","11.45","27489","18.1%","53.0%","4525","50.9%","7905","56.3%","12430","54.3%","14562","51.5%","2.9pp"
"Deluge Virtuoso","U","C","181614","6.45","22762","9.42","62345","44.2%","51.3%","10917","49.5%","17896","54.0%","28813","52.3%","32374","50.3%","2.0pp"
"Divergent Equation","U","U","65176","5.29","14776","6.38","66448","71.0%","55.5%","11079","51.7%","20809","61.8%","31888","58.3%","32126","51.6%","6.7pp"
"Echocasting Symposium","U","M","4742","1.77","2901","1.75","15683","85.9%","54.5%","2644","54.2%","4684","61.1%","7328","58.6%","7631","49.4%","9.2pp"
"Emeritus of Ideation","U","M","3763","1.38","2864","1.38","16522","88.9%","57.4%","2818","61.9%","5071","66.2%","7889","64.7%","8116","49.8%","14.8pp"
"Encouraging Aviator","U","U","65462","5.25","9028","7.26","29579","54.4%","50.0%","5100","47.8%","8271","52.3%","13371","50.6%","15798","49.3%","1.3pp"
"Essence Scatter","U","C","157152","5.21","32267","6.83","165402","81.6%","54.6%","29107","55.0%","48191","58.4%","77298","57.2%","84114","51.9%","5.3pp"
"Exhibition Tidecaller","U","R","14184","2.55","6503","2.54","36325","86.6%","56.7%","6221","58.1%","11195","63.2%","17416","61.4%","17772","51.3%","10.0pp"
"Flow State","U","U","49750","3.76","13123","4.61","69250","84.2%","54.6%","12359","53.2%","20694","59.6%","33053","57.2%","34265","51.6%","5.6pp"
"Fractal Anomaly","U","U","81964","7.22","9598","10.59","7134","12.0%","47.2%","1166","43.0%","2151","51.2%","3317","48.3%","3710","46.0%","2.3pp"
"Fractalize","U","U","79629","6.89","9798","9.98","13968","22.8%","50.4%","2336","46.9%","3895","54.4%","6231","51.5%","7472","49.1%","2.4pp"
"Harmonized Trio","U","R","19501","3.36","4685","3.89","19018","66.5%","51.7%","3397","54.0%","5449","53.4%","8846","53.7%","9865","49.9%","3.8pp"
"Homesickness","U","U","64390","5.03","12084","6.62","53103","70.6%","53.6%","8927","51.5%","15979","58.8%","24906","56.2%","26718","50.7%","5.5pp"
"Hydro-Channeler","U","C","171652","5.85","27543","8.14","122793","72.1%","53.4%","22135","54.4%","34889","54.8%","57024","54.7%","64405","52.3%","2.4pp"
"Jadzi, Steward of Fate","U","R","10879","1.93","6299","1.95","36287","90.4%","55.8%","6442","57.7%","10697","61.1%","17139","59.8%","18269","51.6%","8.2pp"
"Landscape Painter","U","C","179700","6.17","24382","8.89","85855","56.7%","52.3%","15262","50.6%","24610","55.0%","39872","53.3%","44691","51.3%","2.0pp"
