"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Concerted Effort","W","M","837","4.07","123","","209","27.4%","","38","","53","","91","","118","",""
"Don't Move","W","M","676","3.03","164","","797","76.1%","55.7%","124","","198","","322","","477","",""
"Ephemerate","W","M","838","3.83","161","","627","65.1%","52.6%","91","","167","","258","","370","",""
"Final Showdown","W","M","483","2.19","212","2.31","1171","85.4%","59.4%","215","","326","","541","66.0%","630","53.8%","12.2pp"
"Light of Promise","W","M","1182","5.58","113","","62","8.9%","","15","","14","","29","","33","",""
"Path to Exile","W","M","443","2.06","199","","1184","91.9%","57.3%","213","","337","","550","60.4%","634","54.6%","5.8pp"
"Return to the Ranks","W","M","1137","5.04","136","","136","15.9%","","19","","39","","58","","78","",""
"Righteous Fury","W","M","662","2.97","153","","638","68.8%","57.4%","105","","164","","269","","368","",""
"Steelshaper's Gift","W","M","1241","5.56","139","","96","10.8%","","23","","17","","40","","56","",""
"Teferi's Protection","W","M","871","3.96","121","","333","47.1%","","49","","91","","140","","195","",""
"Counterspell","U","M","691","3.22","205","3.83","1154","86.1%","57.5%","201","","328","","529","59.5%","626","55.8%","3.8pp"
"Cyberdrive Awakener","U","M","642","3.11","161","","581","60.1%","49.6%","96","","152","","248","","334","",""
"Dig Through Time","U","M","758","3.55","201","4.23","893","70.2%","53.0%","170","","247","","417","","476","",""
"Harbinger of the Seas","U","M","1286","5.75","160","","34","3.4%","","7","","10","","17","","17","",""
"Lord of Atlantis","U","M","1164","5.01","165","","193","18.5%","","33","","58","","91","","103","",""
"Mechanized Production","U","M","845","4.17","126","","290","36.3%","","55","","99","","154","","136","",""
"Narset's Reversal","U","M","1156","4.71","147","","293","32.4%","","60","","71","","131","","162","",""
"Reconnaissance Mission","U","M","735","3.51","162","","644","65.4%","52.6%","119","","175","","294","","350","",""
"Show and Tell","U","M","1162","5.58","152","","11","1.1%","","2","","5","","7","","4","",""
"Simulacrum Synthesizer","U","M","616","3.13","169","","771","70.8%","56.5%","135","","206","","341","","428","",""
"Three Steps Ahead","U","M","604","2.62","217","3.03","1253","88.7%","57.5%","188","","380","","568","59.7%","685","55.6%","4.1pp"
"Dauthi Voidwalker","B","M","535","2.37","193","","1095","87.5%","54.8%","202","","324","","526","58.2%","574","51.7%","6.4pp"
"Deadly Dispute","B","M","950","3.99","172","","776","70.2%","55.5%","135","","218","","353","","423","",""
"Extinction Event","B","M","492","2.26","224","2.52","1245","89.5%","54.9%","212","","341","","553","59.5%","692","51.3%","8.2pp"
