"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"The Dawning Archaic","","M","7110","1.83","3167","1.80","16821","85.9%","52.5%","2703","48.0%","5463","57.4%","8166","54.3%","8336","50.2%","4.1pp"
"Rancorous Archaic","","C","278703","7.37","37213","10.57","67538","28.9%","51.6%","11090","48.8%","20745","56.6%","31835","53.8%","34948","49.3%","4.6pp"
"Sundering Archaic","","U","86142","4.53","23150","5.55","110144","74.4%","55.7%","18070","54.2%","34422","61.7%","52492","59.1%","55174","52.0%","7.2pp"
"Together as One","","R","15777","2.07","10763","2.00","62003","87.0%","58.2%","10398","61.6%","18831","67.9%","29229","65.7%","30275","49.7%","16.0pp"
"Transcendent Archaic","","U","99378","5.34","19439","7.08","71787","58.9%","53.9%","11807","52.1%","22014","59.9%","33821","57.1%","36737","50.4%","6.8pp"
"Ajani's Response","W","C","205387","4.68","42755","6.13","227785","82.1%","56.8%","38675","55.6%","62894","59.3%","101569","57.9%","124209","55.9%","2.0pp"
"Antiquities on the Loose","W","R","15255","1.95","9510","1.94","57557","90.6%","59.7%","10272","65.7%","15323","63.9%","25595","64.6%","31517","55.5%","9.2pp"
"Ascendant Dustspeaker","W","C","254746","6.29","38028","8.85","136139","55.5%","56.1%","22263","53.8%","37071","56.7%","59334","55.6%","76776","56.3%","-0.7pp"
"Daydream","W","U","106369","6.32","12560","9.38","18801","23.5%","51.4%","3132","47.9%","4716","50.0%","7848","49.2%","10909","52.9%","-3.8pp"
"Dig Site Inventory","W","C","236668","5.70","37583","7.83","161988","66.9%","56.1%","27248","55.1%","39309","56.0%","66557","55.6%","95110","56.4%","-0.8pp"
"Eager Glyphmage","W","C","252717","6.25","40902","8.58","156002","58.9%","56.8%","26476","56.0%","40734","56.3%","67210","56.2%","88354","57.2%","-1.0pp"
"Elite Interceptor","W","C","183072","4.26","51578","4.98","301525","88.8%","58.5%","55280","61.1%","78226","58.4%","133506","59.5%","166980","57.7%","1.8pp"
"Emeritus of Truce","W","M","7045","1.82","3915","1.81","22214","87.6%","57.1%","3927","60.1%","5889","58.7%","9816","59.3%","12310","55.3%","3.9pp"
"Ennis, Debate Moderator","W","U","92894","5.34","12647","7.49","40054","50.1%","53.0%","7131","48.7%","10012","51.6%","17143","50.4%","22818","54.9%","-4.5pp"
"Erode","W","R","20755","2.52","6748","2.77","36431","84.7%","55.7%","6274","53.2%","9868","58.3%","16142","56.3%","19975","55.0%","1.3pp"
"Graduation Day","W","U","91413","5.48","11443","7.80","31074","42.9%","52.7%","5440","52.1%","7424","50.2%","12864","51.0%","18136","54.0%","-3.0pp"
