"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"The Dawning Archaic","","M","7452","1.84","3317","1.81","17506","85.7%","52.4%","2812","47.9%","5671","57.3%","8483","54.2%","8687","50.0%","4.2pp"
"Rancorous Archaic","","C","291001","7.37","38846","10.57","70136","28.8%","51.5%","11538","48.7%","21567","56.6%","33105","53.8%","36262","49.1%","4.7pp"
"Sundering Archaic","","U","89439","4.51","24101","5.53","114807","74.5%","55.6%","18840","54.1%","35917","61.6%","54757","59.0%","57472","51.8%","7.2pp"
"Together as One","","R","16356","2.05","11199","1.99","64594","87.0%","58.1%","10872","61.6%","19644","67.9%","30516","65.6%","31480","49.6%","16.0pp"
"Transcendent Archaic","","U","103673","5.33","20278","7.07","75160","59.1%","53.8%","12325","52.1%","23108","59.8%","35433","57.2%","38452","50.2%","7.0pp"
"Ajani's Response","W","C","213704","4.66","44764","6.09","239080","82.4%","56.7%","40591","55.4%","65968","59.1%","106559","57.7%","130403","55.8%","1.9pp"
"Antiquities on the Loose","W","R","15904","1.95","9914","1.93","60183","90.6%","59.6%","10757","65.7%","16073","63.8%","26830","64.6%","32889","55.5%","9.1pp"
"Ascendant Dustspeaker","W","C","265610","6.28","39776","8.83","142682","55.7%","56.0%","23334","53.8%","38866","56.6%","62200","55.5%","80441","56.3%","-0.7pp"
"Daydream","W","U","111192","6.34","13101","9.41","19373","23.3%","51.2%","3244","47.7%","4857","49.7%","8101","48.9%","11227","52.8%","-3.9pp"
"Dig Site Inventory","W","C","246691","5.69","39196","7.82","169216","67.0%","56.0%","28445","54.9%","41048","55.9%","69493","55.5%","99388","56.3%","-0.8pp"
"Eager Glyphmage","W","C","263903","6.25","42696","8.58","163088","58.9%","56.7%","27698","55.9%","42562","56.3%","70260","56.1%","92358","57.2%","-1.0pp"
"Elite Interceptor","W","C","190427","4.25","54006","4.97","315761","88.9%","58.4%","57877","61.0%","81932","58.3%","139809","59.4%","174873","57.6%","1.8pp"
"Emeritus of Truce","W","M","7379","1.82","4097","1.81","23209","87.7%","56.9%","4113","60.0%","6174","58.4%","10287","59.0%","12831","55.3%","3.8pp"
"Ennis, Debate Moderator","W","U","97445","5.36","13174","7.53","41548","49.9%","52.9%","7381","48.6%","10382","51.5%","17763","50.3%","23686","54.9%","-4.6pp"
"Erode","W","R","21704","2.52","7068","2.76","38175","84.8%","55.6%","6560","53.1%","10349","58.4%","16909","56.3%","20933","54.9%","1.4pp"
"Graduation Day","W","U","95550","5.50","11964","7.85","32102","42.5%","52.6%","5629","51.9%","7669","50.0%","13298","50.8%","18728","53.9%","-3.0pp"
"Group Project","W","U","83511","4.38","20337","5.36","108538","82.1%","57.2%","19526","57.7%","27369","56.3%","46895","56.9%","61552","57.3%","-0.5pp"
"Harsh Annotation","W","U","105143","5.95","10047","9.38","16663","26.0%","51.0%","2813","48.0%","4202","51.4%","7015","50.0%","9538","51.7%","-1.6pp"
"Honorbound Page","W","C","270924","6.52","34891","9.43","92555","41.2%","54.5%","15768","51.4%","23263","54.1%","39031","53.0%","53319","55.6%","-2.6pp"
"Informed Inkwright","W","R","14638","1.82","8895","1.81","53844","91.7%","58.3%","9770","63.4%","14271","60.7%","24041","61.8%","29533","55.3%","6.5pp"
"Inkshape Demonstrator","W","U","84618","4.48","17185","5.70","86841","78.0%","56.7%","14743","57.1%","22716","56.5%","37459","56.7%","49176","56.6%","0.2pp"
"Interjection","W","C","283981","7.25","37203","10.34","68149","28.4%","55.8%","11201","54.5%","17166","56.5%","28367","55.7%","39585","55.8%","-0.1pp"
"Joined Researchers","W","R","37694","4.07","7682","5.21","36466","74.0%","55.9%","6643","55.7%","9148","54.2%","15791","54.9%","20637","56.6%","-1.8pp"
"Owlin Historian","W","C","262619","6.20","39664","8.66","155079","60.8%","56.0%","26985","55.2%","41103","55.6%","68088","55.4%","87092","56.4%","-1.0pp"
"Practiced Offense","W","R","14340","1.77","9826","1.73","60714","91.7%","59.5%","10353","62.7%","16140","66.1%","26493","64.8%","33752","55.1%","9.7pp"
"Primary Research","W","U","86361","4.62","17192","5.90","74401","67.9%","55.5%","12458","53.2%","20203","55.9%","32661","54.9%","41572","55.9%","-1.0pp"
"Quill-Blade Laureate","W","U","69288","3.64","17585","4.41","101296","88.8%","57.0%","18310","57.1%","25726","56.6%","44036","56.8%","56989","57.1%","-0.3pp"
"Rapier Wit","W","C","279996","7.05","36004","10.15","70645","30.5%","54.7%","11990","52.2%","17908","55.7%","29898","54.3%","40415","55.0%","-0.7pp"
"Rehearsed Debater","W","C","272485","6.61","38891","9.34","120411","48.2%","55.7%","20865","55.9%","29544","53.9%","50409","54.7%","69853","56.4%","-1.7pp"
"Restoration Seminar","W","M","8111","2.07","4196","2.02","21190","79.8%","55.1%","3549","54.1%","5975","59.6%","9524","57.6%","11422","52.8%","4.8pp"
"Shattered Acolyte","W","C","256033","5.87","41030","8.13","183664","69.1%","56.5%","33556","56.8%","45339","55.2%","78895","55.9%","104393","56.9%","-1.0pp"
"Soaring Stoneglider","W","U","86915","4.60","14953","6.09","70653","74.3%","54.4%","12003","51.6%","18838","54.9%","30841","53.6%","39830","55.0%","-1.4pp"
"Spiritcall Enthusiast","W","U","99624","5.53","14095","7.77","40979","45.6%","53.8%","7099","52.1%","10098","52.1%","17197","52.1%","23740","55.0%","-2.9pp"
"Stand Up for Yourself","W","U","75182","3.90","18503","4.81","103345","86.2%","56.6%","17445","54.8%","28034","58.6%","45479","57.1%","57098","56.1%","1.0pp"
"Stirring Hopesinger","W","R","12965","1.60","8936","1.58","55364","93.1%","58.8%","9759","63.3%","15121","63.0%","24880","63.1%","30271","55.0%","8.1pp"
"Stone Docent","W","C","245478","5.57","47334","7.31","247864","80.2%","57.2%","44439","57.8%","61654","55.7%","106093","56.6%","141614","57.7%","-1.1pp"
"Summoned Dromedary","W","U","91027","4.81","16017","6.47","70692","69.3%","54.8%","11849","53.0%","18430","54.8%","30279","54.1%","40606","55.3%","-1.2pp"
"Banishing Betrayal","U","C","266744","6.25","39586","8.91","145059","58.4%","52.9%","25730","50.7%","42501","57.9%","68231","55.2%","73647","50.6%","4.5pp"
"Brush Off","U","U","97543","5.22","20843","6.51","95606","72.4%","55.0%","16124","53.2%","29098","60.5%","45222","57.9%","47614","51.4%","6.4pp"
"Campus Composer","U","U","90050","4.72","15003","6.45","65641","70.5%","52.8%","10976","51.1%","19307","55.6%","30283","54.0%","34182","51.5%","2.5pp"
"Chase Inspiration","U","C","294326","7.97","37180","11.35","47424","20.4%","52.9%","7866","50.5%","13639","56.4%","21505","54.2%","25027","51.2%","3.0pp"
"Deluge Virtuoso","U","C","271134","6.56","33394","9.62","85446","41.2%","51.1%","14918","49.5%","24580","53.5%","39498","52.0%","44366","50.2%","1.7pp"
"Divergent Equation","U","U","91704","4.99","22235","5.96","105389","74.7%","55.0%","17522","51.5%","33176","61.3%","50698","57.9%","50863","51.0%","7.0pp"
"Echocasting Symposium","U","M","7015","1.77","4266","1.73","23389","86.8%","54.3%","3980","54.1%","6957","60.7%","10937","58.3%","11381","49.2%","9.2pp"
"Emeritus of Ideation","U","M","5662","1.40","4279","1.38","25065","89.3%","57.3%","4294","61.8%","7708","66.0%","12002","64.5%","12300","49.8%","14.7pp"
"Encouraging Aviator","U","U","99994","5.48","12896","7.76","38610","49.2%","50.1%","6609","47.7%","10808","52.5%","17417","50.7%","20672","49.6%","1.0pp"
"Essence Scatter","U","C","230336","5.12","47363","6.74","245963","82.3%","54.4%","43184","54.9%","72321","58.2%","115505","57.0%","124544","51.6%","5.4pp"
"Exhibition Tidecaller","U","R","19910","2.44","9593","2.42","54090","87.3%","56.1%","9266","57.0%","16843","62.7%","26109","60.7%","26346","50.8%","9.9pp"
"Flow State","U","U","72737","3.70","19232","4.57","103036","85.3%","54.2%","18263","53.1%","30992","59.1%","49255","56.9%","50943","51.2%","5.6pp"
"Fractal Anomaly","U","U","122636","7.40","14230","10.88","8887","10.0%","47.1%","1472","42.2%","2651","51.9%","4123","48.4%","4644","45.8%","2.7pp"
"Fractalize","U","U","119457","7.04","14364","10.28","17595","19.5%","50.3%","2932","46.8%","4946","53.9%","7878","51.2%","9385","49.1%","2.1pp"
"Harmonized Trio","U","R","30810","3.55","6697","4.27","25764","62.5%","51.5%","4544","53.3%","7317","53.3%","11861","53.3%","13495","49.6%","3.7pp"
"Homesickness","U","U","94913","4.99","17658","6.63","78435","71.0%","53.4%","13171","51.2%","23733","58.5%","36904","55.9%","39323","50.5%","5.4pp"
"Hydro-Channeler","U","C","253070","5.79","40865","8.08","185799","73.1%","53.2%","33451","54.3%","53069","55.0%","86520","54.7%","97170","51.9%","2.9pp"
"Jadzi, Steward of Fate","U","R","16018","1.94","9288","1.95","53493","90.3%","55.4%","9536","57.7%","15905","60.6%","25441","59.5%","26751","51.0%","8.5pp"
"Landscape Painter","U","C","266885","6.22","36029","9.00","125251","55.7%","52.2%","22264","50.5%","36082","55.1%","58346","53.3%","65117","51.0%","2.3pp"
"Mana Sculpt","U","R","32287","3.55","8747","4.18","42677","77.1%","54.3%","7243","53.8%","13035","60.0%","20278","57.8%","21191","50.2%","7.6pp"
"Mathemagics","U","M","9828","2.42","4908","2.39","27033","85.8%","56.6%","4641","53.3%","8796","66.2%","13437","61.7%","12245","49.3%","12.4pp"
"Matterbending Mage","U","U","73355","3.73","20800","4.54","116229","87.2%","55.5%","20428","54.9%","34349","60.1%","54777","58.2%","58618","52.7%","5.5pp"
"Muse Seeker","U","U","91451","4.84","15860","6.45","67255","68.6%","51.7%","12178","50.9%","19077","53.8%","31255","52.7%","35065","50.7%","1.9pp"
"Muse's Encouragement","U","C","285735","7.22","37824","10.33","82841","35.3%","51.1%","13877","48.4%","24818","55.1%","38695","52.7%","42439","49.4%","3.3pp"
"Orysa, Tide Choreographer","U","U","99665","5.29","14200","7.45","46024","52.5%","51.7%","7723","50.0%","13443","55.1%","21166","53.2%","24030","50.1%","3.1pp"
"Pensive Professor","U","R","17245","2.09","8709","2.11","49015","89.1%","54.5%","8613","57.4%","14485","59.5%","23098","58.7%","24868","50.5%","8.2pp"
"Procrastinate","U","C","277440","6.93","34621","10.11","78398","36.5%","51.2%","13304","47.9%","22765","54.8%","36069","52.3%","40515","49.9%","2.4pp"
"Quick Study","U","C","264409","6.18","40006","8.74","149187","59.3%","53.6%","26369","53.7%","44687","57.5%","71056","56.1%","75225","51.0%","5.2pp"
"Run Behind","U","C","260265","5.93","47065","8.05","215764","72.5%","54.8%","36876","53.7%","65000","59.3%","101876","57.3%","109325","52.3%","5.0pp"
"Skycoach Conductor","U","R","20978","2.48","8011","2.65","42749","84.2%","54.1%","7358","54.9%","12629","58.2%","19987","57.0%","21875","51.3%","5.7pp"
"Spellbook Seeker","U","C","278246","6.88","31672","10.21","56554","28.9%","50.1%","9628","47.5%","16631","52.9%","26259","50.9%","29563","49.2%","1.7pp"
"Tester of the Tangential","U","U","89909","4.76","14375","6.49","61573","69.2%","52.4%","10972","53.8%","16914","54.2%","27886","54.0%","32814","50.9%","3.2pp"
"Textbook Tabulator","U","C","281129","7.17","34017","10.52","61492","29.0%","50.8%","10793","50.4%","17706","53.5%","28499","52.4%","32171","49.4%","3.0pp"
"Wisdom of Ages","U","R","37307","4.05","10306","4.60","47779","72.9%","55.2%","7814","50.3%","15612","61.6%","23426","57.8%","22352","50.9%","7.0pp"
"Adventurous Eater","B","C","251368","5.68","31588","8.19","135106","67.2%","54.5%","23540","53.1%","33118","54.7%","56658","54.0%","77675","54.9%","-0.8pp"
"Arcane Omens","B","U","98724","5.72","23806","6.50","90848","59.9%","55.7%","15104","56.7%","27704","61.6%","42808","59.9%","45854","51.1%","8.8pp"
"Arnyn, Deathbloom Botanist","B","U","90936","4.96","10877","7.16","35380","52.6%","51.7%","6129","48.3%","8664","51.9%","14793","50.4%","20298","52.5%","-2.0pp"
"Burrog Banemaker","B","C","254712","5.88","31228","8.55","119014","59.8%","54.0%","21426","55.4%","28221","53.7%","49647","54.4%","68588","53.6%","0.8pp"
"Cheerful Osteomancer","B","C","266118","6.28","31252","9.27","90613","46.0%","52.6%","15152","48.4%","22355","53.4%","37507","51.4%","52143","53.3%","-1.9pp"
"Cost of Brilliance","B","C","259670","6.11","39667","8.30","162236","63.3%","56.6%","27975","56.3%","40705","57.8%","68680","57.2%","92458","56.1%","1.1pp"
"Decorum Dissertation","B","M","8243","2.02","3555","2.05","17860","80.4%","54.3%","2968","54.6%","4644","57.1%","7612","56.2%","10067","52.7%","3.5pp"
"Dissection Practice","B","U","84790","4.36","15239","5.62","75935","77.3%","56.4%","13123","57.6%","18526","58.3%","31649","58.0%","43816","55.0%","3.0pp"
"Emeritus of Woe","B","M","6137","1.47","4074","1.45","23201","88.7%","56.1%","3894","57.5%","6405","59.9%","10299","59.0%","12590","53.4%","5.6pp"
"End of the Hunt","B","U","65417","3.36","17834","4.07","99979","86.7%","56.4%","17302","56.3%","26081","59.6%","43383","58.3%","55378","54.7%","3.6pp"
"Eternal Student","B","U","92201","4.80","15468","6.47","68162","69.4%","55.0%","11638","53.1%","16462","55.4%","28100","54.4%","39842","55.4%","-1.0pp"
"Foolish Fate","B","U","52050","2.69","17193","3.17","102031","91.9%","56.4%","17466","55.9%","26903","60.4%","44369","58.7%","56434","54.5%","4.2pp"
"Forum Necroscribe","B","U","80162","4.27","12485","5.74","54121","69.6%","52.6%","8919","48.9%","13851","53.1%","22770","51.5%","30794","53.2%","-1.7pp"
"Grave Researcher","B","R","17226","2.06","6621","2.16","37379","88.7%","54.7%","6440","55.5%","9547","55.2%","15987","55.3%","21028","54.0%","1.4pp"
"Last Gasp","B","C","174947","3.75","40217","4.80","229992","88.6%","56.1%","40207","55.9%","59073","58.3%","99280","57.4%","128637","55.0%","2.4pp"
"Lecturing Scornmage","B","U","75115","3.97","16210","4.82","85690","81.0%","57.4%","15558","60.7%","20098","56.1%","35656","58.1%","49692","56.8%","1.3pp"
"Leech Collector","B","U","91356","4.81","12152","6.79","51163","66.6%","53.2%","9008","51.4%","12223","52.3%","21231","51.9%","29515","54.1%","-2.2pp"
"Masterful Flourish","B","C","282867","7.21","33055","10.41","68266","32.3%","55.6%","11304","54.6%","16643","56.6%","27947","55.8%","39901","55.4%","0.4pp"
"Melancholic Poet","B","C","235262","5.33","35820","7.28","181806","78.5%","56.2%","33131","56.2%","43300","55.8%","76431","55.9%","104402","56.4%","-0.4pp"
"Moseo, Vein's New Dean","B","R","16264","1.96","7877","1.97","44506","87.5%","56.9%","7851","59.4%","11342","60.7%","19193","60.2%","24705","54.1%","6.1pp"
"Poisoner's Apprentice","B","U","81546","4.28","13813","5.54","65239","74.3%","54.5%","11243","54.8%","15665","55.6%","26908","55.3%","37518","53.8%","1.5pp"
"Postmortem Professor","B","R","19800","2.37","7752","2.46","43649","86.3%","57.2%","7999","63.5%","10481","57.8%","18480","60.3%","25004","55.0%","5.3pp"
"Pox Plague","B","R","59336","6.52","7112","10.03","218","0.5%","","35","","58","","93","","120","",""
"Pull from the Grave","B","C","281050","6.97","33573","10.20","65568","30.9%","52.8%","10789","48.9%","16844","54.8%","27633","52.5%","37521","52.8%","-0.4pp"
"Rabid Attack","B","U","115200","6.67","12643","9.87","18597","23.3%","51.9%","3074","48.4%","4529","51.9%","7603","50.5%","10935","52.9%","-2.4pp"
"Ral Zarek, Guest Lecturer","B","M","7054","1.68","3043","1.69","15219","79.8%","53.4%","2647","52.8%","3841","55.3%","6488","54.3%","8585","52.6%","1.7pp"
"Scathing Shadelock","B","U","94270","5.02","11336","7.24","42207","58.9%","53.2%","7011","51.3%","10510","52.9%","17521","52.3%","24514","53.6%","-1.4pp"
"Scheming Silvertongue","B","R","15758","1.90","7565","1.93","43026","88.2%","56.3%","7790","60.3%","11194","58.2%","18984","59.0%","23710","54.2%","4.9pp"
"Send in the Pest","B","C","249065","5.70","35436","7.98","141303","62.5%","54.8%","25321","55.3%","34138","55.0%","59459","55.1%","81213","54.5%","0.6pp"
"Sneering Shadewriter","B","C","275674","6.66","32062","9.81","85139","41.9%","53.3%","14154","50.4%","21418","54.5%","35572","52.8%","48831","53.5%","-0.6pp"
"Tragedy Feaster","B","R","23348","2.76","6187","3.04","31331","80.5%","54.4%","5332","54.1%","7941","55.8%","13273","55.1%","17752","53.7%","1.4pp"
"Ulna Alley Shopkeep","B","C","290479","7.77","29557","11.53","25788","13.8%","50.2%","4532","49.6%","5939","48.7%","10471","49.1%","15188","51.0%","-1.9pp"
