"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"The Dawning Archaic","","M","7648","1.84","3402","1.81","17964","85.7%","52.2%","2891","47.6%","5825","57.2%","8716","54.0%","8903","49.9%","4.1pp"
"Rancorous Archaic","","C","297600","7.37","39732","10.57","71735","28.8%","51.5%","11809","48.6%","22066","56.6%","33875","53.8%","37075","49.1%","4.7pp"
"Sundering Archaic","","U","91353","4.50","24618","5.52","117490","74.6%","55.5%","19263","54.0%","36821","61.5%","56084","58.9%","58769","51.8%","7.1pp"
"Together as One","","R","16642","2.05","11419","1.98","65954","87.1%","58.1%","11076","61.6%","20063","67.8%","31139","65.6%","32146","49.6%","16.0pp"
"Transcendent Archaic","","U","105879","5.32","20698","7.06","76955","59.2%","53.8%","12608","52.0%","23704","59.9%","36312","57.1%","39348","50.2%","6.9pp"
"Ajani's Response","W","C","217968","4.65","45776","6.08","244944","82.5%","56.7%","41561","55.4%","67613","59.1%","109174","57.7%","133606","55.8%","1.9pp"
"Antiquities on the Loose","W","R","16254","1.94","10149","1.93","61642","90.6%","59.6%","11018","65.6%","16472","63.8%","27490","64.5%","33678","55.5%","9.0pp"
"Ascendant Dustspeaker","W","C","271493","6.28","40657","8.82","146148","55.8%","56.0%","23910","53.8%","39827","56.6%","63737","55.5%","82365","56.3%","-0.7pp"
"Daydream","W","U","113922","6.35","13410","9.42","19669","23.1%","51.2%","3288","47.7%","4935","49.7%","8223","48.9%","11400","52.8%","-3.9pp"
"Dig Site Inventory","W","C","252080","5.68","40087","7.81","173196","67.0%","55.9%","29105","55.0%","42047","55.8%","71152","55.5%","101706","56.2%","-0.7pp"
"Eager Glyphmage","W","C","269966","6.25","43703","8.58","166749","58.8%","56.7%","28290","55.9%","43554","56.3%","71844","56.1%","94425","57.1%","-1.0pp"
"Elite Interceptor","W","C","194380","4.24","55298","4.95","323753","89.0%","58.4%","59346","61.0%","83997","58.3%","143343","59.4%","179300","57.6%","1.8pp"
"Emeritus of Truce","W","M","7556","1.82","4185","1.82","23719","87.7%","56.9%","4198","60.1%","6318","58.3%","10516","59.0%","13111","55.2%","3.8pp"
"Ennis, Debate Moderator","W","U","99910","5.38","13476","7.56","42271","49.7%","53.0%","7499","48.7%","10584","51.5%","18083","50.3%","24089","54.9%","-4.6pp"
"Erode","W","R","22214","2.52","7244","2.77","39183","84.9%","55.6%","6732","53.2%","10616","58.4%","17348","56.4%","21493","54.9%","1.5pp"
"Graduation Day","W","U","97850","5.51","12223","7.86","32710","42.4%","52.6%","5735","52.0%","7797","50.0%","13532","50.8%","19101","53.8%","-3.0pp"
"Group Project","W","U","85386","4.38","20763","5.37","110866","82.1%","57.1%","19961","57.6%","27928","56.3%","47889","56.8%","62883","57.3%","-0.4pp"
"Harsh Annotation","W","U","107507","5.95","10258","9.38","16937","25.9%","51.0%","2856","47.8%","4268","51.3%","7124","49.9%","9702","51.8%","-1.9pp"
"Honorbound Page","W","C","277196","6.52","35686","9.43","94560","41.1%","54.5%","16112","51.3%","23781","54.1%","39893","53.0%","54459","55.6%","-2.6pp"
"Informed Inkwright","W","R","14945","1.82","9081","1.82","54967","91.7%","58.2%","9990","63.3%","14545","60.6%","24535","61.7%","30160","55.3%","6.3pp"
"Inkshape Demonstrator","W","U","86450","4.48","17544","5.70","88718","78.0%","56.6%","15061","57.1%","23218","56.4%","38279","56.7%","50232","56.5%","0.1pp"
"Interjection","W","C","290421","7.25","38088","10.33","69826","28.4%","55.8%","11479","54.4%","17581","56.4%","29060","55.6%","40556","55.9%","-0.2pp"
