"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"The Dawning Archaic","","M","8242","1.85","3622","1.83","19011","85.5%","51.9%","3049","47.5%","6159","56.8%","9208","53.7%","9424","49.6%","4.1pp"
"Rancorous Archaic","","C","317481","7.37","42287","10.58","75610","28.5%","51.3%","12458","48.6%","23300","56.3%","35758","53.6%","39043","49.0%","4.6pp"
"Sundering Archaic","","U","97070","4.48","26208","5.49","125328","74.7%","55.5%","20587","53.7%","39291","61.5%","59878","58.8%","62635","51.8%","7.1pp"
"Together as One","","R","17590","2.03","12134","1.97","70041","87.2%","58.0%","11812","61.3%","21273","67.8%","33085","65.5%","34124","49.5%","16.0pp"
"Transcendent Archaic","","U","113044","5.31","22069","7.06","82103","59.3%","53.7%","13499","51.9%","25322","59.6%","38821","56.9%","41911","50.3%","6.7pp"
"Ajani's Response","W","C","231325","4.62","48876","6.03","262464","82.9%","56.6%","44520","55.3%","72430","59.0%","116950","57.6%","143150","55.8%","1.8pp"
"Antiquities on the Loose","W","R","17315","1.93","10824","1.92","65761","90.7%","59.5%","11744","65.6%","17543","63.8%","29287","64.5%","35976","55.4%","9.1pp"
"Ascendant Dustspeaker","W","C","289557","6.26","43522","8.80","157075","56.0%","55.9%","25695","53.5%","42833","56.5%","68528","55.4%","88498","56.2%","-0.9pp"
"Daydream","W","U","121863","6.37","14292","9.47","20651","22.8%","51.2%","3443","47.8%","5189","49.8%","8632","49.0%","11970","52.7%","-3.7pp"
"Dig Site Inventory","W","C","268555","5.67","42777","7.79","185793","67.4%","55.9%","31262","54.9%","45108","55.8%","76370","55.4%","109047","56.2%","-0.8pp"
"Eager Glyphmage","W","C","288045","6.25","46669","8.59","177935","58.8%","56.7%","30157","55.8%","46402","56.3%","76559","56.1%","100855","57.1%","-1.1pp"
"Elite Interceptor","W","C","205792","4.21","59001","4.91","345674","89.1%","58.3%","63326","60.8%","89725","58.2%","153051","59.3%","191440","57.5%","1.7pp"
"Emeritus of Truce","W","M","8164","1.83","4466","1.82","25276","87.5%","56.8%","4485","59.7%","6726","58.2%","11211","58.8%","13969","55.2%","3.6pp"
"Ennis, Debate Moderator","W","U","106993","5.40","14404","7.61","44805","49.3%","52.9%","7987","48.3%","11230","51.4%","19217","50.1%","25480","54.9%","-4.7pp"
"Erode","W","R","23788","2.53","7741","2.77","41915","85.1%","55.5%","7224","52.9%","11342","58.4%","18566","56.3%","22983","54.8%","1.5pp"
"Graduation Day","W","U","104866","5.53","13012","7.93","34473","42.0%","52.5%","6063","51.9%","8202","50.0%","14265","50.8%","20125","53.8%","-3.0pp"
"Group Project","W","U","91273","4.38","22127","5.38","118066","82.0%","57.1%","21255","57.7%","29772","56.1%","51027","56.8%","66946","57.3%","-0.5pp"
"Harsh Annotation","W","U","114955","5.97","10972","9.42","17894","25.6%","51.0%","3007","47.6%","4530","51.5%","7537","49.9%","10242","51.8%","-1.9pp"
"Honorbound Page","W","C","295758","6.52","38083","9.43","100740","41.1%","54.5%","17092","51.4%","25391","54.2%","42483","53.1%","58039","55.5%","-2.5pp"
"Informed Inkwright","W","R","15976","1.81","9732","1.81","58899","91.7%","58.2%","10731","63.4%","15596","60.4%","26327","61.6%","32278","55.4%","6.2pp"
"Inkshape Demonstrator","W","U","92075","4.47","18738","5.69","94839","78.1%","56.5%","16084","56.9%","24843","56.4%","40927","56.6%","53691","56.5%","0.1pp"
"Interjection","W","C","309928","7.24","40773","10.32","75611","28.8%","55.8%","12473","54.6%","19049","56.5%","31522","55.8%","43868","55.9%","-0.1pp"
"Joined Researchers","W","R","41364","4.07","8427","5.23","39990","74.1%","55.8%","7282","55.6%","9999","54.3%","17281","54.8%","22669","56.5%","-1.7pp"
"Owlin Historian","W","C","286303","6.19","43443","8.64","170727","61.1%","56.0%","29610","55.1%","45291","55.5%","74901","55.3%","95923","56.4%","-1.1pp"
"Practiced Offense","W","R","15517","1.75","10724","1.71","66444","92.0%","59.4%","11374","62.7%","17670","66.0%","29044","64.7%","36858","55.0%","9.7pp"
"Primary Research","W","U","93958","4.61","18709","5.88","81377","68.1%","55.4%","13654","53.1%","22078","55.9%","35732","54.8%","45457","55.9%","-1.0pp"
"Quill-Blade Laureate","W","U","75594","3.64","19212","4.41","110909","88.9%","57.0%","20068","57.1%","28140","56.6%","48208","56.8%","62405","57.1%","-0.2pp"
"Rapier Wit","W","C","305404","7.05","39302","10.16","77194","30.5%","54.7%","13134","52.1%","19530","55.7%","32664","54.2%","44167","55.0%","-0.8pp"
"Rehearsed Debater","W","C","297101","6.59","42558","9.29","133178","48.8%","55.6%","23112","55.6%","32746","53.9%","55858","54.6%","77165","56.3%","-1.7pp"
"Restoration Seminar","W","M","8868","2.07","4601","2.02","23298","79.9%","55.1%","3892","54.0%","6590","59.6%","10482","57.5%","12542","52.7%","4.8pp"
"Shattered Acolyte","W","C","278632","5.85","44949","8.09","202489","69.6%","56.4%","36963","56.9%","50026","55.1%","86989","55.9%","115077","56.8%","-1.0pp"
"Soaring Stoneglider","W","U","95038","4.60","16227","6.12","76465","74.1%","54.4%","12983","51.6%","20377","55.1%","33360","53.7%","43132","54.9%","-1.1pp"
"Spiritcall Enthusiast","W","U","109525","5.57","15414","7.86","44045","44.9%","53.7%","7651","52.1%","10826","51.9%","18477","52.0%","25533","55.0%","-3.0pp"
"Stand Up for Yourself","W","U","81632","3.88","20175","4.78","112961","86.4%","56.5%","19105","54.8%","30694","58.5%","49799","57.1%","62319","56.0%","1.1pp"
"Stirring Hopesinger","W","R","14119","1.60","9739","1.58","60431","93.3%","58.6%","10642","63.4%","16549","62.7%","27191","62.9%","33000","54.9%","8.0pp"
"Stone Docent","W","C","267045","5.54","51714","7.27","271644","80.5%","57.1%","48766","57.7%","67482","55.6%","116248","56.5%","155199","57.6%","-1.1pp"
"Summoned Dromedary","W","U","99183","4.80","17316","6.48","76337","69.3%","54.8%","12765","53.0%","19916","54.7%","32681","54.1%","43878","55.3%","-1.2pp"
"Banishing Betrayal","U","C","291127","6.24","43295","8.89","159346","58.7%","52.9%","28289","50.6%","46705","57.8%","74994","55.1%","80868","50.6%","4.5pp"
"Brush Off","U","U","104936","5.15","22889","6.40","106780","73.5%","55.0%","18010","53.1%","32530","60.5%","50540","57.9%","53156","51.4%","6.5pp"
"Campus Composer","U","U","98972","4.76","16316","6.53","70797","70.1%","52.6%","11830","50.9%","20864","55.7%","32694","53.9%","36822","51.2%","2.7pp"
"Chase Inspiration","U","C","320620","7.95","40872","11.30","54588","21.4%","52.8%","9044","50.6%","15611","56.2%","24655","54.2%","28899","51.2%","3.0pp"
"Deluge Virtuoso","U","C","296516","6.58","36537","9.67","92021","40.6%","51.1%","16070","49.4%","26435","53.5%","42505","52.0%","47841","50.2%","1.8pp"
"Divergent Equation","U","U","98669","4.93","24224","5.87","115770","75.4%","55.0%","19261","51.6%","36441","61.2%","55702","57.9%","55863","51.0%","7.0pp"
"Echocasting Symposium","U","M","7627","1.77","4623","1.74","25397","87.1%","54.1%","4322","53.7%","7533","60.5%","11855","58.0%","12372","49.2%","8.9pp"
"Emeritus of Ideation","U","M","6204","1.39","4686","1.38","27462","89.4%","57.3%","4709","61.3%","8494","66.0%","13203","64.3%","13426","49.8%","14.5pp"
"Encouraging Aviator","U","U","110100","5.54","14088","7.89","41112","47.9%","50.0%","7047","47.8%","11493","52.2%","18540","50.5%","22014","49.4%","1.1pp"
"Essence Scatter","U","C","251003","5.10","51607","6.73","268407","82.5%","54.3%","47102","54.7%","78813","58.2%","125915","56.9%","136043","51.5%","5.4pp"
"Exhibition Tidecaller","U","R","21462","2.41","10455","2.40","58955","87.5%","55.9%","10130","56.9%","18411","62.4%","28541","60.5%","28641","50.6%","9.8pp"
"Flow State","U","U","79180","3.70","20968","4.56","112560","85.4%","54.1%","19996","53.0%","33859","59.1%","53855","56.8%","55625","51.1%","5.7pp"
"Fractal Anomaly","U","U","134166","7.44","15540","10.94","9180","9.5%","47.0%","1526","42.2%","2737","51.8%","4263","48.4%","4792","45.7%","2.7pp"
"Fractalize","U","U","130925","7.08","15678","10.33","18638","19.0%","50.5%","3094","47.2%","5232","54.0%","8326","51.5%","9944","49.2%","2.2pp"
"Harmonized Trio","U","R","34210","3.60","7288","4.37","27639","61.7%","51.4%","4868","53.4%","7834","53.3%","12702","53.4%","14498","49.5%","3.9pp"
"Homesickness","U","U","103675","4.98","19168","6.63","85209","71.1%","53.3%","14294","51.1%","25825","58.4%","40119","55.8%","42724","50.4%","5.3pp"
"Hydro-Channeler","U","C","275692","5.76","44616","8.04","203939","73.6%","53.1%","36658","54.2%","58300","55.0%","94958","54.7%","106634","51.7%","3.0pp"
"Jadzi, Steward of Fate","U","R","17492","1.93","10148","1.95","58462","90.4%","55.3%","10398","57.5%","17425","60.5%","27823","59.3%","29218","51.0%","8.3pp"
