"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Agent 13, Sharon Carter","W","U","36406","2.94","15015","3.29","89460","92.6%","57.2%","15869","58.8%","24078","58.6%","39947","58.7%","49736","56.0%","2.7pp"
"Agent Maria Hill","W","U","45686","3.58","14856","4.17","80998","83.6%","58.2%","14295","62.3%","20608","57.4%","34903","59.4%","45990","57.3%","2.1pp"
"Agent of Atlas","W","C","180128","5.83","31827","8.12","131095","64.4%","56.6%","23460","57.6%","31918","54.7%","55378","55.9%","75551","57.1%","-1.2pp"
"Agent Phil Coulson","W","R","7633","1.56","5646","1.56","35060","94.8%","58.3%","6200","67.5%","9555","61.2%","15755","63.7%","19384","54.1%","9.6pp"
"Agents of S.H.I.E.L.D.","W","C","181169","5.92","29032","8.43","107741","58.3%","55.8%","18740","55.3%","27922","55.7%","46662","55.6%","61064","56.0%","-0.4pp"
"Avengers Assemble!","W","M","3490","1.49","2690","1.46","16579","93.7%","58.6%","2798","63.2%","4484","64.8%","7282","64.2%","9299","54.3%","9.9pp"
"Borough Backup","W","C","154330","4.70","37443","6.19","204929","84.9%","57.4%","37108","56.3%","54251","59.3%","91359","58.1%","113588","56.9%","1.2pp"
"Brave Brawler","W","C","149093","4.53","35047","5.95","202209","89.6%","57.5%","36052","58.5%","53145","57.4%","89197","57.9%","113048","57.2%","0.6pp"
"Captain America, Super-Soldier","W","M","3610","1.47","2586","1.47","15418","93.2%","56.9%","2706","59.3%","4321","59.3%","7027","59.3%","8510","54.9%","4.5pp"
"Captain America, Wings of Freedom","W","R","7557","1.53","5510","1.53","33574","94.4%","58.2%","6011","62.3%","9174","60.5%","15185","61.2%","18527","55.7%","5.5pp"
"Captain Marvel, Earth's Protector","W","M","3062","1.27","2682","1.26","17481","96.0%","61.0%","2923","64.8%","5111","70.3%","8034","68.3%","9497","54.9%","13.4pp"
"Captain Mar-Vell, Space-Born","W","U","58203","4.59","8826","6.56","35415","63.7%","54.3%","5871","51.8%","9695","55.3%","15566","54.0%","20028","54.5%","-0.5pp"
"Colleen Wing, Street Samurai","W","U","58443","4.56","10079","6.36","41374","64.6%","55.0%","7373","56.3%","10178","53.9%","17551","54.9%","23802","55.1%","-0.2pp"
"Crowd of True Believers","W","C","197636","7.08","29677","9.94","65305","34.4%","56.2%","11524","57.3%","15911","54.8%","27435","55.9%","37888","56.5%","-0.6pp"
"Helicarrier Strike","W","C","148435","4.44","31494","6.03","172597","85.2%","56.6%","29776","55.5%","46016","58.0%","75792","57.1%","96818","56.2%","0.9pp"
"Hero in Training","W","C","105308","3.39","42021","3.86","260373","94.1%","58.9%","46012","59.7%","71507","61.5%","117519","60.8%","142305","57.4%","3.4pp"
"Invisible Woman, Sue Storm","W","U","65756","5.60","7304","8.54","12684","28.4%","49.3%","2028","42.8%","3225","48.0%","5253","46.0%","7456","51.6%","-5.6pp"
"Jennifer Walters","W","M","3530","1.47","2705","1.44","16906","94.1%","59.4%","3066","64.4%","4706","63.9%","7772","64.1%","9210","55.3%","8.8pp"
