"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Proctor's Gaze","UG","U","96752","4.09","24180","5.10","124329","81.2%","54.7%","21185","54.5%","36626","59.7%","57811","57.8%","63914","51.7%","6.1pp"
"Professor Dellian Fel","BG","M","6801","1.36","4806","1.34","27251","87.1%","56.5%","4673","60.6%","7455","64.0%","12128","62.7%","14636","51.1%","11.6pp"
"Pterafractyl","UG","C","313952","6.15","40749","8.95","142602","56.2%","52.3%","24042","49.0%","41465","56.2%","65507","53.6%","72727","50.4%","3.2pp"
"Pursue the Past","WR","C","296291","5.82","64175","7.33","291382","70.0%","57.4%","50420","58.3%","79336","59.6%","129756","59.1%","160533","56.0%","3.1pp"
"Quandrix Charm","UG","U","117073","5.05","20405","6.82","86877","67.3%","54.4%","14866","55.0%","24664","59.1%","39530","57.5%","45953","51.4%","6.1pp"
"Quandrix, the Proof","UG","M","7277","1.50","5016","1.48","28573","89.3%","55.6%","4716","58.0%","8835","62.8%","13551","61.1%","14215","49.6%","11.5pp"
"Rapturous Moment","UR","U","127728","5.76","19794","8.07","57828","47.2%","51.7%","9770","49.1%","17247","55.7%","27017","53.3%","28975","49.5%","3.9pp"
"Render Speechless","WB","C","322060","6.66","54516","8.72","191398","54.1%","57.2%","31949","56.1%","49227","58.2%","81176","57.4%","108437","56.9%","0.5pp"
"Resonating Lute","UR","R","28330","2.79","10946","2.90","51744","76.5%","52.9%","8850","54.2%","16046","57.1%","24896","56.1%","25252","49.4%","6.7pp"
"Root Manipulation","BG","U","130312","6.06","14862","8.90","35431","38.0%","52.4%","5736","49.9%","8649","54.5%","14385","52.7%","20922","52.0%","0.7pp"
"Sanar, Unfinished Genius","UR","U","81545","3.54","24531","4.18","133262","85.4%","55.1%","23166","59.6%","40487","58.4%","63653","58.9%","66525","51.2%","7.6pp"
"Scolding Administrator","WB","U","81649","3.67","21783","4.20","118580","82.0%","58.3%","20955","62.9%","29780","58.7%","50735","60.4%","67483","56.8%","3.6pp"
"Silverquill Charm","WB","U","97466","4.22","21349","5.15","109670","78.3%","58.1%","18665","58.0%","28125","60.5%","46790","59.5%","61844","56.8%","2.7pp"
"Silverquill, the Disputant","WB","M","9221","1.89","4188","1.88","20962","79.5%","54.1%","3577","54.1%","5710","56.0%","9287","55.2%","11538","53.0%","2.2pp"
"Snooping Page","WB","U","92806","4.12","19383","5.11","100076","80.0%","56.1%","17435","57.0%","25229","55.1%","42664","55.8%","57156","56.3%","-0.4pp"
"Social Snub","WB","U","144504","7.13","15894","10.70","10946","10.9%","51.6%","1856","49.4%","2821","52.3%","4677","51.1%","6190","51.8%","-0.7pp"
"Spectacular Skywhale","UR","U","102797","4.50","17097","6.07","74838","71.4%","51.2%","12537","49.1%","22260","53.9%","34797","52.2%","38379","50.0%","2.1pp"
"Spirit Mascot","WR","C","295080","5.86","53147","7.75","255418","74.7%","56.4%","44630","56.2%","68890","54.9%","113520","55.4%","142024","57.1%","-1.7pp"
"Splatter Technique","UR","R","23539","2.33","11764","2.34","65202","86.2%","55.9%","11005","57.6%","20162","62.7%","31167","60.9%","30821","50.0%","10.9pp"
"Stadium Tidalmage","UR","C","342096","7.14","46892","10.18","113686","38.6%","52.5%","19072","51.9%","34439","55.2%","53511","54.0%","58228","51.0%","3.1pp"
"Startled Relic Sloth","WR","U","89313","3.86","23834","4.66","128528","83.5%","56.7%","21839","56.6%","36477","57.7%","58316","57.3%","70297","56.0%","1.2pp"
"Stirring Honormancer","WB","U","104733","4.57","23333","5.64","110648","73.1%","57.4%","18240","56.3%","29088","58.9%","47328","57.9%","62550","56.8%","1.1pp"
"Stress Dream","UR","U","74489","3.21","27683","3.68","159419","89.6%","56.0%","26832","56.5%","48876","62.0%","75708","60.0%","77721","51.5%","8.6pp"
"Suspend Aggression","WR","R","41826","3.84","11947","4.46","56313","73.4%","56.1%","9644","56.0%","16015","58.0%","25659","57.3%","30293","55.0%","2.2pp"
"Tam, Observant Sequencer","UG","U","96573","4.16","15706","5.65","70072","72.9%","51.3%","11838","48.8%","20167","54.5%","32005","52.4%","36878","50.1%","2.3pp"
"Teacher's Pest","BG","U","93134","4.10","15494","5.33","77005","79.2%","54.1%","13662","55.4%","18142","54.0%","31804","54.6%","44535","53.7%","1.0pp"
"Traumatic Critique","UR","R","20747","2.04","12136","2.06","69957","89.8%","55.8%","11999","56.3%","21336","62.5%","33335","60.3%","33363","50.4%","9.9pp"
"Vibrant Outburst","UR","U","81395","3.41","24302","4.10","135570","87.6%","55.3%","23552","55.3%","40977","60.7%","64529","58.8%","66310","51.4%","7.3pp"
"Vicious Rivalry","BG","R","28024","2.79","9483","2.91","47774","79.1%","55.0%","8251","56.7%","13066","60.3%","21317","58.9%","25788","51.6%","7.2pp"
