"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"The Dawning Archaic","","M","9371","1.89","4027","1.88","21227","85.4%","52.2%","3399","47.5%","6855","56.9%","10254","53.8%","10542","50.0%","3.8pp"
"Rancorous Archaic","","C","354266","7.38","46947","10.60","83221","28.3%","51.3%","13769","48.8%","25575","56.2%","39344","53.6%","43005","49.0%","4.6pp"
"Sundering Archaic","","U","107741","4.45","29204","5.45","140888","75.3%","55.6%","23152","53.7%","44134","61.6%","67286","58.8%","70472","51.9%","6.9pp"
"Together as One","","R","19389","2.01","13501","1.95","78450","87.6%","58.1%","13270","61.4%","23814","67.9%","37084","65.6%","38198","49.6%","16.0pp"
"Transcendent Archaic","","U","126310","5.31","24553","7.08","91859","59.5%","53.7%","15102","52.0%","28360","59.6%","43462","57.0%","46861","50.1%","6.9pp"
"Ajani's Response","W","C","255521","4.57","54584","5.97","294791","83.3%","56.6%","49980","55.2%","81436","59.0%","131416","57.6%","160723","55.7%","1.8pp"
"Antiquities on the Loose","W","R","19181","1.92","12030","1.91","73249","90.7%","59.4%","13098","65.3%","19617","63.6%","32715","64.3%","39976","55.2%","9.0pp"
"Ascendant Dustspeaker","W","C","322436","6.23","48483","8.76","176524","56.4%","55.9%","28925","53.5%","48272","56.4%","77197","55.3%","99281","56.2%","-0.9pp"
"Daydream","W","U","136619","6.40","15883","9.53","22293","22.1%","51.2%","3725","47.8%","5601","49.7%","9326","48.9%","12911","52.7%","-3.8pp"
"Dig Site Inventory","W","C","298220","5.64","47537","7.75","207924","67.8%","55.9%","34889","54.7%","50621","55.8%","85510","55.4%","121992","56.2%","-0.8pp"
"Eager Glyphmage","W","C","321340","6.25","51907","8.60","197157","58.5%","56.6%","33406","55.7%","51448","56.2%","84854","56.0%","111749","57.1%","-1.1pp"
"Elite Interceptor","W","C","227136","4.17","65784","4.87","386542","89.2%","58.3%","70824","60.8%","100418","58.2%","171242","59.3%","213960","57.5%","1.8pp"
"Emeritus of Truce","W","M","9139","1.84","4967","1.83","28061","87.3%","56.6%","4958","59.3%","7515","58.0%","12473","58.5%","15477","55.1%","3.4pp"
"Ennis, Debate Moderator","W","U","120107","5.44","16007","7.70","49360","48.7%","52.8%","8754","48.2%","12446","51.2%","21200","50.0%","28047","54.9%","-5.0pp"
"Erode","W","R","26662","2.54","8616","2.80","46698","85.3%","55.3%","8035","52.9%","12673","58.2%","20708","56.2%","25585","54.6%","1.6pp"
"Graduation Day","W","U","117292","5.57","14342","8.02","37370","41.2%","52.7%","6570","52.2%","8911","50.1%","15481","51.0%","21797","53.9%","-2.9pp"
"Group Project","W","U","102133","4.40","24515","5.41","130826","82.0%","57.1%","23504","57.7%","32954","56.1%","56458","56.8%","74255","57.3%","-0.6pp"
"Harsh Annotation","W","U","128773","5.99","12267","9.45","19968","25.6%","51.1%","3331","47.7%","5045","51.6%","8376","50.0%","11472","51.9%","-1.9pp"
"Honorbound Page","W","C","329574","6.53","42437","9.44","111916","40.9%","54.6%","18926","51.5%","28322","54.2%","47248","53.1%","64440","55.6%","-2.5pp"
"Informed Inkwright","W","R","17761","1.81","10861","1.81","65882","91.7%","58.1%","12013","63.2%","17467","60.3%","29480","61.5%","36072","55.3%","6.2pp"
"Inkshape Demonstrator","W","U","102324","4.45","20830","5.68","106105","78.5%","56.5%","17988","56.8%","27813","56.4%","45801","56.5%","60059","56.5%","0.1pp"
"Interjection","W","C","345338","7.23","45536","10.30","85483","29.1%","55.8%","14143","54.4%","21517","56.4%","35660","55.6%","49571","55.9%","-0.3pp"
"Joined Researchers","W","R","46423","4.10","9416","5.27","44713","73.9%","55.8%","8158","55.7%","11170","54.2%","19328","54.8%","25341","56.4%","-1.6pp"
"Owlin Historian","W","C","318673","6.16","48509","8.60","192483","61.5%","55.9%","33456","55.3%","50989","55.4%","84445","55.4%","108127","56.4%","-1.0pp"
"Practiced Offense","W","R","17107","1.73","11921","1.69","74134","92.2%","59.4%","12622","62.7%","19752","66.0%","32374","64.7%","41131","54.9%","9.8pp"
"Primary Research","W","U","104373","4.59","20768","5.87","90605","68.3%","55.4%","15262","53.2%","24595","56.0%","39857","54.9%","50535","55.7%","-0.8pp"
"Quill-Blade Laureate","W","U","83889","3.62","21424","4.38","124140","89.1%","57.0%","22445","57.1%","31579","56.8%","54024","56.9%","69788","57.0%","-0.0pp"
"Rapier Wit","W","C","340652","7.04","43794","10.15","86410","30.6%","54.7%","14710","52.1%","21888","55.7%","36598","54.2%","49405","55.0%","-0.8pp"
"Rehearsed Debater","W","C","330350","6.54","47693","9.22","153256","49.9%","55.7%","26740","55.6%","37715","54.0%","64455","54.7%","88624","56.5%","-1.8pp"
