"card_name","colors","rarity","cgb_raw","cgb_zscore","ds_raw","ds_zscore","llu_a_raw","llu_a_zscore","llu_m_raw","llu_m_zscore","cfb_raw","cfb_zscore","average_zscore","expert_count"
"Spell Pierce","U","uncommon","1","-1.414","1","-1.472","","","","","","","-1.443","5"
"Wisdom of Ages","U","rare","2","-1.013","3","-0.68","3","-0.76","3","-0.572","1","-1.7585","-0.957","5"
"Borrowed Knowledge","R|W","uncommon","0","-1.816","1","-1.472","0","-2.472","0","-2.181","0","-2.6675","-2.122","5"
"Comforting Counsel","G","rare","1","-1.414","1","-1.472","0","-2.472","0","-2.181","0","-2.6675","-2.041","5"
"Fractal Anomaly","U","uncommon","3","-0.611","1","-1.472","3","-0.76","1","-1.645","3","0.0595","-0.886","5"
"Fix What's Broken","B|W","rare","0","-1.816","0","-1.867","0","-2.472","0","-2.181","1","-1.7585","-2.019","5"
"Glorious Decay","G","common","1","-1.414","2","-1.076","","","","","1.5","-1.304","-1.265","5"
"Angel's Grace","W","rare","0","-1.816","0","-1.867","0","-2.472","0","-2.181","","","-2.084","5"
"Crop Rotation","G","uncommon","0","-1.816","0","-1.867","0","-2.472","0","-2.181","","","-2.084","5"
"Culling the Weak","B","common","2","-1.013","0","-1.867","0","-2.472","0","-2.181","","","-1.883","5"
"Dina's Guidance","B|G","rare","1","-1.414","0","-1.867","0","-2.472","0","-2.181","1","-1.7585","-1.938","5"
"Glimpse of Nature","G","rare","0","-1.816","0","-1.867","2","-1.331","1","-1.645","","","-1.665","5"
"Jeska's Will","R","rare","1","-1.414","0","-1.867","1","-1.901","1","-1.645","","","-1.707","5"
"Library of Leng","","common","0","-1.816","0","-1.867","","","","","0","-2.6675","-2.117","5"
"Living End","B","mythic","0","-1.816","0","-1.867","1","-1.901","0","-2.181","","","-1.941","5"
"Pongify","U","uncommon","1","-1.414","0","-1.867","0","-2.472","0","-2.181","","","-1.984","5"
"Pyretic Ritual","R","common","0","-1.816","0","-1.867","0","-2.472","1","-1.645","","","-1.95","5"
"Return the Favor","R","uncommon","3","-0.611","0","-1.867","0","-2.472","","","","","-1.65","5"
"Return to the Ranks","W","rare","0","-1.816","0","-1.867","1","-1.901","0","-2.181","","","-1.941","5"
"Vampiric Tutor","B","mythic","5","0.192","0","-1.867","0","-2.472","0","-2.181","","","-1.582","5"
"Arcane Omens","B","uncommon","2","-1.013","1","-1.472","4.5","0.096","","","1.5","-1.304","-0.923","5"
"Harsh Annotation","W","uncommon","0","-1.816","1","-1.472","0","-2.472","0","-2.181","1","-1.7585","-1.94","5"
"Procrastinate","U","common","4","-0.21","1","-1.472","2","-1.331","1","-1.645","3","0.0595","-0.92","5"
"Zaffai and the Tempests","R|U","rare","2","-1.013","1","-1.472","3","-0.76","3","-0.572","1","-1.7585","-1.115","5"
"Petrified Hamlet","","rare","0","-1.816","0","-1.867","0","-2.472","0","-2.181","0","-2.6675","-2.201","5"
"Pox Plague","B","rare","0","-1.816","0","-1.867","0","-2.472","0","-2.181","0","-2.6675","-2.201","5"
"Resonating Lute","R|U","rare","2","-1.013","0","-1.867","0","-2.472","0","-2.181","4","0.9685","-1.313","5"
