"card_name","colors","rarity","cgb_raw","cgb_zscore","ds_raw","ds_zscore","llu_a_raw","llu_a_zscore","llu_m_raw","llu_m_zscore","cfb_raw","cfb_zscore","average_zscore","expert_count"
"Spectacular Skywhale","R|U","uncommon","4","-0.21","5","0.111","4","-0.189","4","-0.035","3","0.0595","-0.053","5"
"Stand Up for Yourself","W","uncommon","6","0.593","5","0.111","4.5","0.096","5","0.502","2.5","-0.395","0.181","5"
"Unsubtle Mockery","R","common","6","0.593","5","0.111","5","0.382","5","0.502","3.5","0.514","0.42","5"
"Wander Off","B","common","6","0.593","5","0.111","4.5","0.096","4","-0.035","3","0.0595","0.165","5"
"Campus Composer // Aqueous Aria","U","uncommon","4","-0.21","4","-0.284","5.5","0.667","6","1.038","3.5","0.514","0.345","5"
"Elite Interceptor // Rejoinder","W","common","6","0.593","4","-0.284","6","0.952","6","1.038","3","0.0595","0.472","5"
"Flow State","U","uncommon","4","-0.21","4","-0.284","5.5","0.667","5.5","0.77","3.5","0.514","0.291","5"
"Pigment Wrangler // Striking Palette","R","uncommon","6","0.593","4","-0.284","5","0.382","4.5","0.233","4.25","1.1957","0.424","5"
"Quill-Blade Laureate // Twofold Intent","W","uncommon","4","-0.21","4","-0.284","5.5","0.667","6","1.038","3.75","0.7412","0.39","5"
"Run Behind","U","common","5","0.192","4","-0.284","4.5","0.096","4.5","0.233","3","0.0595","0.059","5"
"Tome Blast","R","common","5","0.192","4","-0.284","4","-0.189","4","-0.035","2.5","-0.395","-0.142","5"
"""Arnyn, Deathbloom Botanist""","B","uncommon","5","0.192","5","0.111","4.5","0.096","4","-0.035","3","0.0595","0.085","5"
"Locust Spray","B","uncommon","3","-0.611","5","0.111","3","-0.76","2","-1.108","","","-0.592","5"
"""Page, Loose Leaf""","","common","1","-1.414","5","0.111","3","-0.76","2","-1.108","1.5","-1.304","-0.895","5"
"Repel Calamity","W","uncommon","5","0.192","5","0.111","4.5","0.096","5","0.502","","","0.225","5"
"Stadium Tidalmage","R|U","common","5","0.192","3","-0.68","4.5","0.096","4","-0.035","3","0.0595","-0.074","5"
"Abstract Paintmage","R|U","uncommon","4","-0.21","6","0.507","4","-0.189","3","-0.572","3","0.0595","-0.081","5"
"Mind Roots","B|G","uncommon","3","-0.611","6","0.507","4.5","0.096","5","0.502","3","0.0595","0.111","5"
"Strixhaven Skycoach","","uncommon","3","-0.611","6","0.507","5","0.382","4.5","0.233","2","-0.8495","-0.068","5"
"Blazing Firesinger // Seething Song","R","uncommon","5","0.192","5","0.111","4.5","0.096","4","-0.035","4","0.9685","0.267","5"
"Chelonian Tackle","G","uncommon","5","0.192","5","0.111","4","-0.189","2","-1.108","2.75","-0.1678","-0.232","5"
"Embrace the Paradox","G|U","common","4","-0.21","5","0.111","5","0.382","4.5","0.233","2","-0.8495","-0.067","5"
"Noxious Newt","G","common","5","0.192","5","0.111","5","0.382","5","0.502","3","0.0595","0.249","5"
"Slumbering Trudge","G","rare","9","1.798","5","0.111","6.5","1.238","6","1.038","4","0.9685","1.031","5"
"Terramorphic Expanse","","common","5","0.192","5","0.111","5","0.382","5","0.502","3.5","0.514","0.34","5"
"Banishing Betrayal","U","common","5","0.192","4","-0.284","4","-0.189","4","-0.035","3","0.0595","-0.051","5"
"Bogwater Lumaret","B|G","common","6","0.593","4","-0.284","5","0.382","5","0.502","3","0.0595","0.251","5"
"Burrog Banemaker","B","common","4","-0.21","4","-0.284","5","0.382","5","0.502","3","0.0595","0.09","5"
"Dig Site Inventory","W","common","2","-1.013","4","-0.284","4","-0.189","3","-0.572","3.5","0.514","-0.309","5"
"End of the Hunt","B","uncommon","6","0.593","4","-0.284","5","0.382","4","-0.035","3.5","0.514","0.234","5"
"Inkshape Demonstrator","W","uncommon","3","-0.611","4","-0.284","4","-0.189","3","-0.572","2","-0.8495","-0.501","5"
"Rubble Rouser","R","common","3","-0.611","4","-0.284","5","0.382","5","0.502","2.5","-0.395","-0.081","5"
"Send in the Pest","B","common","6","0.593","4","-0.284","5.5","0.667","5.5","0.77","2.5","-0.395","0.27","5"
