"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","230395","4.59","45724","6.30","207698","72.4%","53.1%","38437","51.8%","50886","54.9%","89323","53.6%","115180","52.6%","1.0pp"
"Rooftop Percher","","C","294783","6.27","46924","8.80","152767","51.2%","54.4%","25442","52.0%","38589","57.1%","64031","55.1%","85477","53.4%","1.7pp"
"Adept Watershaper","W","R","11647","2.13","5201","2.31","39233","88.2%","55.6%","6901","58.0%","9848","57.8%","16749","57.9%","22150","53.7%","4.2pp"
"Ajani, Outland Chaperone","W","M","4284","1.49","2677","1.53","22486","86.8%","55.9%","4072","62.9%","5658","59.4%","9730","60.9%","12852","52.2%","8.6pp"
"Appeal to Eirdu","W","C","317136","7.73","35863","11.26","23184","10.2%","51.9%","3675","46.8%","5416","52.0%","9091","49.9%","14101","53.2%","-3.3pp"
"Bark of Doran","W","U","119709","7.19","14610","10.46","11900","13.0%","50.2%","2017","47.1%","2971","50.6%","4988","49.2%","6925","51.0%","-1.8pp"
"Brigid, Clachan's Heart","W","R","11676","2.20","5168","2.34","38875","84.2%","56.1%","7020","61.7%","9283","60.4%","16303","60.9%","21811","52.2%","8.7pp"
"Burdened Stoneback","W","U","78915","4.53","13219","5.94","54738","65.4%","53.2%","9880","52.7%","13112","53.3%","22992","53.0%","31803","53.3%","-0.2pp"
"Champion of the Clachan","W","R","16735","2.84","4919","3.23","29923","73.7%","54.6%","5011","55.2%","7062","56.0%","12073","55.6%","17160","53.2%","2.4pp"
"Clachan Festival","W","U","63727","3.84","15430","4.65","79632","78.7%","55.5%","14040","55.6%","18485","57.3%","32525","56.6%","45903","54.3%","2.2pp"
"Crib Swap","W","U","92395","5.42","9300","8.36","20852","35.8%","50.7%","3459","48.5%","5005","50.9%","8464","49.9%","12032","50.9%","-0.9pp"
"Curious Colossus","W","M","5343","1.79","3066","1.82","23941","86.1%","56.5%","4041","58.0%","6214","66.3%","10255","63.0%","13665","51.7%","11.3pp"
"Eirdu, Carrier of Dawn","W","M","4280","1.47","2764","1.49","22964","88.6%","55.9%","3868","58.1%","6081","63.3%","9949","61.3%","12999","51.5%","9.8pp"
"Encumbered Reejerey","W","U","60304","3.59","16723","4.23","93821","85.2%","55.5%","17238","58.9%","22397","54.6%","39635","56.5%","53104","54.6%","1.9pp"
"Evershrike's Gift","W","U","101162","5.78","13689","8.21","37155","43.0%","53.5%","6163","50.1%","8800","55.4%","14963","53.2%","22214","53.7%","-0.5pp"
"Flock Impostor","W","U","68329","3.88","15360","4.85","81649","82.8%","54.9%","14261","53.4%","19432","56.5%","33693","55.2%","46468","54.3%","0.9pp"
"Gallant Fowlknight","W","C","279136","6.46","37048","9.17","115581","49.2%","54.7%","19210","52.8%","26414","55.2%","45624","54.2%","68048","54.7%","-0.5pp"
"Goldmeadow Nomad","W","C","287346","6.63","35517","9.54","88572","39.3%","53.6%","15750","53.7%","19243","51.7%","34993","52.6%","52813","54.2%","-1.6pp"
"Keep Out","W","C","246191","5.30","32213","7.71","121205","59.9%","52.9%","20742","51.1%","29298","53.7%","50040","52.6%","71198","53.1%","-0.5pp"
"Kinbinding","W","R","9324","1.80","5891","1.83","48705","90.2%","57.2%","8346","62.8%","12586","65.2%","20932","64.2%","27968","52.0%","12.2pp"
"Kinsbaile Aspirant","W","U","74487","4.42","16267","5.30","76969","71.4%","56.4%","14018","61.8%","16987","55.2%","31005","58.2%","44992","54.9%","3.3pp"
"Kinscaer Sentry","W","R","12631","2.23","5219","2.41","37658","85.4%","55.9%","6901","61.3%","8823","57.3%","15724","59.0%","21632","53.4%","5.7pp"
"Kithkeeper","W","U","93847","5.28","16727","7.06","52780","50.1%","51.8%","8467","48.7%","14097","56.6%","22564","53.6%","29719","50.0%","3.6pp"
"Liminal Hold","W","C","171438","3.75","43045","4.70","241231","87.3%","54.8%","39990","52.9%","60774","57.9%","100764","55.9%","140903","54.0%","2.0pp"
"Meanders Guide","W","U","76816","4.55","14320","5.87","64216","70.0%","54.5%","11199","53.3%","15840","54.6%","27039","54.1%","36152","54.4%","-0.3pp"
"Moonlit Lamenter","W","U","65964","3.92","15110","4.81","70175","71.9%","53.7%","12369","53.9%","17495","56.5%","29864","55.4%","40474","52.4%","3.0pp"
"Morningtide's Light","W","M","12815","3.36","2913","3.98","12337","62.4%","53.3%","1940","49.1%","3084","57.1%","5024","54.0%","7330","52.7%","1.3pp"
"Personify","W","U","88989","4.99","14887","6.75","56908","59.9%","54.4%","9335","52.7%","13892","56.6%","23227","55.0%","33706","54.0%","1.0pp"
"Protective Response","W","U","55195","3.31","16505","3.87","96578","89.3%","55.6%","16348","55.0%","23698","58.8%","40046","57.3%","56558","54.4%","2.9pp"
"Pyrrhic Strike","W","U","53217","3.22","18161","3.69","108246","88.7%","56.0%","18186","56.0%","27019","60.0%","45205","58.4%","63073","54.3%","4.1pp"
"Reluctant Dounguard","W","C","274568","6.21","32348","9.13","82554","40.5%","52.6%","14553","51.2%","18422","51.8%","32975","51.5%","48727","53.2%","-1.6pp"
"Rhys, the Evermore","W","R","15541","2.61","5017","2.87","29429","80.8%","52.5%","5209","51.3%","7174","53.6%","12383","52.6%","17009","52.3%","0.3pp"
"Riverguard's Reflexes","W","C","307768","7.30","35772","10.70","54318","24.0%","53.3%","8884","51.1%","12493","54.0%","21377","52.8%","32957","53.7%","-0.9pp"
"Shore Lurker","W","C","284307","6.45","36501","9.26","101565","43.8%","53.8%","17107","51.7%","25322","55.1%","42429","53.7%","57708","53.5%","0.2pp"
"Slumbering Walker","W","R","11515","2.05","5681","2.17","41299","84.5%","56.0%","7029","57.3%","10592","60.9%","17621","59.5%","23711","53.4%","6.1pp"
"Spiral into Solitude","W","C","194270","4.16","40169","5.42","218283","85.6%","54.3%","37422","51.6%","53187","56.2%","90609","54.3%","127750","54.3%","0.0pp"
"Sun-Dappled Celebrant","W","C","269520","5.92","35579","8.51","107955","48.5%","52.6%","17588","51.0%","27100","54.1%","44688","52.9%","63748","52.4%","0.4pp"
"Thoughtweft Imbuer","W","U","66195","4.13","16511","4.80","80706","73.1%","56.1%","13708","56.9%","18939","59.2%","32647","58.3%","46389","54.0%","4.2pp"
"Timid Shieldbearer","W","C","258505","5.64","41997","7.68","186745","69.7%","55.2%","34200","54.5%","42334","55.5%","76534","55.1%","108524","55.1%","-0.0pp"
"Tributary Vaulter","W","C","276578","6.35","41310","8.70","154513","58.5%","55.5%","26901","54.7%","37069","55.8%","63970","55.4%","87845","55.2%","0.1pp"
"Wanderbrine Preacher","W","C","256153","5.55","44452","7.43","200010","70.6%","55.4%","36307","56.3%","47286","55.1%","83593","55.6%","113722","55.0%","0.6pp"
"Wanderbrine Trapper","W","U","64012","3.79","19322","4.37","110589","84.5%","57.2%","20003","62.0%","26163","57.4%","46166","59.4%","62978","55.3%","4.1pp"
"Winnowing","W","R","27532","3.97","5104","5.06","18461","54.4%","52.7%","2973","48.0%","4655","56.1%","7628","52.9%","10847","52.6%","0.4pp"
"Aquitect's Defenses","U","C","305446","7.19","38812","10.45","51675","21.1%","52.2%","8670","50.6%","13210","54.5%","21880","52.9%","29834","51.7%","1.2pp"
"Blossombind","U","C","215279","4.59","45963","5.99","242499","83.3%","54.4%","42006","52.2%","64350","56.9%","106356","55.0%","136247","53.9%","1.1pp"
"Champions of the Shoal","U","R","14238","2.57","5854","2.79","42095","79.8%","57.4%","7292","61.4%","11352","62.8%","18644","62.3%","22731","52.5%","9.8pp"
"Disruptor of Currents","U","R","13687","2.33","6699","2.51","48846","88.4%","56.7%","8301","59.3%","12884","62.2%","21185","61.1%","26918","52.7%","8.4pp"
"Flitterwing Nuisance","U","R","13445","2.37","6319","2.54","43684","85.0%","55.6%","7949","62.3%","11618","58.6%","19567","60.1%","24223","52.0%","8.1pp"
"Glamer Gifter","U","U","69345","4.00","19028","4.81","101127","82.5%","54.8%","17903","54.6%","26655","58.0%","44558","56.6%","56597","53.4%","3.2pp"
"Glamermite","U","C","288442","6.58","38761","9.48","82871","34.1%","51.8%","14475","50.9%","21166","55.0%","35641","53.3%","47226","50.7%","2.6pp"
"Glen Elendra Guardian","U","R","14295","2.39","6362","2.58","41881","86.0%","54.4%","7518","54.7%","11090","57.7%","18608","56.5%","23367","52.7%","3.8pp"
"Glen Elendra's Answer","U","M","16448","3.88","4394","4.58","19890","65.4%","55.8%","3212","55.9%","5364","61.4%","8576","59.4%","11319","53.1%","6.3pp"
"Gravelgill Scoundrel","U","C","274052","6.32","45687","8.45","180967","61.9%","55.6%","33107","56.4%","43731","55.4%","76838","55.8%","101367","55.2%","0.6pp"
"Harmonized Crescendo","U","R","26567","3.86","5778","4.82","24965","63.6%","53.1%","4077","50.5%","6474","55.1%","10551","53.3%","14429","53.0%","0.3pp"
"Illusion Spinners","U","U","103762","5.96","13546","8.57","25806","30.3%","49.9%","4294","47.8%","6752","53.4%","11046","51.2%","14803","49.0%","2.2pp"
"Kulrath Mystic","U","C","300223","7.08","41972","10.01","90797","34.3%","53.3%","16261","53.1%","24525","54.6%","40786","54.0%","48772","52.5%","1.5pp"
"Loch Mare","U","M","5155","1.72","3300","1.79","26591","88.9%","56.9%","4753","60.7%","7269","62.9%","12022","62.0%","14674","52.7%","9.3pp"
"Lofty Dreams","U","U","91458","5.15","17105","6.75","64904","59.8%","54.1%","10629","51.7%","17209","57.6%","27838","55.3%","37109","53.2%","2.2pp"
"Mirrorform","U","M","11318","3.18","3527","3.52","17348","69.8%","53.6%","2871","50.4%","4687","58.9%","7558","55.7%","9801","52.0%","3.7pp"
"Noggle the Mind","U","U","77921","4.43","15012","5.73","72919","76.2%","53.8%","12376","52.4%","19595","56.9%","31971","55.2%","41003","52.8%","2.4pp"
"Oko, Lorwyn Liege","U","M","5293","1.80","3035","1.83","20728","80.8%","52.5%","3607","57.1%","5670","56.2%","9277","56.6%","11540","49.1%","7.5pp"
"Omni-Changeling","U","U","61243","3.62","19215","4.21","108019","86.4%","55.0%","17957","52.5%","29294","58.2%","47251","56.0%","58234","53.4%","2.6pp"
"Pestered Wellguard","U","U","68505","4.05","15586","5.00","78015","77.7%","54.4%","13332","53.0%","20097","55.4%","33429","54.5%","43401","54.0%","0.5pp"
"Rime Chill","U","U","106356","5.94","16169","8.28","37000","36.4%","51.3%","5856","47.6%","10199","55.0%","16055","52.3%","20994","50.5%","1.8pp"
"Rimefire Torque","U","R","47515","5.89","5717","9.05","1546","4.3%","44.5%","282","","402","","684","39.9%","864","48.0%","-8.1pp"
"Rimekin Recluse","U","U","49580","3.08","21139","3.45","132666","90.0%","56.7%","23617","58.9%","35566","61.0%","59183","60.2%","71571","53.5%","6.7pp"
"Run Away Together","U","C","305317","7.24","38995","10.47","55345","22.6%","51.8%","9241","47.6%","14576","53.5%","23817","51.2%","31563","52.2%","-1.0pp"
"Shinestriker","U","U","65012","3.88","21230","4.41","114540","81.3%","55.2%","18665","54.5%","31755","60.9%","50420","58.5%","62101","52.1%","6.5pp"
"Silvergill Mentor","U","U","70500","4.20","19265","4.91","100153","77.1%","57.4%","18525","61.9%","24224","58.8%","42749","60.1%","55491","54.9%","5.2pp"
"Silvergill Peddler","U","C","287103","6.59","44262","9.10","148278","52.5%","55.1%","26343","54.4%","35797","55.4%","62140","55.0%","84191","54.9%","0.1pp"
"Spell Snare","U","U","115771","6.81","13342","10.14","11362","13.7%","48.7%","1938","48.8%","2822","48.7%","4760","48.7%","6604","48.7%","0.1pp"
"Stratosoarer","U","C","278897","6.08","41881","8.62","138518","52.6%","53.3%","24257","50.9%","38144","57.0%","62401","54.7%","74414","51.8%","2.9pp"
"Summit Sentinel","U","C","285294","6.49","41398","9.12","135048","51.9%","53.3%","24520","53.0%","36198","54.2%","60718","53.7%","72643","52.8%","0.9pp"
"Sunderflock","U","R","13158","2.44","5722","2.59","42755","82.3%","57.8%","7226","60.2%","12301","66.3%","19527","64.0%","22109","51.2%","12.8pp"
"Swat Away","U","U","88087","4.93","17540","6.38","75629","67.7%","54.1%","12717","51.8%","20301","56.5%","33018","54.7%","42672","53.5%","1.1pp"
"Sygg, Wanderwine Wisdom","U","R","12138","2.23","5844","2.39","44672","87.9%","56.0%","8256","60.7%","11478","60.5%","19734","60.6%","24276","51.9%","8.7pp"
"Tanufel Rimespeaker","U","U","66913","4.00","18878","4.70","101535","82.7%","54.5%","17313","55.9%","28363","56.6%","45676","56.3%","54609","52.6%","3.8pp"
"Temporal Cleansing","U","C","277448","6.05","51394","8.16","209936","63.9%","55.3%","34758","53.3%","56124","57.8%","90882","56.1%","119200","54.7%","1.4pp"
"Thirst for Identity","U","U","99558","5.64","14467","7.96","40414","44.3%","52.7%","7013","51.3%","10581","54.4%","17594","53.2%","22821","52.4%","0.8pp"
"Unexpected Assistance","U","C","253806","5.47","50319","7.21","232817","72.8%","54.8%","38451","53.4%","61262","57.2%","99713","55.8%","133219","54.1%","1.6pp"
"Unwelcome Sprite","U","U","79044","4.52","19182","5.56","91978","74.5%","54.7%","16793","56.4%","23853","56.2%","40646","56.3%","51411","53.5%","2.8pp"
"Wanderwine Distracter","U","C","307121","7.53","37110","10.93","46567","19.8%","52.0%","7759","49.5%","11624","51.8%","19383","50.9%","26591","52.5%","-1.6pp"
"Wanderwine Farewell","U","U","86625","4.93","18784","6.17","81253","67.1%","56.0%","13405","54.1%","20515","58.6%","33920","56.9%","45559","54.9%","2.0pp"
"Wild Unraveling","U","C","302771","7.18","40309","10.28","64404","25.3%","52.3%","10725","51.0%","16994","55.0%","27719","53.5%","36716","51.4%","2.1pp"
"Auntie's Sentence","B","C","270960","5.90","35529","8.48","114483","51.3%","53.2%","20193","53.0%","27423","53.6%","47616","53.4%","66902","53.0%","0.4pp"
"Barbed Bloodletter","B","C","308605","7.36","36324","10.77","41926","18.4%","52.4%","6996","52.6%","10021","54.0%","17017","53.4%","24927","51.8%","1.7pp"
"Bile-Vial Boggart","B","C","284866","6.56","34692","9.46","92594","43.0%","51.7%","16630","53.3%","21686","50.8%","38316","51.9%","53017","51.3%","0.6pp"
"Bitterbloom Bearer","B","M","5416","1.85","2675","1.90","19679","81.7%","54.1%","3475","60.5%","4874","56.2%","8349","58.0%","11308","51.3%","6.8pp"
"Blight Rot","B","C","169336","3.76","39735","4.71","220178","87.3%","54.1%","37512","53.6%","54957","56.6%","92469","55.4%","127748","53.1%","2.3pp"
"Blighted Blackthorn","B","C","295634","6.77","36474","9.86","64638","28.5%","50.1%","10782","47.3%","16453","52.8%","27235","50.6%","37508","49.7%","0.9pp"
"Bloodline Bidding","B","R","19270","3.09","6263","3.39","36016","76.3%","55.8%","5931","53.7%","9397","61.7%","15328","58.6%","20723","53.8%","4.8pp"
"Boggart Mischief","B","U","68859","4.25","15042","5.07","69946","70.7%","54.6%","12316","54.6%","17071","58.8%","29387","57.0%","38137","51.9%","5.1pp"
"Boggart Prankster","B","C","292508","6.94","37254","9.81","103189","44.4%","52.7%","18425","53.8%","24096","51.6%","42521","52.5%","59040","52.5%","0.0pp"
"Bogslither's Embrace","B","C","172884","3.81","41920","4.76","236416","88.5%","54.4%","39998","53.4%","59377","57.9%","99375","56.1%","137126","53.2%","2.9pp"
"Champion of the Weird","B","R","17293","2.95","5241","3.33","31020","71.0%","55.0%","5203","60.0%","7768","59.3%","12971","59.6%","17196","50.6%","9.0pp"
"Creakwood Safewright","B","U","61375","3.70","17120","4.35","94607","82.8%","56.3%","17050","57.5%","22465","57.2%","39515","57.4%","53483","55.2%","2.1pp"
"Darkness Descends","B","U","108798","6.35","12184","9.52","12813","16.9%","48.7%","2154","46.0%","3267","51.2%","5421","49.1%","7399","48.4%","0.7pp"
"Dawnhand Dissident","B","R","13779","2.35","6310","2.53","43912","86.0%","55.5%","8202","59.5%","10726","58.4%","18928","58.9%","24431","52.7%","6.2pp"
"Dawnhand Eulogist","B","C","246395","5.57","47925","7.09","226323","72.6%","57.1%","38288","56.3%","54350","59.1%","92638","58.0%","129029","56.0%","1.9pp"
"Dose of Dawnglow","B","U","102949","5.75","13491","8.31","31928","38.1%","51.3%","5274","47.2%","7955","53.4%","13229","50.9%","18730","51.6%","-0.7pp"
"Dream Seizer","B","C","295343","6.81","36352","9.88","62240","27.4%","50.5%","10577","48.9%","15838","53.0%","26415","51.4%","35822","49.8%","1.5pp"
"Gloom Ripper","B","R","13133","2.37","5803","2.52","44972","83.8%","59.5%","7588","64.5%","11446","67.3%","19034","66.2%","24406","53.3%","12.9pp"
"Gnarlbark Elm","B","U","69916","4.06","14189","5.11","66145","74.3%","52.6%","11569","51.7%","16780","55.5%","28349","53.9%","37922","51.6%","2.4pp"
"Graveshifter","B","U","57255","3.37","16587","4.02","92989","87.3%","53.9%","15612","50.9%","22952","56.1%","38564","54.0%","52269","53.3%","0.7pp"
"Grub, Storied Matriarch","B","R","19519","3.18","5319","3.70","28621","69.0%","54.4%","5022","53.9%","6969","60.4%","11991","57.7%","15782","51.0%","6.7pp"
"Gutsplitter Gang","B","U","92989","5.41","13387","7.39","43957","52.9%","51.7%","7467","51.4%","10996","52.3%","18463","51.9%","24862","51.1%","0.8pp"
