"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Timid Shieldbearer","W","C","203899","5.66","33057","7.70","146218","69.6%","55.2%","26822","54.6%","33101","55.4%","59923","55.0%","84988","55.1%","-0.1pp"
"Tributary Vaulter","W","C","219333","6.40","32227","8.79","116331","56.8%","55.2%","20303","54.5%","27839","55.5%","48142","55.1%","66221","55.0%","0.1pp"
"Wanderbrine Preacher","W","C","201743","5.57","34939","7.45","156035","70.3%","55.3%","28298","56.2%","36858","55.1%","65156","55.5%","88826","55.0%","0.6pp"
"Wanderbrine Trapper","W","U","50874","3.83","15151","4.41","86169","84.4%","57.0%","15681","61.8%","20418","57.5%","36099","59.4%","48976","55.1%","4.2pp"
"Winnowing","W","R","21169","3.91","4026","4.92","14945","55.6%","52.8%","2403","48.4%","3755","56.1%","6158","53.1%","8801","52.6%","0.5pp"
"Aquitect's Defenses","U","C","240096","7.17","30691","10.40","42187","21.9%","52.0%","7085","50.3%","10790","54.2%","17875","52.7%","24342","51.5%","1.1pp"
"Blossombind","U","C","169543","4.59","36396","5.98","191125","83.4%","54.3%","33160","52.1%","50564","56.7%","83724","54.9%","107474","53.8%","1.1pp"
"Champions of the Shoal","U","R","11252","2.61","4623","2.83","32742","79.6%","57.3%","5707","61.6%","8821","62.3%","14528","62.0%","17703","52.5%","9.5pp"
"Disruptor of Currents","U","R","10650","2.32","5212","2.51","37726","88.4%","56.4%","6377","58.9%","9961","62.0%","16338","60.8%","20828","52.4%","8.4pp"
"Flitterwing Nuisance","U","R","10500","2.35","4905","2.53","34016","85.2%","55.5%","6151","62.2%","9091","58.6%","15242","60.1%","18851","51.8%","8.3pp"
"Glamer Gifter","U","U","54212","3.98","14834","4.78","78666","82.6%","54.7%","13986","54.6%","20695","58.0%","34681","56.6%","44004","53.2%","3.4pp"
"Glamermite","U","C","225604","6.52","30587","9.36","67680","35.5%","51.5%","11850","50.2%","17275","54.9%","29125","53.0%","38550","50.5%","2.5pp"
