card,rarity,colors,expert_pct,actual_pct,discrepancy,gih_wr,gih_count
Improvisation Capstone,mythic,R,0.9134,0.9788,-0.0654,63.50,9555
Vicious Rivalry,rare,BG,0.7615,0.8233,-0.0618,58.90,12515
Harsh Annotation,uncommon,W,0.0053,0.0618,-0.0565,50.20,5155
Proctor's Gaze,uncommon,GU,0.7014,0.7580,-0.0565,58.10,33221
Tester of the Tangential,uncommon,U,0.2562,0.3110,-0.0548,54.30,20478
Primary Research,uncommon,W,0.3375,0.3922,-0.0548,55.10,22820
Colorstorm Stallion,rare,RU,0.9205,0.9735,-0.0530,62.80,18071
Reprieve,uncommon,W,0.8392,0.8905,-0.0512,59.90,3748
Impractical Joke,uncommon,R,0.7968,0.8428,-0.0459,59.20,44334
Environmental Scientist,uncommon,G,0.9064,0.9505,-0.0442,61.40,36781
Hungry Graffalon,common,G,0.0512,0.0901,-0.0389,50.90,9744
"Moseo, Vein's New Dean",rare,B,0.8922,0.9311,-0.0389,60.90,13326
Flashback,rare,R,0.3092,0.3463,-0.0371,54.60,9051
Monstrous Rage,uncommon,R,0.5424,0.5795,-0.0371,56.70,17315
Zealous Lorecaster,common,R,0.3445,0.3816,-0.0371,55.00,42935
Last Gasp,common,B,0.6873,0.7191,-0.0318,57.80,69530
Helping Hand,uncommon,W,0.1996,0.2261,-0.0265,53.30,11700
Thunderdrum Soloist,uncommon,R,0.4364,0.4611,-0.0247,55.80,25111
Return to the Ranks,rare,W,0.0159,0.0406,-0.0247,49.20,581
Tackle Artist,common,R,0.1855,0.2102,-0.0247,53.10,33026
Armageddon,mythic,W,0.1431,0.1661,-0.0230,52.30,704
Artistic Process,uncommon,R,0.6519,0.6731,-0.0212,57.50,34614
Borrowed Knowledge,uncommon,RW,0.0018,0.0230,-0.0212,46.70,1085
Slumbering Trudge,rare,G,0.8322,0.8516,-0.0194,59.30,14432
Hardened Academic,rare,RW,0.9346,0.9505,-0.0159,61.40,15942
Wild Hypothesis,common,G,0.1502,0.1661,-0.0159,52.30,20358
Stress Dream,uncommon,RU,0.8993,0.9134,-0.0141,60.40,43984
Homesickness,uncommon,U,0.4965,0.5106,-0.0141,56.10,25878
Essenceknit Scholar,uncommon,BG,0.8110,0.8233,-0.0124,58.90,22254
Antiquities on the Loose,rare,W,0.9806,0.9912,-0.0106,64.90,18422
Moment of Reckoning,rare,BW,0.9735,0.9841,-0.0106,64.10,15689
Informed Inkwright,rare,W,0.9523,0.9629,-0.0106,62.40,16729
Splatter Technique,rare,RU,0.9240,0.9346,-0.0106,61.10,17675
Burst Lightning,common,R,0.8145,0.8233,-0.0088,58.90,41609
Rapturous Moment,uncommon,RU,0.2527,0.2597,-0.0071,53.70,17339
Traumatic Critique,rare,RU,0.9170,0.9223,-0.0053,60.60,18900
Fix What's Broken,rare,BW,0.0124,0.0177,-0.0053,46.40,2165
Shopkeeper's Bane,common,G,0.2668,0.2703,-0.0035,53.80,25101
Stirring Hopesinger,rare,W,0.9770,0.9788,-0.0018,63.50,17310
Practiced Scrollsmith,uncommon,RW,0.8746,0.8763,-0.0018,59.80,40303
Stock Up,uncommon,U,0.8887,0.8905,-0.0018,59.90,39200
Paradox Surveyor,uncommon,GU,0.8004,0.8004,+0.0000,58.70,29685
Muse's Encouragement,common,U,0.1926,0.1926,+0.0000,52.90,27762
Comforting Counsel,rare,G,0.0088,0.0071,+0.0018,45.30,3248
Foolish Fate,uncommon,B,0.8180,0.8127,+0.0053,58.80,31109
Crackle with Power,mythic,R,0.9629,0.9558,+0.0071,61.90,2465
Dina's Guidance,rare,BG,0.0194,0.0124,+0.0071,45.50,914
Vibrant Outburst,uncommon,RU,0.8216,0.8127,+0.0088,58.80,36480
Sundown Pass,rare,,0.7191,0.7102,+0.0088,57.70,14485
"Blech, Loafing Pest",rare,BG,0.9028,0.8905,+0.0124,59.90,10092
Pensive Professor,rare,U,0.8357,0.8233,+0.0124,58.90,15809
Ambitious Augmenter,rare,G,0.9311,0.9170,+0.0141,60.50,13828
Pull from the Grave,common,B,0.2067,0.1926,+0.0141,52.90,19533
Bulk Up,uncommon,R,0.0830,0.0671,+0.0159,50.50,3651
Wilt in the Heat,common,RW,0.7085,0.6926,+0.0159,57.60,76003
Rehearsed Debater,common,W,0.3869,0.3693,+0.0177,54.90,33320
Flow State,uncommon,U,0.6449,0.6254,+0.0194,57.10,34216
Winds of Abandon,rare,W,0.9912,0.9700,+0.0212,62.70,2046
Requisition Raid,uncommon,W,0.1254,0.1025,+0.0230,51.20,5293
Snooping Page,uncommon,BW,0.5777,0.5530,+0.0247,56.40,23814
Expressive Iteration,uncommon,RU,0.7827,0.7580,+0.0247,58.10,3737
Shattered Sanctum,rare,,0.7191,0.6926,+0.0265,57.60,11019
Sleight of Hand,common,U,0.5141,0.4876,+0.0265,56.00,20836
Pick Your Poison,rare,BG,0.0548,0.0283,+0.0265,47.40,1412
Professor Dellian Fel,mythic,BG,0.9947,0.9664,+0.0283,62.50,7008
Giant Growth,common,G,0.1396,0.1113,+0.0283,51.40,4905
Group Project,uncommon,W,0.6731,0.6431,+0.0300,57.20,33171
Skycoach Waypoint,uncommon,,0.0866,0.0565,+0.0300,50.10,4043
Colossus of the Blood Age,uncommon,RW,0.8816,0.8516,+0.0300,59.30,39241
Terramorphic Expanse,common,,0.6184,0.5866,+0.0318,56.80,96840
Old-Growth Educator,uncommon,BG,0.3834,0.3463,+0.0371,54.60,16506
Ancestral Anger,common,R,0.2633,0.2261,+0.0371,53.30,12890
Spectacle Summit,common,,0.6184,0.5795,+0.0389,56.70,100846
Choreographed Sparks,rare,R,0.0477,0.0071,+0.0406,45.30,1375
"Quandrix, the Proof",mythic,GU,0.9876,0.9435,+0.0442,61.30,7767
Ulna Alley Shopkeep,common,B,0.0901,0.0459,+0.0442,49.40,7777
Daydream,uncommon,W,0.0972,0.0459,+0.0512,49.40,6208
Growth Curve,uncommon,GU,0.0795,0.0283,+0.0512,47.40,3329
Fractal Anomaly,uncommon,U,0.0936,0.0371,+0.0565,48.40,3400
Bitter Triumph,uncommon,B,0.7898,0.7297,+0.0601,57.90,27982
Diary of Dreams,uncommon,,0.2032,0.1431,+0.0601,51.80,17302
Locust Spray,uncommon,B,0.2173,0.1537,+0.0636,52.20,7107
Echocasting Symposium,mythic,U,0.8640,0.8004,+0.0636,58.70,7611
Stirring Honormancer,uncommon,BW,0.8463,0.7827,+0.0636,58.50,26500
Biblioplex Tomekeeper,common,,0.0654,0.0018,+0.0636,44.80,1503
Charging Strifeknight,uncommon,R,0.7580,0.6926,+0.0654,57.60,33440
Suspend Aggression,rare,RW,0.8428,0.7756,+0.0671,58.40,14244
Restoration Seminar,mythic,W,0.7403,0.6731,+0.0671,57.50,6672
Tenured Concocter,common,G,0.2350,0.1661,+0.0689,52.30,21180
Molten-Core Maestro,rare,R,0.9594,0.8905,+0.0689,59.90,18166
Prismari Charm,uncommon,RU,0.6696,0.5989,+0.0707,56.90,30916
Stormcarved Coast,rare,,0.7191,0.6431,+0.0760,57.20,15681
Wander Off,common,B,0.5636,0.4876,+0.0760,56.00,58014
Steal the Show,rare,R,0.3127,0.2367,+0.0760,53.50,7579
Conciliator's Duelist,rare,BW,0.9452,0.8693,+0.0760,59.70,12227
Efflorescence,common,G,0.1113,0.0336,+0.0777,48.00,3919
Banishing Betrayal,common,U,0.4929,0.4099,+0.0830,55.40,46015
Matterbending Mage,uncommon,U,0.8675,0.7827,+0.0848,58.50,38669
Hydro-Channeler,common,U,0.4470,0.3622,+0.0848,54.80,59276
Oracle's Restoration,common,G,0.1360,0.0512,+0.0848,49.60,8269
Paradox Gardens,common,,0.6184,0.5300,+0.0883,56.20,86673
Graduation Day,uncommon,W,0.2102,0.1219,+0.0883,51.50,9806
Erode,rare,W,0.6590,0.5671,+0.0919,56.50,11442
Mindful Biomancer,common,G,0.3516,0.2597,+0.0919,53.70,33297
